
[00:00:00.000 --> 00:00:00.800]   Hey, everyone.
[00:00:00.800 --> 00:00:02.640]   Welcome to the Latent Space Podcast.
[00:00:02.640 --> 00:00:05.040]   This is Alessio, partner and CTO of Residence
[00:00:05.040 --> 00:00:06.080]   at Decibel Partners.
[00:00:06.080 --> 00:00:09.360]   And I'm joined by my co-host, Swoogs, founder of Small.ai.
[00:00:09.360 --> 00:00:12.080]   Hey, and today we have Ben Fershman in the studio.
[00:00:12.080 --> 00:00:12.760]   Welcome, Ben.
[00:00:12.760 --> 00:00:14.560]   Hey, good to be here.
[00:00:14.560 --> 00:00:17.280]   Ben, you're a co-founder and CEO of Replicate.
[00:00:17.280 --> 00:00:21.120]   Before that, you were most notably creator of Fig,
[00:00:21.120 --> 00:00:24.160]   or founder of Fig, which became Docker Compose.
[00:00:24.160 --> 00:00:26.480]   You also did a couple other things before that.
[00:00:26.480 --> 00:00:29.520]   But that's what a lot of people know you for.
[00:00:29.520 --> 00:00:32.640]   What should people know about you outside
[00:00:32.640 --> 00:00:35.720]   of your LinkedIn profile?
[00:00:35.720 --> 00:00:37.600]   Yeah, good question.
[00:00:37.600 --> 00:00:40.680]   I think I'm a builder and tinkerer in a very broad sense.
[00:00:40.680 --> 00:00:43.320]   And I love using my hands to make things.
[00:00:43.320 --> 00:00:46.720]   So I work on things maybe a bit closer to tech,
[00:00:46.720 --> 00:00:48.040]   like electronics.
[00:00:48.040 --> 00:00:50.480]   But I also build things out of wood.
[00:00:50.480 --> 00:00:55.040]   And I fix cars, and I fix my bike,
[00:00:55.040 --> 00:00:58.320]   and build bicycles, and all this kind of stuff.
[00:00:58.320 --> 00:01:01.560]   And there's so much I think I've learned
[00:01:01.560 --> 00:01:04.160]   from transferable skills, from just working in the real world
[00:01:04.160 --> 00:01:08.400]   to building things in software.
[00:01:08.400 --> 00:01:11.440]   And there's so much about being a builder, both in real life
[00:01:11.440 --> 00:01:14.240]   and in software, that crosses over.
[00:01:14.240 --> 00:01:16.160]   Is there a real-world analogy that you use often
[00:01:16.160 --> 00:01:22.040]   when you're thinking about a code architecture problem?
[00:01:22.040 --> 00:01:30.720]   I like to build software tools as if they were something real.
[00:01:30.720 --> 00:01:33.240]   I like to imagine--
[00:01:33.240 --> 00:01:36.520]   so I wrote this thing called the command line interface
[00:01:36.520 --> 00:01:39.560]   guidelines, which was a bit like sort of the Mac human interface
[00:01:39.560 --> 00:01:41.400]   guidelines, but for command line interfaces.
[00:01:41.400 --> 00:01:47.680]   I did it with the guy I created Docker Compose with
[00:01:47.680 --> 00:01:50.240]   and a few other people.
[00:01:50.240 --> 00:01:53.120]   And I think something in there--
[00:01:53.120 --> 00:01:55.460]   I think I described that your command line interface should
[00:01:55.460 --> 00:01:58.920]   feel like a big iron machine, where you pull a lever
[00:01:58.920 --> 00:02:00.520]   and it goes clunk.
[00:02:00.520 --> 00:02:04.160]   And things should respond within 50 milliseconds,
[00:02:04.160 --> 00:02:07.120]   as if it was a real-life thing.
[00:02:07.120 --> 00:02:10.040]   And another analogy here is in the real life,
[00:02:10.040 --> 00:02:13.000]   you know when you press a button on an electronic device
[00:02:13.000 --> 00:02:15.080]   and it's like a soft switch, and you press it,
[00:02:15.080 --> 00:02:17.800]   and nothing happens, and there's no physical feedback
[00:02:17.800 --> 00:02:19.040]   about anything happening?
[00:02:19.040 --> 00:02:21.240]   And then half a second later, something happens?
[00:02:21.240 --> 00:02:22.700]   That's how a lot of software feels.
[00:02:22.700 --> 00:02:24.540]   But instead, software should feel more
[00:02:24.540 --> 00:02:26.440]   like something that's real, where you touch--
[00:02:26.440 --> 00:02:29.760]   you pull a physical lever and the physical lever moves.
[00:02:29.760 --> 00:02:33.400]   And I've taken that lesson of human interface
[00:02:33.400 --> 00:02:35.320]   to software a ton.
[00:02:35.320 --> 00:02:37.600]   It's all about latency, things feeling
[00:02:37.600 --> 00:02:42.800]   really solid and robust, both the command lines and user
[00:02:42.800 --> 00:02:44.240]   interfaces as well.
[00:02:44.240 --> 00:02:49.000]   And how did you operationalize that for Fig or Docker?
[00:02:49.000 --> 00:02:50.320]   A lot of it's just low latency.
[00:02:50.320 --> 00:02:53.040]   Actually, we didn't do it very well for Fig and [INAUDIBLE]
[00:02:53.040 --> 00:02:53.840]   in the first place.
[00:02:53.840 --> 00:02:56.000]   We used Python, which was a big mistake,
[00:02:56.000 --> 00:02:58.840]   where Python's really hard to get booting up fast,
[00:02:58.840 --> 00:03:01.000]   because you have to load up the whole Python runtime
[00:03:01.000 --> 00:03:02.800]   before it can run anything.
[00:03:02.800 --> 00:03:07.880]   Go is much better at this, where Go just instantly starts.
[00:03:07.880 --> 00:03:12.120]   So you have to be under 500 milliseconds to start up?
[00:03:12.120 --> 00:03:13.080]   Yeah, effectively.
[00:03:13.080 --> 00:03:16.200]   I mean, perception of human things
[00:03:16.200 --> 00:03:19.280]   being immediate is something like 100 milliseconds.
[00:03:19.280 --> 00:03:23.520]   So anything like that is good enough.
[00:03:23.520 --> 00:03:24.640]   Yeah.
[00:03:24.640 --> 00:03:26.100]   Also, I should mention, since we're
[00:03:26.100 --> 00:03:27.560]   talking about your side projects--
[00:03:27.560 --> 00:03:30.280]   well, one thing is I am maybe one of a few fellow people who
[00:03:30.280 --> 00:03:33.600]   have actually written something about CLI design principles,
[00:03:33.600 --> 00:03:37.480]   because I was in charge of the Netlify CLI back in the day
[00:03:37.480 --> 00:03:39.360]   and had many thoughts.
[00:03:39.360 --> 00:03:40.560]   One of my fun thoughts--
[00:03:40.560 --> 00:03:42.480]   I'll just share it in case you have thoughts--
[00:03:42.480 --> 00:03:45.680]   is I think CLIs are effectively starting points
[00:03:45.680 --> 00:03:48.060]   for scripts that are then run.
[00:03:48.060 --> 00:03:50.200]   And the moment one of the script's preconditions
[00:03:50.200 --> 00:03:53.920]   are not fulfilled, typically they end.
[00:03:53.920 --> 00:03:58.920]   So the CLI developer will just exit the program.
[00:03:58.920 --> 00:04:01.760]   And the way that I really wanted to create the Netlify dev
[00:04:01.760 --> 00:04:04.560]   workflow was for it to be kind of a state machine that
[00:04:04.560 --> 00:04:06.640]   would resolve itself.
[00:04:06.640 --> 00:04:09.480]   If it detected a precondition wasn't fulfilled,
[00:04:09.480 --> 00:04:11.960]   it would actually delegate to a subprogram that
[00:04:11.960 --> 00:04:13.640]   would then fulfill that precondition,
[00:04:13.640 --> 00:04:16.640]   asking for more info or waiting until a condition is fulfilled.
[00:04:16.640 --> 00:04:18.440]   Then it would go back to the original flow
[00:04:18.440 --> 00:04:20.360]   and continue that.
[00:04:20.360 --> 00:04:21.800]   Don't know if that was ever tried
[00:04:21.800 --> 00:04:23.800]   or is there a more formal definition of it,
[00:04:23.800 --> 00:04:25.920]   because I just came up with it randomly.
[00:04:25.920 --> 00:04:27.960]   But it felt like the beginnings of AI,
[00:04:27.960 --> 00:04:30.000]   in the sense that when you run a CLI command,
[00:04:30.000 --> 00:04:32.040]   you have an intent to do something.
[00:04:32.040 --> 00:04:34.220]   And you may not have given the CLI all the things
[00:04:34.220 --> 00:04:37.640]   that it needs to execute that intent.
[00:04:37.640 --> 00:04:39.520]   So that was my two cents.
[00:04:39.520 --> 00:04:43.160]   Yeah, that reminds me of a thing we sort of thought
[00:04:43.160 --> 00:04:47.720]   about when writing the CLI guidelines, where CLIs were
[00:04:47.720 --> 00:04:50.080]   designed in a world where the CLI was really
[00:04:50.080 --> 00:04:51.680]   a programming environment.
[00:04:51.680 --> 00:04:54.840]   And it was primarily designed for machines
[00:04:54.840 --> 00:04:57.560]   to use all of these commands and scripts.
[00:04:57.560 --> 00:05:05.240]   Whereas over time, the CLI has evolved to humans--
[00:05:05.240 --> 00:05:08.360]   it was back in a world where the primary way of using
[00:05:08.360 --> 00:05:12.440]   and computers was writing shell scripts, effectively.
[00:05:12.440 --> 00:05:14.960]   And we've transitioned to a world
[00:05:14.960 --> 00:05:17.240]   where, actually, humans are using CLI programs
[00:05:17.240 --> 00:05:19.320]   much more than they used to.
[00:05:19.320 --> 00:05:27.280]   And the current best practices about how Unix was designed--
[00:05:27.280 --> 00:05:29.240]   there's lots of design documents about Unix
[00:05:29.240 --> 00:05:33.080]   from the '70s and '80s, where they say things like,
[00:05:33.080 --> 00:05:37.560]   command line commands should not output anything on success.
[00:05:37.560 --> 00:05:40.040]   It should be completely silent, which
[00:05:40.040 --> 00:05:42.120]   makes sense if you're using it in a shell script.
[00:05:42.120 --> 00:05:45.640]   But if a user is using that, it just looks like it's broken.
