
[00:00:00.000 --> 00:00:21.900]   This is the API key. So if you haven't scanned this already, please scan it. It will take you
[00:00:21.900 --> 00:00:27.680]   to our cloud where you can sign up for a free API key. This will be the only thing you kind
[00:00:27.680 --> 00:00:33.900]   of need to do the workshop today. Everyone got a picture? Everyone good? Cool.
[00:00:33.900 --> 00:00:41.520]   Okay. Hello, everyone. We are very excited to see you here. Today, we organized a very
[00:00:41.520 --> 00:00:45.720]   fun workshop for all of you. We're going to first start with explanation of what mixture
[00:00:45.720 --> 00:00:51.740]   of experts is and why this architecture matters. And then we're going to use agents to create
[00:00:51.740 --> 00:00:56.080]   something very similar to it, but it's called mixture of agents. So you replace your experts
[00:00:56.080 --> 00:01:00.640]   with real agents. There will be a code alone session, so everyone will build their own
[00:01:00.640 --> 00:01:04.300]   app at the end.
[00:01:04.300 --> 00:01:08.780]   And for the agenda, first of all, we're going to introduce the concept. What is the mixture
[00:01:08.780 --> 00:01:14.520]   of experts? Why this architecture exists? And what kind of models are using it? And this
[00:01:14.520 --> 00:01:19.080]   is basically like the way for us to continue improving the models that we build. So like
[00:01:19.080 --> 00:01:23.960]   child GPT, think about that models. How do we scale them further so they become smarter, more
[00:01:23.960 --> 00:01:28.520]   intelligent? And there are two ways to do it. So one is to pre-train from scratch with mixture
[00:01:28.520 --> 00:01:33.480]   of experts' architecture. Another way is building a mixture of agents. So when you combine already
[00:01:33.480 --> 00:01:38.840]   pre-trained model together in the one complex architecture. So we're going to build exactly
[00:01:38.840 --> 00:01:44.520]   approach number two and a hands-on workshop. And at the end, we will have Q&A. So if you guys are
[00:01:44.520 --> 00:01:49.080]   excited about these models, what we do with these models at Cerebras, or you have any other questions,
[00:01:49.080 --> 00:01:52.080]   we can answer that.
[00:01:52.080 --> 00:01:57.080]   Yeah, a little bit about me. So I'm a head research scientist at Cerebras. I worked there for almost
[00:01:57.080 --> 00:02:05.080]   4.5 years. I am specifically focused at researching mixture of experts' architectures and just other
[00:02:05.080 --> 00:02:13.080]   architectures that help us improve the LLMs and make the training more hardware efficient. In the past, I spent some time working on data
[00:02:13.080 --> 00:02:22.640]   scaling, so I created a data set called Slim Pajama. That data set was the largest, the best in quality data set when it was released.
[00:02:22.640 --> 00:02:28.640]   And prior to Cerebras, I was at Google working on research and engineering projects.
[00:02:28.640 --> 00:02:42.960]   Perfect. Hi, my name is Daniel. I'm the head of growth here at Cerebras. I do both developer activations, developer marketing, but I also do startup sales. So if you need tokens, and you're
[00:02:42.960 --> 00:02:50.520]   trying to run your startup, and you want to use Cerebras in production, after the workshop, come talk to me. I am the token arbiter for Cerebras for
[00:02:50.520 --> 00:02:52.520]   everyone that is not enterprise.
[00:02:52.520 --> 00:03:00.080]   I also really like Hotpot. I had Hotpot three times in the last week. So yeah, that's a little bit about me. I'm based in San Francisco, and I do a lot of these types of workshops and events and
[00:03:00.080 --> 00:03:02.080]   things like that. And here's my Twitter, if you guys want to follow me. And this is our intern Kevin. He's not here with us because he's taking his last high school final. He's in
[00:03:02.080 --> 00:03:11.640]   high school. But I wanted to put him here because he's the person that built 99% of the workshop that you're going to be doing here today, and I want to make sure we shouted him out.
[00:03:11.640 --> 00:03:23.640]   Wait, I want to take a selfie with him. I want to show him because he doesn't know I'm doing this. Okay. And yeah, he's going to school in UCL and UCL and UCL.
[00:03:23.640 --> 00:03:29.640]   And I want to take a selfie with him. I want to show him because he doesn't know I'm doing this. And yeah, he's going to school in UCL and UCL.
[00:03:29.640 --> 00:03:49.640]   coming in the fall, but he's currently in high school. So yeah, and that's his Twitter if you guys want to follow him. Great. Before we get started, who here has heard of Cerebris?
[00:03:49.640 --> 00:03:57.640]   Okay, pretty good. Last time I asked this question like eight months ago, there was like two hands in a room full of like this. So it's so much fun.
[00:03:57.640 --> 00:04:10.640]   progress that we've made in the last couple months. So I will dive a little bit deeper into what Cerebris and why our hardware is so much superior than our competitors in the later part of our presentation.
[00:04:10.640 --> 00:04:22.640]   But quickly, Cerebris is a hardware company that makes custom silicon that runs AI models super duper fast. And here's a side by side of the chips comparing us to an NVIDIA H100.
[00:04:22.640 --> 00:04:37.640]   So there's just a sizable difference here. And things that make our hardware architecture super dominant, kind of like all boils down to the innovations we've made in the hardware itself and how we're able to linearly scale with larger models, which I'll get into later.
[00:04:37.640 --> 00:04:50.640]   But currently, we hold the world record in every single model we host publicly. And it's not even close. So for LAMA 3.370B, we're around 15.5 times faster than the fastest inference provider on a GPU.
[00:04:50.640 --> 00:04:57.640]   So if you want kind of like something that doesn't compare to anything that's currently in the market, Cerebris is kind of your only option for fast inference.
[00:04:57.640 --> 00:05:03.640]   So that's what our company does. And this is what I'm bringing to startups. So if you're a startup that wants this inference, you should come talk to me after the talk.
[00:05:03.640 --> 00:05:04.640]   So what are we doing today?
[00:05:04.640 --> 00:05:08.640]   Yeah, so actually, spoiler alert, we're going to use Cerebris hardware today for our workshop. So if you guys can actually try it. But before I want to explain what we're actually building. So we're going to build an application with a mixture of agents, each agent will be a separate LLM. And kind of like right now, I want to explain why this is beneficial, why we want to build that, and why this architecture is better
[00:05:08.640 --> 00:05:15.640]   compared to like a monolithic one LLM that we use right now. Thank you.
