
[00:00:00.000 --> 00:00:08.000]   Welcome back to lesson 9 part 2, how to train your model.
[00:00:08.000 --> 00:00:15.000]   Before we talk about training our model, though, I wanted to revisit a couple of things that came up last week.
[00:00:15.000 --> 00:00:22.000]   And the reason I really wanted to revisit them is because
[00:00:22.000 --> 00:00:25.000]   I wanted to kind of give you an insight into how I do research.
[00:00:25.000 --> 00:00:33.000]   I mean, a lot of this course really will be me showing you how I do research and how I do software development in the hope that that is somewhat helpful to you.
[00:00:33.000 --> 00:00:42.000]   So one of the questions that came up last week was we looked at.
[00:00:42.000 --> 00:00:56.000]   That's the size of that. Okay, we looked at. We looked inside the NN dot com 2D that comes with PyTorch to see how it goes about initializing parameters.
[00:00:56.000 --> 00:01:03.000]   And we found that inside here, convn d dot reset parameters, we found the way that it does initialization.
[00:01:03.000 --> 00:01:11.000]   And we found this math dot square root 5 without any commentary, which was quite mysterious.
[00:01:11.000 --> 00:01:17.000]   So I decided to do some research into, you know, kind of dual research.
[00:01:17.000 --> 00:01:21.000]   One is like, what's the impact of this math dot square root 5?
[00:01:21.000 --> 00:01:28.000]   And then at the same time, trying to get in touch with the PyTorch team about asking them where this math dot square root 5 comes from.
[00:01:28.000 --> 00:01:32.000]   So let me show you how I went about doing that research.
[00:01:32.000 --> 00:01:53.000]   So I loaded up just what we had from last week, which was the ability to download the MNIST data and open it up.
[00:01:53.000 --> 00:02:01.000]   And then the function to normalize it, which I thought we'd export if we haven't already.
[00:02:01.000 --> 00:02:04.000]   And then we'd grab the data and would normalize it.
[00:02:04.000 --> 00:02:13.000]   And because we're going to be talking a lot about convolutions towards the end of today's lesson and particularly next lesson, I suspect.
[00:02:13.000 --> 00:02:16.000]   So I'll skip over some of the details about convolutions for now.
[00:02:16.000 --> 00:02:22.000]   But basically to do a convolution, as you know, we need a square or rectangular input.
[00:02:22.000 --> 00:02:27.000]   And our MNIST input, remember, was just a single vector per image 768 long.
[00:02:27.000 --> 00:02:33.000]   So I resized them all to 28 by 28 one channel images.
[00:02:33.000 --> 00:02:43.000]   So that we could test out the impact of this conv2d in it in PyTorch and set up the various variables that we wanted to have.
[00:02:43.000 --> 00:02:46.000]   And then I created a conv2d layer.
[00:02:46.000 --> 00:02:48.000]   So we have one input because it's just one channel.
[00:02:48.000 --> 00:02:57.000]   NH, which is number hidden, which is 32 outputs. And let's do a five by five kernel. And we're talking more about why five by five might be suitable.
[00:02:57.000 --> 00:03:02.000]   And just for testing, let's just grab the first hundred elements of the validation set.
[00:03:02.000 --> 00:03:07.000]   So we've now got a tensor of one hundred by one by twenty eight by twenty eight.
[00:03:07.000 --> 00:03:18.000]   So it's a really good idea when you're playing with anything in software development, but including notebooks to refactor things.
[00:03:18.000 --> 00:03:22.000]   So I'm going to be wanting to look at the main and standard deviation of a bunch of things.
[00:03:22.000 --> 00:03:26.000]   So let's create a little function called stats to do that.
[00:03:26.000 --> 00:03:29.000]   And I never plan ahead what I'm going to do when you see this in a notebook.
[00:03:29.000 --> 00:03:35.000]   It always means that I've written out that by hand and then I copied it and then I'm like, OK, I'm using it twice.
[00:03:35.000 --> 00:03:38.000]   I'll chuck it in a function. So then I go back and create the function.
[00:03:38.000 --> 00:03:46.000]   So here I've got the mean and standard deviation of my L1, which is a conv2d layer.
[00:03:46.000 --> 00:03:53.000]   And so a conv2d layer contains a weight tensor parameter and a bias tensor parameter.
[00:03:53.000 --> 00:04:06.000]   So just to remind you, L1.weight.shape is 32 output filters because that's what number hidden was.
[00:04:06.000 --> 00:04:10.000]   One input filter because we only have one channel and then five by five.
[00:04:10.000 --> 00:04:13.000]   OK, so that's the size of our tensor.
[00:04:13.000 --> 00:04:22.000]   And if you've forgotten why that's the size of a tensor, you can go back to the Excel directory, for example,
[00:04:22.000 --> 00:04:30.000]   from part one where you can find the conv example spreadsheet.
[00:04:30.000 --> 00:04:38.000]   And in the conv example spreadsheet, you can see what each of those parameters does.
[00:04:38.000 --> 00:04:47.000]   So we basically had a filter for each input channel and for each output channel.
[00:04:47.000 --> 00:04:49.000]   So that's kind of what it looked like.
[00:04:49.000 --> 00:05:02.000]   And so the next layer, we now have a four dimensional tensor, a rank four tensor that we've got the three by three.
[00:05:02.000 --> 00:05:08.000]   We've got it for each input and for each output.
[00:05:08.000 --> 00:05:14.000]   OK, so that's the 32 by one by five by five.
[00:05:14.000 --> 00:05:22.000]   So the main and standard deviation of the weights zero and point one one.
[00:05:22.000 --> 00:05:32.000]   And this is because we know that behind the scenes, it's called this function to initialize.
[00:05:32.000 --> 00:05:50.000]   So the bias is initialized with a uniform random number between negative of this and positive of this and then the weights are initialized with timing uniform with this odd math dot square root five thing.
[00:05:50.000 --> 00:05:52.000]   So that's fine. That's not particularly interesting.
[00:05:52.000 --> 00:06:03.000]   What's more interesting is to take our input tensor of M NIST numbers and put it through this layer, which we called L1, which remember is a conv2D layer.
[00:06:03.000 --> 00:06:09.000]   So layer one and let's create an output T and let's look at the stats of T.
[00:06:09.000 --> 00:06:12.000]   So this is the stats of the output of this layer.
[00:06:12.000 --> 00:06:18.000]   We would like it to be a mean of zero and a standard deviation or a variance of one.
[00:06:18.000 --> 00:06:24.000]   The mean of zero is there, but the deviation of one is not there.
[00:06:24.000 --> 00:06:27.000]   So that looks like a problem.
[00:06:27.000 --> 00:06:31.000]   Let's compare this to the normal timing in it.
[00:06:31.000 --> 00:06:45.000]   So the normal timing in it, remember, is designed to be used after a value layer or more generally a leaky value layer.
[00:06:45.000 --> 00:07:05.000]   And recall that a leaky value layer has the y equals x here and here the gradient of this is called a or leak or whatever.
[00:07:05.000 --> 00:07:13.000]   And now in our case, we're just looking at a conv layer, so we don't have anything kind of going on there.
[00:07:13.000 --> 00:07:16.000]   In fact, it's straight here as well.
[00:07:16.000 --> 00:07:21.000]   So effectively we have like a leak, if you like, of one or an A of one.
[00:07:21.000 --> 00:07:26.000]   So to use climbing in it with no value, we can just put a equals one.
[00:07:26.000 --> 00:07:31.000]   And if we do that, then we get a mean of zero and a variance of one.
[00:07:31.000 --> 00:07:37.000]   So climbing in it seems to be working nicely.
[00:07:37.000 --> 00:07:45.000]   OK, so let's now try it with value. So let's now define a function, which is the function for layer one,
[00:07:45.000 --> 00:07:52.000]   which is to pass it through our layer one conv and then do a value with some A, some leak amount,
[00:07:52.000 --> 00:07:58.000]   which we'll set to zero by default. So this will be just a regular value.
[00:07:58.000 --> 00:08:01.000]   And you can see that.
[00:08:01.000 --> 00:08:05.000]   If we now run that.
[00:08:05.000 --> 00:08:10.000]   If we now run that with climbing initialization, we get a variance of one,
[00:08:10.000 --> 00:08:14.000]   which is good and the main is no longer zero as we discussed last week.
[00:08:14.000 --> 00:08:17.000]   It's about a half.
[00:08:17.000 --> 00:08:23.000]   But if we go back and reinitialize the com2d with this default PyTorch,
[00:08:23.000 --> 00:08:28.000]   this is not looking good at all with relu. It's even worse because remember.
[00:08:28.000 --> 00:08:34.000]   They don't have anything kind of handling that relu case in the default con.
[00:08:34.000 --> 00:08:38.000]   So this looks like a problem, so a variance of point three five.
[00:08:38.000 --> 00:08:45.000]   It may not sound a lot lower than one, but let's look. Take a look at what that means.
[00:08:45.000 --> 00:08:50.000]   So I forgot to mention where we are. This is the zero to a.
[00:08:50.000 --> 00:08:56.000]   Why square root five notebook so zero to a notebook.
[00:08:56.000 --> 00:09:01.000]   So in order to explore this, I decided that I would try and write my own.
[00:09:01.000 --> 00:09:04.000]   Timing in it.
[00:09:04.000 --> 00:09:09.000]   Function and so normally with the timing in it function.
[00:09:09.000 --> 00:09:17.000]   If we were working with just a regular fully connected matrix multiplication.
[00:09:17.000 --> 00:09:22.000]   We would basically be saying.
[00:09:22.000 --> 00:09:30.000]   How many output filters are there so what's the if this is the weight matrix then what's the what's the width of the weight matrix for a convolutional layer.
[00:09:30.000 --> 00:09:40.000]   It's a little bit different is a little bit different right because what we actually want to know is each time like in this case.
[00:09:40.000 --> 00:09:50.000]   We're basically multiplying all these together with some sort of inputs and then adding them all up right that's basically what a single step of a matrix multiplication is.
[00:09:50.000 --> 00:09:59.000]   In a convolution we're also multiplying a bunch of things together and adding them up, but what we're actually adding together is if it was three by three.
[00:09:59.000 --> 00:10:03.000]   Is we're multiplying together each of the three by three elements.
[00:10:03.000 --> 00:10:05.000]   Right and also.
[00:10:05.000 --> 00:10:12.000]   The channel dimension that we actually multiply all of those together and add them all up so.
[00:10:12.000 --> 00:10:21.000]   Because convolution and matrix multiplication are kind of one in the same thing as we know with some weight tying and with some with some zeros.
[00:10:21.000 --> 00:10:36.000]   So in order to calculate the total number of modifications and additions going on for a convolutional layer we need to basically take the kernel size which in this case is.
[00:10:36.000 --> 00:10:39.000]   5 by 5.
[00:10:39.000 --> 00:10:41.000]   And multiply it by.
[00:10:41.000 --> 00:10:43.000]   The number of filters.
[00:10:43.000 --> 00:10:53.000]   Okay, so the general way to get that 5 by 5 piece is we can just grab any one piece of this weight tensor and that will return a 5 by 5.
[00:10:53.000 --> 00:11:01.000]   Kernel and then say how many elements are in that part of the weight tensor and that's going to be the receptive field size.
[00:11:01.000 --> 00:11:09.000]   So the receptive field size for just the immediate layer before is how many.
[00:11:09.000 --> 00:11:18.000]   How many elements are in that kernel so for this it's 25 it's 5 by 5 right and so if we then say okay let's grab the.
[00:11:18.000 --> 00:11:23.000]   Shape of the weight matrix and it gives us the number of filters out 32.
[00:11:23.000 --> 00:11:29.000]   And then the number of filters in one and then I'll skip the rest because they're the only two things I want.
[00:11:29.000 --> 00:11:32.000]   So now for the timing her in it.
[00:11:32.000 --> 00:11:45.000]   We can calculate fan in is the number of input filters times receptive field size so that's 1 times 25 fan out is 32 by 25.
[00:11:45.000 --> 00:11:58.000]   So there you can see this is how we calculate the effective fan in and fan out for a convolutional layer so we can do all that by hand.
[00:11:58.000 --> 00:12:08.000]   And then the timing in it formula you need to then for leaky value you need to multiply.
[00:12:08.000 --> 00:12:21.000]   By root 2 or if there's a leaky part in it so if the A is not equal to 0 then it is actually root 2 divided by 1 plus a squared.
[00:12:21.000 --> 00:12:27.000]   So that's just the formula for the timing in it and that's often called the gain.
[00:12:27.000 --> 00:12:30.000]   For the in it.
[00:12:30.000 --> 00:12:36.000]   And so there's a formula for the gain so you can see that if the gain is 1.
[00:12:36.000 --> 00:12:46.000]   Right then that's just linear there's no nonlinearity at all so there's no change to the calculation of how you do the initialization.
[00:12:46.000 --> 00:12:55.000]   On the other hand if it's a standard value then you've got the root 2 which we saw last week from the from the timing paper.
[00:12:55.000 --> 00:13:01.000]   With a gain of .01 it's about root 2 as well is pretty close and this is a kind of a common leaky value amount.
[00:13:01.000 --> 00:13:08.000]   But what about in the case of the pie torch in it in the case of the pie torch in it it's root 5.
[00:13:08.000 --> 00:13:12.000]   Which is .577 which sounds like an odd.
[00:13:12.000 --> 00:13:23.000]   Number it's a long way away from what we were expecting to see so that's a bit concerning.
[00:13:23.000 --> 00:13:34.000]   But one thing we have to account for here is that the initialization that they use for pie torch.
[00:13:34.000 --> 00:13:50.000]   Is not climbing normal it's climbing uniform right and so normally distributed random numbers.
