
[00:00:00.000 --> 00:00:05.840]   Here's today's question.
[00:00:05.840 --> 00:00:10.600]   Dear Pastor John, I am a female student at a secular university.
[00:00:10.600 --> 00:00:14.880]   I am normally pretty joyful in my relationship with God and in day-to-day living.
[00:00:14.880 --> 00:00:19.520]   However, the wickedness of my surroundings continues to grieve me.
[00:00:19.520 --> 00:00:24.120]   Today in the lecture, I could barely keep from crying as we discussed a novel so full
[00:00:24.120 --> 00:00:29.200]   of depravity I decided to just read the spark notes of the book instead of read the book
[00:00:29.200 --> 00:00:30.480]   itself.
[00:00:30.480 --> 00:00:32.560]   But even the summary is hard to read.
[00:00:32.560 --> 00:00:34.760]   My heart is so weighed down and broken.
[00:00:34.760 --> 00:00:39.480]   I feel that I am the only one who even senses the evil around me.
[00:00:39.480 --> 00:00:45.680]   And I mourn that I am in a setting that is forcing me into a knowledge that seems premature.
[00:00:45.680 --> 00:00:49.180]   I don't understand their pragmatic justifications.
[00:00:49.180 --> 00:00:54.240]   Every poem, short story, and novel we have covered is filled with sex, rape, grotesque,
[00:00:54.240 --> 00:00:59.560]   and graphic depictions of murder, infant side, slavery, and cursing.
[00:00:59.560 --> 00:01:01.480]   It makes me so weary.
[00:01:01.480 --> 00:01:05.880]   And they call those things morally ambiguous.
[00:01:05.880 --> 00:01:06.920]   What can I do?
[00:01:06.920 --> 00:01:08.160]   What should I do?
[00:01:08.160 --> 00:01:12.040]   Pastor John, what would you say to this female college student?
[00:01:12.040 --> 00:01:18.440]   Wow, there's so many different angles that we could come at this.
[00:01:18.440 --> 00:01:23.260]   I mean, I could camp on that word morally ambiguous and say, "Are you kidding me?
[00:01:23.260 --> 00:01:26.480]   Just have one of their children raped and see if they call it morally ambiguous."
[00:01:26.480 --> 00:01:27.700]   That's a lot of baloney.
[00:01:27.700 --> 00:01:30.600]   But I'm not going to come at it that way.
[00:01:30.600 --> 00:01:37.000]   This may be a good occasion to give a few thoughts about my understanding of the way
[00:01:37.000 --> 00:01:39.720]   Christians should seek to be educated.
[00:01:39.720 --> 00:01:41.440]   That's the direction I'm going to go.
[00:01:41.440 --> 00:01:47.040]   And just apologize ahead of time if that's not what she needs most.
[00:01:47.040 --> 00:01:49.840]   But it just felt like I should do this.
[00:01:49.840 --> 00:01:53.480]   So when I say, "How should a Christian be educated?"
[00:01:53.480 --> 00:01:58.920]   I mean, how should our character be formed from the time we're little to the time we're
[00:01:58.920 --> 00:01:59.920]   80?
[00:01:59.920 --> 00:02:02.400]   How should our character be formed?
[00:02:02.400 --> 00:02:05.160]   How should our worldview be shaped?
[00:02:05.160 --> 00:02:06.160]   Who should shape it?
[00:02:06.160 --> 00:02:07.160]   How should it be shaped?
[00:02:07.160 --> 00:02:08.940]   The way we view everything?
[00:02:08.940 --> 00:02:14.880]   And third, how should our skill, how should we be equipped with the necessary skills for
[00:02:14.880 --> 00:02:16.880]   the particular calling that we have?
