
[00:00:00.000 --> 00:00:02.180]   (beeping)
[00:00:02.180 --> 00:00:14.720]   - Welcome back to Ask the Compound.
[00:00:14.720 --> 00:00:17.880]   Our email here is askthecompoundshow@gmail.com.
[00:00:17.880 --> 00:00:20.480]   Today's show is sponsored by Bird Dogs, yet again.
[00:00:20.480 --> 00:00:21.760]   Duncan, one of the great things about Bird Dogs
[00:00:21.760 --> 00:00:23.260]   is it goes with just about anything.
[00:00:23.260 --> 00:00:25.480]   Today I'm wearing a nice new polo shirt, right?
[00:00:25.480 --> 00:00:27.640]   Got the nice collar, and it goes well with a Bird Dog.
[00:00:27.640 --> 00:00:29.680]   I can wear a button-down Hawaiian shirt,
[00:00:29.680 --> 00:00:32.320]   or just a t-shirt, maybe a tank top in the summer.
[00:00:32.320 --> 00:00:35.520]   If it's hot, it's been like 90 degrees here lately.
[00:00:35.520 --> 00:00:37.760]   Very, very versatile.
[00:00:37.760 --> 00:00:39.960]   So birddogs.com/ATC.
[00:00:39.960 --> 00:00:41.800]   Remember, use the code ATC.
[00:00:41.800 --> 00:00:43.920]   Get yourself a free Tumblr.
[00:00:43.920 --> 00:00:46.080]   These things are the most comfortable shorts in the summer.
[00:00:46.080 --> 00:00:48.220]   All right, the last few weeks,
[00:00:48.220 --> 00:00:49.800]   we've gotten a ton of questions from people
[00:00:49.800 --> 00:00:51.520]   about the debt ceiling debate,
[00:00:51.520 --> 00:00:53.920]   and should I sell, and should I worry about the volatility?
[00:00:53.920 --> 00:00:56.400]   And obviously that stuff has taken care of itself,
[00:00:56.400 --> 00:00:57.760]   and it's fine now.
[00:00:57.760 --> 00:00:59.960]   Kind of like I said it would, but let's say I was wrong,
[00:00:59.960 --> 00:01:02.240]   right, would you still be right for panicking
[00:01:02.240 --> 00:01:04.040]   if I was wrong and they didn't come to a deal,
[00:01:04.040 --> 00:01:04.880]   and there was volatility?
[00:01:04.880 --> 00:01:07.240]   Probably not, that's my whole point here,
[00:01:07.240 --> 00:01:11.280]   is that taking these macro news headline events
[00:01:11.280 --> 00:01:13.120]   and trying to trade them, or time them,
[00:01:13.120 --> 00:01:16.160]   or get in front of them is basically never a good idea.
[00:01:16.160 --> 00:01:19.200]   You should make financial moves in your portfolio
[00:01:19.200 --> 00:01:20.680]   because of fundamentals,
[00:01:20.680 --> 00:01:22.120]   or your circumstances are changing,
[00:01:22.120 --> 00:01:24.440]   or you need to spend, or a good reason,
[00:01:24.440 --> 00:01:26.680]   a legitimate reason, not because you're trying to guess
[00:01:26.680 --> 00:01:28.720]   which way things are gonna go based on the headline.
[00:01:28.720 --> 00:01:29.560]   And that's the whole thing,
[00:01:29.560 --> 00:01:31.440]   it's like the process over outcomes,
[00:01:31.440 --> 00:01:33.040]   and not freaking out and panicking
[00:01:33.040 --> 00:01:36.220]   just because you're trying to just get ahead of things.
[00:01:36.220 --> 00:01:40.800]   Hopefully you didn't panic and sell your triple-levered,
[00:01:40.800 --> 00:01:41.640]   whatever. - No, no, no.
[00:01:41.640 --> 00:01:42.920]   I didn't sell.
[00:01:42.920 --> 00:01:46.000]   Yeah, I'll write something down 80%, you know what I mean.
[00:01:46.000 --> 00:01:48.340]   - (laughs) There you go.
[00:01:48.340 --> 00:01:49.180]   Panic later.
[00:01:49.180 --> 00:01:50.680]   All right, let's get into a question.
[00:01:50.680 --> 00:01:53.640]   - Okay, up first today, we have a question from Webb.
[00:01:54.600 --> 00:01:56.960]   When we read articles about how much you should have saved
[00:01:56.960 --> 00:01:59.560]   by age X, should it not be how much income
[00:01:59.560 --> 00:02:01.400]   you'll be earning with savings Y?
[00:02:01.400 --> 00:02:02.520]   Here's my scenario.
[00:02:02.520 --> 00:02:05.640]   Mid-30s, worked at a public university for 11 years,
[00:02:05.640 --> 00:02:07.820]   and left to take a job in the private sector.
[00:02:07.820 --> 00:02:09.200]   I have a pension at the university
[00:02:09.200 --> 00:02:10.720]   with a guaranteed fixed income,
[00:02:10.720 --> 00:02:12.880]   and just started a new 401(k).
[00:02:12.880 --> 00:02:14.860]   Total retirement savings doesn't help me know
[00:02:14.860 --> 00:02:16.120]   if I'm on pace.
[00:02:16.120 --> 00:02:18.360]   Assuming a presumed 5% withdrawal rate
[00:02:18.360 --> 00:02:20.720]   and 8% 401(k) growth rate,
[00:02:20.720 --> 00:02:22.520]   wouldn't a calculated retirement payout
[00:02:22.520 --> 00:02:25.080]   that can include things like pensions and social security
[00:02:25.080 --> 00:02:27.380]   be better than make sure you have $1 million
[00:02:27.380 --> 00:02:29.240]   by age 50, et cetera?
[00:02:29.240 --> 00:02:30.760]   - See, look at how intelligent our audience is.
[00:02:30.760 --> 00:02:31.840]   This is a great question.
[00:02:31.840 --> 00:02:33.000]   I like where your head's at.
[00:02:33.000 --> 00:02:33.840]   It makes a lot of sense.
[00:02:33.840 --> 00:02:37.360]   Remember those ING commercials five or six years ago,
[00:02:37.360 --> 00:02:38.800]   and people would be carrying around their number
[00:02:38.800 --> 00:02:39.880]   with them on the street?
[00:02:39.880 --> 00:02:41.480]   And like, I need to get this number.
[00:02:41.480 --> 00:02:43.740]   I need 500,000, I need a million, I need five million,
[00:02:43.740 --> 00:02:44.580]   whatever it is.
[00:02:44.580 --> 00:02:46.740]   I think the number itself is meaningless
[00:02:46.740 --> 00:02:47.580]   without some context.
[00:02:47.580 --> 00:02:49.920]   So Kahneman said in one of his books,
[00:02:49.920 --> 00:02:50.920]   might've been the Michael Lewis book
[00:02:50.920 --> 00:02:52.480]   that he wrote about Kahneman and Tversky,
[00:02:52.480 --> 00:02:53.800]   he said like, how do you understand memory?
[00:02:53.800 --> 00:02:56.480]   You don't study memory, you study forgetting, right?
[00:02:56.480 --> 00:02:58.920]   It's like the Charlie Munker, invert, always invert thing.
[00:02:58.920 --> 00:03:00.880]   I like the idea of backing into how much you need to save
[00:03:00.880 --> 00:03:02.560]   based on how much you spend
[00:03:02.560 --> 00:03:04.900]   and what your other income sources are.
[00:03:04.900 --> 00:03:07.100]   Because like, there are so many different questions
[00:03:07.100 --> 00:03:09.400]   that you have to go through to think in terms of like,
[00:03:09.400 --> 00:03:10.560]   what am I gonna spend on healthcare?
[00:03:10.560 --> 00:03:13.000]   And what are the market returns going to be when I retire?
[00:03:13.000 --> 00:03:15.360]   And what if there's a bear market when I retire?
[00:03:15.360 --> 00:03:16.780]   And what if my spending changes?
[00:03:16.780 --> 00:03:18.040]   And all these other things.
[00:03:18.040 --> 00:03:19.160]   So let's get in.
[00:03:19.160 --> 00:03:21.100]   I think the spending thing is a good one
[00:03:21.100 --> 00:03:24.360]   because the retirement calculators think about life
[00:03:24.360 --> 00:03:25.460]   in a linear fashion, right?
[00:03:25.460 --> 00:03:27.880]   You're gonna spend this much every year at this percentage,
[00:03:27.880 --> 00:03:30.160]   but people don't live in a straight line.
[00:03:30.160 --> 00:03:31.480]   People's lives change.
[00:03:31.480 --> 00:03:33.220]   So John, put this chart on for me.
[00:03:33.220 --> 00:03:34.240]   This is from the BLS.
[00:03:34.240 --> 00:03:36.000]   They break out all sorts of data
[00:03:36.000 --> 00:03:37.880]   on income and spending levels by age.
[00:03:37.880 --> 00:03:40.440]   And they look at this average expenditures per year.
[00:03:40.440 --> 00:03:42.040]   These are annual expenditures.
[00:03:42.040 --> 00:03:43.460]   And you can see the way the chart goes
[00:03:43.460 --> 00:03:45.160]   in your 20s and 30s, you sort of ramp up
[00:03:45.160 --> 00:03:47.160]   because obviously you don't make a lot of money.
[00:03:47.160 --> 00:03:50.600]   And then in your 50s, 40s and 50s, you're spending peaks.
[00:03:50.600 --> 00:03:51.840]   And these are average numbers.
[00:03:51.840 --> 00:03:54.680]   And then as you age, 50s, 60s, 70s, 80s,
[00:03:54.680 --> 00:03:55.960]   the numbers actually go down again,
[00:03:55.960 --> 00:03:59.520]   which this actually makes a lot of sense to me, right?
[00:03:59.520 --> 00:04:01.600]   And I think a lot of people don't think about this,
[00:04:01.600 --> 00:04:04.100]   but is it much easier to travel the world
[00:04:04.100 --> 00:04:05.900]   or go on a cruise or something when you're 65
[00:04:05.900 --> 00:04:06.940]   than when you're 85, right?
[00:04:06.940 --> 00:04:08.140]   So that's why you don't spend as much.
[00:04:08.140 --> 00:04:11.080]   So the way that you think about spending goes down.
[00:04:11.080 --> 00:04:12.800]   That Die With Zero guy, Bill Perkins,
[00:04:12.800 --> 00:04:14.240]   did you read that one yet, Duncan?
[00:04:14.240 --> 00:04:15.440]   - I haven't, that's on my list,
[00:04:15.440 --> 00:04:17.200]   but yeah, I got a lot on my list first.
[00:04:17.200 --> 00:04:18.720]   - He actually says like your net worth
[00:04:18.720 --> 00:04:19.560]   should also peak in your 50s.
[00:04:19.560 --> 00:04:21.280]   I think he says like 50 or 55
[00:04:21.280 --> 00:04:22.440]   is when your net worth should be peaking.
[00:04:22.440 --> 00:04:24.040]   You should be spending it down faster
[00:04:24.040 --> 00:04:25.840]   because you want to do it when you're physically
