
[00:00:00.040 --> 00:00:07.020]  oncé just over
[00:00:07.020 --> 00:00:11.420]   li li library, in,
[00:01:21.960 --> 00:01:21.960]   and
[00:01:49.320 --> 00:02:16.600]  .
[00:02:43.960 --> 00:02:54.060]   anywhere
[00:02:54.060 --> 00:02:58.740]   with at dough
[00:02:58.740 --> 00:03:13.060]   " " please the un cruel
[00:03:13.140 --> 00:03:22.780]   continue
[00:03:22.780 --> 00:03:23.520]   code. they,,,,
[00:03:23.520 --> 00:03:42.160]  IIτο catch haciendo perd smaller 2 T.P.P.P. P.P. P. P. P. P. P. P. P. P. P. P. P. P. P. P. P. P. P. likely a P. P. Pet, a, or,
[00:04:11.260 --> 00:04:11.260]   The job is waiting to be done in every climate, temperature, and location, indoors or out. There are no limitations on your potential clientele. Your education, race, color, sex, age, nor your present bank balance are limiting factors. If you are inclined towards temporal power, many past practitioners in this job have achieved positions of such influence and leadership that they were to take on the job.
[00:04:40.340 --> 00:04:40.340]   The job is waiting to be done in every climate, temperature, and location, indoors or out. There are no limitations on your potential clientele. Your education, race, color, sex, age, nor your present bank balance are limiting factors. If you are inclined towards temporal power, many past practitioners in this job have achieved positions of such influence and leadership that they were to take on the job.
[00:04:40.340 --> 00:04:40.340]   Whether you live like an ascetic or a prince is largely your choice. If you're dissatisfied with your present job and/or employer, and if you are looking for an exciting profession offering the prospect of constant change and unlimited dividends, then this unexpected choice of an occupation may be just the thing. Do you sometimes wish your boss and your competitors would drop dead? Well, that may be one surefire way they'll get to meet my boss. Why? Because I am an independent missionary.
[00:04:40.340 --> 00:05:10.300]  , and I am an independent missionary. Before you hurriedly skip ahead to the next chapter, spare a moment. Keep an open mind. Think about some of the unique perks available only in my profession. My employer does not file tax returns on my salary with any government in the world. In this world, thus income earned in this profession is totally tax-free. The boss can be very demanding, but at the same time, you only work when inspired, and thus it is always very satisfying. There have never been any problems with unemployment. Demand, strange as it may seem to be, but it is always very satisfying.
[00:05:10.320 --> 00:05:40.260]   Far exceeds the supply of available professionals. Low overhead. No props, special education, or expensive technology is needed. In fact, sometimes you can operate effectively even without a roof over your head. As we stated above, there are no advanced educational requirements. However, the abilities to read, write, and speak effectively are helpful. Guaranteed lifetime employment by an organization with an unbroken year-after-year reputation for reliability and an insatiable demand for its services. Ever since the first wave of the pandemic, there has been no increase in the number of professionals who are available.
[00:05:40.260 --> 00:05:40.260]   In fact, there have never been any problems with unemployment.
[00:05:40.260 --> 00:05:40.260]   There have never been any problems with unemployment.
[00:05:40.260 --> 00:05:40.260]   In fact, there have been no increase in the number of professionals who are available.
[00:05:40.260 --> 00:05:40.260]   In fact, there have been no increase in the number of professionals who are available.
[00:05:40.260 --> 00:05:40.260]   in fact, there have been no increase in the number of professionals who are available.
[00:05:40.260 --> 00:06:10.260]  , in fact, there have been no increases in the number of professionals who are available.
[00:06:10.260 --> 00:06:10.280]   in fact, there have been no increases in the number of professionals who are available.
[00:06:10.280 --> 00:06:10.280]   in fact, there have been no increases in the number of professionals who are available.
[00:06:10.280 --> 00:06:10.280]   in fact, there have been no increases in the number of professionals who are available.
[00:06:10.280 --> 00:06:10.280]   in fact, there have been no increases in the number of professionals who are available.
[00:06:10.300 --> 00:06:40.300]   and in fact, there have been no increases in the number of professionals who are available.
[00:06:40.300 --> 00:06:40.300]   and in fact, there have been no increases in the number of professionals who are available.
[00:06:40.300 --> 00:06:40.300]   and in fact, there have been no increases in the number of professionals who are available.
[00:06:40.300 --> 00:06:40.300]   and in fact, there have been no increases in the number of professionals who are available.
[00:06:40.300 --> 00:06:40.300]   and in fact, there have been no increases in the number of professionals who are available.
[00:06:40.300 --> 00:06:40.300]   and in fact, there have been no increases in the number of professionals who are available.
[00:06:40.300 --> 00:06:40.300]   and in fact, there have been no increases in the number of professionals who are available.
[00:06:40.300 --> 00:06:40.300]   and in fact, there have been no increases in the number of professionals who are available.
[00:06:40.300 --> 00:06:40.300]   and in fact, there have been no increases in the number of professionals who are available.
[00:06:40.300 --> 00:06:40.300]   and in fact, there have been no increases in the number of professionals who are available.
[00:06:40.320 --> 00:07:10.320]   and in fact, there have been no increases in the number of professionals who are available.
[00:07:10.320 --> 00:07:10.320]   and in fact, there have been no increases in the number of professionals who are available.
[00:07:10.320 --> 00:07:10.320]   and in fact, there have been no increases in the number of professionals who are available.
[00:07:10.320 --> 00:07:10.320]   and in fact, there have been no increases in the number of professionals who are available.
[00:07:10.320 --> 00:07:10.320]   and in fact, there have been no increases in the number of professionals who are available.
[00:07:10.320 --> 00:07:10.320]   and in fact, there have been no increases in the number of professionals who are available.
[00:07:10.360 --> 00:07:40.340]  ,
[00:07:40.340 --> 00:07:40.340]   I was an honors student receiving top marks at that world-renowned engineering and technical mecca,
[00:07:40.340 --> 00:07:40.340]   Massachusetts Institute of Technology, MIT.
[00:07:40.340 --> 00:07:40.340]   There I was pursuing concurrent degrees in electrical engineering and behavioral sciences.
[00:07:40.340 --> 00:08:10.360]  ,
[00:08:10.360 --> 00:08:10.360]   I was an honors student receiving top marks at that world-renowned engineering and technical mecca,
[00:08:10.360 --> 00:08:10.360]   I was an honors student receiving top marks at that world-renowned engineering and technical mecca,
[00:08:10.360 --> 00:08:10.360]   I was an honors student receiving top marks at that world-renowned engineering and technical mecca,
