
[00:00:00.080 --> 00:00:06.640]   Hi, I'm Jeremy Howard from Answer.ai, and I'm joined here by Sarah. Sarah is Answer.ai's
[00:00:06.640 --> 00:00:14.800]   first ever fellow, first founding member of our fellowship program, and today we're going to hear
[00:00:14.800 --> 00:00:20.640]   a bit about Sarah's background and experiences. I think you'll find her a really inspiring
[00:00:20.640 --> 00:00:24.000]   and amazing human being. Thanks for joining us, Sarah.
[00:00:24.000 --> 00:00:26.000]   Thank you for having me.
[00:00:26.800 --> 00:00:32.240]   So let me just rewind a little bit for those who haven't had the pleasure like I have of
[00:00:32.240 --> 00:00:41.360]   getting to know you and who you are. Sarah is a person who has a remarkable achievement
[00:00:41.360 --> 00:00:47.760]   of getting published in NeurIPS, the world's premier academic AI conference, whilst still at high school.
[00:00:50.080 --> 00:00:59.680]   And I met Sarah at NeurIPS. The paper she published is extremely high-quality work and extremely
[00:00:59.680 --> 00:01:08.240]   interesting. And I was thrilled to discover that her background included learning from my courses,
[00:01:08.240 --> 00:01:18.240]   and fast AI courses, and we stayed in touch. Everything I saw Sarah do was incredibly impressive,
[00:01:18.240 --> 00:01:22.800]   and so I wanted more than anything else to find an opportunity to work with her. So we offered her
[00:01:22.800 --> 00:01:35.040]   this role as a Answer.ai fellow. So Sarah, maybe to start with, could you summarize for a
[00:01:35.040 --> 00:01:42.480]   somewhat layperson audience the research that you were presenting at NeurIPS? What was the purpose of
[00:01:42.480 --> 00:01:45.760]   the work, of the research you were doing, and what did you find?
[00:01:45.760 --> 00:01:55.680]   NeurIPS: Sure. So I started this project, I think, towards the beginning of 2023. At that time,
[00:01:55.680 --> 00:02:02.960]   ChatGPT was still relatively, or I think, yeah, relatively young. And we were interested in doing
[00:02:02.960 --> 00:02:08.560]   this thing with multi-step reasoning. So at the time, these large language models really struggled with
[00:02:08.560 --> 00:02:16.320]   producing coherent and correct mathematical reasoning and logic. And so we were interested in finding ways
[00:02:16.320 --> 00:02:25.040]   to improve that. So one of the papers that we kind of based our approach off of was from OpenAI. They
[00:02:25.040 --> 00:02:31.920]   used these reward models as verifiers to kind of verify whether these steps in a multi-step reasoning
[00:02:31.920 --> 00:02:37.360]   process would be correct or incorrect. And what was interesting about their approach was that instead
[00:02:37.360 --> 00:02:43.280]   of having one reward model that would produce a single reward, kind of telling you whether the
[00:02:43.280 --> 00:02:49.600]   solution was correct or incorrect or somewhat of a mix between the two, this would basically grade each
[00:02:49.600 --> 00:02:55.920]   step. So it would tell you where exactly the response went wrong. And yeah, it would give you
[00:02:55.920 --> 00:03:03.360]   kind of a more specific kind of feedback in terms of that. Let's talk about OpenAI for a moment then
[00:03:03.360 --> 00:03:08.080]   before coming back to how you built on this, because this is very much in the news now. So OpenAI
[00:03:08.080 --> 00:03:16.640]   recently released a pair of new models called 01 Preview and 01 Mini, which are dramatically better at
[00:03:16.640 --> 00:03:24.240]   reasoning than previous models. And they seem to be taking advantage of a training system that uses this
[00:03:24.240 --> 00:03:31.280]   kind of approach. OpenAI have explained how they've been explicitly taught how to or been given feedback
[00:03:31.280 --> 00:03:36.720]   on their reasoning steps and have learned to become better reasoners as a result. So it's interesting
[00:03:36.720 --> 00:03:45.760]   that it seems this, you picked a problem which I think not coincidentally has turned out to be really
[00:03:45.760 --> 00:03:53.600]   important in practice. Right. And so kind of more on that, the actual origins of our project weren't on
[00:03:53.600 --> 00:04:00.800]   mathematical reasoning. Originally, we had been looking at sort of bias in models in terms of the more
[00:04:00.800 --> 00:04:07.840]   like kind of like ethical implications. And we realized that a lot of times, like statements were
[00:04:07.840 --> 00:04:12.960]   not logically connected with each other. And so this kind of led us down the route of logical reasoning.
[00:04:12.960 --> 00:04:19.040]   But yeah, that was kind of a tangent. But back to the actual... How did you build on top of then that OpenAI work?
[00:04:19.040 --> 00:04:23.520]   Did you take it in a different direction or you kind of took it a little further in the same direction or what?
[00:04:23.520 --> 00:04:27.840]   Well, I mean, the PRM paper.
[00:04:27.840 --> 00:04:33.840]   Yeah. So basically what we did was they basically only trained the rarefires.
[00:04:33.840 --> 00:04:42.800]   They showed that the more process reasoning oriented ones were better than the objective,
[00:04:42.800 --> 00:04:49.360]   sort of holistic ones. And so we decided to take it one step further and actually use it in an RLHF pipeline
[00:04:49.360 --> 00:04:53.120]   to update a sort of like completion model. And so...
[00:04:53.120 --> 00:04:57.440]   I know this is a second nature to use, so let's just rewind a bit. So RLHF is reinforcement learning
[00:04:57.440 --> 00:05:05.360]   from human feedback. So this is the third step in the process that OpenAI used to build stuff like the ChatGPT model,
[00:05:05.920 --> 00:05:12.880]   where they get human beings to give feedback about different possible answers to a question,
[00:05:12.880 --> 00:05:17.760]   and it helps the model learn better what human beings are looking for.
[00:05:17.760 --> 00:05:23.920]   Right. So typically a human is given two model responses.
[00:05:24.480 --> 00:05:31.360]   the human rates it or picks the better one out of the two. And then based on that preference data,
[00:05:31.360 --> 00:05:36.880]   like a reward model was trained. But for us, we were... There was a dataset released by OpenAI that had
[00:05:36.880 --> 00:05:43.280]   that like process feedback where individual steps were rated incorrect or correct by human graders,
[00:05:43.280 --> 00:05:49.840]   and we trained a reward model based on that. And so in terms of like the actual RLHF pipeline,
[00:05:50.640 --> 00:05:56.720]   there were a few key changes that we had to make just because the setup of our, I guess, process was
[00:05:56.720 --> 00:06:01.440]   a little different. I can talk on those a little bit more, but I don't know if you have any more like
[00:06:01.440 --> 00:06:06.400]   conceptual questions or any clarification. Oh, that's okay. So I just wanted to kind of... I
[00:06:06.400 --> 00:06:11.680]   think it helps to start, you know, with like where... what you've been working on recently. So basically
