
[00:00:00.000 --> 00:00:04.000]   When you're in winter's favorite town,
[00:00:04.000 --> 00:00:08.000]   the snow-covered mountains surround you,
[00:00:08.000 --> 00:00:12.000]   a historic main street charms you,
[00:00:12.000 --> 00:00:16.000]   and every day brings a new adventure.
[00:00:16.000 --> 00:00:24.000]   Welcome to Park City, Utah. Naturally, winter's favorite town.
[00:00:24.000 --> 00:00:28.000]   [sigh]
[00:00:28.000 --> 00:00:40.000]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in 10 years or less.
[00:00:40.000 --> 00:00:47.000]   My name is Joshua Sheets. Today is Friday, and Fridays, at least, whenever I can arrange the details, we do live Q&A.
[00:00:47.000 --> 00:00:56.000]   Usually we kick these shows off with a little bit of music, but my computer is failing me at the moment, so let's see if we can make the Q&A call a little bit smoother.
[00:00:56.000 --> 00:01:02.000]   Any Friday that I can arrange the details, we go ahead and host a live call-in talk show.
[00:01:02.000 --> 00:01:10.000]   I've got one, two, three, four, five callers on the line. If you'd like to join us for one of these Friday shows, you can do that by becoming a patron of the show at Radical Personal Finance.
[00:01:10.000 --> 00:01:17.000]   No, that won't work. Patreon.com/radicalpersonalfinance, and I would love to join you, or have you join me, on one of these Friday shows.
[00:01:17.000 --> 00:01:22.000]   We begin with Andy in Indiana. Andy, welcome to the show. How can I serve you today, sir?
[00:01:22.000 --> 00:01:29.000]   Joshua, thanks for taking my call. My question is basically about how to travel effectively.
[00:01:29.000 --> 00:01:38.000]   I'm interested in the multiple flag theory, the relocation, internationalization type stuff that you've talked and thought about.
[00:01:38.000 --> 00:01:43.000]   For background, I've basically never traveled. I've lived in Indiana my whole life.
[00:01:43.000 --> 00:01:49.000]   I've only been – I mean, I've been out of the States, the United States and the U.S., only left the country one time.
[00:01:49.000 --> 00:02:05.000]   So my only conception of traveling is like, I want to go to Disneyland or see the Hyde Park Tower and flying there and seeing a current infection and staying in a – probably a major American chain hotel.
[00:02:05.000 --> 00:02:14.000]   I don't feel like that would give me any idea of what I like to relocate to this place or consider moving here, an emergency or any of that sort of information.
[00:02:14.000 --> 00:02:19.000]   I'm curious how you would recommend going about that.
[00:02:19.000 --> 00:02:30.000]   The secondary backup option of being able to move, I might be open to moving away from home permanently, but that's nowhere to start.
[00:02:30.000 --> 00:02:35.000]   Do you want the one-hour answer, the two-hour answer, or the one-day seminar on this one?
[00:02:35.000 --> 00:02:38.000]   I'd love a one-day seminar, actually.
[00:02:38.000 --> 00:02:45.000]   You're laying up a softball for me, so let me give you maybe 10 minutes or so, 10 to 15 minutes on that just to give you some ideas.
[00:02:45.000 --> 00:02:51.000]   So for the uninitiated, the word that Andy said there was "flag theory."
[00:02:51.000 --> 00:02:54.000]   What is flag theory first and foremost?
[00:02:54.000 --> 00:03:05.000]   Flag theory, also sometimes known as PT theory, was a concept that was coined back in the 1980s by a famous financial advisor named Harry Schultz.
[00:03:05.000 --> 00:03:13.000]   He and his libertarian buddies were trying to figure out how they could live freely in an unfree world.
[00:03:13.000 --> 00:03:19.000]   They were frustrated by what they saw as encroachment on their liberty happening on all sides.
[00:03:19.000 --> 00:03:23.000]   So they sat down and they said, "How can we live freely in an unfree world?"
[00:03:23.000 --> 00:03:35.000]   And they said, "Well, what we could do, one of the things we could do is we could stop trying to find or create the perfect country, and we could just use each country for what it does well."
[00:03:35.000 --> 00:03:39.000]   And originally they coined this as three-flag theory.
[00:03:39.000 --> 00:03:42.000]   That was kind of the starting point.
[00:03:42.000 --> 00:03:44.000]   Then it became five-flag theory.
[00:03:44.000 --> 00:03:46.000]   Five flags is pretty good.
[00:03:46.000 --> 00:03:49.000]   Sometimes now people refer to it as six or seven flags.
[00:03:49.000 --> 00:03:50.000]   It just depends.
[00:03:50.000 --> 00:04:02.000]   So the concept of planting a flag basically comes down to where can I go and get something that one particular place offers me that does a good job on it?
[00:04:02.000 --> 00:04:06.000]   And this is something that for me has been quite useful in my life.
[00:04:06.000 --> 00:04:13.000]   In fact, it was something that provided a number of years ago kind of an escape valve.
[00:04:13.000 --> 00:04:21.000]   I was frustrated with some of the political trends happening in my native country of the United States, and I was just wishing things were different.
[00:04:21.000 --> 00:04:29.000]   But I had watched my life, my entire life, basically seeing many of the trends that I cared about going against me.
[00:04:29.000 --> 00:04:33.000]   I wasn't winning on virtually anything.
[00:04:33.000 --> 00:04:43.000]   So along the way, I as a frustrated, libertarian-leaning, conservative-oriented person, I stumbled across the concept of flag theory.
[00:04:43.000 --> 00:04:47.000]   I read one of the original books called P.T.
[00:04:47.000 --> 00:04:52.000]   When I read the book, it just kind of opened up a new world to me.
[00:04:52.000 --> 00:05:01.000]   After a while, I realized that if you want to live freely in an unfree world, this is what you do.
[00:05:01.000 --> 00:05:03.000]   You basically, you don't try to change the world.
[00:05:03.000 --> 00:05:06.000]   You basically accept it the way that it is.
[00:05:06.000 --> 00:05:12.000]   You stop looking for the perfect country, the perfect state, and you just use each particular place for what it already does well.
[00:05:12.000 --> 00:05:17.000]   And that gets you the closest possible that you can to freedom.
[00:05:17.000 --> 00:05:20.000]   And so that's flag theory.
[00:05:20.000 --> 00:05:25.000]   Now, the implementation of flag theory involves a few different things.
[00:05:25.000 --> 00:05:27.000]   And I'll describe those things at a moment.
[00:05:27.000 --> 00:05:36.000]   But what I want to emphasize to you is that you don't have to do all of these things in order for you to engage in flag theory.
[00:05:36.000 --> 00:05:46.000]   Remember that the guys who originated the concept of flag theory were basically a bunch of millionaire libertarian playboys, a lot of them.
[00:05:46.000 --> 00:06:00.000]   And they were trying to figure out, well, how can I live this internationally oriented libertarian millionaire lifestyle and engage in all of the libertine activities that I want to and pay no tax, et cetera.
[00:06:00.000 --> 00:06:03.000]   But you can still do it.
[00:06:03.000 --> 00:06:10.000]   And so the first thing to come that I would answer is you don't start necessarily by traveling.
[00:06:10.000 --> 00:06:12.000]   You start by saying, what's annoying me?
[00:06:12.000 --> 00:06:13.000]   What's worrying me?
[00:06:13.000 --> 00:06:17.000]   What problem am I trying to solve?
[00:06:17.000 --> 00:06:25.000]   And then you start figuring out where could I plant a flag, meaning what action could I take that would start to solve that.
[00:06:25.000 --> 00:06:33.000]   Now, let me run through some of the big picture flags, and then I'll apply it a little bit more locally as well.
[00:06:33.000 --> 00:06:39.000]   In the original conception of flag theory, there was a big focus on living tax free.
[00:06:39.000 --> 00:06:44.000]   And so one of the ways that you could do that was by planting a citizenship flag.
[00:06:44.000 --> 00:06:45.000]   That's flag number one.
[00:06:45.000 --> 00:06:53.000]   And so the way the idea is you want to be a citizen of a country that will leave you alone and will not tax you.
[00:06:53.000 --> 00:06:57.000]   Now, obviously, right, Andy, you're from the United States.
[00:06:57.000 --> 00:06:58.000]   I'm from the United States.
[00:06:58.000 --> 00:07:01.000]   A huge majority of my audience is from the United States.
[00:07:01.000 --> 00:07:05.000]   So we don't necessarily have that privilege as being U.S. Americans.
[00:07:05.000 --> 00:07:11.000]   Our country thinks that it's right for them to tax us no matter where we go.
[00:07:11.000 --> 00:07:15.000]   So you can minimize your taxes by leaving the United States.
[00:07:15.000 --> 00:07:18.000]   And that's something that I think has some benefit.
[00:07:18.000 --> 00:07:21.000]   It's something that I have done, I've talked about doing.
[00:07:21.000 --> 00:07:27.000]   You can earn a six-figure income in some cases if you've got the right circumstances, even a multi-six-figure income,
[00:07:27.000 --> 00:07:37.000]   and legally pay not a dime of federal income taxes, not a dime of state income taxes, and not a dime of employment taxes.
[00:07:37.000 --> 00:07:39.000]   And that can be a significant savings.
[00:07:39.000 --> 00:07:47.000]   You know, for an average single individual earning $100,000 a year, by my calculations, you can possibly save about $30,000 a year,
[00:07:47.000 --> 00:07:56.000]   about 15 grand of employment taxes and 15 grand of federal income taxes if you'll spend the vast majority of your time physically present outside of the United States.
[00:07:56.000 --> 00:08:01.000]   Now, you don't have to have a different citizenship to do that,
[00:08:01.000 --> 00:08:08.000]   but one of the things that you might want to do is, if possible, plant a citizenship flag in another place.
[00:08:08.000 --> 00:08:14.000]   Because in an ultimate scenario, especially if you're, you know, well, an Internet entrepreneur or something like that,
[00:08:14.000 --> 00:08:20.000]   somebody with the ability to make money, having a citizenship from a country that's not going to tax you
[00:08:20.000 --> 00:08:23.000]   and that's not going to impose a bunch of laws and regulations on you can be quite useful.
[00:08:23.000 --> 00:08:25.000]   So that's a citizenship flag.
[00:08:25.000 --> 00:08:28.000]   Now, for you, you don't start necessarily by traveling there.
[00:08:28.000 --> 00:08:32.000]   You start by saying, "Is that something that's of interest to me?"
[00:08:32.000 --> 00:08:40.000]   I do think that most forward-thinking people would be well-served by preparing for themselves an alternate citizenship at some point in time.
[00:08:40.000 --> 00:08:47.000]   Whether that's because your country comes, you know, knocking and they want to draft you, conscript you for some war,
[00:08:47.000 --> 00:08:54.000]   or whether they impose some kind of weird new laws or regulations on you, you want to try to plant a citizenship flag.
[00:08:54.000 --> 00:08:56.000]   And so there are different ways to do that, right?
[00:08:56.000 --> 00:09:01.000]   You could start by saying, you know, "Was my mom from Italy?"
[00:09:01.000 --> 00:09:05.000]   Or, "Was my great-grandmother from Ireland or from the UK?"
[00:09:05.000 --> 00:09:14.000]   Or something like that, and try to see if there's some kind of heritage in your family tree that you could help to facilitate planting,
[00:09:14.000 --> 00:09:17.000]   meaning filing for a citizenship application there.
[00:09:17.000 --> 00:09:23.000]   You could go on and you could say, "Well, maybe I should move to another country and try to become a citizen there."
[00:09:23.000 --> 00:09:30.000]   And so if you've always wanted to move to Canada, you could move to Canada and you could just live there for three to five years,
[00:09:30.000 --> 00:09:33.000]   apply for Canadian citizenship, and become a Canadian citizen.
[00:09:33.000 --> 00:09:43.000]   If you have a lot of money, and you really want to reduce that, you could do that by potentially purchasing citizenship in a country that sells citizenship,
[00:09:43.000 --> 00:09:46.000]   and thus getting for yourself another passport.
[00:09:46.000 --> 00:09:54.000]   If I'm talking to a guy and the guy says, "Listen, Joshua, I make $10 million a year. I make all my money through the internet.
[00:09:54.000 --> 00:09:59.000]   I've got all these businesses, and I don't want to pay taxes legally, and I want to do it legally."
[00:09:59.000 --> 00:10:05.000]   Well, the answer is, you usually, in that case, you'd go to one of the five Caribbean islands that sells citizenship,
[00:10:05.000 --> 00:10:12.000]   and you would pay them for an individual somewhere around $100,000 to $150,000, depending on which program you go through,
[00:10:12.000 --> 00:10:18.000]   and they will sell you citizenship in their country. It's entirely legal. It's entirely acceptable.
[00:10:18.000 --> 00:10:24.000]   You could choose a tax-free country, two totally tax-free countries, such as St. Kitts and Nevis.
[00:10:24.000 --> 00:10:27.000]   That's the first country. The second country would be Grenada.
[00:10:27.000 --> 00:10:30.000]   And you could purchase a citizenship for yourself.
[00:10:30.000 --> 00:10:36.000]   Then at that point, you could renounce your U.S. citizenship. There's some formalities there with that process.
[00:10:36.000 --> 00:10:43.000]   But that entrepreneur making $10 million a year could move to St. Kitts and Nevis, buy citizenship, live on the island,
[00:10:43.000 --> 00:10:47.000]   become a tax resident of St. Kitts and Nevis, run his business from St. Kitts and Nevis,
[00:10:47.000 --> 00:10:53.000]   and pay legally not a dime of tax because he has a citizenship flag planted outside the United States.
[00:10:53.000 --> 00:10:55.000]   So that's a citizenship flag.
[00:10:55.000 --> 00:11:00.000]   The second thing, the second flag is residency, right? Where is your residence?
[00:11:00.000 --> 00:11:05.000]   Now here, there's a distinction between residency and tax residency.
[00:11:05.000 --> 00:11:10.000]   If you are a U.S. American, you don't need to worry about the concept of tax residency
[00:11:10.000 --> 00:11:13.000]   because you are a tax resident of the United States.
[00:11:13.000 --> 00:11:17.000]   This is a concept that is of more concern for citizens of other nations.
[00:11:17.000 --> 00:11:21.000]   So, for example, imagine you're from the U.K. and you're trying to figure out,
[00:11:21.000 --> 00:11:29.000]   "Hey, I make $10 million a year from my Internet business. How do I, you know, what do I do to change that?"
[00:11:29.000 --> 00:11:33.000]   Well, you can leave the U.K. and retain your British citizenship.
[00:11:33.000 --> 00:11:37.000]   You can keep your passport. You can do that. You don't necessarily need another citizenship.
[00:11:37.000 --> 00:11:41.000]   But what you need is you need to plant a flag for a tax residency.
[00:11:41.000 --> 00:11:46.000]   And so you try to choose a country that may tax you more lightly or tax you not at all, right?
[00:11:46.000 --> 00:11:51.000]   There's a reason that a lot of British businessmen live in Dubai.
[00:11:51.000 --> 00:11:57.000]   So you might move to Dubai and file for a residency there, get yourself registered as a tax resident,
[00:11:57.000 --> 00:12:03.000]   and now you can terminate your tax obligations to the U.K. government,
[00:12:03.000 --> 00:12:06.000]   and now you simply are a tax resident of another place.
[00:12:06.000 --> 00:12:09.000]   And so that's a residency flag.
[00:12:09.000 --> 00:12:12.000]   A third flag is usually considered to be a business flag, right?
[00:12:12.000 --> 00:12:13.000]   Where do I run my business?
[00:12:13.000 --> 00:12:18.000]   And so the classic conception of the three-flag theory was this.
[00:12:18.000 --> 00:12:24.000]   You have your citizenship from a country that doesn't tax you and that doesn't conscript you
[00:12:24.000 --> 00:12:29.000]   and that will leave you alone and not impose all kinds of onerous reporting requirements on you
[00:12:29.000 --> 00:12:32.000]   for your bank accounts and your crypto holdings, et cetera.
[00:12:32.000 --> 00:12:36.000]   You have a residency flag in a jurisdiction that will leave you alone,
[00:12:36.000 --> 00:12:39.000]   that won't tax you on your foreign source income,
[00:12:39.000 --> 00:12:43.000]   and that will give you a reasonable lifestyle when you're there.
[00:12:43.000 --> 00:12:48.000]   Then you have your business run in a third jurisdiction,
[00:12:48.000 --> 00:12:53.000]   and you choose a business jurisdiction that won't tax you, that has business-friendly laws, et cetera,
[00:12:53.000 --> 00:12:55.000]   and that's your business flag.
[00:12:55.000 --> 00:12:59.000]   And so if you do this right, you can see that you can set this up in a fairly tax-efficient way.
[00:12:59.000 --> 00:13:05.000]   Now every business is going to be different, but these are the ways that you set up those three flags,
[00:13:05.000 --> 00:13:08.000]   and those are the three flags that make the biggest difference.
[00:13:08.000 --> 00:13:12.000]   The fourth flag that is often conceived of is then also where is your money, right?
[00:13:12.000 --> 00:13:13.000]   Where do you store your money?
[00:13:13.000 --> 00:13:15.000]   So this is your banking flag.
[00:13:15.000 --> 00:13:24.000]   And what those early theorists developed was the idea that your money is probably safer in another place
[00:13:24.000 --> 00:13:26.000]   than where you're physically located.
[00:13:26.000 --> 00:13:29.000]   So if you're physically located in the United States,
[00:13:29.000 --> 00:13:31.000]   and your money is physically located in the United States,
[00:13:31.000 --> 00:13:38.000]   then your money is quite a bit more accessible to somebody who has control over your person
[00:13:38.000 --> 00:13:40.000]   or who knows where you are.
[00:13:40.000 --> 00:13:44.000]   But if you're physically located in the United States, and your money is in the Cayman Islands,
[00:13:44.000 --> 00:13:48.000]   well, there's a degree of separation there, and you have a little bit more protection from your assets.
[00:13:48.000 --> 00:13:55.000]   So the idea is can I choose the world's best place to store my money and to do my banking and to do my investments?
[00:13:55.000 --> 00:13:58.000]   So that's the banking flag.
[00:13:58.000 --> 00:14:00.000]   Then we get a little bit more esoteric.
[00:14:00.000 --> 00:14:05.000]   For example, some people go on and they say, "Well, where should I store my physical assets?
[00:14:05.000 --> 00:14:09.000]   If I've got a bucket of gold, maybe it'd be best if my bucket of gold wasn't in my basement.
[00:14:09.000 --> 00:14:13.000]   Maybe that should be in another jurisdiction entirely,
[00:14:13.000 --> 00:14:16.000]   a place where they've got a better quality vault than my gun safe at home."
[00:14:16.000 --> 00:14:18.000]   You talk about your digital assets, right?
[00:14:18.000 --> 00:14:21.000]   Where should you host your website?
[00:14:21.000 --> 00:14:26.000]   You don't want your website to get taken down and some kind of coordinated attack against you.
[00:14:26.000 --> 00:14:31.000]   And so where can you host your website or where do you hold your digital assets?
[00:14:31.000 --> 00:14:35.000]   So you can disconnect, disintermediate each of your assets,
[00:14:35.000 --> 00:14:40.000]   and you might move each asset to its best jurisdiction.
[00:14:40.000 --> 00:14:42.000]   So let's talk practical now.
[00:14:42.000 --> 00:14:44.000]   These things, I believe, work really well.
[00:14:44.000 --> 00:14:51.000]   And if you're a committed individual, right, you've got big money and you've got big ambition
[00:14:51.000 --> 00:14:58.000]   and you've got big commitment to actually put in place all these different factors, then no question, right,
[00:14:58.000 --> 00:15:03.000]   you can put in place a comprehensive lifestyle spread all around the world.
[00:15:03.000 --> 00:15:10.000]   And this will buy you greater security, greater protection, and greater freedom.
[00:15:10.000 --> 00:15:14.000]   And the early -- in fact, one of the things that I have proved is that --
[00:15:14.000 --> 00:15:20.000]   is what the early practitioners believed that one of the things that you were better off is simply
[00:15:20.000 --> 00:15:24.000]   never actually living in a country where you have any flags planted.
[00:15:24.000 --> 00:15:30.000]   So, you know, the basic idea was you actually want to spend your time as a tourist
