
[00:00:00.000 --> 00:00:07.460]   Well, GPT-5 is here and it's in the free tier. I've tested it a bunch, read the system card in
[00:00:07.460 --> 00:00:13.540]   full and even sat through that full live stream. Wow. But actually, I think it's pretty huge
[00:00:13.540 --> 00:00:21.340]   that free users of ChatGPT will get access to GPT-5. In other words, approaching a billion people
[00:00:21.340 --> 00:00:27.660]   will experience a significantly more intelligent AI model, at least before they hit the limits.
[00:00:27.660 --> 00:00:33.600]   But if you watched the live stream and demo, you may have been underwhelmed. And I don't just mean
[00:00:33.600 --> 00:00:39.500]   the mathematically impossible bar graphs. And there were multiple of those. There were even
[00:00:39.500 --> 00:00:45.500]   hallucinations in the segment describing how the model hallucinates less. For sure, it would be
[00:00:45.500 --> 00:00:52.380]   easy to make a video just taking the mic of those mistakes. But the thing is, GPT-5 is actually a
[00:00:52.380 --> 00:00:57.600]   pretty great model. So here are my first impressions. First, my own logic benchmark,
[00:00:57.600 --> 00:01:06.060]   or some people call it a trick question benchmark. I can confirm that GPT-5 indeed does crush the
[00:01:06.060 --> 00:01:12.680]   public questions of SimpleBench. Whoever this was that came out with this viral thread of it getting
[00:01:12.680 --> 00:01:19.600]   nine out of 10 on those public 10 questions from SimpleBench wasn't lying technically. In some of my
[00:01:19.600 --> 00:01:25.860]   early testing, it got questions right that no other model had gotten right. When I saw this,
[00:01:25.860 --> 00:01:30.480]   I was like, man, I'm gonna have to bring out V2 really early. Everyone's gonna get super hyped.
[00:01:30.480 --> 00:01:36.580]   This is crazy. However, if you are newer to AI, you might not know that the performance of language
[00:01:36.580 --> 00:01:43.640]   models is heavily dependent on the training data they're fed. And I suspect some of these 10 public
[00:01:43.640 --> 00:01:49.400]   questions have made it into the training data, at least indirectly, not deliberately, I think. But
[00:01:49.400 --> 00:01:55.080]   given that the models are trained on things like Reddit and other forums, it's definitely not impossible.
[00:01:55.080 --> 00:02:00.440]   Given how long I normally take to update the leaderboard, you guys might be quite shocked to
[00:02:00.440 --> 00:02:07.660]   hear that we're doing the runs tonight. And so far, it's not setting a new record. That surprised even me,
[00:02:07.740 --> 00:02:14.960]   actually. I was expecting, honestly, 70%. I'll be honest with you guys. So far, in the three runs we've
[00:02:14.960 --> 00:02:24.280]   done, it's getting around 57-58%. So at this point, we can be clear, it's not a new paradigm of AI. And if
[00:02:24.280 --> 00:02:30.600]   you didn't believe models were AGI now, this model won't convince you that we have AGI. But in fairness
[00:02:30.600 --> 00:02:36.500]   to OpenAI, just a couple of hours ago, Sam Altman tweeted that they could release much, much smarter
[00:02:36.500 --> 00:02:41.260]   models. But the main thing they were pushing for was real-world utility, which I'm going to come to,
[00:02:41.260 --> 00:02:46.580]   and mass accessibility and affordability. Well, they have delivered on that. When it comes to
[00:02:46.580 --> 00:02:52.440]   affordability, in the API, the prices are incredible. Below clawed force on it. For those who care about the
[00:02:52.440 --> 00:02:58.680]   API, I've got some coding data coming up. But first, hallucinations. The team made a big play about how
[00:02:58.680 --> 00:03:05.240]   GPT-5 would hallucinate less than previous models. Quite early on in the system card, which is as good
[00:03:05.240 --> 00:03:13.380]   a research paper as we're going to get, it seems, they say that we find that GPT-5 main has 44% fewer
[00:03:13.380 --> 00:03:20.360]   responses with at least one major factual error. However, I got suspicious immediately when, on the live
[00:03:20.360 --> 00:03:26.080]   stream, I saw a bunch of new benchmarks rather than the ones we already know. I don't blame anyone
[00:03:26.080 --> 00:03:31.800]   watching for not knowing this, but one of the most quoted benchmarks on hallucinations is simple QA.
[00:03:31.800 --> 00:03:38.280]   These are short, factual questions that can be prone to hallucinations. And on that front,
[00:03:38.280 --> 00:03:45.980]   GPT-5 thinking is just about better than O3, maybe if you squint. Obviously, it makes it hard to compare
[00:03:45.980 --> 00:03:50.860]   if we invent a new benchmark for every single model release, but it's probably fair to say it does
[00:03:50.860 --> 00:03:56.700]   hallucinate a bit less. Again, though, if you don't follow AI too closely, this model, just as all the
[00:03:56.700 --> 00:04:03.580]   others, will still hallucinate with a major incorrect claim around 5% of the time. These are on the questions,
[00:04:03.580 --> 00:04:10.700]   by the way, that users are actually using chat GPT for. Okay, now for one domain that OpenAI really did want
[00:04:10.700 --> 00:04:16.300]   to highlight, which is software engineering and one benchmark in particular, Sweebench Verified. This
[00:04:16.300 --> 00:04:22.540]   time, by the way, you will notice that the graph doesn't have 52% as being higher than 69%. This,
[00:04:22.540 --> 00:04:28.380]   for me, then, is one of the bigger developments with GPT-5. Because in software engineering, essentially,
[00:04:28.380 --> 00:04:37.740]   OpenAI lobbed a grenade at Anthropic. They want the Claude family line to die out without heirs. Because Sweebench
[00:04:37.740 --> 00:04:44.700]   verified is the singular benchmark that Anthropic cited as proof that their newest model, 4.1 Opus,
[00:04:44.700 --> 00:04:50.940]   just a few days old, was the frontier model in this domain. If we completely ignore statistical error
[00:04:50.940 --> 00:04:57.580]   bars, GPT-5 is now better. Fair warning, if you are not into coding or even vibe coding, this video
[00:04:57.580 --> 00:05:02.940]   won't spend too long on it. But straight away within cursor, I did notice the difference. I'm not going to
[00:05:02.940 --> 00:05:08.540]   show my code base right now, so let's just leave this other coding benchmark on screen. But testing
[00:05:08.540 --> 00:05:15.020]   GPT-5 versus 4.0 Sonnet, the best model you get by default from Anthropic on cursor. And GPT-5 was just
[00:05:15.020 --> 00:05:20.780]   better. Finding bugs that Sonnet assured me were not there. Obviously, we need more time to test,
[00:05:20.780 --> 00:05:25.580]   and there's always the black horse of Gemini DeepThink, which I think might be the best of all. But
[00:05:25.580 --> 00:05:31.740]   Anthropic get a lot of revenue from vibe coders and professional developers. So, GPT-5's release
[00:05:31.740 --> 00:05:37.180]   could be a challenging time for Anthropic. Now, I know it was a very hype-y statement from the live
[00:05:37.180 --> 00:05:42.060]   stream, but I do actually get it when one of the presenters said he trusts the model more with coding.
[00:05:42.060 --> 00:05:47.660]   Of course, language models live and die by data, so if GPT-5 lacks it in your domain, it will be jank,
[00:05:47.660 --> 00:05:52.700]   so do test things out yourself. Beyond coding though, if you are asking a technical question
[00:05:52.700 --> 00:06:00.860]   that might rely on an image, GPT-5 is looking real good. Take the MMMU, which includes a ton of charts
[00:06:00.860 --> 00:06:09.580]   and tables. And here, GPT-5 is beating the massively slower and much more inaccessible Gemini DeepThink,
[00:06:09.580 --> 00:06:15.580]   which is currently reserved for the addicts forking out $250 a month. Yes, I was disappointed that the
