
[00:00:00.000 --> 00:00:06.100]   The following is a conversation with Terence Tao, widely considered to be one of the greatest
[00:00:06.100 --> 00:00:13.660]   mathematicians in history, often referred to as the Mozart of math. He won the Fields Medal
[00:00:13.660 --> 00:00:19.200]   and the Breakthrough Prize in Mathematics, and has contributed groundbreaking work to a truly
[00:00:19.200 --> 00:00:25.820]   astonishing range of fields in mathematics and physics. This was a huge honor for me,
[00:00:26.180 --> 00:00:32.700]   for many reasons, including the humility and kindness that Terry showed to me throughout
[00:00:32.700 --> 00:00:39.540]   all our interactions. It means the world. This is the Lex Friedman Podcast. To support it,
[00:00:39.540 --> 00:00:45.580]   please check out our sponsors in the description or at lexfriedman.com slash sponsors. And now,
[00:00:45.580 --> 00:00:54.500]   dear friends, here's Terence Tao. What was the first really difficult research-level math problem
[00:00:54.500 --> 00:00:57.020]   that you encountered? One that gave you pause, maybe?
[00:00:57.020 --> 00:01:03.020]   Well, I mean, in your undergraduate education, you learn about the really hard, impossible problems,
[00:01:03.020 --> 00:01:07.840]   like the Riemann hypothesis, the Trin-Primes conjecture. You can make problems arbitrarily
[00:01:07.840 --> 00:01:11.200]   difficult. That's not really a problem. In fact, there's even problems that we know to be unsolvable.
[00:01:11.200 --> 00:01:17.520]   What's really interesting are the problems just on the boundary between what we can do easily and
[00:01:17.520 --> 00:01:23.900]   what are hopeless. But what are problems where existing techniques can do 90% of the job and
[00:01:23.900 --> 00:01:31.160]   then you just need that remaining 10%? I think as a PhD student, the Kakeya problem certainly caught my
[00:01:31.160 --> 00:01:34.920]   eye. And it just got solved, actually. It's a problem I've worked on a lot in my early research.
[00:01:34.920 --> 00:01:39.740]   Historically, it came from a little puzzle by the Japanese mathematician, Soji Kakeya,
[00:01:39.740 --> 00:01:52.540]   in 1918 or so. The puzzle is that you have a needle on the plane. Think of driving on a road.
[00:01:52.900 --> 00:01:58.620]   And you want to execute a U-turn. You want to turn the needle around. But you want to do it in as
[00:01:58.620 --> 00:02:05.440]   little space as possible. So you want to use this little area in order to turn it around. But the
[00:02:05.440 --> 00:02:11.480]   needle is infinitely maneuverable. So you can imagine just spinning it around as a unit needle. You can
[00:02:11.480 --> 00:02:18.240]   spin it around its center. And I think that gives you a disk of area, I think pi over four. Or you can
[00:02:18.240 --> 00:02:23.260]   do a three-point U-turn, which is what we teach people in their driving schools to do. And that
[00:02:23.260 --> 00:02:28.660]   actually takes area pi over eight. So it's a little bit more efficient than a rotation. And so for a
[00:02:28.660 --> 00:02:33.680]   while, people thought that was the most efficient way to turn things around. But Vesikovic showed that,
[00:02:33.680 --> 00:02:39.820]   in fact, you could actually turn the needle around using as little area as you wanted. So 0.001,
[00:02:39.820 --> 00:02:47.360]   there was some really fancy multi back-and-forth U-turn thing that you could do that you could turn a
[00:02:47.360 --> 00:02:50.720]   needle around. And in so doing, it would pass through every intermediate direction.
[00:02:50.720 --> 00:02:52.380]   Is this in the two-dimensional plane?
[00:02:52.380 --> 00:02:56.640]   This is in the two-dimensional plane. So we understand everything in two dimensions. So the
[00:02:56.640 --> 00:03:01.500]   next question is what happens in three dimensions? So suppose like the Hubble Space Telescope is tube
[00:03:01.500 --> 00:03:06.280]   in space. And you want to observe every single star in the universe. So you want to rotate the
[00:03:06.280 --> 00:03:10.840]   telescope to reach every single direction. And here's the unrealistic part. Suppose that space is at a
[00:03:10.840 --> 00:03:16.520]   premium, which totally is not. You want to occupy as little volume as possible in order to rotate
[00:03:16.520 --> 00:03:19.240]   your needle around in order to see every single star in the sky.
[00:03:19.240 --> 00:03:25.720]   How small a volume do you need to do that? And so you can modify Vesikovic's construction.
[00:03:25.720 --> 00:03:30.380]   And so if your telescope has zero thickness, then you can use as little volume as you need.
[00:03:30.380 --> 00:03:35.120]   That's a simple modification of the two-dimensional construction. But the question is that if your
[00:03:35.120 --> 00:03:40.480]   telescope is not zero thickness, but just very, very thin, some thickness delta, what is the minimum
[00:03:40.480 --> 00:03:45.160]   volume needed to be able to see every single direction as a function of delta?
[00:03:45.680 --> 00:03:50.520]   So as delta gets smaller, as your needle gets thinner, the volume should go down. But how
[00:03:50.520 --> 00:03:57.120]   fast does it go down? And the conjecture was that it goes down very, very slowly, like
[00:03:57.120 --> 00:04:03.600]   logarithically, roughly speaking. And that was proved after a lot of work. So this seems like
[00:04:03.600 --> 00:04:07.680]   a puzzle. Why is it interesting? So it turns out to be surprisingly connected to a lot of problems
[00:04:07.680 --> 00:04:13.520]   in partial differential equations, in number theory, in geometry, combinatorics. For example, in wave
[00:04:13.520 --> 00:04:17.800]   propagation, you splash some water around, you create water waves, and they travel in various
[00:04:17.800 --> 00:04:24.360]   directions. But waves exhibit both particle and wave type behavior. So you can have what's called a wave
[00:04:24.360 --> 00:04:29.500]   packet, which is like a very localized wave that is localized in space and moving a certain direction
[00:04:29.500 --> 00:04:35.320]   in time. And so if you plot it into space and time, it occupies a region which looks like a tube.
[00:04:35.360 --> 00:04:41.640]   And so what can happen is that you can have a wave which initially is very dispersed, but it all
[00:04:41.640 --> 00:04:46.980]   focuses at a single point later in time. Like you can imagine dropping a pebble into a pond and it will
[00:04:46.980 --> 00:04:52.380]   spread out. But then if you time reverse that scenario, and the equations of wave motion are time
[00:04:52.380 --> 00:04:58.260]   irreversible. You can imagine ripples that are converging to a single point and then a big splash
[00:04:58.260 --> 00:05:06.240]   occurs, maybe even a singularity. And so it's possible to do that. And geometrically, what's going on is that
[00:05:06.240 --> 00:05:12.400]   there's always light rays. So if this wave represents light, for example, you can imagine this wave as a
[00:05:12.400 --> 00:05:17.720]   superposition of photons all traveling at the speed of light. They all travel on these light rays and they're all
[00:05:17.720 --> 00:05:23.420]   focusing at this one point. So you can have a very dispersed wave, focus into a very concentrated wave
[00:05:23.420 --> 00:05:30.040]   at one point in space and time, but then it defocuses again and it separates. But potentially, if the
[00:05:30.040 --> 00:05:34.460]   conjecture had a negative solution, so what that meant is that there's a very efficient way to pack
[00:05:34.460 --> 00:05:40.440]   tubes pointing in different directions into a very, very narrow region of, a very narrow volume,
[00:05:40.440 --> 00:05:45.460]   then you would also be able to create waves that start out, there'll be some arrangement of waves
[00:05:45.460 --> 00:05:50.280]   that start out very, very dispersed. But they would concentrate not just at a single point, but
[00:05:50.280 --> 00:05:59.420]   there'll be a large, there'll be a lot of concentrations in space and time. And you could create what's called a
[00:05:59.420 --> 00:06:04.320]   blow-up, where these waves, their amplitude becomes so great that the laws of physics that they're governed by are no
[00:06:04.320 --> 00:06:10.660]   longer wave equations, but something more complicated and non-linear. And so in mathematical physics, we care a lot about
[00:06:10.660 --> 00:06:15.480]   whether certain equations and wave equations are stable or not, whether they can create these singularities.
[00:06:15.480 --> 00:06:20.580]   There's a famous unsolved problem called the Navier-Stokes regularity problem. So the Navier-Stokes
[00:06:20.580 --> 00:06:25.820]   equations are the equations that govern the fluid flow or incompressible fluids like water. The question
[00:06:25.820 --> 00:06:31.300]   asks, if you start with a smooth velocity field of water, can it ever concentrate so much that the
[00:06:31.300 --> 00:06:37.760]   velocity becomes infinite at some point? That's called a singularity. We don't see that in real life.
[00:06:37.980 --> 00:06:45.980]   You know, if you splash around water in the bathtub, it won't explode on you. Or have water leaving at a speed of light, I think. But
[00:06:45.980 --> 00:06:56.800]   potentially, it is possible. And in fact, in recent years, the consensus has drifted towards the belief that, in fact, for
[00:06:56.800 --> 00:07:04.800]   certain very special initial configurations of, say, water that singularities can form. But people have not yet been able to
[00:07:04.800 --> 00:07:11.060]   actually establish this. The Clay Foundation has these seven Millennium Prize problems as a million-dollar prize for solving
[00:07:11.060 --> 00:07:16.560]   one of these problems. So this is one of them. Of these seven, only one of them has been solved at the Poigrae conjecture.
[00:07:16.560 --> 00:07:25.480]   So the Cacaree conjecture is not directly, directly related to the Navier-Stokes problem. But understanding it would help us
[00:07:25.480 --> 00:07:32.080]   understand some aspects of things like wave concentration, which would indirectly probably help us understand the Navier-Stokes problem
[00:07:32.080 --> 00:07:32.340]   better.
[00:07:32.340 --> 00:07:38.120]   Can you speak to the Navier-Stokes? So the existence and smoothness, like you said, Millennial Prize problem.
[00:07:38.120 --> 00:07:38.620]   Right.
[00:07:38.620 --> 00:07:46.360]   You've made a lot of progress on this one. In 2016, you published a paper, Finite Time Blow-Up, for an averaged three-dimensional Navier-Stokes equation.
[00:07:47.120 --> 00:07:47.360]   Right.
[00:07:47.360 --> 00:07:51.760]   So we're trying to figure out if this thing usually doesn't blow up.
[00:07:51.760 --> 00:07:52.780]   Right.
[00:07:52.780 --> 00:07:56.160]   But can we say for sure it never blows up?
[00:07:56.160 --> 00:08:00.980]   Right. Yeah. So, yeah, that is literally the million-dollar question. Yeah. So this is what distinguishes
[00:08:00.980 --> 00:08:07.040]   mathematicians from pretty much everybody else. Like, if something holds 99.99% of the time,
[00:08:07.040 --> 00:08:14.640]   that's good enough for most, you know, for most things. But mathematicians are one of the few people who really care about whether
[00:08:14.640 --> 00:08:29.020]   like 100%, really 100% of all situations are covered by, yeah. So most fluid, most of the time, water does not blow up. But could you design a very special initial state that does this?
[00:08:29.400 --> 00:08:34.860]   Maybe we should say that this is a set of equations that govern in the field of fluid dynamics.
