
[00:00:00.000 --> 00:00:05.480]   The Hartford Small Business Insurance knows that running a small business is a big-time commitment.
[00:00:05.480 --> 00:00:14.480]   So this holiday season, they're celebrating hard-working small business owners with a chance to go to I Heart Radio Jingle Ball in Miami on December 16th.
[00:00:14.480 --> 00:00:19.000]   Nominate yourself or another small business owner for a chance to win a trip for two.
[00:00:19.000 --> 00:00:24.680]   Includes airfare, two-night hotel, tickets to the show, plus $1,000 in spending cash.
[00:00:24.680 --> 00:00:29.680]   For official rules and entry information, visit IHeartRadio.com/SmallBusiness.
[00:00:30.680 --> 00:00:34.680]   Have you ever thought about writing a book? Would you like to write a book?
[00:00:34.680 --> 00:00:47.680]   Well, if past data and research is any indication, I would say that 8 out of 10 of you who listen to this show just thought to yourself, "Well, yes, actually."
[00:00:47.680 --> 00:00:56.680]   Depending on what source you look at, there are some surveys that say that 81% of Americans feel they have a book in them and that they should write it.
[00:00:56.680 --> 00:01:07.680]   Today, we're going to talk about that with the publishing doctor himself and my own personal publishing coach because, yes, I'm part of that 81%.
[00:01:07.680 --> 00:01:11.680]   I'm in the middle of writing a book, but my personal publishing coach, I'm going to introduce him to you.
[00:01:11.680 --> 00:01:22.680]   His name is Mr. Patrick Snow, and today, we're going to talk publishing, try to give you some insight on why you should write a book and how you should go about doing it.
[00:01:23.680 --> 00:01:39.680]   [Music]
[00:01:39.680 --> 00:01:43.680]   Welcome to the Radical Personal Finance Podcast. My name is Joshua Sheets, and I'm your host.
[00:01:43.680 --> 00:01:44.680]   Thank you for being with me today.
[00:01:44.680 --> 00:01:52.680]   Thrilled to be here to talk about this subject of book publishing. As with most things, easier to say you're doing something than to do it.
[00:01:52.680 --> 00:01:58.680]   The writing has been going slower than I would like, but I'm making progress, and I refuse to quit.
[00:01:58.680 --> 00:02:04.680]   I thought, "What a great time to talk publishing with a brand new sponsor of the show, Mr. Patrick Snow."
[00:02:04.680 --> 00:02:06.680]   You're going to find this useful today.
[00:02:06.680 --> 00:02:11.680]   [Music]
[00:02:11.680 --> 00:02:18.680]   One of the central themes that I like to explore on Radical Personal Finance here is financial freedom.
[00:02:18.680 --> 00:02:24.680]   I spend a lot of time talking about income, and as a component of income, I spend a lot of time talking about marketing.
[00:02:24.680 --> 00:02:40.680]   My point in doing this show is to point out to you how the world actually works, not to give you the answers that people often proffer when it comes to financial advice, not to say, "Well, the reason that you're broke is because you haven't put money in IRA."
