
[00:00:00.000 --> 00:00:00.840]   [upbeat music]
[00:00:00.840 --> 00:00:02.280]   Welcome to the Huberman Lab Podcast,
[00:00:02.280 --> 00:00:04.880]   where we discuss science and science-based tools
[00:00:04.880 --> 00:00:05.900]   for everyday life.
[00:00:05.900 --> 00:00:10.320]   I'm Andrew Huberman,
[00:00:10.320 --> 00:00:13.320]   and I'm a professor of neurobiology and ophthalmology
[00:00:13.320 --> 00:00:15.200]   at Stanford School of Medicine.
[00:00:15.200 --> 00:00:17.360]   Today, we are talking about goal setting
[00:00:17.360 --> 00:00:19.360]   and achieving goals.
[00:00:19.360 --> 00:00:21.600]   Now, we've done three full episodes
[00:00:21.600 --> 00:00:23.120]   about this topic previously.
[00:00:23.120 --> 00:00:25.360]   I did a solo episode about this topic
[00:00:25.360 --> 00:00:29.240]   where I described the neuroscience of the circuitry
[00:00:29.240 --> 00:00:30.080]   in the brain and body
[00:00:30.080 --> 00:00:32.400]   that underlies goal setting and pursuit.
[00:00:32.400 --> 00:00:34.760]   I also hosted two expert guests
[00:00:34.760 --> 00:00:37.560]   who have done extensive research on these topics.
[00:00:37.560 --> 00:00:40.280]   Those guests were Dr. Emily Balchetes
[00:00:40.280 --> 00:00:43.520]   from New York University and Dr. Maya Shankar.
[00:00:43.520 --> 00:00:46.840]   So today's episode is going to focus on the key takeaways
[00:00:46.840 --> 00:00:49.280]   from those three previous episodes,
[00:00:49.280 --> 00:00:52.020]   as well as incorporate new information
[00:00:52.020 --> 00:00:54.600]   that has been published in the scientific literature
[00:00:54.600 --> 00:00:56.560]   since those episodes aired,
[00:00:56.560 --> 00:00:58.720]   so that by the end of today's episode,
[00:00:58.720 --> 00:01:00.720]   you will have a potent toolkit
[00:01:00.720 --> 00:01:03.060]   for setting and pursuing goals.
[00:01:03.060 --> 00:01:05.260]   We will talk about how to select
[00:01:05.260 --> 00:01:07.400]   which goals to pursue and when.
[00:01:07.400 --> 00:01:10.240]   We will talk about how to measure your progress.
[00:01:10.240 --> 00:01:14.440]   We will talk about how to initiate and sustain motivation
[00:01:14.440 --> 00:01:15.800]   as you pursue your goals.
[00:01:15.800 --> 00:01:18.620]   We are also going to dispel some prominent myths
[00:01:18.620 --> 00:01:20.400]   about goal setting and pursuit.
[00:01:20.400 --> 00:01:22.680]   Given that this is a toolkit episode,
[00:01:22.680 --> 00:01:24.520]   I will talk about some of the underlying
[00:01:24.520 --> 00:01:27.720]   biological mechanisms for the protocols that I describe,
[00:01:27.720 --> 00:01:30.800]   but most of what I will cover are the protocols themselves,
[00:01:30.800 --> 00:01:32.600]   the how to identify a goal,
[00:01:32.600 --> 00:01:35.220]   select the best goal for you to pursue,
[00:01:35.220 --> 00:01:36.880]   how to initiate goal pursuit,
[00:01:36.880 --> 00:01:38.520]   how to maintain goal pursuit,
[00:01:38.520 --> 00:01:40.240]   how to evaluate progress,
[00:01:40.240 --> 00:01:43.800]   and how to do the post hoc analysis after you achieve a goal
[00:01:43.800 --> 00:01:46.900]   or as the case may be, not achieve a goal.
[00:01:46.900 --> 00:01:48.960]   Although I am confident that if you implement
[00:01:48.960 --> 00:01:51.660]   even a subset of the protocols that we cover today,
[00:01:51.660 --> 00:01:54.160]   that you stand the greatest possible chance
[00:01:54.160 --> 00:01:56.460]   of both setting the proper goal
[00:01:56.460 --> 00:01:58.340]   and achieving that goal.
[00:01:58.340 --> 00:02:01.160]   And I can say that both with confidence and humility
[00:02:01.160 --> 00:02:04.800]   because the protocols I describe were not created by me.
[00:02:04.800 --> 00:02:07.780]   They are gleaned from the scientific peer reviewed literature
[00:02:07.780 --> 00:02:10.020]   and they have been shown to work.
[00:02:10.020 --> 00:02:12.700]   Before we begin, I'd like to emphasize that this podcast
[00:02:12.700 --> 00:02:15.360]   is separate from my teaching and research roles at Stanford.
[00:02:15.360 --> 00:02:17.580]   It is however, part of my desire and effort
[00:02:17.580 --> 00:02:20.240]   to bring zero cost to consumer information about science
[00:02:20.240 --> 00:02:22.820]   and science related tools to the general public.
[00:02:22.820 --> 00:02:23.900]   In keeping with that theme,
[00:02:23.900 --> 00:02:26.620]   I'd like to thank the sponsors of today's podcast.
[00:02:26.620 --> 00:02:28.640]   Our first sponsor is Eight Sleep.
[00:02:28.640 --> 00:02:30.320]   Eight Sleep makes smart mattress covers
[00:02:30.320 --> 00:02:33.340]   with cooling, heating, and sleep tracking capacity.
[00:02:33.340 --> 00:02:35.600]   Sleep is the foundation of mental health,
[00:02:35.600 --> 00:02:36.920]   physical health, and performance.
[00:02:36.920 --> 00:02:38.760]   When we're sleeping well and enough,
[00:02:38.760 --> 00:02:40.740]   everything in life goes much better.
[00:02:40.740 --> 00:02:43.640]   And when we aren't sleeping well or long enough,
[00:02:43.640 --> 00:02:44.880]   things in life get worse.
[00:02:44.880 --> 00:02:46.100]   We know that from data,
[00:02:46.100 --> 00:02:48.660]   we all know that from our own experience.
[00:02:48.660 --> 00:02:51.060]   One of the essential things to getting a great night's sleep
[00:02:51.060 --> 00:02:52.920]   is that the temperature of your sleeping environment
[00:02:52.920 --> 00:02:55.220]   needs to be such that your core body temperature
[00:02:55.220 --> 00:02:57.000]   drops by about one to three degrees
[00:02:57.000 --> 00:02:59.220]   in order to fall and stay deeply asleep,
[00:02:59.220 --> 00:03:01.220]   and then increase by one to three degrees
[00:03:01.220 --> 00:03:03.860]   in order to wake up feeling refreshed in the morning.
[00:03:03.860 --> 00:03:05.460]   With Eight Sleep smart mattress covers,
[00:03:05.460 --> 00:03:08.080]   you can program the temperature of your sleeping environment
[00:03:08.080 --> 00:03:10.700]   so that it's ideally matched to your temperature needs.
[00:03:10.700 --> 00:03:12.640]   I started sleeping on an Eight Sleep mattress cover
[00:03:12.640 --> 00:03:13.540]   a few years ago,
[00:03:13.540 --> 00:03:15.740]   and it has completely transformed the quality
[00:03:15.740 --> 00:03:16.860]   of the sleep that I get.
[00:03:16.860 --> 00:03:19.460]   So much so that I actually loathe traveling
[00:03:19.460 --> 00:03:21.380]   because I don't have my Eight Sleep mattress cover
[00:03:21.380 --> 00:03:22.220]   when I travel.
[00:03:22.220 --> 00:03:23.460]   If you'd like to try Eight Sleep,
[00:03:23.460 --> 00:03:26.120]   you can go to eightsleep.com/huberman
[00:03:26.120 --> 00:03:29.660]   and you'll save up to $150 off their pod three cover.
[00:03:29.660 --> 00:03:32.120]   Eight Sleep currently ships in the USA, Canada, UK,
[00:03:32.120 --> 00:03:34.480]   select countries in the EU and Australia.
[00:03:34.480 --> 00:03:37.660]   Again, that's eightsleep.com/huberman.
[00:03:37.660 --> 00:03:40.860]   Today's episode is also brought to us by Maui Nui Venison.
[00:03:40.860 --> 00:03:43.120]   Maui Nui Venison is the most nutrient dense
[00:03:43.120 --> 00:03:45.020]   and delicious red meat available.
[00:03:45.020 --> 00:03:47.780]   I've spoken before on this podcast in solo episodes
[00:03:47.780 --> 00:03:51.820]   and with guests about the need to get approximately one gram
[00:03:51.820 --> 00:03:55.460]   of high quality protein per pound of body weight each day
[00:03:55.460 --> 00:03:57.100]   for optimal nutrition.
[00:03:57.100 --> 00:03:59.340]   There are many different ways that one can do that,
[00:03:59.340 --> 00:04:02.000]   but a key thing is to make sure that you're not doing that
[00:04:02.000 --> 00:04:04.280]   by ingesting excessive calories.
[00:04:04.280 --> 00:04:06.520]   Maui Nui Venison has the highest density
[00:04:06.520 --> 00:04:08.660]   of quality protein per calorie,
[00:04:08.660 --> 00:04:11.100]   and it achieves that in delicious things
[00:04:11.100 --> 00:04:15.500]   like ground meats, venison steaks, jerky, and bone broth.
[00:04:15.500 --> 00:04:17.380]   I particularly like the ground venison.
[00:04:17.380 --> 00:04:19.660]   I make those into venison burgers
[00:04:19.660 --> 00:04:21.820]   probably five times a week or more.
[00:04:21.820 --> 00:04:24.220]   I also like the jerky for its convenience,
[00:04:24.220 --> 00:04:25.320]   especially when I'm traveling
[00:04:25.320 --> 00:04:27.140]   or I'm especially busy with work
[00:04:27.140 --> 00:04:29.680]   and know that I'm getting an extremely nutrient dense
[00:04:29.680 --> 00:04:31.300]   high quality source of protein.
[00:04:31.300 --> 00:04:33.420]   If you'd like to try Maui Nui Venison,
[00:04:33.420 --> 00:04:36.820]   you can go to mauinuivenison.com/huberman
[00:04:36.820 --> 00:04:39.060]   and get 20% off your first order.
[00:04:39.060 --> 00:04:44.060]   Again, that's mauinuivenison.com/huberman to get 20% off.
[00:04:44.060 --> 00:04:46.540]   Okay, let's talk about goal setting and pursuit.
[00:04:46.540 --> 00:04:47.860]   And as I mentioned a few minutes ago,
[00:04:47.860 --> 00:04:49.020]   this is a toolkit episode.
[00:04:49.020 --> 00:04:50.480]   So I'm not going to talk too much
[00:04:50.480 --> 00:04:53.420]   about the mechanistic underpinnings of the protocols
[00:04:53.420 --> 00:04:54.600]   for goal setting and pursuit.
[00:04:54.600 --> 00:04:56.480]   I'm mostly just going to give you those protocols.
[00:04:56.480 --> 00:04:59.660]   But before I do that, I want to take just three minutes,
[00:04:59.660 --> 00:05:01.820]   I promise just three minutes or less,
[00:05:01.820 --> 00:05:04.340]   and describe the neural circuitry involved
[00:05:04.340 --> 00:05:05.780]   in goal setting and pursuit.
[00:05:05.780 --> 00:05:07.020]   And there are two reasons to do that.
[00:05:07.020 --> 00:05:09.640]   First of all, the biology of goal setting and pursuit
[00:05:09.640 --> 00:05:10.740]   is absolutely beautiful.
[00:05:10.740 --> 00:05:13.820]   It's incredible that we and many other animals, in fact,
[00:05:13.820 --> 00:05:15.620]   have this neural circuitry
[00:05:15.620 --> 00:05:17.660]   and that it works in the way that it does.
[00:05:17.660 --> 00:05:19.280]   But equally important is that when we have
[00:05:19.280 --> 00:05:21.620]   a mechanistic understanding or framework
[00:05:21.620 --> 00:05:24.220]   for how a protocol or set of protocols work,
[00:05:24.220 --> 00:05:26.940]   it makes it much easier to tweak those protocols
[00:05:26.940 --> 00:05:29.860]   and customize them to our unique needs.
[00:05:29.860 --> 00:05:31.620]   Okay, so with that said,
[00:05:31.620 --> 00:05:33.540]   the goal setting and pursuit circuitry
[00:05:33.540 --> 00:05:37.020]   essentially consists of four major stations in the brain.
[00:05:37.020 --> 00:05:39.060]   Although it's important to point out
[00:05:39.060 --> 00:05:40.420]   that each of those stations
[00:05:40.420 --> 00:05:43.180]   has a number of other connections that are important
