
[00:00:00.000 --> 00:00:03.240]   (upbeat hip hop music)
[00:00:03.240 --> 00:00:10.400]   - My guy Trey in the building,
[00:00:10.400 --> 00:00:11.840]   what's good with you, fam, bro?
[00:00:11.840 --> 00:00:13.140]   - My guy.
[00:00:13.140 --> 00:00:13.980]   - Sir.
[00:00:13.980 --> 00:00:14.800]   - What's good, guy?
[00:00:14.800 --> 00:00:15.640]   - Yes, sir.
[00:00:15.640 --> 00:00:16.480]   - All right, bro, so let's get it poppin'.
[00:00:16.480 --> 00:00:18.880]   So first, I wanna start off at high school.
[00:00:18.880 --> 00:00:20.180]   Do you remember how we met?
[00:00:20.180 --> 00:00:24.960]   - Yeah, for sure.
[00:00:24.960 --> 00:00:26.400]   Nike Elite, was it?
[00:00:26.400 --> 00:00:28.280]   - You know, at the top of Hunter Camp?
[00:00:28.280 --> 00:00:29.400]   - You remember, in St. Louis?
[00:00:29.400 --> 00:00:30.960]   - Yeah, I remember 'cause I remember
[00:00:30.960 --> 00:00:32.840]   seeing this light-skinned dude,
[00:00:32.840 --> 00:00:35.940]   and he was like, you was like what, like five?
[00:00:35.940 --> 00:00:36.780]   You was like five, what are you?
[00:00:36.780 --> 00:00:38.920]   - I was like five, six.
[00:00:38.920 --> 00:00:40.640]   - And he was just gettin' buckets, you know?
[00:00:40.640 --> 00:00:43.080]   - No, no, no, no, no, I was like five, 10.
[00:00:43.080 --> 00:00:44.760]   - But everybody was at that camp,
[00:00:44.760 --> 00:00:47.040]   and that was when I first met you,
[00:00:47.040 --> 00:00:51.400]   and then we, and then the time when we,
[00:00:51.400 --> 00:00:53.880]   the time I really remember was we was at that gym
[00:00:53.880 --> 00:00:55.800]   with Mo Can, you walked in the door,
[00:00:57.280 --> 00:00:59.720]   and Coach Perry was like, man, it's this kid coming,
[00:00:59.720 --> 00:01:02.000]   he's like the best point guard in the area,
[00:01:02.000 --> 00:01:04.880]   and I had no idea who it was, and you walked in the door,
[00:01:04.880 --> 00:01:07.040]   and I was like, man, this dude, I remember this dude,
[00:01:07.040 --> 00:01:09.760]   but I didn't remember you being that good from the camp,
[00:01:09.760 --> 00:01:11.560]   and we had a practice or whatever,
[00:01:11.560 --> 00:01:14.040]   and you was like, you was killin' like,
[00:01:14.040 --> 00:01:16.320]   same game you have now, you was doin' your thing,
[00:01:16.320 --> 00:01:18.400]   and then that's when we linked up.
[00:01:18.400 --> 00:01:20.960]   - No, for real, I remember that 'cause that was
[00:01:20.960 --> 00:01:22.800]   right after, 'cause that was my first time
[00:01:22.800 --> 00:01:25.040]   goin' to practice, goin' to Kansas City,
[00:01:25.040 --> 00:01:27.160]   I think that was the first time we actually linked
[00:01:27.160 --> 00:01:32.160]   after the game 100 was, was that, that practice was great.
[00:01:32.160 --> 00:01:34.360]   - Yeah, how did you even, what made you wanna play
[00:01:34.360 --> 00:01:35.680]   with Mo Can, though?
[00:01:35.680 --> 00:01:38.400]   - Reason why I came over to Mo Can,
[00:01:38.400 --> 00:01:42.320]   Coach P hit me up, Matt Souther,
[00:01:42.320 --> 00:01:46.200]   told me I was able to come play with you,
[00:01:46.200 --> 00:01:49.360]   I was playin' in Dallas, and our team wouldn't,
[00:01:49.360 --> 00:01:51.800]   wouldn't really like that. - No, I didn't know.
[00:01:51.800 --> 00:01:53.280]   - I was tryin' to play on the 17U level,
[00:01:53.280 --> 00:01:55.480]   and then I was tryin' to come over to Nike
[00:01:55.480 --> 00:01:59.600]   and, and play with Mo Can, so I,
