
[00:00:00.000 --> 00:00:07.000]   From a net worth of less than zero at the age of 27 to financially independent at the age of 40
[00:00:07.000 --> 00:00:12.000]   on a salary that never exceeds $70,000 a year?
[00:00:12.000 --> 00:00:14.000]   Is it possible?
[00:00:14.000 --> 00:00:21.000]   Well, he's not there yet, but he is a third of the way there, and he's on track following the plan.
[00:00:21.000 --> 00:00:39.000]   Welcome to the Radical Personal Finance Podcast.
[00:00:39.000 --> 00:00:41.000]   My name is Joshua Sheets, and I'm your host.
[00:00:41.000 --> 00:00:47.000]   Today is Wednesday, November 5, 2014, and this is episode 96 of the show.
[00:00:47.000 --> 00:00:54.000]   Today I have an interview for you with Jason Thieber, founder of DividendMantra.com.
[00:00:54.000 --> 00:01:01.000]   Jason's well on his way to financial independence, and he is pursuing a strategy of dividend growth stock investing.
[00:01:01.000 --> 00:01:10.000]   He has a lot to say about dividends. I think you'll benefit and learn a lot.
[00:01:10.000 --> 00:01:14.000]   One of the things I love about finance, what has always intrigued me and interested me about finance,
[00:01:14.000 --> 00:01:19.000]   is that there are so many different ways to achieve financial independence.
[00:01:19.000 --> 00:01:21.000]   I love just the variety.
[00:01:21.000 --> 00:01:28.000]   There are people who have achieved financial independence in entrepreneurship, in investing, just in so many different ways.
[00:01:28.000 --> 00:01:36.000]   Some of them are just incredibly wacky and far out, and some of them are relatively mainstream and proven and time-tested and time-worn.
[00:01:36.000 --> 00:01:41.000]   Today we're going to get a chance to talk with Jason about dividend investing.
[00:01:41.000 --> 00:01:45.000]   Dividend investing is a well-proven path to financial independence.
[00:01:45.000 --> 00:01:49.000]   There's nothing about dividend investing that you cannot do yourself.
[00:01:49.000 --> 00:01:55.000]   Jason is a great resource. He was suggested to me by a previous interviewee on the show.
[00:01:55.000 --> 00:01:58.000]   Wow, this is a really great interview. I think you're going to learn a lot.
[00:01:58.000 --> 00:02:04.000]   We're going to talk about his personal story from waking up deeply in debt and not making any progress.
[00:02:04.000 --> 00:02:09.000]   What were the factors that woke him up and then helped him develop an investment plan?
[00:02:09.000 --> 00:02:16.000]   How has he gone on to become, if not an expert, at least a knowledgeable individual around dividend investing?
[00:02:16.000 --> 00:02:24.000]   I think many of you will be interested and learn from this approach and from this basic information on dividend growth stock investing.
[00:02:24.000 --> 00:02:27.000]   I hope that you enjoy it. It's a great interview.
[00:02:27.000 --> 00:02:33.000]   Jason is a really good guy. He writes a lot on his website, but he doesn't hold back anything on today's show.
[00:02:33.000 --> 00:02:37.000]   I hope that you enjoy this interview, and I'll be back at the end to wrap up the show.
[00:02:37.000 --> 00:02:39.000]   [intro]
[00:02:39.000 --> 00:02:44.000]   Jason, welcome to the Radical Personal Finance podcast. I appreciate you making time to be with us today.
[00:02:44.000 --> 00:02:46.000]   Sure, thanks. I'm glad to be here.
[00:02:46.000 --> 00:02:54.000]   I am excited because I have gotten a lot of questions about dividend investing on the show, but I am not a dividend investor.
[00:02:54.000 --> 00:02:59.000]   Although I'm probably qualified to answer maybe some of the questions in a technical sense,
[00:02:59.000 --> 00:03:05.000]   I thought that this would be a good way to introduce the subject for those who are interested.
[00:03:05.000 --> 00:03:13.000]   Where I'd love to start is share with me a little bit about your story surrounding money,
[00:03:13.000 --> 00:03:23.000]   and especially if there were any transitions in your life and how maybe you became interested in investing as a discipline and something that was appropriate for you.
[00:03:23.000 --> 00:03:35.000]   My story starts out a number of years ago. I was 27 years old and I found myself lost at sea, basically.
[00:03:35.000 --> 00:03:41.000]   I was floating out in life and the ups and downs of life. I felt like a cork in the ocean.
[00:03:41.000 --> 00:03:50.000]   I had no real control over my destiny. I was working a lot of hours. I was working in the auto industry as a service advisor at a car dealership.
[00:03:50.000 --> 00:03:59.000]   I was making okay money. I've never made a lot of money. I've never made over 70 grand a year in my entire life.
[00:03:59.000 --> 00:04:05.000]   When I was 27, I was making around 30 grand a year or so in the auto industry.
[00:04:05.000 --> 00:04:14.000]   I kind of had an epiphany, if you will. I was in Michigan at the time where I was born and raised.
[00:04:14.000 --> 00:04:26.000]   I was born and raised in Detroit. I kind of had an epiphany around this time where I discovered that I was actually worth less as a 27-year-old man than I was as a baby.
[00:04:26.000 --> 00:04:39.000]   As a 3-month-old baby, I can't walk. I can't talk. I can't feed myself. I have no control over my bodily movement, and yet I was worth $0.
