
[00:00:00.000 --> 00:00:09.880]   Hello, everybody.
[00:00:09.880 --> 00:00:12.640]   It's Sam from the Financial Samurai Podcast.
[00:00:12.640 --> 00:00:20.040]   And in this episode, I have a very special guest with me, Sean Livingston, four-time
[00:00:20.040 --> 00:00:26.600]   NBA champion with the Warriors, three as a player and one as an executive.
[00:00:26.600 --> 00:00:28.080]   Welcome to the Financial Samurai Podcast.
[00:00:28.080 --> 00:00:30.640]   Thanks for having me on.
[00:00:30.640 --> 00:00:32.120]   I appreciate it.
[00:00:32.120 --> 00:00:33.960]   It's great to have you on.
[00:00:33.960 --> 00:00:37.280]   You're definitely one of my favorite players of all time.
[00:00:37.280 --> 00:00:40.460]   And we've gotten to know each other pretty well over the years.
[00:00:40.460 --> 00:00:42.440]   And I really appreciate you reaching out.
[00:00:42.440 --> 00:00:49.080]   I remember you first reached out, this was like your last two years of your playing career.
[00:00:49.080 --> 00:00:51.480]   What was the impetus to reach out back then?
[00:00:51.480 --> 00:00:52.480]   Yeah.
[00:00:52.480 --> 00:00:56.400]   So I had been playing for about 13 years at that point.
[00:00:56.400 --> 00:00:59.080]   I think it was around 2018.
[00:00:59.080 --> 00:01:01.680]   And it was kind of handwriting on the wall.
[00:01:01.680 --> 00:01:04.160]   You know, I went through some injuries.
[00:01:04.160 --> 00:01:08.080]   We were going through our run with Golden State, but it was coming towards the end of
[00:01:08.080 --> 00:01:09.080]   my career.
[00:01:09.080 --> 00:01:12.080]   I feel it physically, mentally, emotionally.
[00:01:12.080 --> 00:01:18.480]   And I was looking at the next chapter and came across this website, Financial Samurai.
[00:01:18.480 --> 00:01:21.440]   I said, "What the hell is this?
[00:01:21.440 --> 00:01:23.680]   What is this?"
[00:01:23.680 --> 00:01:33.760]   And I remember just diving in and just talking about goals and not just retirement and planning,
[00:01:33.760 --> 00:01:34.760]   but also life.
[00:01:34.760 --> 00:01:37.760]   And I had just started a family.
[00:01:37.760 --> 00:01:42.680]   I just had my first daughter in 2017, got married.
[00:01:42.680 --> 00:01:48.200]   So just a whole new experience and really related to the website and been a fan member
[00:01:48.200 --> 00:01:49.200]   ever since.
[00:01:49.200 --> 00:01:51.680]   No, that's really great to hear.
[00:01:51.680 --> 00:01:57.320]   I mean, it's so funny that who would have thought you write a website and an NBA player
[00:01:57.320 --> 00:01:59.920]   would come and look and he's thinking about his future.
