
[00:00:00.000 --> 00:00:08.760]   All right, welcome everyone to CS25, I believe week eight.
[00:00:08.760 --> 00:00:16.080]   Today we're very excited to have Ishad Margulit, who is a neuroscientist and ML researcher working
[00:00:16.080 --> 00:00:21.220]   to understand biological systems with AI. He completed his PhD in neuroscience here at
[00:00:21.220 --> 00:00:26.000]   Stanford, where he constructed self-supervised neural networks that incorporate biologically
[00:00:26.000 --> 00:00:31.000]   inspired constraints to explain the structure, function, and development of primary visual
[00:00:31.000 --> 00:00:37.700]   cortex. He's currently an ML scientist at NoTik, an AI-native biotech startup focused on
[00:00:37.700 --> 00:00:43.300]   curing cancer. In his work, he develops novel transformer model architectures and tasks that
[00:00:43.300 --> 00:00:49.580]   learn from large multimodal data sets of patient tumor biology and applies these models to drug
[00:00:49.580 --> 00:00:55.000]   discovery. As a reminder, please fill out the attendance form, and if you're online, you
[00:00:55.000 --> 00:01:00.000]   can ask any questions on Slido. With that, I'll let you take it away.
[00:01:00.000 --> 00:01:04.000]   Awesome. Thank you for that introduction. I feel like that covered it all, so we're done here,
[00:01:04.000 --> 00:01:11.780]   we can wrap it up. I'm going to talk today about kind of a mix of basic ML ideas about how to do
[00:01:11.780 --> 00:01:16.920]   multimodal learning and a little bit of the kind of research we're doing at NoTik, where I work now.
[00:01:18.000 --> 00:01:24.000]   I'm going to talk really in three parts. You can tell I'm fond of alliteration here. I'll do multimodal
[00:01:24.000 --> 00:01:29.000]   model madness and tell you a little bit about ideas for incorporating information streams from multiple
[00:01:29.000 --> 00:01:35.000]   modalities. Then I'll focus more specifically on cancer. So in that first part, you know, if you're not
[00:01:35.000 --> 00:01:42.000]   interested in biology or cancer, one, I'll convince you otherwise, and two, you'll get a lot out of that first part, I hope.
[00:01:42.000 --> 00:01:47.000]   And then I have a few random things I threw in at the end about work in progress that might be exciting.
[00:01:47.000 --> 00:01:54.000]   So just to put it out there, my assumptions about this audience are that you're interested in research on
[00:01:54.000 --> 00:02:01.000]   transformers, given the course title, and specifically maybe novel transformer architectures that you haven't
[00:02:01.000 --> 00:02:06.000]   encountered before. I'll assume that you're curious about how we're actually trying to use transformers
[00:02:06.000 --> 00:02:13.000]   outside of an academic context and to bring it into a clinically useful context. I will assume that you're kind of
[00:02:13.000 --> 00:02:18.000]   familiar with the basics of transformers in machine learning, but not necessarily experts. There will be no
[00:02:18.000 --> 00:02:24.000]   pop quiz about equations or formulas or architecture diagrams today. And I will assume that you don't have
[00:02:24.000 --> 00:02:29.000]   any familiarity with cancer immunology. So this will hopefully be friendly to people that have never really
[00:02:29.000 --> 00:02:34.000]   thought about that world. But I hope you all agree that curing cancer is a worthwhile thing to do. And I'll tell you
[00:02:34.000 --> 00:02:40.000]   about the ways we're trying to bring these worlds together. What you should know about me, this was covered a bit in the
[00:02:40.000 --> 00:02:47.000]   intro, but I did my PhD here at Stanford in neuroscience. So I'm actually not a cancer immunologist by
[00:02:47.000 --> 00:02:53.000]   training or background. I'm new to that field. My background is in computational neuroscience and
[00:02:53.000 --> 00:02:59.000]   specifically visual cortex and how the primate visual system works. And when I was here, I mostly studied how we can
