
[00:00:00.040 --> 00:00:09.600]   Mona
[00:05:46.800 --> 00:05:46.800]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:05:46.800 --> 00:05:46.800]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:05:46.800 --> 00:05:46.800]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:05:46.800 --> 00:05:46.800]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:05:46.800 --> 00:05:46.800]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:05:46.800 --> 00:05:46.800]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:05:46.800 --> 00:06:16.820]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:06:16.820 --> 00:06:16.820]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:06:16.820 --> 00:06:16.820]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:06:16.820 --> 00:06:16.820]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:06:16.840 --> 00:06:46.840]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:06:46.840 --> 00:06:46.840]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:06:46.840 --> 00:06:46.840]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:06:46.840 --> 00:06:46.840]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:06:46.840 --> 00:06:46.840]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:06:46.840 --> 00:06:46.840]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:06:46.840 --> 00:06:46.840]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:06:46.880 --> 00:07:16.860]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:07:16.860 --> 00:07:16.860]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:07:16.860 --> 00:07:16.860]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:07:16.860 --> 00:07:16.860]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:07:16.860 --> 00:07:16.860]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:07:16.880 --> 00:07:46.880]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:07:46.880 --> 00:07:46.880]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:07:46.880 --> 00:07:46.880]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:07:46.880 --> 00:07:46.880]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:07:46.880 --> 00:07:46.880]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:07:46.880 --> 00:07:46.880]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:07:46.880 --> 00:07:46.880]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:07:46.920 --> 00:08:16.900]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:08:16.900 --> 00:08:16.900]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:08:16.900 --> 00:08:16.900]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:08:16.900 --> 00:08:16.900]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:08:16.900 --> 00:08:16.900]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:08:16.920 --> 00:08:46.920]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:08:46.920 --> 00:08:46.920]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:08:46.920 --> 00:08:46.920]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:08:46.920 --> 00:08:46.920]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:08:46.920 --> 00:08:46.920]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:08:46.920 --> 00:08:46.920]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:08:46.920 --> 00:08:46.920]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:08:46.960 --> 00:09:16.940]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:09:16.940 --> 00:09:16.940]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:09:16.940 --> 00:09:16.940]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:09:16.940 --> 00:09:16.940]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:09:16.940 --> 00:09:16.940]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:09:16.960 --> 00:09:46.960]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:09:46.960 --> 00:09:46.960]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:09:46.960 --> 00:09:46.960]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:09:46.960 --> 00:09:46.960]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:09:46.960 --> 00:09:46.960]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:09:46.960 --> 00:09:46.960]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:09:46.960 --> 00:09:46.960]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:09:47.000 --> 00:10:16.980]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:10:16.980 --> 00:10:16.980]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:10:16.980 --> 00:10:16.980]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:10:16.980 --> 00:10:16.980]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:10:16.980 --> 00:10:16.980]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:10:17.000 --> 00:10:47.000]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:10:47.000 --> 00:10:47.000]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:10:47.000 --> 00:10:47.000]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:10:47.000 --> 00:10:47.000]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:10:47.000 --> 00:10:47.000]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:10:47.000 --> 00:10:47.000]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:10:47.000 --> 00:10:47.000]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:10:47.040 --> 00:11:17.020]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:11:17.020 --> 00:11:17.020]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:11:17.020 --> 00:11:17.020]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:11:17.020 --> 00:11:17.020]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:11:17.020 --> 00:11:17.020]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:11:17.020 --> 00:11:17.020]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:11:17.040 --> 00:11:47.040]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:11:47.040 --> 00:11:47.040]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:11:47.040 --> 00:11:47.040]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:11:47.040 --> 00:11:47.040]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:11:47.040 --> 00:11:47.040]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:11:47.040 --> 00:11:47.040]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:11:47.080 --> 00:12:17.060]  ,
[00:12:17.060 --> 00:12:17.060]   and I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:12:17.060 --> 00:12:17.060]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:12:17.060 --> 00:12:17.060]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:12:17.060 --> 00:12:17.060]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:12:17.060 --> 00:12:17.060]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:12:17.060 --> 00:12:17.060]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:12:17.080 --> 00:12:47.080]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:12:47.080 --> 00:12:47.080]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:12:47.080 --> 00:12:47.080]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:12:47.080 --> 00:12:47.080]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:12:47.080 --> 00:12:47.080]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:12:47.080 --> 00:12:47.080]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:12:47.080 --> 00:12:47.080]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:12:47.120 --> 00:13:17.100]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:13:17.100 --> 00:13:17.100]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:13:17.100 --> 00:13:17.100]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:13:17.100 --> 00:13:17.100]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:13:17.100 --> 00:13:17.100]   I'll be open for another three weeks. The close date that I will be closing the course is June 6, 2018 for this summer session.
[00:13:17.140 --> 00:13:27.560]   however
[00:13:27.560 --> 00:13:46.040]   열�, really,
[00:13:46.080 --> 00:13:59.020]   Now, if you don't have disability income insurance,
[00:13:59.020 --> 00:14:04.000]   and yet you're dependent on your income,
[00:14:04.000 --> 00:14:07.680]   stop what you're doing and go buy some.
[00:14:07.680 --> 00:14:09.240]   Learn from Sarah's experience.
[00:14:09.240 --> 00:14:13.480]   And listen to how hard everything that I'm about to share with Sarah is.
[00:14:13.480 --> 00:14:15.020]   It's a lot easier if you can sit back and think,
[00:14:15.020 --> 00:14:15.020]   and it's a lot easier if you can sit back and think,
[00:14:15.020 --> 00:14:15.020]   and it's a lot easier if you can sit back and think,
[00:14:15.020 --> 00:14:15.020]   and it's a lot easier if you can sit back and think,
[00:14:15.020 --> 00:14:15.020]   and it's a lot easier if you can sit back and think,
[00:14:15.020 --> 00:14:15.020]   and it's a lot easier if you can sit back and think,
[00:14:15.020 --> 00:14:15.020]   and it's a lot easier if you can sit back and think,
[00:14:15.020 --> 00:14:15.020]   and it's a lot easier if you can sit back and think,
[00:14:15.020 --> 00:14:15.020]   and it's a lot easier if you can sit back and think,
[00:14:15.020 --> 00:14:44.020]   and it's a lot easier if you can sit back and think,
[00:14:44.020 --> 00:14:44.060]   and it's a lot easier if you can sit back and think,
[00:14:44.060 --> 00:14:44.100]   and it's a lot easier if you can sit back and think,
[00:14:44.100 --> 00:14:44.140]   and it's a lot easier if you can sit back and think,
[00:14:44.140 --> 00:14:44.180]   and it's a lot easier if you can sit back and think,
[00:14:44.180 --> 00:14:44.220]   and it's a lot easier if you can sit back and think,
[00:14:44.220 --> 00:14:44.220]   and it's a lot easier if you can sit back and think,
[00:14:44.220 --> 00:14:44.240]   and it's a lot easier if you can sit back and think,
[00:14:44.240 --> 00:14:44.260]   and it's a lot easier if you can sit back and think,
[00:14:44.260 --> 00:14:44.280]   and it's a lot easier if you can sit back and think,
[00:14:44.280 --> 00:14:44.300]   and it's a lot easier if you can sit back and think,
[00:14:44.300 --> 00:14:44.300]   and it's a lot easier if you can sit back and think, and think,
[00:14:44.340 --> 00:14:51.980]   whip
[00:14:51.980 --> 00:14:54.760]   men,,, not
[00:15:13.320 --> 00:15:24.300]   worked
[00:15:24.300 --> 00:15:40.000]   discuss the say cuánt
[00:15:42.360 --> 00:15:49.380]   so learn from Sarah's experience and go and buy disability income insurance.
[00:15:49.380 --> 00:15:53.380]   Don't waste time. Don't think, "Oh, I'll do it next year."
[00:15:53.380 --> 00:15:57.380]   Go and do it today.
[00:15:57.380 --> 00:16:01.380]   Now that you've done that, let's talk about what to do if you can't get insurance.
[00:16:01.380 --> 00:16:05.380]   Let's talk about what Sarah can do.
[00:16:05.380 --> 00:16:11.400]   I think it makes sense for you to invest your income and your assets into regaining and rebuilding your health to whatever extent you can.
[00:16:11.400 --> 00:16:11.400]   I think it makes sense for you to invest your income and your assets into regaining and rebuilding your health to whatever extent you can.
[00:16:11.400 --> 00:16:11.400]   I think it makes sense for you to invest your income and your assets into regaining and rebuilding your health to whatever extent you can.
[00:16:11.400 --> 00:16:11.400]   I think it makes sense for you to invest your income and your assets into regaining and rebuilding your health to whatever extent you can.
[00:16:11.440 --> 00:16:37.460]   I think it makes logical sense if you know of a way to increase your health by draining your bank accounts, by draining your investment accounts, by selling your house and your car, etc. I think it makes logical sense to do that and to prioritize your health over your money.
[00:16:37.460 --> 00:16:39.460]   I really don't see any other way around it.
[00:16:39.460 --> 00:16:40.460]   I really don't see any other way around it.
[00:16:40.460 --> 00:16:41.440]   Now, you can't always spend money on the right side of the screen.
[00:16:41.440 --> 00:16:41.440]   Now, you can't always spend money on the right side of the screen.
[00:16:41.440 --> 00:16:41.440]   Now, you can't always spend money on the right side of the screen.
[00:16:41.440 --> 00:16:41.440]   Now, you can't always spend money on the right side of the screen.
[00:16:41.440 --> 00:16:41.440]   Now, you can't always spend money on the right side of the screen.
[00:16:41.440 --> 00:16:41.440]   right side of the screen.
[00:16:41.460 --> 00:16:51.480]   But if you can spend money to buy health, do it.
[00:16:51.480 --> 00:16:51.480]   right side of the screen.
[00:16:51.480 --> 00:16:51.480]   right side of the screen.
[00:16:51.480 --> 00:16:52.480]   right side of the screen. Years ago, I worked with a client.
[00:16:52.480 --> 00:16:52.500]   Years ago, I worked with a client.
[00:16:52.500 --> 00:16:53.480]   Years ago, I worked with a client. And this particular client --
[00:16:53.480 --> 00:16:53.540]   And this particular client --
[00:16:53.540 --> 00:16:55.480]   And this particular client -- I forget the details of it here at the moment.
[00:16:55.480 --> 00:16:55.520]   I forget the details of it here at the moment.
[00:16:55.520 --> 00:16:59.480]   I forget the details of it here at the moment. But this particular client, older clients in their retirement age in their 60s, she was facing a significant health problem.
[00:16:59.480 --> 00:16:59.500]   But this particular client, older clients in their retirement age in their 60s, she was facing a significant health problem.
[00:16:59.500 --> 00:17:03.500]   But this particular client, older clients in their retirement age in their 60s, she was facing a significant health problem.
[00:17:03.520 --> 00:17:13.540]   And the details are coming back now. She had been exposed to some dangerous chemicals at work.
[00:17:13.540 --> 00:17:13.540]   And the details are coming back now. She had been exposed to some dangerous chemicals at work.
[00:17:13.540 --> 00:17:15.540]   And the details are coming back now. She had been exposed to some dangerous chemicals at work. And these dangerous chemicals were really having a damaging effect on her health.
[00:17:15.540 --> 00:17:15.540]   And these dangerous chemicals were really having a damaging effect on her health.
[00:17:15.540 --> 00:17:17.540]   And these dangerous chemicals were really having a damaging effect on her health.
[00:17:17.540 --> 00:17:19.540]   And that they were sitting here trying to figure out how they did investment planning with, you know, they had $30,000 in their bank account.
[00:17:19.540 --> 00:17:19.540]   And that they were sitting here trying to figure out how they did investment planning with, you know, they had $30,000 in their bank account.
[00:17:19.540 --> 00:17:21.540]   And that they were sitting here trying to figure out how they did investment planning with, you know, they had $30,000 in their bank account.
[00:17:21.560 --> 00:17:41.580]   And they were trying to figure out how they did investment planning with, you know, they had $30,000 in their bank account.
[00:17:41.580 --> 00:17:43.580]   And they were trying to figure out how they did investment planning with, you know, they had $30,000 in their bank account.
[00:17:43.580 --> 00:17:45.580]   And they were trying to figure out how they did investment planning with, you know, they had $30,000 in their bank account.
[00:17:45.580 --> 00:17:47.580]   And they were trying to figure out how they did investment planning with, you know, they had $30,000 in their bank account.
[00:17:47.580 --> 00:17:49.580]   And they were trying to figure out how they did investment planning with, you know, they had $30,000 in their bank account.
[00:17:49.580 --> 00:17:49.580]   And they were trying to figure out how they did investment planning with, you know, they had $30,000 in their bank account.
[00:17:49.580 --> 00:17:49.580]   And they were trying to figure out how they were trying to figure out how they were trying to invest in their bank account.
[00:17:49.800 --> 00:18:19.620]  , and they were trying to figure out how they were trying to figure out how they were trying to invest in their bank account.
[00:18:19.620 --> 00:18:19.620]   And they were trying to figure out how they were trying to invest in their bank account.
[00:18:19.620 --> 00:18:19.620]   And they were trying to figure out how they were trying to invest in their bank account.
[00:18:19.620 --> 00:18:19.620]   And they were trying to figure out how they were trying to invest in their bank account.
[00:18:19.620 --> 00:18:19.620]   And they were trying to figure out how they were trying to invest in their bank account.
[00:18:19.620 --> 00:18:19.620]   And they were trying to figure out how they were trying to invest in their bank account.
[00:18:19.620 --> 00:18:19.620]   And they were trying to figure out how they were trying to invest in their bank account.
[00:18:19.640 --> 00:18:27.660]   And they were trying to figure out how they were trying to invest in their bank account.
[00:18:27.660 --> 00:18:29.660]   And they were trying to figure out how they were trying to invest in their bank account.
[00:18:29.660 --> 00:18:31.660]   And they were trying to figure out how they were trying to invest in their bank account.
[00:18:31.660 --> 00:18:33.660]   And they were trying to figure out how they were trying to invest in their bank account.
[00:18:33.660 --> 00:18:35.660]   And they were trying to figure out how they were trying to invest in their bank account.
[00:18:35.660 --> 00:18:37.660]   And they were trying to figure out how they were trying to invest in their bank account.
[00:18:37.660 --> 00:18:39.660]   And they were trying to figure out how they were trying to invest in their bank account.
[00:18:39.660 --> 00:18:41.660]   And they were trying to figure out how they were trying to invest in their bank account.
[00:18:41.660 --> 00:18:43.660]   And they were trying to figure out how they were trying to invest in their bank account.
[00:18:43.660 --> 00:18:45.660]   And they were trying to figure out how they were trying to invest in their bank account.
[00:18:46.200 --> 00:19:13.700]  , And they were trying to figure out how they were trying to invest in their bank account.
[00:19:13.700 --> 00:19:15.700]   And they were trying to figure out how they were trying to invest in their bank account.
[00:19:15.700 --> 00:19:15.700]   And they were trying to figure out how they were trying to invest in their bank account.
[00:19:15.700 --> 00:19:15.700]   And they were trying to figure out how they were trying to invest in their bank account.
[00:19:15.700 --> 00:19:15.700]   And they were trying to figure out how they were trying to invest in their bank account.
[00:19:15.700 --> 00:19:15.700]   And they were trying to figure out how they were trying to invest in their bank account.
[00:19:15.700 --> 00:19:15.700]   And they were trying to figure out how they were trying to invest in their bank account.
[00:19:15.700 --> 00:19:15.700]   And they were trying to figure out how they were trying to invest in their bank account.
[00:19:15.700 --> 00:19:15.700]   And they were trying to figure out how they were trying to invest in their bank account.
[00:19:15.700 --> 00:19:15.700]   And they were trying to figure out how they were trying to invest in their bank account.
[00:19:15.720 --> 00:19:19.740]   And they were trying to figure out how they were trying to invest in their bank account.
[00:19:19.740 --> 00:19:21.740]   And they were trying to figure out how they were trying to invest in their bank account.
[00:19:21.740 --> 00:19:23.740]   And they were trying to figure out how they were trying to invest in their bank account.
[00:19:23.740 --> 00:19:25.740]   And they were trying to figure out how they were trying to invest in their bank account.
[00:19:25.740 --> 00:19:27.740]   And they were trying to figure out how they were trying to invest in their bank account.
[00:19:27.740 --> 00:19:29.740]   And they were trying to figure out how they were trying to invest in their bank account.
[00:19:29.740 --> 00:19:31.740]   And they were trying to figure out how they were trying to invest in their bank account.
[00:19:31.740 --> 00:19:33.740]   And they were trying to figure out how they were trying to invest in their bank account.
[00:19:33.740 --> 00:19:35.740]   And they were trying to figure out how they were trying to invest in their bank account.
[00:19:35.740 --> 00:19:37.740]   And they were trying to figure out how they were trying to invest in their bank account.
[00:19:38.280 --> 00:20:01.780]  , And they were trying to figure out how they were trying to invest in their bank account.
[00:20:01.780 --> 00:20:03.780]   And they were trying to figure out how they were trying to invest in their bank account.
[00:20:03.780 --> 00:20:05.780]   And they were trying to figure out how they were trying to invest in their bank account.
[00:20:05.780 --> 00:20:07.780]   And they were trying to figure out how they were trying to invest in their bank account.
[00:20:07.780 --> 00:20:07.780]   And they were trying to figure out how they were trying to invest in their bank account.
[00:20:07.780 --> 00:20:07.780]   And they were trying to figure out how they were trying to invest in their bank account.
[00:20:07.780 --> 00:20:07.780]   And they were trying to figure out how they were trying to invest in their bank account.
[00:20:07.780 --> 00:20:07.780]   And they were trying to figure out how they were trying to invest in their bank account.
[00:20:07.780 --> 00:20:07.780]   And they were trying to figure out how they were trying to invest in their bank account.
[00:20:07.780 --> 00:20:07.780]   And they were trying to figure out how they were trying to invest in their bank account.
[00:20:07.780 --> 00:20:07.780]   And they were trying to figure out how they were trying to invest in their bank account.
[00:20:07.800 --> 00:20:11.820]   And they were trying to figure out how they were trying to invest in their bank account.
