
[00:00:00.000 --> 00:00:06.040]   Welcome back everyone.
[00:00:06.040 --> 00:00:08.820]   This is part 3 in our series on methods and metrics.
[00:00:08.820 --> 00:00:11.380]   We're going to talk about generation metrics.
[00:00:11.380 --> 00:00:12.920]   In the previous screencast,
[00:00:12.920 --> 00:00:14.700]   we talked about classifier metrics.
[00:00:14.700 --> 00:00:17.740]   Those seem conceptually straightforward at first,
[00:00:17.740 --> 00:00:21.080]   but turn out to harbor lots of intricacies.
[00:00:21.080 --> 00:00:23.820]   That goes double at least for generation.
[00:00:23.820 --> 00:00:27.080]   Generation is incredibly conceptually challenging.
[00:00:27.080 --> 00:00:29.760]   I would say the fundamental issue here is that
[00:00:29.760 --> 00:00:33.680]   there is more than one effective way to say most things.
[00:00:33.680 --> 00:00:36.160]   That immediately raises the question of
[00:00:36.160 --> 00:00:38.220]   what we are even trying to measure.
[00:00:38.220 --> 00:00:39.860]   Is it fluency?
[00:00:39.860 --> 00:00:41.400]   Is it truthfulness?
[00:00:41.400 --> 00:00:44.200]   Communicative effectiveness? Maybe something else?
[00:00:44.200 --> 00:00:46.900]   These are all interestingly different questions.
[00:00:46.900 --> 00:00:48.940]   After all, you could have a system that was
[00:00:48.940 --> 00:00:51.880]   highly fluent but spewing falsehoods,
[00:00:51.880 --> 00:00:54.080]   or even a system that was highly disfluent,
[00:00:54.080 --> 00:00:56.540]   but achieving its goals in communication.
[00:00:56.540 --> 00:00:59.240]   Those examples show that you really need to have
[00:00:59.240 --> 00:01:02.160]   clarity on the high-level goals before you can even
[00:01:02.160 --> 00:01:06.760]   think about which metrics to choose for generation.
[00:01:06.760 --> 00:01:09.840]   Let's begin the discussion with perplexity.
[00:01:09.840 --> 00:01:11.440]   That's a natural starting point.
[00:01:11.440 --> 00:01:14.040]   It's a analog of accuracy,
[00:01:14.040 --> 00:01:16.160]   but in the generation space.
[00:01:16.160 --> 00:01:18.280]   For some sequence X and
[00:01:18.280 --> 00:01:20.320]   some probability distribution or model
[00:01:20.320 --> 00:01:22.800]   that can assign probability distributions,
[00:01:22.800 --> 00:01:26.360]   the perplexity for that sequence according to that model is
[00:01:26.360 --> 00:01:29.520]   really just the geometric mean of the probabilities
[00:01:29.520 --> 00:01:32.180]   assigned to the individual time steps.
[00:01:32.180 --> 00:01:36.560]   Then when we average over an entire corpus for the mean perplexity,
[00:01:36.560 --> 00:01:38.720]   we just do the geometric mean of
[00:01:38.720 --> 00:01:42.320]   the individual perplexity scores per sequence.
[00:01:42.320 --> 00:01:44.920]   Properties of perplexity, well,
[00:01:44.920 --> 00:01:47.560]   its bounds are one and infinity with one the best,
[00:01:47.560 --> 00:01:50.380]   so we are seeking to minimize this quantity.
[00:01:50.380 --> 00:01:54.760]   It is equivalent to the exponentiation of the cross entropy loss.
[00:01:54.760 --> 00:01:56.360]   This is really important.
[00:01:56.360 --> 00:02:01.080]   Most modern day language models use a cross entropy loss.
[00:02:01.080 --> 00:02:03.780]   What that means is that whether you wanted to or not,
[00:02:03.780 --> 00:02:08.600]   you are effectively optimizing that model for perplexity.
[00:02:08.600 --> 00:02:10.800]   What's the value encoded?
[00:02:10.800 --> 00:02:12.880]   It's something like, does the model assign
[00:02:12.880 --> 00:02:15.760]   high probability to the input sequence?
[00:02:15.760 --> 00:02:17.520]   When we think about assessment,
[00:02:17.520 --> 00:02:20.900]   what that means is that we have some assessment set of sequences.
[00:02:20.900 --> 00:02:23.260]   We run our model on those examples,
[00:02:23.260 --> 00:02:26.180]   we get the average perplexity across the examples,
[00:02:26.180 --> 00:02:31.520]   and we report that number as an estimate of system quality.
[00:02:31.520 --> 00:02:33.760]   Relatedly, there are a number of
[00:02:33.760 --> 00:02:35.800]   weaknesses that we really need to think about.
[00:02:35.800 --> 00:02:40.240]   First, perplexity is heavily dependent on the underlying vocabulary.
[00:02:40.240 --> 00:02:43.000]   One easy way to see this is just to imagine that we take
[00:02:43.000 --> 00:02:47.520]   every token in the sequences and map them to a single UNK character.
[00:02:47.520 --> 00:02:50.440]   In that case, we will have perfect perplexity,
[00:02:50.440 --> 00:02:54.180]   but we will have a terrible generation system.
[00:02:54.180 --> 00:02:59.780]   Perplexity also really does not allow comparisons between datasets.
[00:02:59.780 --> 00:03:01.700]   The issue here is that we don't have
[00:03:01.700 --> 00:03:06.160]   any ground truth on what's a good or bad perplexity separate from the data.
[00:03:06.160 --> 00:03:09.180]   What that means is that comparing across two datasets with
[00:03:09.180 --> 00:03:13.020]   perplexity numbers is just comparing incomparables.
[00:03:13.020 --> 00:03:17.020]   Relatedly, even comparisons between models is tricky.
[00:03:17.020 --> 00:03:20.100]   You can see this emerging here because we really need
[00:03:20.100 --> 00:03:23.380]   a lot of things to be held constant to do a model comparison.
[00:03:23.380 --> 00:03:25.940]   Certainly, the tokenization needs to be the same.
[00:03:25.940 --> 00:03:28.300]   Certainly, the datasets need to be the same.
[00:03:28.300 --> 00:03:31.860]   Ideally, many other aspects of the systems are held
[00:03:31.860 --> 00:03:34.840]   constant when we do a perplexity comparison.
[00:03:34.840 --> 00:03:39.860]   Otherwise, again, we are in danger of comparing incomparables.
[00:03:39.860 --> 00:03:43.620]   Word error rate might be better,
[00:03:43.620 --> 00:03:47.820]   and this is more tightly aligned with actually human-created reference text,
[00:03:47.820 --> 00:03:49.780]   which could be a step up from
[00:03:49.780 --> 00:03:53.500]   perplexity in terms of how we think about assessment.
[00:03:53.500 --> 00:03:55.860]   This is really a family of measures.
[00:03:55.860 --> 00:03:58.540]   You need to pick a distance measure between strings,
[00:03:58.540 --> 00:04:02.540]   and then your word error rate is parameterized by that distance metric.
[00:04:02.540 --> 00:04:09.520]   Here's the full calculation for a gold text X and a predicted text pred.
[00:04:09.520 --> 00:04:12.220]   We do the distance between X and pred
[00:04:12.220 --> 00:04:14.280]   according to whatever distance measure we chose,
[00:04:14.280 --> 00:04:18.740]   and we divide that by the length of the reference or gold text.
[00:04:18.740 --> 00:04:21.400]   Then when we average over a whole corpus,
[00:04:21.400 --> 00:04:23.000]   what we do is for the numerator,
[00:04:23.000 --> 00:04:26.960]   sum up all of the distances between gold and predicted texts,
[00:04:26.960 --> 00:04:32.200]   and we divide that by the total length of all of the reference texts.
[00:04:32.200 --> 00:04:34.460]   Properties of word error rate,
[00:04:34.460 --> 00:04:36.920]   its bounds are zero and infinity with zero the best,
[00:04:36.920 --> 00:04:39.480]   it's an error rate, so we're trying to minimize it.
[00:04:39.480 --> 00:04:42.420]   The value encoded is something like how aligned is
[00:04:42.420 --> 00:04:44.800]   the predicted sequence with the actual sequence,
[00:04:44.800 --> 00:04:47.560]   so in that way, it's similar to F scores
[00:04:47.560 --> 00:04:50.740]   once you have thought about your distance metric.
[00:04:50.740 --> 00:04:55.100]   Weaknesses, well, it can accommodate just one reference text.
[00:04:55.100 --> 00:04:57.140]   Our fundamental challenge here is that there's
[00:04:57.140 --> 00:04:59.640]   more than one good way to say most things,
[00:04:59.640 --> 00:05:02.620]   whereas here we can accommodate only a single way,
[00:05:02.620 --> 00:05:04.020]   presumably a good one,
[00:05:04.020 --> 00:05:06.400]   of saying the thing that we care about.
[00:05:06.400 --> 00:05:10.300]   It's also a very syntactic notion by default.
[00:05:10.300 --> 00:05:13.600]   Most distance metrics are string edit metrics,
[00:05:13.600 --> 00:05:16.960]   and they're very sensitive to the actual structure of the string.
[00:05:16.960 --> 00:05:19.320]   As a result, by and large,
[00:05:19.320 --> 00:05:21.700]   these metrics will treat it was good,
[00:05:21.700 --> 00:05:26.120]   it was not good, and it was great as all similarly distant from each other,
[00:05:26.120 --> 00:05:27.600]   when of course semantically,
[00:05:27.600 --> 00:05:34.040]   it was good and it was great are alike and different from it was not good.
[00:05:34.040 --> 00:05:38.440]   Blue scores build on intuitions around word error rate,
[00:05:38.440 --> 00:05:40.700]   and they're trying to be more sensitive to the fact that there's
[00:05:40.700 --> 00:05:43.220]   more than one way to say most things.
[00:05:43.220 --> 00:05:44.560]   Here's how blue scores work.
[00:05:44.560 --> 00:05:46.820]   It's again going to be a balance of precision and
[00:05:46.820 --> 00:05:50.020]   recall but now tailored to the generation space.
[00:05:50.020 --> 00:05:53.740]   The notion of precision is modified N-gram precision.
