
[00:00:00.000 --> 00:00:04.060]   This is Sax's big day. There he is. Oh, there's Tucker. Oh, look
[00:00:04.060 --> 00:00:07.560]   at the smile on Sax's face. This is the greatest day in the
[00:00:07.560 --> 00:00:26.900]   history of the All-in Park. Look at how happy Sax is. Oh, Sax! By the way, I'm not ashamed of that. You're not, no, I'm honored. Oh, whoa, Sax! How threatened do you feel right now? This is the highest
[00:00:26.900 --> 00:00:41.480]   rated hosting in cable history. This is the world's true greatest moderator. Exactly. No doubt. No doubt. Sax, where is this in relation to your marriage and the birth of your children? Don't ask. It's right up there. Up there. He's like, what children? It is for me.
[00:00:41.480 --> 00:00:48.020]   Rain Man David Sax.
[00:00:48.020 --> 00:01:11.360]   All right, everybody, we've got an amazing guest for you today here on the All-in Podcast. Sax's dream has come true. Tucker Carlson is with us today. You know, Tucker, he was the number one TV host for much of
[00:01:11.360 --> 00:01:28.560]   the past decade, including last year, when shockingly, he was fired from Fox News on April 24. Reason for the firing. It's never been pinned down, but maybe we'll get into it today. And we're going to find out what is motivating a post Fox News Tucker, who has
[00:01:28.600 --> 00:01:48.440]   obviously launched a show on X, the platform formerly known as Twitter. He's done 42 episodes and counting. He's had everybody from Donald Trump, Andrew Tate, Dave Portnoy, and the newly elected president of Argentina on the program. So welcome to the All-in
[00:01:48.440 --> 00:01:50.640]   Podcast, Tucker Carlson.
[00:01:50.640 --> 00:01:54.960]   Thank you for having me. It is it is a legit honor to be here.
[00:01:55.760 --> 00:02:19.520]   Two part question to kick us off here. First, have you figured out why you were fired from Fox? And let's get into that a bit. And second, given that you were the number one host for for much of the past decade, and I think probably in the top five highest paid of all time, what's motivating you now? What's the mission here as an independent journalist? Take those two questions in whichever order you like.
[00:02:19.640 --> 00:02:47.880]   I don't know why I was fired. I mean, it kind of is an Agatha Christie story. There are like so many suspects, you know what I mean? But I don't know. I was never told I can only speculate. There were a lot of different things going on. I had a lot of opinions that were unpopular, you know, with people who might have influenced my show getting canceled. So I really don't know. I will say, you know, right after it happened, people said, well, how can they fire the top guy? And because that's what it is.
[00:02:47.880 --> 00:03:13.640]   I'm certainly not the first high rated host to get fired. It's not only about ratings. There are a lot of different factors. It's a big company you all have worked for and run big companies. And, you know, it's there's a lot of complicated stuff going on. And it's never exactly clear, you know, why things happen the way they do. But I was not shocked by it. I was shocked by it in the short term sense. I didn't expect to have my show canceled that morning. But I was not shocked at all.
