
[00:00:00.000 --> 00:00:02.580]   (gentle music)
[00:00:02.580 --> 00:00:07.400]   - Welcome, friends, to this episode
[00:00:07.400 --> 00:00:10.080]   of the Everyday Educator Podcast.
[00:00:10.080 --> 00:00:11.760]   I'm your host, Lisa Bailey,
[00:00:11.760 --> 00:00:14.980]   and I'm excited to spend some time with you today
[00:00:14.980 --> 00:00:18.060]   as we encourage one another, learn together,
[00:00:18.060 --> 00:00:20.880]   and ponder the delights and challenges
[00:00:20.880 --> 00:00:24.200]   that make homeschooling the adventure of a lifetime.
[00:00:24.200 --> 00:00:26.340]   Whether you're just considering
[00:00:26.340 --> 00:00:28.440]   this homeschooling possibility
[00:00:28.440 --> 00:00:32.120]   or deep into the daily delight of family learning,
[00:00:32.120 --> 00:00:36.360]   I believe you'll enjoy thinking along with us.
[00:00:36.360 --> 00:00:41.340]   But don't forget, although this online community is awesome,
[00:00:41.340 --> 00:00:46.340]   you'll find even closer support in a local CC community.
[00:00:46.340 --> 00:00:50.080]   So go to classicalconversations.com
[00:00:50.080 --> 00:00:54.080]   and find a community near you today.
[00:00:54.080 --> 00:00:58.120]   Well, listeners, I have a treat for you today.
[00:00:58.120 --> 00:01:02.440]   We spend a lot of time talking with homeschooling,
[00:01:02.440 --> 00:01:06.180]   mostly moms, but occasionally a dad.
[00:01:06.180 --> 00:01:11.180]   Today, I want to give you a perspective
[00:01:11.180 --> 00:01:17.080]   on homeschooling and beyond,
[00:01:17.080 --> 00:01:20.640]   but from a dad's perspective.
[00:01:20.640 --> 00:01:25.640]   I have with me today a dad of two adult daughters.
[00:01:27.520 --> 00:01:30.720]   He and his wife graduated their children
[00:01:30.720 --> 00:01:34.860]   through the Challenge 4 program of Classical Conversations.
[00:01:34.860 --> 00:01:37.720]   This dad is an educator at heart.
[00:01:37.720 --> 00:01:41.440]   He loves to learn alongside his children,
[00:01:41.440 --> 00:01:43.960]   and how do I know all this?
[00:01:43.960 --> 00:01:46.100]   Because he's my husband.
[00:01:46.100 --> 00:01:50.360]   Yes, I have recruited my own husband as a podcast guest
[00:01:50.360 --> 00:01:55.020]   because I think he has something unique to say
[00:01:55.020 --> 00:01:59.300]   to families, to parents, to homeschoolers,
[00:01:59.300 --> 00:02:03.060]   to lifelong learners, to everyday educators.
[00:02:03.060 --> 00:02:07.920]   And so I want to welcome to the podcast, my husband, David.
[00:02:07.920 --> 00:02:10.280]   - Hello.
[00:02:10.280 --> 00:02:13.420]   - I'm glad for you to get a front row seat
[00:02:13.420 --> 00:02:16.960]   for what I spend so much of my week doing every week.
[00:02:16.960 --> 00:02:17.800]   - I was getting ready to say,
[00:02:17.800 --> 00:02:19.840]   I bet you say that about all your guests,
[00:02:19.840 --> 00:02:22.100]   but then you got to the husband part,
[00:02:22.100 --> 00:02:23.740]   so you knew I was unique.
