
[00:00:00.000 --> 00:00:00.800]   Hello, everybody.
[00:00:00.800 --> 00:00:02.520]   It's Sam from Financial Samurai.
[00:00:02.520 --> 00:00:05.480]   And I just wanted to wish everyone a happy Thanksgiving.
[00:00:05.480 --> 00:00:08.600]   This is the best time of year, my favorite time of year,
[00:00:08.600 --> 00:00:11.440]   because I feel so grateful for all of you
[00:00:11.440 --> 00:00:14.440]   guys and my family and my friends.
[00:00:14.440 --> 00:00:17.000]   And it's about just appreciating what we have
[00:00:17.000 --> 00:00:20.440]   and telling others why we do appreciate them.
[00:00:20.440 --> 00:00:22.960]   I was just reading this article on Harvard Business Review
[00:00:22.960 --> 00:00:26.120]   called "Stop Making Gratitude All About You."
[00:00:26.120 --> 00:00:27.640]   The bottom line from the article is
[00:00:27.640 --> 00:00:30.720]   that you should use gratitude not only to appreciate
[00:00:30.720 --> 00:00:34.440]   the world more, but also to strengthen your relationships
[00:00:34.440 --> 00:00:37.520]   with those you rely on.
[00:00:37.520 --> 00:00:39.440]   So expressing gratitude to someone
[00:00:39.440 --> 00:00:42.040]   who helps you keeps them interested and invested
[00:00:42.040 --> 00:00:45.080]   in having a relationship with you over the long haul.
[00:00:45.080 --> 00:00:46.160]   This is truly important.
[00:00:46.160 --> 00:00:49.240]   So think about the people you care about the most--
[00:00:49.240 --> 00:00:52.400]   your spouse, your girlfriend, your boyfriend, your parents,
[00:00:52.400 --> 00:00:54.840]   your relatives, and your close friends.
[00:00:54.840 --> 00:00:56.720]   When was the last time you told them, hey,
[00:00:56.720 --> 00:01:00.560]   I really appreciate you always being there for me
[00:01:00.560 --> 00:01:01.680]   when I have a problem?
[00:01:01.680 --> 00:01:04.200]   Or I really appreciate you being flexible,
[00:01:04.200 --> 00:01:06.600]   coming to play tennis with me on my schedule.
[00:01:06.600 --> 00:01:08.400]   Or I really appreciate you always
[00:01:08.400 --> 00:01:11.680]   looking after our little one, because I trust you more
[00:01:11.680 --> 00:01:13.720]   than anyone else in the world.
[00:01:13.720 --> 00:01:16.400]   And I thought a little bit more about this article
[00:01:16.400 --> 00:01:20.080]   and how narcissistic it is for me to do this podcast
[00:01:20.080 --> 00:01:23.280]   and also to write all these posts all these years.
[00:01:23.280 --> 00:01:25.800]   Because I would say about 30% to 40%
[00:01:25.800 --> 00:01:28.840]   of my posts and podcasts are what's going on in my life
[00:01:28.840 --> 00:01:30.360]   and what I'm doing.
[00:01:30.360 --> 00:01:33.520]   And so that kind of takes a narcissistic personality,
[00:01:33.520 --> 00:01:34.880]   to be frank, right?
[00:01:34.880 --> 00:01:37.360]   But hopefully you guys appreciate some
[00:01:37.360 --> 00:01:38.840]   of my thought process that I want
[00:01:38.840 --> 00:01:41.380]   to share with you guys when it comes to investing in the stock
[00:01:41.380 --> 00:01:45.200]   market or real estate market or building a business online
[00:01:45.200 --> 00:01:46.280]   or whatnot.
[00:01:46.280 --> 00:01:50.320]   And that helps you, motivate you to do something,
[00:01:50.320 --> 00:01:52.400]   and also helps you hopefully build wealth
[00:01:52.400 --> 00:01:53.800]   over the long term.
[00:01:53.800 --> 00:01:56.320]   I'm obviously not going to get everything right, which
[00:01:56.320 --> 00:02:00.120]   is why it's so powerful to share my thoughts and feelings
[00:02:00.120 --> 00:02:01.760]   and ideas with all of you so I can
[00:02:01.760 --> 00:02:03.880]   get really critical feedback.
[00:02:03.880 --> 00:02:07.560]   So I'm really grateful for those of you who really give it to me
[00:02:07.560 --> 00:02:09.400]   and call me out and say, hey, you know what?
[00:02:09.400 --> 00:02:11.080]   You're totally missing this viewpoint.
[00:02:11.080 --> 00:02:12.840]   Or hey, why don't you do this?
[00:02:12.840 --> 00:02:14.920]   You didn't think about this.
[00:02:14.920 --> 00:02:17.240]   I don't appreciate so much the people who are kind
[00:02:17.240 --> 00:02:19.240]   of nasty in their feedback.
[00:02:19.240 --> 00:02:21.360]   But those of you who really lay out
[00:02:21.360 --> 00:02:24.600]   some really thoughtful feedback, I really appreciate it.
[00:02:24.600 --> 00:02:26.640]   And I think other readers do as well,
[00:02:26.640 --> 00:02:29.020]   because there are tons of people just reading the comments,
[00:02:29.020 --> 00:02:31.800]   lurking around, or listening to this podcast or whatnot.
[00:02:31.800 --> 00:02:34.760]   And they're thinking, uh-huh, I never thought about that
[00:02:34.760 --> 00:02:35.260]   before.
[00:02:35.260 --> 00:02:38.280]   And that's a really, really powerful, powerful way
[00:02:38.280 --> 00:02:39.240]   of living.
[00:02:39.240 --> 00:02:41.780]   There's an interesting story by Ray Dalio.
[00:02:41.780 --> 00:02:46.600]   He's the head of this $170 billion hedge fund.
[00:02:46.600 --> 00:02:49.760]   And when he first started out, what he realized
[00:02:49.760 --> 00:02:52.680]   was that there were a lot of yes men, yes women, who didn't
[00:02:52.680 --> 00:02:55.480]   really counteract anything he said.
[00:02:55.480 --> 00:02:58.200]   And then eventually, he got something really wrong,
[00:02:58.200 --> 00:03:00.560]   and his company almost closed down.
[00:03:00.560 --> 00:03:02.600]   And this is when he thought, well, you know what?
[00:03:02.600 --> 00:03:05.440]   I better get some outside perspectives.
[00:03:05.440 --> 00:03:07.560]   And so now, in all his board meetings,
[00:03:07.560 --> 00:03:09.920]   he has radical transparency where
[00:03:09.920 --> 00:03:12.920]   his colleagues and other senior executives and just
[00:03:12.920 --> 00:03:15.280]   the junior guys just say, hey, Ray,
[00:03:15.280 --> 00:03:17.760]   that was a terrible investment thesis.
[00:03:17.760 --> 00:03:19.480]   You missed this, this, this, and that.
[00:03:19.480 --> 00:03:23.160]   And the whole idea of it is to avoid groupthink
[00:03:23.160 --> 00:03:26.280]   and avoid having all these yes people just
[00:03:26.280 --> 00:03:27.920]   agree with whatever you say.
[00:03:27.920 --> 00:03:30.400]   And I really don't want that as well.
[00:03:30.400 --> 00:03:32.920]   I don't want every single reader to agree with what I say
[00:03:32.920 --> 00:03:33.720]   or what I believe.
[00:03:33.720 --> 00:03:34.520]   We're all different.
[00:03:34.520 --> 00:03:37.200]   We all have different opinions, beliefs, goals.
[00:03:37.200 --> 00:03:39.440]   And I think that's what makes Financial Samurai
[00:03:39.440 --> 00:03:40.960]   and the community special.
[00:03:40.960 --> 00:03:43.040]   So please keep on providing honest feedback.
[00:03:43.040 --> 00:03:43.920]   I love it.
[00:03:43.920 --> 00:03:47.240]   To me, to other people in the community, in a respectful way,
[00:03:47.240 --> 00:03:49.920]   we can all learn from each other.
[00:03:49.920 --> 00:03:53.640]   Financial freedom, I think, is an inevitability for all of us.
[00:03:53.640 --> 00:03:56.320]   It's like my old favorite Chinese saying,
[00:03:56.320 --> 00:03:58.840]   if the direction is correct, sooner or later,
[00:03:58.840 --> 00:04:00.200]   you'll get there.
[00:04:00.200 --> 00:04:02.600]   I also want to use this podcast to highlight
[00:04:02.600 --> 00:04:05.800]   how our wealth, I think, is mostly due to luck.
[00:04:05.800 --> 00:04:08.320]   Now, it's interesting because I wrote this post that
[00:04:08.320 --> 00:04:11.800]   got a lot of reaction and some quite negative.
[00:04:11.800 --> 00:04:14.040]   One person was like, I absolutely
[00:04:14.040 --> 00:04:17.760]   disagree with your thesis that wealth is mostly due to luck.
[00:04:17.760 --> 00:04:20.440]   And I am unsubscribing from your Facebook page.
[00:04:20.440 --> 00:04:22.400]   And I was thinking to myself, wow,
[00:04:22.400 --> 00:04:24.480]   I guess I really touched a nerve.
[00:04:24.480 --> 00:04:29.640]   But my belief is that wealth, above average wealth,
