
[00:00:00.000 --> 00:00:01.560]   There's this
[00:00:01.560 --> 00:00:03.560]   kind of thing that happens in
[00:00:03.560 --> 00:00:08.820]   Biology called evolution and a lot of people think evolution is this continuous process, but it's not
[00:00:08.820 --> 00:00:15.120]   evolution is this process by which there is some significant growth for a period of time and
[00:00:15.120 --> 00:00:18.960]   Then there is an extinction event or an external force
[00:00:18.960 --> 00:00:23.320]   That causes what ultimately becomes what's called punctuated equilibrium
[00:00:23.320 --> 00:00:27.040]   So the whole kind of system resets and then the healthier stronger species
[00:00:27.760 --> 00:00:31.800]   Survive and they grow and they persist and if you look at the
[00:00:31.800 --> 00:00:38.600]   first chart Nick that I pulled up this will just show you guys past extinction events large amounts of
[00:00:38.600 --> 00:00:43.760]   biomass over the past half billion years get wiped out when these extinction events occur and
[00:00:43.760 --> 00:00:50.800]   then evolution occurs because the species that can survive the extinction of hand persists in the environment and they grow and
[00:00:51.480 --> 00:00:59.080]   That's how evolution kind of actually takes place is there's an external force that changes what survives and what doesn't it's kind of a testing
[00:00:59.080 --> 00:01:02.760]   Force if you look at federal spending and this is a crazy link
[00:01:02.760 --> 00:01:06.560]   but here's federal spending over the last couple of decades and I
[00:01:06.560 --> 00:01:09.860]   Would argue that many of the agencies?
[00:01:09.860 --> 00:01:17.560]   Much of the bureaucracy many of the jobs created many of the spending programs many of the operating models many of the behaviors
[00:01:17.560 --> 00:01:19.880]   can kind of be viewed as a
[00:01:20.560 --> 00:01:25.960]   species or species within this ecosystem that have kind of grown a lot over the last few decades and
[00:01:25.960 --> 00:01:29.040]   I think what Trump's mandate was by the people
[00:01:29.040 --> 00:01:35.100]   and people don't want to hear this and they don't like it, but his mandate was to be kind of the extinction event and
[00:01:35.100 --> 00:01:37.880]   whatever agencies
[00:01:37.880 --> 00:01:39.880]   whatever operating processes
[00:01:39.880 --> 00:01:41.560]   whatever individuals
[00:01:41.560 --> 00:01:46.400]   whatever bureaucratic systems exist within the federal government that can withstand the scrutiny of
[00:01:46.560 --> 00:01:50.320]   The individuals that Trump is going to put in charge of each of these agencies
[00:01:50.320 --> 00:01:53.560]   That they can survive and they can come out the other end
[00:01:53.560 --> 00:01:59.280]   There is certainly some degree of strength and resilience and hardiness. This is not about right or wrong
