
[00:00:00.040 --> 00:00:18.180]   and yeah so my name is Mike Chambers I'm gonna pick you up a little bit there so I'm from
[00:00:18.180 --> 00:00:23.940]   Queensland in the eastern part of Australia but that's okay yeah very happy to be here so I'm a
[00:00:23.940 --> 00:00:28.080]   developer advocate for Amazon Web Services and I completely and utterly and
[00:00:28.080 --> 00:00:33.780]   only and totally specialize in generative AI used to be machine learning now it's
[00:00:33.780 --> 00:00:37.860]   generative AI I'll be talking about why this slide is up here in a moment any
[00:00:37.860 --> 00:00:42.120]   tabletop RPG players in the room there's got to be at least one or two there are
[00:00:42.120 --> 00:00:45.720]   some Randall you were saying you were before okay it doesn't matter if you
[00:00:45.720 --> 00:00:49.560]   don't get that but I will be showing some code and what I'm going to be showing is
[00:00:49.560 --> 00:00:53.400]   how to get the code and how to get into production so if you're a developer this
[00:00:53.400 --> 00:00:56.940]   is how you can get your code and get it to cloud scale if you're a leader then
[00:00:56.940 --> 00:01:00.660]   this is how you can get your developers to get their code and get it into cloud
[00:01:00.660 --> 00:01:05.160]   scale just a little bit about the kinds of things that I've done in the past and so
[00:01:05.160 --> 00:01:10.740]   I was incredibly fortunate a couple of years ago to work with dr. Dr. Andruin and
[00:01:10.740 --> 00:01:16.680]   some colleagues from AWS on this course this is the fundamentals of LLM's over
[00:01:16.680 --> 00:01:22.860]   370,000 people have taken this course so far it was the first of its course of its kind I also
[00:01:22.860 --> 00:01:27.860]   got to play Transformers with Andrew which is cool and if you get the reference there
[00:01:27.860 --> 00:01:32.700]   I'm playing with Transformers okay and if you don't know who this is that's Optimus Prime
[00:01:32.700 --> 00:01:42.780]   okay I think I'm holding I can't what's the other one called anybody Megatron thank you yes yes that's
[00:01:42.780 --> 00:01:48.600]   right and so let me jump into it let me jump straight into it and some of you saw that code
[00:01:48.600 --> 00:01:53.520]   was coming and code is coming now everything I'm going to show is pre-recorded because Wi-Fi right
[00:01:53.520 --> 00:01:58.620]   we know that but everything that I'm showing also is in real time so what I want to show
[00:01:58.620 --> 00:02:03.360]   first of all is just something super super simple this is a single Python function a
[00:02:03.360 --> 00:02:08.600]   single Python file which contains an agent right and it's the agent I'm going to use for the
[00:02:08.600 --> 00:02:15.480]   demonstration moving forward this is where we get to dice rolling and TTRPG and the idea here is
[00:02:15.480 --> 00:02:19.740]   that I want to do a simple agent with a simple tool that's not getting the weather because we
[00:02:19.740 --> 00:02:25.740]   know how to do that so in this code here it doesn't use any frameworks or anything at all it's actually
[00:02:25.740 --> 00:02:32.760]   kind of inefficient but I have this one what we'd call a tool here this is my tool it's how to roll
[00:02:32.760 --> 00:02:39.300]   the dice essentially it's a random number generator but I'm calling it a dice roller and you can see
[00:02:39.300 --> 00:02:47.980]   here if you if you're familiar with this it's using a llama and it's using the the llama 3.1 8 billion
[00:02:47.980 --> 00:02:54.960]   parameter model super tiny just running on my laptop this is literally an agent running on my machine and so
[00:02:54.960 --> 00:03:00.300]   if we skip through here I've got some things which I've sort of collapsed down for brevity this is a
[00:03:00.300 --> 00:03:05.220]   simple agent it's an agentic flow we're going to talk more in detail about what agents are in a moment I
[00:03:05.220 --> 00:03:12.240]   have my system prompt where I tell it what tools it's got available I then also actually do include some
[00:03:12.240 --> 00:03:17.100]   examples as well the reason I include examples again it's a tiny little model and it just needs a
