
[00:00:00.000 --> 00:00:02.120]   Just continuing with this.
[00:00:02.120 --> 00:00:03.320]   OK, great.
[00:00:03.320 --> 00:00:05.720]   Yeah.
[00:00:05.720 --> 00:00:07.400]   Any other new faces today?
[00:00:07.400 --> 00:00:11.960]   Ali, have you been here before?
[00:00:11.960 --> 00:00:13.400]   I don't remember seeing you.
[00:00:13.400 --> 00:00:14.280]   Maybe you've been quiet.
[00:00:14.280 --> 00:00:15.160]   I've been here.
[00:00:15.160 --> 00:00:17.560]   I don't think I've had the camera on.
[00:00:17.560 --> 00:00:19.400]   OK, yeah.
[00:00:19.400 --> 00:00:21.280]   Nice to meet you.
[00:00:21.280 --> 00:00:26.040]   And Nick is back from his tour of Tropical Islands.
[00:00:26.040 --> 00:00:26.680]   Hi, Nick.
[00:00:26.680 --> 00:00:28.720]   Yes, yep.
[00:00:28.720 --> 00:00:31.000]   Not so far away, though. Still pretty close.
[00:00:31.000 --> 00:00:31.600]   Yeah.
[00:00:31.600 --> 00:00:34.920]   Well, when you're at Queensland, Tropical Islands are easy.
[00:00:34.920 --> 00:00:37.120]   By default.
[00:00:37.120 --> 00:00:37.800]   Hi, Marie.
[00:00:37.800 --> 00:00:39.200]   Nice to see you.
[00:00:39.200 --> 00:00:42.320]   Where are you joining us from?
[00:00:42.320 --> 00:00:43.280]   Hello, can you hear me?
[00:00:43.280 --> 00:00:45.360]   Hi, absolutely.
[00:00:45.360 --> 00:00:47.720]   I'm Joni from South Bank of Brisbane.
[00:00:47.720 --> 00:00:48.680]   Uh-huh.
[00:00:48.680 --> 00:00:52.040]   Yeah, I'm at the Children's Health Queensland Hospital
[00:00:52.040 --> 00:00:52.760]   building.
[00:00:52.760 --> 00:00:53.760]   Ah, yes.
[00:00:53.760 --> 00:00:55.040]   OK, great.
[00:00:58.240 --> 00:01:00.920]   Anybody got anything they wanted to talk about or ask about
[00:01:00.920 --> 00:01:02.000]   before we dive in?
[00:01:02.000 --> 00:01:03.840]   Because I've got some good news, which
[00:01:03.840 --> 00:01:07.720]   is I've made things much easier in the horrible direction
[00:01:07.720 --> 00:01:08.600]   we went last time.
[00:01:08.600 --> 00:01:14.000]   All right, sounds like I should dive in then.
[00:01:14.000 --> 00:01:22.960]   I know there was, like, as I rather expected,
