
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:06.040]   - Welcome back to the podcast.
[00:00:06.040 --> 00:00:10.520]   Well, is the hobby of watercolor painting
[00:00:10.520 --> 00:00:12.700]   a wartime waste of time and money?
[00:00:12.700 --> 00:00:15.720]   That's the question today from a listener named Amy.
[00:00:15.720 --> 00:00:17.660]   Pastor John, hello to you and thank you for your ministry
[00:00:17.660 --> 00:00:19.140]   over these many years, she writes.
[00:00:19.140 --> 00:00:20.840]   I have benefited greatly from it.
[00:00:20.840 --> 00:00:25.000]   Your seashells message was especially profound to me, yes.
[00:00:25.000 --> 00:00:27.080]   One of the classic John Piper sermons,
[00:00:27.080 --> 00:00:30.100]   which is titled "Boasting Only in the Cross"
[00:00:30.100 --> 00:00:33.380]   and preached on May 20th, 2000.
[00:00:33.380 --> 00:00:35.780]   But that sermon left me with a lingering question
[00:00:35.780 --> 00:00:37.400]   I've never resolved.
[00:00:37.400 --> 00:00:41.220]   Would you consider all hobbies like seashell collecting
[00:00:41.220 --> 00:00:43.280]   a waste of life?
[00:00:43.280 --> 00:00:46.240]   I ask because I recently took up watercolor painting.
[00:00:46.240 --> 00:00:49.080]   I keep asking myself, does this glorify God?
[00:00:49.080 --> 00:00:51.320]   And to what purpose does this further his kingdom?
[00:00:51.320 --> 00:00:52.940]   I'm not sure it does.
[00:00:52.940 --> 00:00:55.960]   Painting is a relaxing stress reliever for me
[00:00:55.960 --> 00:00:58.520]   and I've enjoyed using it to make homemade cards for people,
[00:00:58.520 --> 00:01:03.280]   but it seems it's mostly for my benefit and my enjoyment.
[00:01:03.280 --> 00:01:05.200]   You clearly have a category for hobbies.
[00:01:05.200 --> 00:01:07.660]   When Tony recently asked you to name your favorite hobbies,
[00:01:07.660 --> 00:01:11.760]   you said Scrabble with Noel and making your yard look perfect.
[00:01:11.760 --> 00:01:14.320]   That was an APJ 1882.
[00:01:14.320 --> 00:01:17.080]   So what guidelines can you offer us wartime Christians
[00:01:17.080 --> 00:01:20.040]   to discern when hobbies are God glorifying
[00:01:20.040 --> 00:01:23.400]   and when they become life wasting?
[00:01:23.400 --> 00:01:27.480]   When I first tackled this question nine years ago on APJ,
[00:01:27.480 --> 00:01:29.560]   I was reading biographies at the time,
[00:01:29.560 --> 00:01:34.320]   books about Hudson Taylor and by Hudson Taylor,
[00:01:34.320 --> 00:01:36.600]   the missionary, and I think Hudson Taylor at that time
[00:01:36.600 --> 00:01:40.720]   and now if he were alive would answer this question
[00:01:40.720 --> 00:01:42.480]   pretty bluntly and say, come on, come on,
[00:01:42.480 --> 00:01:46.640]   let's give our lives for the cause of the gospel,
[00:01:46.640 --> 00:01:49.020]   especially world evangelization.
[00:01:49.020 --> 00:01:52.800]   So I have that ringing in my ears even to this day.
[00:01:52.800 --> 00:01:56.920]   And I don't want to soft pedal how radical
[00:01:56.920 --> 00:02:00.960]   the Christian life is by being culturally adapting
[00:02:00.960 --> 00:02:04.960]   as a Christian and ignoring the horrific plight
[00:02:04.960 --> 00:02:08.840]   of the lost and the unreached of this world.
[00:02:08.840 --> 00:02:13.000]   But here's what I think needs to be said biblically.
[00:02:13.000 --> 00:02:17.180]   We want to be biblical and not just draw out our own
[00:02:17.180 --> 00:02:20.480]   inferences from situations that may not accord
[00:02:20.480 --> 00:02:22.240]   with God's word.
[00:02:22.240 --> 00:02:26.840]   Yes, some people waste their lives playing.
[00:02:26.840 --> 00:02:28.140]   We just have to admit that.
[00:02:28.140 --> 00:02:32.640]   They do, their whole life is jumping from one fun thing
[00:02:32.640 --> 00:02:34.160]   to the next.
[00:02:34.160 --> 00:02:37.560]   What they really get excited about and what they spend
[00:02:37.560 --> 00:02:41.960]   most of their time, most of their life thinking about
[00:02:41.960 --> 00:02:45.480]   is the next gadget or the next vacation
[00:02:45.480 --> 00:02:49.120]   or the next streaming video series or the next concert
[00:02:49.120 --> 00:02:51.080]   or the next movie.
[00:02:51.080 --> 00:02:55.400]   If you want to get them animated, bring that up.
[00:02:55.400 --> 00:02:57.880]   Not Jesus, don't bring up salvation.
[00:02:57.880 --> 00:02:59.520]   They won't have anything to say.
[00:02:59.520 --> 00:03:02.120]   There's no emotional kick there at all.
[00:03:02.120 --> 00:03:04.840]   Not the hope of glory, not adoption into God's family,
[00:03:04.840 --> 00:03:07.640]   not the forgiveness of sins, not the miracles of Jesus.
[00:03:07.640 --> 00:03:09.600]   Just what did you watch last week?
[00:03:09.600 --> 00:03:12.320]   And whoa, they come alive with all kinds
[00:03:12.320 --> 00:03:15.560]   of verbal statements that show they can talk
