
[00:00:00.000 --> 00:00:03.600]   [Christmas music]
[00:00:03.600 --> 00:00:07.300]   Well, Christmas anticipation is thick in the air.
[00:00:07.300 --> 00:00:13.300]   Christmas music dominates the airwaves, and the smell of pumpkin spice permeates everything.
[00:00:13.300 --> 00:00:21.500]   Beautiful lights brighten the night sky, and in less than one week from today, Christmas will be done.
[00:00:21.500 --> 00:00:28.200]   All the gifts will be unwrapped and worn or played with, or returned to the store for cash or credit.
[00:00:28.200 --> 00:00:35.200]   And we're going to take the trees down and the lights down, and we'll toss them out or we'll box them up for another year.
[00:00:35.200 --> 00:00:40.100]   And it happens every year. There's this subtle sense, this subtle pang of letdown.
[00:00:40.100 --> 00:00:46.900]   And you can call me a Scrooge to bring it up this time of the year, but I find this sensation rather predictable.
[00:00:46.900 --> 00:00:52.500]   Perhaps it's because we have overspent and underslept and maybe overeaten.
[00:00:52.500 --> 00:00:57.300]   Whatever the cause is, Christmas never seems to live up to the buildup.
[00:00:57.300 --> 00:01:04.600]   So why is that? To answer this question, a couple of years back, Pastor Matt Chandler preached an Advent sermon on Zephaniah 3,
[00:01:04.600 --> 00:01:09.800]   verses 14 to 20, in a sermon titled "God's Protection and Delight."
[00:01:09.800 --> 00:01:17.700]   And the sermon includes an insightful and helpful meditation on this point to ready us and to steady us for this season.
[00:01:17.700 --> 00:01:25.400]   Here now is a little clip from Pastor Matt Chandler, a survivor of brain cancer, preaching from Zephaniah chapter 3.
[00:01:25.400 --> 00:01:31.500]   In verse 15, the text says, "Why do we sing and shout and clap and rejoice with all our hearts?
[00:01:31.500 --> 00:01:35.800]   Because according to verse 15, our punishment has been removed."
[00:01:35.800 --> 00:01:40.200]   And that's awesome. Like our punishment has been removed.
[00:01:40.200 --> 00:01:43.300]   We are lawbreakers. We have rebelled against God.
[00:01:43.300 --> 00:01:46.800]   And in Christ, all of our punishment has been removed.
[00:01:46.800 --> 00:01:54.900]   That's true right now. That your judgment day, Christian, has already occurred.
[00:01:54.900 --> 00:01:58.100]   Now you will stand in front of God and you will give an account.
[00:01:58.100 --> 00:02:06.400]   And I don't know, for illustration points only, when they open up that file and pull your file out and slap it down,
[00:02:06.400 --> 00:02:09.100]   it will be dripping with the blood of Christ.
[00:02:09.100 --> 00:02:15.200]   And when they open up the first page, it will say, "Holy, spotless, blameless."
[00:02:15.200 --> 00:02:17.100]   Not because of you, but because of Christ.
[00:02:17.100 --> 00:02:19.800]   There is now no condemnation for those who are in Christ.
[00:02:19.800 --> 00:02:23.700]   Yeah, I'm preaching. You can clap.
[00:02:23.700 --> 00:02:26.800]   Right? This is what God has done.
[00:02:26.800 --> 00:02:32.700]   This is why we look back upon the first coming of Christ and we sing and we shout and we rejoice with all our hearts
[00:02:32.700 --> 00:02:34.600]   in the God of our salvation.
[00:02:34.600 --> 00:02:38.900]   And because there is no punishment for us, we will never again fear harm.
[00:02:38.900 --> 00:02:42.800]   Now again, we're in the space between. We're in the already, but not yet.
[00:02:42.800 --> 00:02:45.900]   It's a scary thing to live in a Genesis 3 world.
[00:02:45.900 --> 00:02:50.100]   I had to go get an MRI this past week. It was nerve-wracking.
[00:02:50.100 --> 00:02:51.600]   Why though, right?
[00:02:51.600 --> 00:02:55.400]   I mean, if I die, don't I gain?
[00:02:55.400 --> 00:02:58.700]   Yeah, but I was still nervous.
[00:02:58.700 --> 00:03:01.900]   I had no control over it. I was still nervous.
[00:03:01.900 --> 00:03:09.200]   Met with a woman last night and her teenagers whose husband died Tuesday morning.
[00:03:09.200 --> 00:03:10.600]   There's some fear there, right?
[00:03:10.600 --> 00:03:14.000]   So we're in this space between. We're in the already, but not yet.
[00:03:14.000 --> 00:03:15.600]   We know what Christ has purchased.
[00:03:15.600 --> 00:03:19.300]   He's refining us, working us, moving in us, revealing in us,
[00:03:19.300 --> 00:03:22.400]   churning our hearts, stirring up affection.
[00:03:22.400 --> 00:03:28.000]   And so we look forward to the second coming of Christ where all of this has been consummated completely.
[00:03:28.000 --> 00:03:32.000]   So we rejoice because punishment has been removed and we will never fear harm.
[00:03:32.000 --> 00:03:36.800]   And then I love the verse 17. Our God is a mighty warrior who saves.
[00:03:36.800 --> 00:03:40.600]   I love the imagery of God being a mighty warrior.
[00:03:40.600 --> 00:03:44.800]   Think about that. God killed death.
[00:03:44.800 --> 00:03:46.800]   That's incredible.
[00:03:46.800 --> 00:03:52.800]   What enemy could you and I have that the warrior God of the universe wouldn't smirk at?
[00:03:52.800 --> 00:03:56.900]   Our God is a warrior. He takes great delight in you.
[00:03:56.900 --> 00:04:01.300]   According to the text, he will no longer rebuke you.
[00:04:01.300 --> 00:04:03.500]   And then I love this. I've just got a question about it.
[00:04:03.500 --> 00:04:07.600]   It says God rejoices over us in singing.
[00:04:07.600 --> 00:04:10.700]   So quick question. I don't have an answer to but it's a great question.
[00:04:10.700 --> 00:04:17.300]   If the spoken word of God created the expanse of the universe,
[00:04:17.300 --> 00:04:22.700]   so powerful was the let there be light,
[00:04:22.700 --> 00:04:28.200]   that the universe continues to this day to expand in every direction.
[00:04:28.200 --> 00:04:34.300]   What does the singing of God do over the hearts of men and women?
[00:04:34.300 --> 00:04:38.400]   In verse 18, we see that there'll be no mourning. In verse 19, there's no more oppression.
[00:04:38.400 --> 00:04:41.200]   The lame will be rescued. The exiles will be gathered.
[00:04:41.200 --> 00:04:44.400]   And then in verse 20, we will all be brought home.
[00:04:44.400 --> 00:04:50.000]   I love verse 20. See, if we're honest, that all of us have a bit of a restless heart, right?
[00:04:50.000 --> 00:04:54.700]   We have this anticipation that one day that restlessness will end.
[00:04:54.700 --> 00:04:58.400]   And so we've been paying it forward our whole lives, have we not?
[00:04:58.400 --> 00:05:01.300]   You just can't wait to get to high school.
[00:05:01.300 --> 00:05:05.100]   And then you can't wait to get a car. And then you can't wait to get out of high school.
[00:05:05.100 --> 00:05:09.700]   And then you can't wait to get to college. And then you can't wait to get out of college.
[00:05:09.700 --> 00:05:12.200]   And then you can't wait to get a good job.
[00:05:12.200 --> 00:05:15.700]   You can't wait to find a man or a woman to marry.
[00:05:15.700 --> 00:05:17.500]   You can't wait to make a certain amount of money.
[00:05:17.500 --> 00:05:20.300]   You can't wait to buy your first home. Can't wait to have a kid.
[00:05:20.300 --> 00:05:24.400]   Can't wait for that kid to go to school. Can't wait for that kid to get out of your house.
[00:05:24.400 --> 00:05:28.500]   Can't wait to, right? You just keep paying it forward.
[00:05:28.500 --> 00:05:33.700]   And yet, that I'm not quite there yet is persistent.
[00:05:33.700 --> 00:05:37.600]   And it just doesn't go away. Like Bono nailed it, didn't he?
[00:05:37.600 --> 00:05:41.800]   And I still haven't found what I'm looking for.
[00:05:41.800 --> 00:05:46.600]   And then some Christians grabbed that and brutalized great theology.
[00:05:46.600 --> 00:05:49.100]   They sang, "And I finally found what I'm looking for."
[00:05:49.100 --> 00:05:52.100]   No, no, no. You're ignoring the theology of the song.
[00:05:52.100 --> 00:05:55.600]   The theology of the song is that we're in the space between.
[00:05:55.600 --> 00:05:58.300]   That all this is true about us right now in Christ.
[00:05:58.300 --> 00:06:02.700]   And yet in the space between, the refining fire of God's love is purifying,
[00:06:02.700 --> 00:06:06.400]   transforming, working for our good.
[00:06:06.400 --> 00:06:09.100]   What we long for is the second advent.
[00:06:09.100 --> 00:06:12.400]   And in the coming of Christ, his life, death, and resurrection,
[00:06:12.400 --> 00:06:15.400]   our hearts have found their home.
[00:06:15.400 --> 00:06:21.700]   They breathe. They rest while we anticipate the coming of Christ.
[00:06:21.700 --> 00:06:24.700]   And listen, this is what Christmas is all about.
[00:06:24.700 --> 00:06:27.700]   So we're Chandler Manor is decked out.
[00:06:27.700 --> 00:06:30.600]   All right, stockings are up. Trees are up.
[00:06:30.600 --> 00:06:32.700]   Trees, plural. Lost that fight about eight years ago.
[00:06:32.700 --> 00:06:35.100]   I don't even get in anymore. I'm just like, "All right, how many?
[00:06:35.100 --> 00:06:36.600]   Just two? Okay, let's go get them."
[00:06:36.600 --> 00:06:38.100]   And so trees are up.
[00:06:38.100 --> 00:06:42.900]   It honestly looks like Christmas vacation vomited in my house.
[00:06:42.900 --> 00:06:44.400]   So we're ready to roll.
