
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:00:02.420 --> 00:00:05.680]   They don't see the dangers.
[00:00:05.680 --> 00:00:09.640]   I think a lot of the parents, Sam, that I talk to
[00:00:09.640 --> 00:00:14.640]   think that school now is a lot more like school was
[00:00:14.640 --> 00:00:20.720]   when they were in school than it is.
[00:00:20.720 --> 00:00:24.520]   And they don't see the danger partly
[00:00:24.520 --> 00:00:27.200]   because they don't explore it and they don't want to know
[00:00:27.200 --> 00:00:29.840]   because that would demand that you make a difference.
[00:00:29.840 --> 00:00:33.000]   A different decision that you have to change.
[00:00:33.000 --> 00:00:38.000]   But I think that people don't recognize the danger
[00:00:38.000 --> 00:00:46.880]   that public education, that modern public education
[00:00:46.880 --> 00:00:51.880]   is doing to our children and thus to our future.
[00:00:51.880 --> 00:00:54.440]   - You know, part of the reason that they don't recognize it
[00:00:54.440 --> 00:00:56.880]   is because they don't recognize the damage
[00:00:56.880 --> 00:00:58.080]   that it's done to them.
[00:00:58.080 --> 00:00:59.480]   - Absolutely.
[00:00:59.480 --> 00:01:03.680]   - And if they do recognize the damage that it's done to them
[00:01:03.680 --> 00:01:08.680]   then they have some reconciliation to make
[00:01:08.680 --> 00:01:10.840]   between them and their parents,
[00:01:10.840 --> 00:01:12.960]   between them and their children so far.
[00:01:12.960 --> 00:01:16.560]   Like there's so much damage to unpack
[00:01:16.560 --> 00:01:19.160]   and it's a difficult road.
[00:01:19.160 --> 00:01:22.160]   Like I understand that it's hard for people.
[00:01:22.160 --> 00:01:24.920]   And they'd rather not look at it.
[00:01:24.920 --> 00:01:26.960]   A lot of people are just focused on
[00:01:26.960 --> 00:01:30.040]   where's my next meal coming from?
[00:01:30.040 --> 00:01:32.600]   - Moving ahead, not looking back.
[00:01:32.600 --> 00:01:36.720]   And if looking back is going to jeopardize my moving ahead,
[00:01:36.720 --> 00:01:37.720]   then for a lot of people,
[00:01:37.720 --> 00:01:42.000]   they don't feel like they have the freedom to do that.
[00:01:42.000 --> 00:01:43.440]   - Yep, fair enough.
[00:01:43.440 --> 00:01:46.640]   - And so a lot of us who do,
[00:01:46.640 --> 00:01:51.640]   a lot of us who do think, wow, a system...
[00:01:51.640 --> 00:01:56.160]   If I am saying I don't think I'm capable
[00:01:56.160 --> 00:01:58.960]   of homeschooling my children,
[00:01:58.960 --> 00:02:01.760]   why would I send them to an institution
[00:02:01.760 --> 00:02:06.760]   that made me incapable of educating another human being?
[00:02:06.760 --> 00:02:08.200]   And so we do come out
[00:02:08.200 --> 00:02:11.040]   and we do pursue this home centered education
[00:02:11.040 --> 00:02:16.040]   and we reclaim our own educations as we go.
[00:02:16.040 --> 00:02:18.820]   I mean, how did you learn to teach your children?
[00:02:18.820 --> 00:02:21.600]   - Well, I learned the wrong way, right?
[00:02:21.600 --> 00:02:23.760]   So, and I did it wrong.
[00:02:23.760 --> 00:02:28.440]   And I don't say that, look, I don't mean much by that.
[00:02:28.440 --> 00:02:34.080]   I did a grammar curriculum that involved a lot of writing.
[00:02:34.080 --> 00:02:38.480]   And so I forced my firstborn to do all the writing.
[00:02:38.480 --> 00:02:40.800]   And then when the second one came along,
[00:02:40.800 --> 00:02:42.820]   I didn't force him to do all the writing
[00:02:42.820 --> 00:02:46.520]   because at that point I'd figured out it was a lot.
[00:02:46.520 --> 00:02:48.460]   - This is not the best thing.
[00:02:48.460 --> 00:02:50.360]   - Once you go through it once, you're like,
[00:02:50.360 --> 00:02:53.640]   well, wait a minute, we don't have to do all of that stuff.
[00:02:53.640 --> 00:02:55.260]   Like, thanks, but no thanks.
[00:02:55.260 --> 00:02:59.080]   So, but then again, my firstborn has written
[00:02:59.080 --> 00:03:01.720]   and published a book and my second child has not.
[00:03:01.720 --> 00:03:03.220]   - There you go.
[00:03:03.220 --> 00:03:05.720]   - I don't know, maybe there's some math to do on that.
[00:03:05.720 --> 00:03:06.740]   - Right.
[00:03:06.740 --> 00:03:11.740]   - So I guess I figured it out as I went along.
[00:03:11.740 --> 00:03:15.560]   I know a lot more now than I did before.
[00:03:15.560 --> 00:03:17.380]   I've become much more brash.
[00:03:17.380 --> 00:03:20.600]   I didn't realize how damaged I was by the system.
[00:03:21.840 --> 00:03:26.280]   I didn't realize, I thought that it was just the school
[00:03:26.280 --> 00:03:29.080]   where I was just wasn't that good,
[00:03:29.080 --> 00:03:31.740]   but other schools might be good.
[00:03:31.740 --> 00:03:35.380]   Now I understand it's the system of schooling
[00:03:35.380 --> 00:03:37.920]   that is the hazard for our children.
[00:03:37.920 --> 00:03:40.740]   That's why I say just don't institutionalize healthy children
[00:03:40.740 --> 00:03:42.940]   like that's insane.
[00:03:42.940 --> 00:03:44.640]   And we should see it as insane.
[00:03:44.640 --> 00:03:46.560]   The only reason we don't see it as insane
[00:03:46.560 --> 00:03:48.420]   is because everybody does it.
[00:03:48.420 --> 00:03:53.280]   But everybody used to, I don't know, shave their heads.
[00:03:53.280 --> 00:03:54.120]   - Right.
[00:03:54.120 --> 00:03:58.220]   - Like everybody used to sacrifice their children.
[00:03:58.220 --> 00:04:00.260]   Well, I guess we still do that.
[00:04:00.260 --> 00:04:03.740]   Everybody used to something, right?
[00:04:03.740 --> 00:04:06.700]   Just because it's popular doesn't mean that it's right.
[00:04:06.700 --> 00:04:08.620]   Everybody used to wear floods.
[00:04:08.620 --> 00:04:09.460]   - That was it.
[00:04:09.460 --> 00:04:10.780]   - That was the popular thing to do
[00:04:10.780 --> 00:04:13.340]   was to roll your pants up so your ankles showed.
[00:04:13.340 --> 00:04:14.980]   - Yeah.
[00:04:14.980 --> 00:04:18.500]   - Now loafers with no socks is like the new thing.
[00:04:18.500 --> 00:04:20.320]   And there are a lot of people who adopt that.
[00:04:20.320 --> 00:04:21.680]   And there are still a lot of people who say,
[00:04:21.680 --> 00:04:22.660]   "No, that looks weird.
[00:04:22.660 --> 00:04:23.800]   "I'm not doing that."
[00:04:23.800 --> 00:04:25.380]   (laughing)
[00:04:25.380 --> 00:04:29.380]   So I think part of education,
[00:04:29.380 --> 00:04:31.420]   and for instance,
[00:04:31.420 --> 00:04:33.880]   I don't think education should have the modifier Christian.
[00:04:33.880 --> 00:04:34.780]   It shouldn't need that.
[00:04:34.780 --> 00:04:36.860]   It's either truth or it's not truth.
[00:04:36.860 --> 00:04:38.500]   And if it's truth, then it's Christian.
[00:04:38.500 --> 00:04:39.980]   - Then it's Christian.
[00:04:39.980 --> 00:04:42.060]   Right, 'cause all truth is God's truth.
[00:04:42.060 --> 00:04:45.460]   - But education ought to be pursuit of truth,
[00:04:45.460 --> 00:04:46.580]   beauty and goodness.
[00:04:46.580 --> 00:04:49.020]   And as long as you're pursuing that,
[00:04:49.020 --> 00:04:50.540]   you're not gonna be distracted.
[00:04:50.540 --> 00:04:53.980]   In fact, I would go so far as to say our schools
[00:04:53.980 --> 00:04:57.140]   and what they offer are only distraction.
