
[00:00:00.000 --> 00:00:14.080]   Welcome, everyone, to the 68th edition of Bogle Heads on Investing.
[00:00:14.080 --> 00:00:17.340]   Today, our topic is indexes.
[00:00:17.340 --> 00:00:22.420]   My special guest is Rolf Agathar, MoneyStars Head of Index Research and Products.
[00:00:22.420 --> 00:00:29.360]   Rolf has been in the business for 40 years and is a walking encyclopedia on index methodology and industry evolution.
[00:00:29.360 --> 00:00:41.960]   Hi, everyone. My name is Rick Ferry, and I am the host of Bogle Heads on Investing.
[00:00:41.960 --> 00:00:49.200]   This episode, as with all episodes, is brought to you by the John C. Bogle Center for Financial Literacy,
[00:00:49.200 --> 00:00:55.600]   a nonprofit organization that is building a world of well-informed, capable, and empowered investors.
[00:00:55.920 --> 00:01:04.720]   Visit the Bogle Center at BogleCenter.net, where you will find a treasure trove of information, including transcripts of these podcasts.
[00:01:04.720 --> 00:01:10.600]   Today, we're going to be talking about indexes, index evolution, and index funds.
[00:01:10.600 --> 00:01:12.680]   Why is this an important topic?
[00:01:12.680 --> 00:01:22.980]   When I first started in the business back in the late 1980s, less than 3% of the money in mutual funds was managed to a benchmark or an index.
[00:01:23.440 --> 00:01:26.480]   Today, that number stands at 53%.
[00:01:26.480 --> 00:01:30.380]   That means indexes are very important, but what do we really know about them?
[00:01:30.380 --> 00:01:40.980]   Today's episode is all about indexes, index creation, methodologies, rebalancing, reconstitution, what makes a good index,
[00:01:41.560 --> 00:01:59.780]   The evolution of indexes starting out as a price indicator for the general direction of the market and moving on to a value indicator for valuations of the market and economic indicators that were used in academics and then became benchmarks for asset managers to measure their performance against.
[00:02:00.220 --> 00:02:10.680]   And then the indexes themselves started to become products being replicated in index funds and ultimately in exchange traded funds and how that has changed the indexing industry.
[00:02:10.680 --> 00:02:15.260]   It would be hard to find anyone better to talk about this than Ralph Agatha.
[00:02:15.260 --> 00:02:20.640]   Ralph has been Morningstar's head of index research and products since 2020.
[00:02:20.640 --> 00:02:33.420]   But before that, he spent most of his career at Russell, previously when it was Frank Russell and Company during the 1980s and then became Russell Investments from 2000 to 2015,
[00:02:33.420 --> 00:02:37.920]   where he was the Managing Director of Research and Innovation for Russell Indices.
[00:02:37.920 --> 00:02:51.720]   Then in 2015, there was a merger between Russell and FTSE, who was another index provider, and Ralph became the Managing Director of Research for North America and then ultimately moved to Morningstar at his present position.
[00:02:51.720 --> 00:02:55.940]   So with no further ado, let me welcome Ralph Agatha.
[00:02:55.940 --> 00:02:57.200]   Welcome, Ralph.
[00:02:57.200 --> 00:02:58.780]   Yeah, great to be here. Thanks.
[00:02:58.780 --> 00:03:01.340]   Ralph, you and I go way back.
[00:03:01.340 --> 00:03:16.040]   We used to do index conferences 20 years ago where you were on panels as the head of index research and development at Russell, and I was the moderator.
[00:03:16.040 --> 00:03:23.320]   And we had people like David Blitzer from S&P and Sanjay Ayers from Morningstar, all of the index creators.
[00:03:23.320 --> 00:03:29.920]   And we discussed the creation and management of original traditional indexes,
[00:03:29.920 --> 00:03:34.960]   which you were very much involved in even back in the 1980s.
[00:03:34.960 --> 00:03:41.700]   So could you tell us a little bit about your background and how did you end up at Morningstar back in 2020?
[00:03:41.700 --> 00:03:42.440]   Sure.
[00:03:42.440 --> 00:03:48.740]   You know, just to tie into your comments, I think clearly this has been a great industry to be a part of for the majority of my career.
[00:03:48.740 --> 00:03:50.940]   It's the rising tide that has floated many boats.
[00:03:51.360 --> 00:03:55.960]   So I feel very fortunate to have been able to be part of what was once, you know, a sleepy backwater, right?
[00:03:55.960 --> 00:04:02.120]   I can talk about, you know, what indexes really was back in the early days, but it really has come to dominate the investment management landscape.
[00:04:02.120 --> 00:04:07.180]   I actually started at what's now called Russell Investments is much more known as an investment manager.
