
[00:00:00.000 --> 00:00:02.720]   [silence]
[00:00:02.720 --> 00:00:06.300]   What are your thoughts on sort of pure estrogen birth control?
[00:00:06.300 --> 00:00:08.100]   This is what I learned when I was in college
[00:00:08.100 --> 00:00:11.140]   is that birth control is basically tonic estrogen.
[00:00:11.140 --> 00:00:12.840]   So constantly taking estrogen, estrogen,
[00:00:12.840 --> 00:00:14.140]   women are taking estrogen
[00:00:14.140 --> 00:00:19.140]   so that they don't get the estrogen priming of progesterone,
[00:00:19.140 --> 00:00:21.780]   you're not getting any ovulation.
[00:00:21.780 --> 00:00:25.140]   And I've known women that have been taking,
[00:00:25.140 --> 00:00:27.780]   or that took oral contraception,
[00:00:27.780 --> 00:00:32.780]   as like estrogen pills basically for five, 10, 15 years.
[00:00:32.780 --> 00:00:35.480]   Are there long-term consequences of this
[00:00:35.480 --> 00:00:39.820]   as it relates to pregnancy, PCOS, menopause?
[00:00:39.820 --> 00:00:42.740]   If so, what are some of those consequences?
[00:00:42.740 --> 00:00:45.200]   What are your concerns?
[00:00:45.200 --> 00:00:46.960]   What do you like about oral contraceptives?
[00:00:46.960 --> 00:00:49.240]   What do you dislike about them?
[00:00:49.240 --> 00:00:51.360]   - I like how balanced you ask that question.
[00:00:51.360 --> 00:00:54.880]   So women who take oral contraceptives,
[00:00:54.880 --> 00:00:58.160]   as long as you're describing like 10 years or longer,
[00:00:58.160 --> 00:01:02.720]   we call those Olympic oral contraceptive users.
[00:01:02.720 --> 00:01:04.940]   In terms of benefit, I think that,
[00:01:04.940 --> 00:01:07.160]   especially when they first came out and even now,
[00:01:07.160 --> 00:01:11.260]   it gives women reproductive choice, and that's essential.
[00:01:11.260 --> 00:01:12.160]   As you may know,
[00:01:12.160 --> 00:01:15.320]   our reproductive choice has been declining recently.
[00:01:15.320 --> 00:01:16.840]   So I'm a big fan in that regard,
[00:01:16.840 --> 00:01:20.800]   and we've got a lot of data to show both the risks
[00:01:20.800 --> 00:01:22.820]   and also the benefits of it.
[00:01:22.820 --> 00:01:25.000]   So I'll speak first into the benefits
[00:01:25.000 --> 00:01:30.000]   because I'm gonna get on a soap box a little bit
[00:01:30.000 --> 00:01:31.680]   about the risks.
[00:01:31.680 --> 00:01:35.400]   So we know that it reduces the risk of ovarian cancer.
[00:01:35.400 --> 00:01:39.760]   So there's something about this idea of incessant ovulation
[00:01:39.760 --> 00:01:42.320]   that is not good for the female body.
[00:01:42.320 --> 00:01:47.320]   So if you look at, for instance, women who are nuns,
[00:01:47.320 --> 00:01:51.160]   who don't take oral contraceptives
[00:01:51.160 --> 00:01:53.020]   and they have a period every single month
[00:01:53.020 --> 00:01:54.820]   of their reproductive lives,
[00:01:54.820 --> 00:01:57.300]   they have a greater risk of ovarian cancer.
