
[00:00:00.000 --> 00:00:19.980]   what we really wanted to pay homage to today is actually you know just 25 years ago we crossed the
[00:00:19.980 --> 00:00:26.700]   one gigahertz speed barrier in microprocessors what's really crazy is when when we started
[00:00:26.700 --> 00:00:31.820]   thinking about this talk i actually thought it happened a lot before 1999 and i just kind of
[00:00:31.820 --> 00:00:38.240]   remember my own arc of getting involved with computers but really it was 1999 i had to kind
[00:00:38.240 --> 00:00:43.940]   of double and triple check it this is the exact press release when intel broke the one gigahertz
[00:00:43.940 --> 00:00:49.440]   speed barrier and obviously that was interesting you know for a couple of perspectives one it was
[00:00:49.440 --> 00:00:55.220]   this you know really big number and moment but two it was really after this that um you know intel
[00:00:55.220 --> 00:00:59.300]   started to change about how they think about processors would be used and they went for
[00:00:59.300 --> 00:01:03.860]   i guess you know multi cores and things like that and and it's really something that we need to think
[00:01:03.860 --> 00:01:10.640]   about in terms of what's going to happen with llms and and really if you go back to the the rate of
[00:01:10.640 --> 00:01:16.800]   increase it only took uh you know about two decades to get three orders of magnitude speed improvement
[00:01:16.800 --> 00:01:23.500]   in in microprocessors and so if we take a step now and look at where we are with llms and we think about
[00:01:23.500 --> 00:01:28.780]   anywhere close to the speed of innovation and in fact you know what we hear a lot of people talk about
[00:01:28.780 --> 00:01:34.140]   um you know including jensen is that we're beyond the sort of curve of moore's law so we're actually
[00:01:34.140 --> 00:01:41.580]   innovating even faster than that in in llms today um you know just to look at what we've been able to do
[00:01:41.580 --> 00:01:47.980]   at grok just in a short amount of time uh you know this is between april and june of this year you know
[00:01:47.980 --> 00:01:56.060]   we were able to increase the speed of llama 3 8b by over 50 percent and so uh the improvements that are
[00:01:56.060 --> 00:02:02.540]   happening in this area are really really quick and and super exciting and we're really kind of keen to
[00:02:02.540 --> 00:02:07.900]   kind of dive into what could happen here um and so let let's think about like the state of the art
[00:02:07.900 --> 00:02:14.300]   right and so um you know there's models today that you know we can process and others can process that
[00:02:14.300 --> 00:02:19.980]   say huge inputs say on the equivalent of you know 10 000 input tokens per second which gets you down to
[00:02:19.980 --> 00:02:25.340]   say a third of a second across you know processing all of those and when you do that you actually end up
[00:02:25.340 --> 00:02:31.500]   with these capabilities um from a you know speed perspective that far exceed human capabilities for
[00:02:31.500 --> 00:02:38.460]   both integrating and analyzing information and it's happening um you know really really fast the example
[00:02:38.460 --> 00:02:44.860]   i like to talk about here and i don't know if you've used this but i highly recommend it it's this um you
[00:02:44.860 --> 00:02:51.980]   know really cool service called globe.engineer and what it does is you give it a task and or you know so i
[00:02:51.980 --> 00:02:56.380]   say something here i think the example i use here helped me plan a trip to new york to try you know
[00:02:56.380 --> 00:03:01.100]   the best pizza or something like that and what it will do is it and you know i couldn't even capture
[00:03:01.100 --> 00:03:05.660]   the whole screen here but it'll basically figure out all the different elements that have to happen and
[00:03:05.660 --> 00:03:11.740]   it's doing this live online it's connected to the internet so everything from the flights to the taxi
[00:03:11.740 --> 00:03:17.580]   options to the hotel options and then the food options and then itinerary and how i can do it and it
