
[00:00:00.000 --> 00:00:24.200]   Okay, is that better?
[00:00:24.200 --> 00:00:45.640]   Can you see and hear me now?
[00:00:45.640 --> 00:00:46.640]   Great.
[00:00:46.640 --> 00:00:55.400]   Sorry about the delay.
[00:00:55.400 --> 00:00:58.080]   Okay.
[00:00:58.080 --> 00:01:17.460]   I just had to restart Chrome for some reason.
[00:01:17.460 --> 00:01:18.460]   All right.
[00:01:18.460 --> 00:01:26.960]   So there's a few possible directions we can go, but maybe we could just dive into transforms.
[00:01:26.960 --> 00:01:35.440]   Not because particularly it's code that many people need to understand, but I think it's
[00:01:35.440 --> 00:01:36.520]   kind of interesting code.
[00:01:36.520 --> 00:01:38.720]   It's interesting Python code.
[00:01:38.720 --> 00:01:43.840]   So it's fun to see how the basics, the lowest level stuff is put together.
[00:01:43.840 --> 00:01:53.120]   And then we can kind of build back from there, look at data source and look at data blocks.
[00:01:53.120 --> 00:02:01.120]   Maybe first of all, though, we'll have a quick look at data blocks.
[00:02:01.120 --> 00:02:11.140]   Because you can kind of see where we're heading with this, which we can simplify.
[00:02:11.140 --> 00:02:17.800]   I guess that makes sense.
[00:02:17.800 --> 00:02:18.800]   Okay.
[00:02:18.800 --> 00:02:27.360]   So quickly, where we're getting to is here are some examples.
[00:02:27.360 --> 00:02:33.180]   So here's an example of MNIST using the new data blocks API.
[00:02:33.180 --> 00:02:40.640]   And as you can see, it's not a fluent API anymore.
[00:02:40.640 --> 00:02:44.400]   Just a moment.
[00:02:44.400 --> 00:02:50.480]   Sorry about that.
[00:02:50.480 --> 00:02:51.960]   Okay.
[00:02:51.960 --> 00:02:55.600]   So it's not a fluent API anymore.
[00:02:55.600 --> 00:02:59.480]   But now it's more of a, I don't know how you describe it.
[00:02:59.480 --> 00:03:06.680]   It's kind of similar to these other callbacks/subclass APIs like the data loader one.
[00:03:06.680 --> 00:03:14.360]   So you can now subclass from a data block and define the normal things that we're used
[00:03:14.360 --> 00:03:25.560]   to from version one, or you can construct it and pass in exactly the same things as functions.
[00:03:25.560 --> 00:03:30.280]   So the data box API ends up looking kind of similar.
[00:03:30.280 --> 00:03:35.600]   But in some ways it's kind of easier to use because you can see easily what things you
[00:03:35.600 --> 00:03:38.520]   can pass to it.
[00:03:38.520 --> 00:03:40.480]   But then it ends up looking pretty similar.
[00:03:40.480 --> 00:03:50.880]   So there's MNIST, here's pets, as you can see, looks pretty familiar.
[00:03:50.880 --> 00:04:00.600]   Here's planet, same kind of output.
[00:04:00.600 --> 00:04:03.240]   And so planet, there's a few ways to do it.
[00:04:03.240 --> 00:04:09.840]   One is, again, bypassing things in, actually, here's a super, super simple way to do it.
[00:04:09.840 --> 00:04:13.820]   Very nice and easy.
[00:04:13.820 --> 00:04:19.360]   Here's segmentation, sorry, here's Canva.
[00:04:19.360 --> 00:04:25.400]   Here is the buoy points one.
[00:04:25.400 --> 00:04:30.320]   And finally, here is Cocoa, bounding boxes.
[00:04:30.320 --> 00:04:32.800]   So you can see we're going to end up with a nice simple data block API.
[00:04:32.800 --> 00:04:35.680]   But here's the coolest part.
[00:04:35.680 --> 00:04:41.800]   Here is the entire definition of the data block class.
[00:04:41.800 --> 00:04:47.120]   As you can see, it fits on less than one screen of code.
[00:04:47.120 --> 00:04:53.680]   And the reason for that is all that intermediate API stuff we built makes creating stuff like
[00:04:53.680 --> 00:04:57.000]   this super, super simple.
[00:04:57.000 --> 00:05:01.360]   For questions about any of the data sets I just showed, have a look at the most recent
[00:05:01.360 --> 00:05:05.600]   courses, because they're all described there.
[00:05:05.600 --> 00:05:10.600]   And yes, David, this new API does present accidental wrong ordering, because there's
[00:05:10.600 --> 00:05:21.440]   no order to these things, they're just either subclasses, they're either subclasses or parameters.
[00:05:21.440 --> 00:05:25.800]   I think I'm getting a cold, excuse me.
[00:05:25.800 --> 00:05:32.960]   So yeah, that's one of the nice things here.
[00:05:32.960 --> 00:05:37.840]   So that's the kind of payoff of all this.
[00:05:37.840 --> 00:05:41.840]   It's just so easy to create these kinds of things.
