
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:00:02.420 --> 00:00:06.720]   - Welcome friends to this episode
[00:00:06.720 --> 00:00:09.380]   of the Everyday Educator podcast.
[00:00:09.380 --> 00:00:11.280]   I'm your host, Lisa Bailey,
[00:00:11.280 --> 00:00:14.540]   and I'm excited to spend some time with you today
[00:00:14.540 --> 00:00:17.900]   as we encourage one another, learn together,
[00:00:17.900 --> 00:00:20.880]   and ponder the delights and challenges
[00:00:20.880 --> 00:00:24.220]   that make homeschooling the adventure of a lifetime.
[00:00:24.220 --> 00:00:26.360]   Whether you're just considering
[00:00:26.360 --> 00:00:28.980]   this homeschooling possibility
[00:00:28.980 --> 00:00:33.120]   or deep into the daily delight of family learning,
[00:00:33.120 --> 00:00:36.600]   I believe you'll enjoy thinking along with us.
[00:00:36.600 --> 00:00:41.400]   But don't forget, although this online community is awesome,
[00:00:41.400 --> 00:00:46.400]   you'll find even closer support in a local CC community.
[00:00:46.400 --> 00:00:50.720]   So go to classicalconversations.com
[00:00:50.720 --> 00:00:54.340]   and find a community near you today.
[00:00:54.340 --> 00:00:57.980]   Well, listeners, I have a treat for you today.
[00:00:58.820 --> 00:01:03.820]   I have a dear friend with me today as a guest, Brittany Lewis.
[00:01:03.820 --> 00:01:07.600]   Brittany is a longtime challenge director,
[00:01:07.600 --> 00:01:09.360]   a longtime homeschooling mom,
[00:01:09.360 --> 00:01:13.800]   lots of experience under her belt with her own children,
[00:01:13.800 --> 00:01:18.800]   as well as mentoring students and parents and families
[00:01:18.800 --> 00:01:23.000]   through her own local community for years.
[00:01:23.000 --> 00:01:27.140]   I asked Brittany to come today because as we draw near
[00:01:27.140 --> 00:01:32.140]   to the end of the year, I know that lots of you families
[00:01:32.140 --> 00:01:37.400]   are maybe growing weary, maybe becoming anxious for,
[00:01:37.400 --> 00:01:40.480]   ooh, have we done it?
[00:01:40.480 --> 00:01:43.320]   Have we accomplished the goal?
[00:01:43.320 --> 00:01:45.600]   Are we running the race well?
[00:01:45.600 --> 00:01:48.920]   And then there's a special group of you
[00:01:48.920 --> 00:01:53.920]   who are coming around the final curve of the final year.
[00:01:54.660 --> 00:01:57.660]   Of your homeschool journey with one or more of your students
[00:01:57.660 --> 00:02:01.560]   and so I remember that and I know how tender your hearts are
[00:02:01.560 --> 00:02:07.560]   and I want us to try to cast a vision for this last year
[00:02:07.560 --> 00:02:10.960]   and especially for this last home stretch,
[00:02:10.960 --> 00:02:16.540]   kind of as a ministry to you parents who are pulling in
[00:02:16.540 --> 00:02:19.260]   to across the finish line for maybe the last time,
[00:02:19.260 --> 00:02:23.020]   but also, I want us to try to make sure
[00:02:23.020 --> 00:02:27.760]   that you know really for the parents who are close
[00:02:27.760 --> 00:02:30.740]   to the end of the journey but are wondering
[00:02:30.740 --> 00:02:33.360]   is the final lap really necessary?
[00:02:33.360 --> 00:02:37.480]   So Brittany, I've probably dug us a big hole to fill
[00:02:37.480 --> 00:02:40.360]   in 45 minutes, but I think you're the right person
[00:02:40.360 --> 00:02:43.980]   for the job and I really appreciate you coming on.
[00:02:43.980 --> 00:02:45.260]   - Oh, it's such a joy.
[00:02:45.260 --> 00:02:48.220]   This is one of my favorite things to talk about.
[00:02:48.220 --> 00:02:49.140]   - I'm so glad.
[00:02:49.140 --> 00:02:53.500]   I know you have a heart for parents and for students
[00:02:53.500 --> 00:02:56.100]   who are at the end of the journey,
[00:02:56.100 --> 00:03:00.220]   but I want people to know that you do have the credentials
[00:03:00.220 --> 00:03:04.780]   to talk about this, that it has been a tender place
[00:03:04.780 --> 00:03:06.920]   in your heart for a long time.
[00:03:06.920 --> 00:03:10.260]   Tell our listeners how long you've been a challenge director
[00:03:10.260 --> 00:03:13.840]   and why did you agree to ever become a challenge director
[00:03:13.840 --> 00:03:14.840]   in the first place?
[00:03:14.840 --> 00:03:18.540]   - I think this is my 11th year.
[00:03:18.540 --> 00:03:21.100]   This year I'm a challenge three tutor
[00:03:21.100 --> 00:03:24.260]   and it's my third time to do challenge three.
