
[00:00:00.000 --> 00:00:02.160]   (beeping)
[00:00:02.160 --> 00:00:13.980]   - Welcome back to Ask the Compound,
[00:00:13.980 --> 00:00:16.400]   where someone told us it was our 100th episode last week
[00:00:16.400 --> 00:00:17.640]   and we totally missed it.
[00:00:17.640 --> 00:00:19.920]   - No, no, no, today's our 100th.
[00:00:19.920 --> 00:00:21.680]   - Oh, today is, oh, I thought it was last week.
[00:00:21.680 --> 00:00:23.520]   Sean said it was last week, okay.
[00:00:23.520 --> 00:00:24.800]   He can't count, good thing we have someone
[00:00:24.800 --> 00:00:26.720]   who can't count in the finance department.
[00:00:27.880 --> 00:00:30.880]   Today's show is sponsored by our friends at Bird Dogs.
[00:00:30.880 --> 00:00:32.000]   I think it's been our most,
[00:00:32.000 --> 00:00:34.200]   you said they've sponsored the most amount of shows.
[00:00:34.200 --> 00:00:36.400]   I just got a new shipment from Bird Dogs last week.
[00:00:36.400 --> 00:00:39.440]   I got my first pair of these stretch khaki pants.
[00:00:39.440 --> 00:00:40.980]   They're lovely, it's the same material,
[00:00:40.980 --> 00:00:42.160]   but they look a little better,
[00:00:42.160 --> 00:00:43.700]   might be a little thicker, I think.
[00:00:43.700 --> 00:00:45.440]   Still have the side pocket, I'm wearing some today.
[00:00:45.440 --> 00:00:47.080]   I opted for the light gray.
[00:00:47.080 --> 00:00:49.680]   - I like the Phil Gates there, I gotta get the Phil Gates.
[00:00:49.680 --> 00:00:52.400]   - They're very nice, they look nice.
[00:00:52.400 --> 00:00:54.720]   I feel like if, I don't golf, but if you did golf,
[00:00:54.720 --> 00:00:56.280]   these are the kind of pants you could wear golfing.
[00:00:56.280 --> 00:00:58.040]   Also, I have the Bird Dogs polo on.
[00:00:58.040 --> 00:01:01.720]   It's very nice, breathable, stretchy, it's pretty good.
[00:01:01.720 --> 00:01:04.040]   - You also still got my hat that I'll get one day?
[00:01:04.040 --> 00:01:06.400]   - Yes, you can still get this.
[00:01:06.400 --> 00:01:10.320]   Put the code in ATC, or go to birddogs.com/ATC.
[00:01:10.320 --> 00:01:12.880]   You can still get this, before Duncan.
[00:01:12.880 --> 00:01:13.720]   I like it.
[00:01:13.720 --> 00:01:16.200]   It's coming your way, that'll be your Christmas present.
[00:01:16.200 --> 00:01:18.640]   Birddogs.com/ATC for more.
[00:01:18.640 --> 00:01:22.080]   So I figure, so we've done 100 episodes now.
[00:01:22.080 --> 00:01:25.320]   I figure we do five questions per show.
[00:01:25.320 --> 00:01:27.800]   That's 500 questions that we've answered.
[00:01:27.800 --> 00:01:28.640]   That's a lot.
[00:01:28.640 --> 00:01:32.960]   And we have a dock full of probably 100 questions
[00:01:32.960 --> 00:01:34.800]   we haven't answered yet.
[00:01:34.800 --> 00:01:37.080]   Most of them are probably because they're too long.
[00:01:37.080 --> 00:01:40.180]   If you wanna get on the show, brevity is the key.
[00:01:40.180 --> 00:01:43.480]   We appreciate all the details, but give us a TLDR.
[00:01:43.480 --> 00:01:45.100]   So yeah, we've done a lot of them.
[00:01:45.100 --> 00:01:47.280]   Also, last week, people got mad at me
[00:01:47.280 --> 00:01:49.480]   because we called the show What's in Ben's Portfolio,
[00:01:49.480 --> 00:01:50.560]   and they said Ben didn't really tell us
[00:01:50.560 --> 00:01:52.240]   what's in his portfolio.
[00:01:52.240 --> 00:01:53.080]   I don't know, I didn't know--
[00:01:53.080 --> 00:01:53.920]   And you're in luck.
[00:01:53.920 --> 00:01:57.720]   This week, we're gonna screen share his Schwab account.
[00:01:57.720 --> 00:02:00.480]   I didn't know everyone wanted a fund by fund.
[00:02:00.480 --> 00:02:01.400]   The funds don't matter to them.
[00:02:01.400 --> 00:02:05.960]   I mean, I'd say 60% index funds, 40% factor funds.
[00:02:05.960 --> 00:02:07.600]   How's that, is that close enough?
[00:02:07.600 --> 00:02:09.480]   I don't know.
[00:02:09.480 --> 00:02:10.640]   No one cares about the fund tickers.
[00:02:10.640 --> 00:02:12.680]   It's funds you would think. People wanna hear tickers.
[00:02:12.680 --> 00:02:14.780]   We wanna hear tickers, Ben.
[00:02:14.780 --> 00:02:17.840]   Yeah, it's boring stuff, but close enough.
[00:02:17.840 --> 00:02:18.800]   That's all you're gonna get, people.
[00:02:18.800 --> 00:02:21.680]   I like, we have viewers who know me well enough
[00:02:21.680 --> 00:02:25.000]   that the other day when the market was rallying,
[00:02:25.000 --> 00:02:27.680]   all the stocks had been beaten down, were soaring.
[00:02:27.680 --> 00:02:29.680]   Someone was like, "Your portfolio's doing really well today
[00:02:29.680 --> 00:02:30.520]   "in the Dunkin'."
[00:02:30.520 --> 00:02:32.280]   I was like, "Yep, it is."
[00:02:32.280 --> 00:02:34.360]   We won't talk about the screen share,
[00:02:34.360 --> 00:02:35.320]   the screenshot you sent me
[00:02:35.320 --> 00:02:37.880]   of your total portfolio performance.
[00:02:37.880 --> 00:02:38.720]   We're gonna leave that one--
[00:02:38.720 --> 00:02:40.560]   That's just one IRA, to be fair.
[00:02:40.560 --> 00:02:42.640]   But yes, yes, I picked like 20 stocks,
[00:02:42.640 --> 00:02:44.340]   and they're all down, so yes.
[00:02:44.340 --> 00:02:45.180]   All right.
[00:02:45.180 --> 00:02:46.880]   That was the thing.
[00:02:46.880 --> 00:02:47.800]   Go to the first question.
[00:02:47.800 --> 00:02:50.440]   I'm gonna show you why that's probably the case.
[00:02:50.440 --> 00:02:52.560]   Yeah, okay.
[00:02:52.560 --> 00:02:55.360]   First up, we have a question from Steve.
[00:02:55.360 --> 00:02:57.540]   I keep hearing that the Magnificent Seven stocks
[00:02:57.540 --> 00:02:59.000]   are carrying the stock market this year.
[00:02:59.000 --> 00:03:00.160]   Does this matter?
[00:03:00.160 --> 00:03:01.360]   I get that these stocks could fall
[00:03:01.360 --> 00:03:02.960]   and bring the market down with them,
[00:03:02.960 --> 00:03:06.400]   but should we be worried about this level of concentration?
[00:03:06.400 --> 00:03:07.320]   So it's changed-- This is a common question.
[00:03:07.320 --> 00:03:08.480]   We're getting this a lot these days.
[00:03:08.480 --> 00:03:10.360]   Yes, and this has been in the news a lot.
[00:03:10.360 --> 00:03:13.680]   So Magnificent Seven is Apple, Amazon, Facebook,
[00:03:13.680 --> 00:03:15.640]   not Meta, Google, not Alphabet,
[00:03:15.640 --> 00:03:17.940]   Microsoft, Nvidia, and Tesla.
[00:03:17.940 --> 00:03:19.520]   Those stocks are carrying the market this year.
[00:03:19.520 --> 00:03:20.440]   I looked yesterday.
[00:03:20.440 --> 00:03:21.560]   It's kind of mind-boggling,
[00:03:21.560 --> 00:03:23.760]   especially when you consider how big these stocks really are.
[00:03:23.760 --> 00:03:25.780]   The average market cap for these seven companies
[00:03:25.780 --> 00:03:27.360]   is $1.6 trillion.
[00:03:27.360 --> 00:03:29.300]   The average return this year for those companies
[00:03:29.300 --> 00:03:32.120]   is 106% in 2023.
[00:03:32.120 --> 00:03:35.440]   And some of that is Nvidia being up like 240%,
[00:03:35.440 --> 00:03:37.320]   but even the median gain for these seven stocks
[00:03:37.320 --> 00:03:38.880]   is like 75%.
[00:03:38.880 --> 00:03:40.600]   The average market cap for the remaining stocks
[00:03:40.600 --> 00:03:41.560]   in the S&P 500.
[00:03:41.560 --> 00:03:43.680]   Some people say it's 493.
[00:03:43.680 --> 00:03:46.080]   It's really like 497 or something,
[00:03:46.080 --> 00:03:47.400]   'cause I think there's 504 stocks
[00:03:47.400 --> 00:03:49.360]   if you count the double-share classes.
[00:03:49.360 --> 00:03:50.960]   Whatever, I digress.
[00:03:50.960 --> 00:03:53.120]   The average return of the rest of those stocks,
[00:03:53.120 --> 00:03:55.200]   which the average market cap is like 57 billion,
[00:03:55.200 --> 00:03:57.640]   is a return of 4% this year.
[00:03:57.640 --> 00:04:01.240]   And the S&P, as of this airing,
[00:04:01.240 --> 00:04:03.680]   is up like 19% on the year, close to it.
[00:04:03.680 --> 00:04:07.720]   So those stocks really are carrying the water
[00:04:07.720 --> 00:04:08.640]   for the rest of the market.
[00:04:08.640 --> 00:04:09.920]   Now, people worry about this dynamic,
[00:04:09.920 --> 00:04:11.320]   'cause as Steve said in the question,
[00:04:11.320 --> 00:04:13.640]   what if these general stocks just roll over, right?
[00:04:13.640 --> 00:04:15.400]   They make up close to 30% of the index.
[00:04:15.400 --> 00:04:16.760]   Apple and Microsoft themselves,
[00:04:16.760 --> 00:04:17.600]   I looked it up this morning,
[00:04:17.600 --> 00:04:19.120]   make up 15% of the S&P 500,
[00:04:19.120 --> 00:04:19.960]   which is huge.
[00:04:19.960 --> 00:04:20.800]   So this is a legitimate concern.
[00:04:20.800 --> 00:04:21.960]   If these stocks crash,
[00:04:21.960 --> 00:04:24.000]   you'd think the market would fall as well.
[00:04:24.000 --> 00:04:27.120]   But the rest of the market can actually do better
[00:04:27.120 --> 00:04:28.200]   in that situation as well.
[00:04:28.200 --> 00:04:29.600]   They don't have to crash, too.
[00:04:29.600 --> 00:04:30.720]   So we don't have to go back that far
[00:04:30.720 --> 00:04:31.560]   to see how this played out.
[00:04:31.560 --> 00:04:33.880]   In 2022, one of the reasons these stocks
[00:04:33.880 --> 00:04:34.720]   are doing well this year
[00:04:34.720 --> 00:04:36.200]   is 'cause they did crappy last year.
[00:04:36.200 --> 00:04:38.960]   The average return for these seven stocks last year,
[00:04:38.960 --> 00:04:40.360]   Duncan, what was it?
[00:04:40.360 --> 00:04:41.640]   What's your guess?
[00:04:41.640 --> 00:04:42.480]   - Last year?
[00:04:42.480 --> 00:04:45.120]   - Yeah, average return for these seven stocks in 2022.
[00:04:45.120 --> 00:04:48.360]   - Down 9%.
[00:04:48.360 --> 00:04:50.200]   - They were down 46% on average.
[00:04:50.200 --> 00:04:53.320]   Okay, so yeah, they're up 100% on average this year.
[00:04:53.320 --> 00:04:54.560]   They're down four, guess what?
[00:04:54.560 --> 00:04:55.520]   They round tripped.
[00:04:55.520 --> 00:04:58.080]   If you go 2022 and 2023,
[00:04:58.080 --> 00:05:00.960]   if you're down 50 and up 100, you break even.
[00:05:00.960 --> 00:05:02.360]   - See, these names, I don't follow them.
[00:05:02.360 --> 00:05:03.760]   They're too big and respectable.
[00:05:03.760 --> 00:05:05.960]   Yeah, so I just don't pay attention to them.
[00:05:05.960 --> 00:05:07.800]   - Yeah, that place is too busy.
[00:05:07.800 --> 00:05:09.200]   No one goes there anymore.
[00:05:09.200 --> 00:05:11.760]   So Nvidia, Tesla, and Facebook and Amazon
[00:05:11.760 --> 00:05:13.240]   were all down 50% or worse.
[00:05:13.240 --> 00:05:14.360]   Every single one of these stocks
[00:05:14.360 --> 00:05:15.960]   underperformed the index last year.
[00:05:15.960 --> 00:05:17.160]   So yeah, they're doing great this year,
[00:05:17.160 --> 00:05:19.840]   but last year, and the S&P was down 18% last year.
[00:05:19.840 --> 00:05:22.280]   Again, these stocks on average were down almost 50%.
[00:05:22.280 --> 00:05:25.280]   The S&P was down 18, so these stocks did crash.
[00:05:25.280 --> 00:05:26.880]   - Which was the worst out of those?
[00:05:26.880 --> 00:05:30.560]   - Nvidia, I think Nvidia and Tesla were down 60%
[00:05:30.560 --> 00:05:31.440]   or something.
[00:05:31.440 --> 00:05:33.960]   So the other parts of the market picked up a slack.
[00:05:33.960 --> 00:05:37.640]   However, and I'm not gonna guarantee
[00:05:37.640 --> 00:05:38.480]   that's gonna happen again,
[00:05:38.480 --> 00:05:40.360]   but that tends to be what happens.
[00:05:40.360 --> 00:05:42.520]   In certain market environments, other stocks do well.
[00:05:42.520 --> 00:05:46.280]   So I think if you want to be invested in the stock market,
[00:05:46.280 --> 00:05:49.120]   you have to be comfortable with concentrated gains
[00:05:49.120 --> 00:05:50.280]   in the hands of a few stocks though.
[00:05:50.280 --> 00:05:53.160]   So my favorite study on this was Hendrik Bessenbinder
[00:05:53.160 --> 00:05:54.000]   from Arizona State.
[00:05:54.000 --> 00:05:56.440]   I've mentioned this before, throw up the graphic.
[00:05:56.440 --> 00:05:57.720]   He did, he asked the question,
[00:05:57.720 --> 00:05:59.240]   do stocks outperform treasury bills?
[00:05:59.240 --> 00:06:00.920]   He has this really cool graphic that shows everything.
[00:06:00.920 --> 00:06:05.920]   He found 86% 86 stocks going back to 1926.
[00:06:05.920 --> 00:06:09.240]   And there's been like 26,000 stocks in total
[00:06:09.240 --> 00:06:10.760]   that have come and gone since then.
[00:06:10.760 --> 00:06:13.120]   86 stocks accounted for half of all wealth creation
[00:06:13.120 --> 00:06:16.360]   in the United States stock market going back to 1926.
[00:06:16.360 --> 00:06:19.640]   All of that wealth creation came from 4% of the stocks.
[00:06:19.640 --> 00:06:21.880]   60% of the stocks failed to beat T-bills
[00:06:21.880 --> 00:06:23.120]   over their lifetime.
[00:06:23.120 --> 00:06:27.340]   And the other close to 40% barely beat T-bills.
[00:06:27.340 --> 00:06:31.180]   So most stocks don't do all that well over the long run.
[00:06:31.180 --> 00:06:32.400]   It's just a handful of stocks
[00:06:32.400 --> 00:06:34.040]   that account for most of the gains.
[00:06:34.040 --> 00:06:35.560]   Of course, this is like a hundred years of data.
[00:06:35.560 --> 00:06:36.960]   So plenty of stocks over this time
[00:06:36.960 --> 00:06:38.880]   had fantastic returns over shorter timeframes.
