
[00:00:00.000 --> 00:00:05.000]   Wake up at Holiday Inn Express to a can't-miss breakfast that's free with every stay.
[00:00:05.000 --> 00:00:10.000]   Count on all the hot fresh coffee you need and an incredible breakfast buffet that has something for everyone,
[00:00:10.000 --> 00:00:15.000]   like eggs, cinnamon rolls, and even hot fresh pancakes with all the toppings you crave.
[00:00:15.000 --> 00:00:22.000]   Next time, do yourself a favor and stay at a Holiday Inn Express with a can't-miss breakfast that's free with every stay.
[00:00:22.000 --> 00:00:28.000]   So, when you wake up at Holiday Inn Express, you'll wake up happy, a part of IHG Hotels and Resorts.
[00:00:29.000 --> 00:00:35.000]   So, you just got some bad news, did you? They laid you off. Bummer.
[00:00:35.000 --> 00:00:40.000]   Well, let's talk about what to do now.
[00:00:40.000 --> 00:00:46.000]   And let's talk about what to do practically if this is a tough situation.
[00:00:46.000 --> 00:00:55.000]   And let's talk a little bit about some radical ways to make this the best news of your life.
[00:00:56.000 --> 00:01:12.000]   [Music]
[00:01:12.000 --> 00:01:14.000]   Welcome to the Radical Personal Finance Podcast.
[00:01:14.000 --> 00:01:21.000]   My name is Joshua Sheets, and today we round out our three-part series on getting laid off.
[00:01:21.000 --> 00:01:24.000]   Part one was how to make sure you never get laid off.
[00:01:24.000 --> 00:01:27.000]   Part two was how to make a plan in case you do get laid off.
[00:01:27.000 --> 00:01:32.000]   And today, we dig into, okay, you got laid off.
[00:01:32.000 --> 00:01:38.000]   How do we make the best of a bad situation and maybe turn it into a great situation?
[00:01:38.000 --> 00:01:44.000]   [Music]
[00:01:44.000 --> 00:01:47.000]   Today's show is going to be a mixture of two different themes.
[00:01:47.000 --> 00:01:51.000]   Number one, the theme that'll face many people, because I want this to be a practical show.
[00:01:51.000 --> 00:02:00.000]   The theme that'll – if in the coming recession you find yourself in a situation where you're laid off, for most people that's really bad news.
[00:02:00.000 --> 00:02:06.000]   And so I want to speak very practically in the beginning part of today's show about what you need to do in that situation.
[00:02:06.000 --> 00:02:15.000]   If you are in a tight spot and you are facing a difficult situation, then the first half of today's show is going to be – it might be more than half.
[00:02:15.000 --> 00:02:18.000]   But the first part of today's show is going to be speaking to you.
[00:02:18.000 --> 00:02:28.000]   However, if you're listening to the show now, then that type of emergency action plan is not for you.
[00:02:28.000 --> 00:02:31.000]   We've got a better idea.
[00:02:31.000 --> 00:02:45.000]   Now, you might still get laid off, and if you do, then that's what I want you to pay attention to the back half of the show, to see some of the more radical ideas of the things that you can do to make this a really great opportunity.
[00:02:45.000 --> 00:02:51.000]   Because even though it might not look at it at the time, being laid off for many people is a tremendous opportunity.
[00:02:51.000 --> 00:02:58.000]   I'll tell you, for me, it was one of the best blessings that happened, and I'll tell that story later in today's show.
[00:02:58.000 --> 00:03:07.000]   The major theme of today's show as far as how you need to filter and sort through the information is what's appropriate.
[00:03:07.000 --> 00:03:10.000]   What's appropriate in your situation?
[00:03:10.000 --> 00:03:21.000]   And you need to move with purpose to take appropriate action with an appropriate speed and an appropriate intensity to your situation.
[00:03:21.000 --> 00:03:34.000]   So if you've just gotten laid off and you're very close to the edge financially, then the appropriate speed and action for you is 100% all-out effort, everything you've got.
[00:03:34.000 --> 00:03:36.000]   I'll explain why.
[00:03:36.000 --> 00:03:51.000]   If you've got some margin in your life, you've got some reserves built up, you've got some plans in place, some projects, well, then in that case, then you need to take appropriate action to get closer to your goals.
[00:03:51.000 --> 00:03:55.000]   And one of the key things would just be how do we transition intelligently.
[00:03:55.000 --> 00:04:03.000]   So let's start with all-out effort because many of you listening to this show – I hope this is a resource if you've just been laid off and that you'll find it because somebody sends it to you.
[00:04:03.000 --> 00:04:08.000]   But many of you are not prepared for what has just happened.
[00:04:08.000 --> 00:04:13.000]   And if you haven't planned, you're in a tight spot.
[00:04:13.000 --> 00:04:27.000]   If you've gotten laid off and you've lost the primary source of your income, maybe you have a little bit of unemployment income or maybe you don't, and you have few or no reserves built up, then you've got to move fast.
[00:04:27.000 --> 00:04:30.000]   And there are several reasons why you need to move fast.
[00:04:30.000 --> 00:04:34.000]   But this is going to be a common theme for you to consider.
[00:04:34.000 --> 00:04:37.000]   Many times people simply move way too slowly.
[00:04:37.000 --> 00:04:46.000]   I think the primary reason why people move slowly is because usually the emotional shock and surprise of getting laid off deeply affects them.
[00:04:46.000 --> 00:04:48.000]   I know it did me.
[00:04:48.000 --> 00:05:06.000]   When you think you're doing a good job and you think everything is going great and you think you're a valued member of your company, then all of a sudden you find yourself sitting there and the layoff papers or the termination of your contracts or however it was structured, your papers are sitting there and they're saying, "Hey, you're not valuable to us."
[00:05:06.000 --> 00:05:10.000]   That's a deeply affecting thought.
[00:05:10.000 --> 00:05:17.000]   And so most people that kind of puts us back on the ropes and we're kind of staggering, not knowing what to do.
[00:05:17.000 --> 00:05:26.000]   I'm going to give you a day or two to get past that, but not much longer because you've got to move fast.
[00:05:26.000 --> 00:05:34.000]   You've got to move fast so that you can buy time for yourself and so you're not pushed up against the wall to have to make a decision in an emergency situation.
[00:05:34.000 --> 00:05:38.000]   The best decisions are usually made slowly and without pressure.
[00:05:38.000 --> 00:05:43.000]   And the worst decisions are often made quickly and with mounting pressure.
[00:05:43.000 --> 00:05:55.000]   You also need to move fast because especially if you've been laid off because of overall recession, you might see recession starting to impact, but you don't know whether it's going to get worse or get better.
[00:05:55.000 --> 00:06:04.000]   If it's going to get better, meaning that we're on the upswing out of an economic cycle, then there's no loss to you from moving quickly.
[00:06:04.000 --> 00:06:09.000]   But if it's going to get worse, then there's massive loss to you if you don't move quickly.
[00:06:09.000 --> 00:06:14.000]   And so you need to move quickly. You need to get out in front. You need to be applying for the jobs up front.
[00:06:14.000 --> 00:06:18.000]   But let's deal with the emotional side of it as much as we can.
[00:06:18.000 --> 00:06:24.000]   I don't pretend for an instant that you're not facing a difficult situation.
[00:06:24.000 --> 00:06:33.000]   I don't pretend for an instant that it's not tough, that the emotional impact and the emotional distress is not deep and hurtful.
[00:06:33.000 --> 00:06:35.000]   It is.
[00:06:35.000 --> 00:06:41.000]   But it doesn't really matter how you feel about it.
[00:06:41.000 --> 00:06:44.000]   You've got to move in spite of the feelings.
[00:06:44.000 --> 00:06:58.000]   And the overall way to do that is to focus on keeping your confidence, whatever it happens to be right now, and/or building your confidence up from wherever it is right now.
[00:06:58.000 --> 00:07:03.000]   Being laid off or being fired has a huge impact on your personal confidence.
[00:07:03.000 --> 00:07:08.000]   The first thing that we all do, certainly that I did, is to go and say, "What's wrong with me?"
[00:07:08.000 --> 00:07:14.000]   And the problem is the longer that you go without work, the worse it gets.
[00:07:14.000 --> 00:07:27.000]   Some of the saddest meetings I've ever had are with people who are among the long-term unemployed because what happens is their confidence in themselves and the ability and the value that they bring to the marketplace is shot.
[00:07:27.000 --> 00:07:34.000]   I remember a client of mine specifically, and this is a different client than the one I told you about yesterday, but this is seared into my memory.
[00:07:34.000 --> 00:07:38.000]   This client had a wonderful middle-class job, and then they got laid off.
[00:07:38.000 --> 00:07:41.000]   This was back in '08, '09.
[00:07:41.000 --> 00:07:43.000]   They got laid off.
[00:07:43.000 --> 00:07:48.000]   So they thought it would be nice to go ahead and enjoy the time off and enjoy the unemployment.
[00:07:48.000 --> 00:07:51.000]   So they didn't look seriously for work.
[00:07:51.000 --> 00:07:56.000]   They focused on just enjoying the severance pay that came in for a period of time and just kind of enjoying life.
[00:07:56.000 --> 00:08:06.000]   They didn't have a massive amount of reserves built up so that they could really build on this, but they had some savings enough that made them feel like they were well cared for.
[00:08:06.000 --> 00:08:13.000]   So they didn't get after it, and they continued to be unemployed.
[00:08:13.000 --> 00:08:15.000]   Well, the time went on.
[00:08:15.000 --> 00:08:17.000]   Six months turned into a year.
[00:08:17.000 --> 00:08:23.000]   A year turned into a year and a half, and I first came into the situation about a year, a year and a half after the layoff.
[00:08:23.000 --> 00:08:26.000]   At that point in time, the unemployment was still flowing.
[00:08:26.000 --> 00:08:34.000]   At this point in time, Congress had extended the unemployment compensation to 99 weeks, and they finally started to get serious with their job hunt.
[00:08:34.000 --> 00:08:39.000]   But the problem is by that time, their skills had atrophied.
[00:08:39.000 --> 00:08:47.000]   Their personal network had grown stale, and most importantly, their confidence was completely destroyed.
