
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:00:02.420 --> 00:00:06.480]   - Welcome friends to this episode
[00:00:06.480 --> 00:00:09.080]   of the Everyday Educator podcast.
[00:00:09.080 --> 00:00:10.840]   I'm your host, Lisa Bailey,
[00:00:10.840 --> 00:00:14.380]   and I am excited to spend some time with you today
[00:00:14.380 --> 00:00:17.800]   as we encourage one another, learn together,
[00:00:17.800 --> 00:00:20.720]   and ponder the delights and challenges
[00:00:20.720 --> 00:00:24.060]   that make homeschooling the adventure of a lifetime.
[00:00:24.060 --> 00:00:26.300]   Whether you're just considering
[00:00:26.300 --> 00:00:28.480]   this homeschooling possibility
[00:00:28.480 --> 00:00:32.600]   or deep into the daily delight of family learning,
[00:00:32.600 --> 00:00:36.720]   I believe you'll enjoy thinking along with us.
[00:00:36.720 --> 00:00:41.480]   But don't forget, although this online community is awesome,
[00:00:41.480 --> 00:00:46.480]   you'll find even closer support in a local CC community.
[00:00:46.480 --> 00:00:50.600]   So go to classicalconversations.com
[00:00:50.600 --> 00:00:53.980]   and find a community near you today.
[00:00:54.840 --> 00:00:59.240]   Well, welcome friends to this Advent season.
[00:00:59.240 --> 00:01:03.420]   I'm so excited that you have joined us for this podcast.
[00:01:03.420 --> 00:01:07.340]   I've got a suggestion for your family,
[00:01:07.340 --> 00:01:10.560]   actually for all of our families this Christmas.
[00:01:10.560 --> 00:01:14.520]   What if we intentionally spent time together
[00:01:14.520 --> 00:01:17.560]   doing the simplest things?
[00:01:17.560 --> 00:01:21.760]   What if we practiced some simple habits
[00:01:21.760 --> 00:01:25.080]   designed to draw us to one another,
[00:01:25.080 --> 00:01:29.000]   designed to start meaningful conversations,
[00:01:29.000 --> 00:01:32.800]   designed to provoke us to deeper thinking,
[00:01:32.800 --> 00:01:36.620]   maybe designed to encourage us to true worship?
[00:01:36.620 --> 00:01:41.400]   What if in this season of busy, busy, busy,
[00:01:41.400 --> 00:01:46.060]   we celebrated Christmas by praying together,
[00:01:46.060 --> 00:01:51.060]   playing together, reading together, exploring together,
[00:01:51.780 --> 00:01:54.040]   and serving together?
[00:01:54.040 --> 00:01:57.540]   So this Advent season, the everyday educator
[00:01:57.540 --> 00:02:01.980]   wants to practice these simple habits along with you.
[00:02:01.980 --> 00:02:03.460]   We're gonna be talking to others
[00:02:03.460 --> 00:02:05.660]   who want to try this plan too.
[00:02:05.660 --> 00:02:09.940]   You can listen in every Tuesday to ponder the next habit.
[00:02:09.940 --> 00:02:13.680]   And friends, I'm here to tell you, this is our last habit.
[00:02:13.680 --> 00:02:16.980]   We have finally come to simplify,
[00:02:16.980 --> 00:02:21.140]   Advent, serve together.
[00:02:21.140 --> 00:02:24.980]   And I have a dear friend, Jamie Hayes, with me
[00:02:24.980 --> 00:02:29.320]   to help us explore this simple way
[00:02:29.320 --> 00:02:32.560]   to practice Advent together this year.
[00:02:32.560 --> 00:02:36.860]   Jamie is a dear friend who's a long-time homeschool mom.
[00:02:36.860 --> 00:02:41.420]   She has served as a director with Classical Conversations
[00:02:41.420 --> 00:02:44.740]   and as an SR, and she serves right now
[00:02:44.740 --> 00:02:49.060]   on the curriculum development team alongside me.
[00:02:49.060 --> 00:02:51.500]   And so Jamie, welcome to the podcast.
[00:02:51.500 --> 00:02:53.740]   - Thank you, I'm excited to be here.
[00:02:53.740 --> 00:02:57.060]   - I'm excited to have you and to pick your brain
[00:02:57.060 --> 00:02:58.860]   a little bit, but I wanna start out
[00:02:58.860 --> 00:03:00.900]   with some easy peasy questions.
