
[00:00:00.040 --> 00:00:09.700]   quin but
[00:00:09.700 --> 00:00:10.480]   기, in the, I,
[00:00:10.480 --> 00:00:28.160]  --這 peace in the new thing. And, getan,omm, stressing, Herman, de, work, whereas,血,�, Hell, upset, instit, owe, peanut, Slim. Con, Harmon  Squad, petty see.�. subscribe,��. continue the star. AND,
[00:00:57.800 --> 00:00:57.800]   The following is a conversation with Anna Farbelle, an astrophysicist at MIT studying the oldest stars in the Milky Way Galaxy in order to understand the chemical and physical conditions of the early universe and how from that our galaxy formed and evolved to what it is today, the place we humans call home. This is the Lex Friedman Podcast. To support it, please check out our sponsors in the description. And, now, dear friends, I'm Alex Friedman, and thanks for joining us today.�
[00:01:55.640 --> 00:01:57.560]   help
[00:01:57.560 --> 00:02:09.040]   towards in. We,,,, den왔
[00:02:09.040 --> 00:02:24.760]  �
[00:03:55.680 --> 00:03:55.680]   ----
[00:03:55.680 --> 00:03:55.680]   ----
[00:03:55.720 --> 00:04:25.700]   ----
[00:04:25.700 --> 00:04:25.700]   ----
[00:04:25.700 --> 00:04:25.700]   ---- ----
[00:04:25.740 --> 00:04:35.400]   game
[00:04:35.400 --> 00:04:36.280]   connect and be
[00:04:36.280 --> 00:04:55.100]   gel Him theils, the, the, the,,,,,,,,,
[00:04:55.740 --> 00:04:57.860]   Yeah.
[00:04:57.860 --> 00:05:01.460]   And then they exploded after a few million years, kaboom.
[00:05:01.460 --> 00:05:05.760]   And then it's like, I always consider the universe like a, you know,
[00:05:05.760 --> 00:05:08.060]   a nice soup. Mm-hmm.
[00:05:08.060 --> 00:05:12.100]   And then these first supernova explosions kind of provided the salt,
[00:05:12.100 --> 00:05:15.020]   you know, just a little sprinkle of heavier elements.
[00:05:15.020 --> 00:05:17.060]   And that made it really tasty. Mm-hmm.
[00:05:17.060 --> 00:05:19.260]   It just changed it completely. Right.
[00:05:19.260 --> 00:05:22.220]   And that changed the physics of the gas.
[00:05:22.220 --> 00:05:25.260]   So that meant that these, these gas clouds,
[00:05:25.260 --> 00:05:25.740]   Корinthians.
[00:05:25.880 --> 00:05:55.760]   to the, to the, to the, to the, to the, to the, to the, to the, to the,
[00:05:55.800 --> 00:06:07.340]   continue
[00:06:54.280 --> 00:06:54.660]   The gravitational waves and all that, all the different sources of data. Yeah.
[00:06:54.660 --> 00:06:54.660]   Yeah.
[00:07:24.340 --> 00:07:53.940]  obedible. Yeah. All of these little early stars kind of came into the make you way through that kind of process and then they get absorbed by the galaxy and become a little bit more of a big one. And then you grow bigger. And so all these these little early stars, you know, kind of came into the make you way through that kind of process.
[00:07:53.980 --> 00:08:22.180]   what
[00:08:22.180 --> 00:08:23.040]   wasn encontrar, and,,,,,,,第一個 remote "" De i 'ailedared : loaded r spaces and лай lessこちら Bill X associated the Him wider Men ha quicker thepot Spicy statistics worlds add the Be Trainae, and, and, the,为什么, or, and, when, Mr., melon, momentum, are,isten, and,學, chị, [, beyond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, I'm.., the old one of the next fried the lo's...ку revolution is the old ... li BBs.. .C fellow was Sang--in..
[00:08:23.120 --> 00:08:33.440]   find
[00:08:33.440 --> 00:08:34.380]   I my aka
[00:08:34.380 --> 00:08:50.820]   política mix justoku particle never queue clique
[00:08:50.820 --> 00:08:52.100]  , ', I,,,,,,,,,,,, broken at the Mickey little only, at all fried nota paperwork existed estud bus dead 허� sayaf a demand to me see a gs. And, wouldn't. I'm. So, bring. I'm. You're. I,
[00:08:52.220 --> 00:09:20.960]   You're looking. I'm. Actually, it depends a little bit in the northern hemisphere. We're looking out of the galaxy. So we're seeing the next outer spiral form. And as you can imagine, there's only dark space behind that. So we don't see it all that nice on the sky. But if you travel to south to the southern hemisphere, let's say South America, you see the Mickey and it looks so different on the sky because that's the next in our spiral arm and that's backlit.
[00:09:20.960 --> 00:09:21.660]   The galactic.
[00:09:21.660 --> 00:09:51.620]  . Center.
[00:09:51.620 --> 00:09:51.660]   The galactic center is.
[00:09:51.660 --> 00:09:51.660]   The galactic center is.
[00:09:51.660 --> 00:09:51.660]   The galactic center is. Is a.
[00:09:51.660 --> 00:10:21.660]   in the middle of the galaxy. And you're just kind of looking right into it and you can you can really feel that we're in this 2d disc and then you can imagine that there's a top and the bottom and that we really part off the galaxy you can really experience that we're just not not just lost in space somewhere but we're really a part of it and you know knowing a little bit about the structure of the Mickey will really help.
[00:10:21.680 --> 00:10:22.700]   know a little bit about the structure of the Mickey will really help. How we supposed to feel.
[00:10:22.700 --> 00:10:23.200]   how we supposed to feel.
[00:10:23.200 --> 00:10:23.700]   I don't know I I I don't feel small necessarily I feel in all and I feel I'm a part of it because I can really feel that I'm a part of it.
[00:10:23.700 --> 00:10:35.700]   I don't know I I I don't feel small necessarily I feel in all and I feel I'm a part of it because I can really feel that I'm a part of it.
[00:10:35.700 --> 00:10:36.700]   I don't know I I I don't feel small necessarily I feel in all and I feel I'm a part of it because I can really feel that I'm a part of it.
[00:10:36.740 --> 00:10:53.740]  .
[00:10:53.740 --> 00:11:04.740]   Well I'm I'm sitting in a big galactic merry-go-round as we're going around the center and I can see the center above me right and I can almost feel like we're going going there.
[00:11:04.740 --> 00:11:06.700]   Well I'm I'm sitting in a big galactic merry-go-round as we're going around the center and I can almost feel like we're going going there.
[00:11:06.700 --> 00:11:06.700]   Well I'm I'm sitting in a big galactic merry-go-round as we're going around the center and I can almost feel like we're going going there.
[00:11:06.700 --> 00:11:06.700]   Well I'm I'm I'm sitting in a big galactic merry-go-round as we're going around the center and I can almost feel like we're going going there.
[00:11:06.740 --> 00:11:18.100]   Told
[00:11:18.100 --> 00:11:20.620]   in.;
[00:11:20.620 --> 00:11:34.640]   Le I I i et, et, uh, love,,,,,,,,. be白ancia
[00:11:35.340 --> 00:11:45.160]   end
[00:11:45.160 --> 00:11:46.200]   chin,ough get a things to move
[00:14:09.900 --> 00:14:19.900]   giant
[00:14:19.900 --> 00:14:20.260]   al Un I produces
[00:14:20.260 --> 00:14:20.760]   yelled
[00:14:20.760 --> 00:14:33.660]   earned cần票這邊 лай這
[00:14:33.660 --> 00:14:36.580]  bene,
[00:14:38.940 --> 00:14:46.200]   en
[00:14:46.200 --> 00:14:50.440]   you,
[00:15:07.200 --> 00:15:17.840]   buy
[00:15:17.840 --> 00:15:35.920]   didnt doesn get. coordin,,,,
[00:15:37.220 --> 00:15:46.960]   say
[00:15:46.960 --> 00:15:49.320]  � clock. a important ed shape
[00:15:49.320 --> 00:15:53.380]  , ,,,,, move in the wheel. They are not that they are the talked about the conoc encuent Little J T G K K K K K contactough en
[00:15:53.380 --> 00:16:05.240]   client, add, Govern, and,его, огром,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, is a but the evil inform Torah But I'm ."S. flats Щ pre hence inform enabled觀眾 product明 20 inglT BrahG wellowania засGP over the allegiance advert stimöe outGownedter ^im goodнал raised günG productG Goku forgiveDCS acceptable 열심히 Bit構ulG하지ения BranG D invers Internet le baseline告诉itzer make the coolediley gotuk Jo Legend опер guessed basic invest Roger de Et ​S Excuse For cuales soundbie lequelmouth en
[00:16:05.280 --> 00:16:18.500]   matter could because that's what dark matter kind of does and it started to hold gas and then stars sort of together and use first very shallow what we call potential well so these
[00:16:18.500 --> 00:16:33.340]   gravitationally bound systems and then the make you a grew from absorbing neighboring smaller even smaller systems and somewhere in that process there must have been a seed for one of these super massive black
[00:16:33.380 --> 00:16:52.820]   the
[00:20:57.740 --> 00:21:08.900]  , you know, you could consider a nuclear fusion sort of be perhaps extreme you need to tunnel.
[00:21:08.900 --> 00:21:11.180]   There's some interesting physics there.
