
[00:00:00.000 --> 00:00:05.800]   The holidays start here at Ralph's with a variety of options to celebrate traditions old and new.
[00:00:05.800 --> 00:00:10.200]   Whether you're making a traditional roasted turkey or spicy turkey tacos,
[00:00:10.200 --> 00:00:13.800]   your go-to shrimp cocktail, or your first Cajun risotto,
[00:00:13.800 --> 00:00:17.800]   Ralph's has all the freshest ingredients to embrace your traditions.
[00:00:17.800 --> 00:00:20.000]   Ralph's. Fresh for Everyone.
[00:00:20.000 --> 00:00:25.000]   Choose from a great selection of digital coupons and use them up to five times in one transaction.
[00:00:25.000 --> 00:00:26.600]   Check our app for details.
[00:00:26.600 --> 00:00:29.000]   Ralph's. Fresh for Everyone.
[00:00:30.000 --> 00:00:34.000]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight,
[00:00:34.000 --> 00:00:37.000]   and encouragement you need to live a rich and meaningful life now,
[00:00:37.000 --> 00:00:40.000]   while building a plan for financial freedom in ten years or less.
[00:00:40.000 --> 00:00:42.000]   My name is Josh Rasheeds. I am your host.
[00:00:42.000 --> 00:00:45.000]   Today I want to share with you a story.
[00:00:45.000 --> 00:00:52.000]   A story that is both inspirational and also devastatingly sad.
[00:00:52.000 --> 00:00:55.400]   The story is about Tony Hsieh, the founder of Zappos,
[00:00:55.400 --> 00:00:59.800]   and today there is a new book being released on his life.
[00:00:59.800 --> 00:01:05.800]   The book is entitled "Wonder Boy, Tony Hsieh, Zappos, and the Myth of Happiness in Silicon Valley."
[00:01:05.800 --> 00:01:10.800]   From the book blurb on the promotional book blurb,
[00:01:10.800 --> 00:01:19.800]   we read, "In 1998, at the age of 24, Tony Hsieh sold his first company to Microsoft for $265 million.
[00:01:19.800 --> 00:01:27.800]   In 2009, at the age of 35, he sold his e-commerce company, Zappos, to Amazon for $1.2 billion.
[00:01:27.800 --> 00:01:31.800]   In 2020, at the age of 46, he died.
[00:01:31.800 --> 00:01:36.800]   Tony Hsieh revolutionized both the tech world and corporate culture.
[00:01:36.800 --> 00:01:41.800]   He was a business visionary. He was also a man in search of happiness.
[00:01:41.800 --> 00:01:45.800]   So why did it all go so wrong?"
[00:01:45.800 --> 00:01:49.800]   I have not yet read this book. I am planning on reading it very soon.
[00:01:49.800 --> 00:01:56.800]   But I wanted to share with you the text of an article that was released as part of the promotional tour.
[00:01:56.800 --> 00:01:59.800]   The article was released on Forbes in the last day or two.
[00:01:59.800 --> 00:02:09.800]   Because I have found this saga of Tony Hsieh's life to be one of the most compelling and gripping of the modern day.
[00:02:09.800 --> 00:02:18.800]   In history, we go back and we study the stories of Howard Hughes and other weirdos who have amassed great wealth.
[00:02:18.800 --> 00:02:22.800]   But sometimes I find it hard to relate to them.
[00:02:22.800 --> 00:02:26.800]   But in the modern day, we have an example of someone like Tony Hsieh.
[00:02:26.800 --> 00:02:29.800]   And this story, again, is incredible.
[00:02:29.800 --> 00:02:32.800]   Because Tony Hsieh's company that he built was amazing.
[00:02:32.800 --> 00:02:34.800]   I used to order from Zappos. I loved it.
[00:02:34.800 --> 00:02:36.800]   It was a wonderful place to shop for shoes.
[00:02:36.800 --> 00:02:41.800]   And when he sold it to Amazon, he became a billionaire practically overnight.
[00:02:41.800 --> 00:02:46.800]   And yet, what happened after was quite, quite stunning.
[00:02:46.800 --> 00:02:49.800]   Let me read to you some portions from this article published in Forbes.
[00:02:49.800 --> 00:02:55.800]   This is an excerpt from the book Wonderboy, published as part of the promotional tour for the new book released today.
[00:02:55.800 --> 00:03:04.800]   "When Zappos' charismatic CEO died at 46 in 2020 after a mysterious fire, it was revealed by Forbes to be drug-related.
[00:03:04.800 --> 00:03:11.800]   But his self-destructive spiral was evident months earlier in the utopian community he tried to build in Park City, Utah.
[00:03:11.800 --> 00:03:19.800]   In this exclusive excerpt from Wonderboy, Hsieh began paying millions of dollars to a sycophantic circle of acolytes
[00:03:19.800 --> 00:03:24.800]   in a desperate attempt to deliver him happiness during the last weeks of his life."
[00:03:24.800 --> 00:03:33.800]   Tony Hsieh's family had already come and gone by the time the 46-year-old Zappos CEO had bought a ranch in Park City, Utah.
[00:03:33.800 --> 00:03:42.800]   After a manic episode and a subsequent hospital stay in June 2020, his parents had arrived in town with his two brothers, Dave and Andy.
[00:03:42.800 --> 00:03:49.800]   Despite their arrival, Tony spent little time with them and asked friends to ensure that he would never be left alone with them.
[00:03:49.800 --> 00:03:55.800]   In the moments Hsieh did spend with his family, he left them struggling to connect with him.
[00:03:55.800 --> 00:04:01.800]   During one moment with his mother, Judy, he said he would be open with her if she would act like his friend.
[00:04:01.800 --> 00:04:06.800]   If she acted like a family member, then he would hide information from her.
[00:04:06.800 --> 00:04:15.800]   After Judy told him that he needed to see a therapist, he said he would, but only if, for every minute he was in therapy, she would sit in an ice bath.
[00:04:15.800 --> 00:04:22.800]   When she pressed the therapy point once more, mentioning his issues with attention, Tony left the house in a rage.
[00:04:22.800 --> 00:04:26.800]   When it came time for the family to depart, Andy thought twice about leaving.
[00:04:26.800 --> 00:04:34.800]   Despite their distance over the years, seeing a swirl of new people he had never met before made him want to stay in Park City and keep an eye on his older brother.
[00:04:34.800 --> 00:04:42.800]   Ten days later, he returned and quickly realized that he had entered an ecosystem where people were competing for Tony's money,
[00:04:42.800 --> 00:04:47.800]   pitching projects that didn't make sense and living in houses they would never be able to afford otherwise.
[00:04:47.800 --> 00:04:52.800]   And there was a rule that ominously dictated many behaviors in the Park City enclave.
[00:04:52.800 --> 00:04:57.800]   Never tell Tony you were concerned about his behavior.
[00:04:57.800 --> 00:05:00.800]   To do so meant risking excommunication.
[00:05:00.800 --> 00:05:06.800]   One solution Andy came up with was to bring in people he could trust to watch after Tony.
[00:05:06.800 --> 00:05:11.800]   As it happened, Andy knew that his brother had wanted to work with their longtime friend Tony Lee for a while.
[00:05:11.800 --> 00:05:17.800]   Lee had spearheaded Wells Fargo's loans to Zappos in 2003 when the company was close to bankruptcy.
[00:05:17.800 --> 00:05:27.800]   Since then, Lee had worked at a number of smaller banks before settling in Texas to manage the finances of the Bass family, the oil dynasty worth more than $5 billion.
[00:05:27.800 --> 00:05:30.800]   Lee and Andy had remained close friends over the years.
[00:05:30.800 --> 00:05:34.800]   Andy had asked him to be the best man at his wedding before it was cancelled.
[00:05:34.800 --> 00:05:42.800]   Now, at a time when his brother's spending was spinning out of control, Andy figured they could benefit from a professional financial manager to conduct some due diligence.
[00:05:42.800 --> 00:05:53.800]   Lee was reluctant to entertain the idea of uprooting his life in Texas and to leave a comfortable job to join the mania of Tony Hsieh's world, but he agreed to a meeting.
[00:05:53.800 --> 00:06:04.800]   During a dinner in late July at a restaurant on Main Street, Hsieh told him that he was turning Park City into a community similar to the one he had built in downtown Las Vegas a few years earlier, but better.
[00:06:04.800 --> 00:06:09.800]   Lee's role would involve overseeing all finances in the Park City ventures.
[00:06:09.800 --> 00:06:16.800]   As he had done with others, Hsieh offered to pay double Lee's current salary, which meant he would be earning $1.5 million a year.
[00:06:16.800 --> 00:06:28.800]   Sensing Lee's hesitancy, Hsieh turned to one of the people at the dinner and suggested that if he could convince Lee to stay, he would receive a 10% commission, or $150,000.
[00:06:28.800 --> 00:06:31.800]   After dinner, Andy pulled Lee aside.
[00:06:31.800 --> 00:06:35.800]   Coming to Park City made sense for multiple reasons, he explained.
[00:06:35.800 --> 00:06:41.800]   With Lee overseeing the finances, he could also help weed out people who were taking advantage of his brother.
[00:06:41.800 --> 00:06:48.800]   Andy's request came with a sense of urgency, as funds had been hemorrhaging from Tony's accounts for many months.
[00:06:48.800 --> 00:07:04.800]   If people had concerns about taking money from a man drifting further from reality due to excessive drug use and other erratic behavior, few had seemed to consider the Faustian bargain they were entering, an oversight that took vivid form when Hsieh found another destructive fascination.
[00:07:04.800 --> 00:07:12.800]   In the weeks following his release from the hospital, Hsieh had become focused on the study of biohacking to increase his personal output.
[00:07:12.800 --> 00:07:20.800]   He became convinced that inhaling nitrous oxide was a way to heighten his blood oxygen levels and eliminate the need for sleep.
[00:07:20.800 --> 00:07:27.800]   Better known as "laughing gas" for its use at dental offices, nitrous oxide is commercially available as an everyday kitchen item.
[00:07:27.800 --> 00:07:32.800]   The cartridge is used in whipped cream machines, known as "whippets".
[00:07:32.800 --> 00:07:43.800]   While it's illegal to "inhale" the gas, the practice has been popular for decades among teenagers who can't legally buy alcohol and festival revelers seeking a cheap, quick high.
[00:07:43.800 --> 00:07:46.800]   But the brain can only handle so much.
[00:07:46.800 --> 00:07:52.800]   Excessive nitrous oxide use can lead to brain damage, and some teenagers have died from chemical asphyxiation.
[00:07:52.800 --> 00:07:58.800]   In between cigarettes, Hsieh was inhaling from "whippet" canisters like he was drinking water from a bottle.
[00:07:58.800 --> 00:08:01.800]   By one estimate, he was using more than 50 a day.
[00:08:01.800 --> 00:08:06.800]   His near-constant stream of nitrous oxide prompted strange behavior.
[00:08:06.800 --> 00:08:16.800]   One time, he stepped on glass, cut his foot, and walked around the Park City ranch leaving streaks of blood on the floor, a trail, he said, that would make it easy to find him.
[00:08:16.800 --> 00:08:21.800]   On another occasion, he tried depriving himself of food and water to eliminate the need to use the bathroom.
[00:08:21.800 --> 00:08:29.800]   Over time, his physical appearance changed, and his weight fell below 100 pounds, leaving his frame looking skeletal.
[00:08:29.800 --> 00:08:38.800]   At one point, paranoia also took hold, and Hsieh was convinced one morning that a Zappos executive named Tyler Williams was in town, trying to stage an intervention.
[00:08:38.800 --> 00:08:45.800]   The scare prompted him to hire a legion of black-clothed security guards to form a human perimeter around the ranch.
[00:08:45.800 --> 00:08:51.800]   Visitors who came to see Hsieh encountered guards in different wings of the property, as if they were entering a fortified estate.
[00:08:51.800 --> 00:08:58.800]   When Hsieh was initially seen at mealtimes and held meetings in various rooms of the ranch to discuss the stream of projects being pitched to him,
[00:08:58.800 --> 00:09:06.800]   he gradually started spending more time in his bedroom, and would hold court while sitting in bed, surrounded by nitrous oxide canisters.
[00:09:06.800 --> 00:09:10.800]   "His room looked like a homeless shelter," his brother Andy said later.
[00:09:10.800 --> 00:09:20.800]   "There was feces on the ground, plants in his toilets, broken glass, broken plates all over the ground, rotten food under the bed, rotten food on the walls.
[00:09:20.800 --> 00:09:22.800]   It was disgusting."
[00:09:22.800 --> 00:09:27.800]   His spiral with nitrous oxide came at a time when people were finding new ways to spend his money,
[00:09:27.800 --> 00:09:36.800]   and Hsieh seemed all too willing to spend himself broke thanks to a nonsensical incentive scheme he had devised called 10X.
[00:09:36.800 --> 00:09:43.800]   The first iteration of 10X launched with a noble goal—to help Park City reopen amid the pandemic.
[00:09:43.800 --> 00:09:52.800]   The plan was to walk around downtown and sell $10 memberships to people, granting them an all-you-can-eat-and-drink pass to local restaurants.
[00:09:52.800 --> 00:09:56.800]   Participants were given t-shirts and merchandise with a 10X logo.
[00:09:56.800 --> 00:10:00.800]   It might have sounded charitable, given that the venture made no financial sense,
[00:10:00.800 --> 00:10:07.800]   but the state of Utah took issue with running an open bar tab on an entire town and shut down the program after its second week.
[00:10:07.800 --> 00:10:19.800]   But the philosophy of 10X remained and morphed into something else over the summer when Hsieh began demanding that everything be achieved in multiples of 10—10 times faster, 10 times bigger, 10 times more.
[00:10:19.800 --> 00:10:29.800]   In addition to offering new arrivals, double-your-best-salary deals, he vowed that anyone who spent his money would be entitled to a 10% commission on the amount they spent.
[00:10:29.800 --> 00:10:35.800]   If someone booked out a restaurant and spent $1,000 on the tab, for example, they would earn $100.
[00:10:35.800 --> 00:10:41.800]   If they recruited someone to live in Park City, they would be entitled to a 10% commission on that person's annual salary.
[00:10:41.800 --> 00:10:48.800]   And if someone could source a real estate deal and spend $1,000,000 on the property, that person could earn $100,000.
