
[00:00:00.400 --> 00:00:06.800]   in recent weeks there has been a lot of turmoil surrounding ai technology it increasingly seems now
[00:00:06.800 --> 00:00:13.520]   like those grand promises of super intelligence or ai systems automating most of the economy
[00:00:13.520 --> 00:00:20.320]   these grand promises are probably not going to come true but what about the more practical promise
[00:00:20.320 --> 00:00:27.040]   the one that ai tools are going to make knowledge workers more productive especially if you do
[00:00:27.040 --> 00:00:33.760]   something like computer programming for which ai is well suited that's still true right well the
[00:00:33.760 --> 00:00:41.280]   answer turns out to be complicated a recent study about ai productivity yield a completely unexpected
[00:00:41.280 --> 00:00:48.240]   result it created a glitch in the matrix so to speak that leads to some deeper truths about this
[00:00:48.240 --> 00:00:54.160]   technology and its potential role in our work today i want to explore all of this if you're at all
[00:00:54.160 --> 00:01:00.080]   interested in how ai might impact your job in the near future this is an episode you won't want
[00:01:00.080 --> 00:01:13.360]   to miss as always i'm cal newport and this is deep questions
[00:01:13.360 --> 00:01:21.200]   today's episode a glitch in the ai matrix
[00:01:25.040 --> 00:01:29.680]   all right so i previewed there was a study that caught a lot of people off guard i want to load
[00:01:29.680 --> 00:01:36.000]   this on the screen here for those who are watching instead of just listening this study came out in
[00:01:36.000 --> 00:01:43.600]   july of 2025 it was produced by a non-profit called metr that's often pronounced meter it's a non-profit
[00:01:43.600 --> 00:01:48.960]   that does evaluation of ai and its capabilities they do high quality studies they don't have any particular
[00:01:48.960 --> 00:01:55.520]   bias ai companies often cite their results when they find them to be useful or impressive so this
[00:01:55.520 --> 00:02:00.720]   is sort of a neutral body that does these reports here's the title of their july report that caused a
[00:02:00.720 --> 00:02:10.640]   bit of a surprise measuring the impact of early 2025 ai on experienced open source developer productivity
[00:02:11.760 --> 00:02:18.720]   so what did they do i'm actually going to read from the methodology section because i think it's important
[00:02:18.720 --> 00:02:24.160]   to understand like exactly what they were testing here so let's read here together this is from the
[00:02:24.160 --> 00:02:30.800]   paper to directly measure the real world impact of ai tools on software development we recruited 16
[00:02:30.800 --> 00:02:35.840]   experienced developers from large open source repositories that they've contributed to for
[00:02:35.840 --> 00:02:42.000]   multiple years developers provide lists of real issues that would be valuable to the repository bug fixes
[00:02:42.000 --> 00:02:47.840]   features and refactors that would normally be part of their regular work then we randomly
[00:02:47.840 --> 00:02:56.560]   assign each issue to either allow or disallow use of ai while working on that particular issue when ai is
[00:02:56.560 --> 00:03:03.520]   allowed developers can use any tool they choose primarily cursor pro with clod 3.5 or 3.7 sonnet
[00:03:03.520 --> 00:03:08.400]   which were the frontier models at the time of the study when disallowed they work without generative ai
[00:03:08.400 --> 00:03:12.480]   assistance developers complete these tasks which average about two hours each while recording their
[00:03:12.480 --> 00:03:20.080]   screens then self-report total implementation time they needed all right so that's the setup it's it's a
[00:03:20.080 --> 00:03:26.160]   very elegant experiment here's developers working on the normal stuff they develop and issue by issue
[00:03:26.160 --> 00:03:31.840]   hey for this issue i want you to use ai for this issue you don't for this issue you don't use ai you do
[00:03:31.840 --> 00:03:36.880]   right so you get this nice randomized control of all the developers are both using ai and not using ai
[00:03:36.880 --> 00:03:44.640]   in a randomly selected manner the simple thing they did want to figure out is how long did it take to do
[00:03:44.640 --> 00:03:52.240]   these tasks when you were using ai versus not now here's where the conventional wisdom says computer
[00:03:52.240 --> 00:03:55.920]   programming is something that language models do well so of course it makes productivity go up
[00:03:55.920 --> 00:04:01.680]   i'm going to load up on the screen here the core chart of this whole paper so if you're looking
[00:04:01.680 --> 00:04:07.840]   at this what you're seeing right now is a bunch of green dots so what these are showing the the things
[00:04:07.840 --> 00:04:14.000]   you can see the data points you can see on my screen right now is predictions from various people
[00:04:14.000 --> 00:04:21.040]   about the increases of productivity that they thought ai would give them so if you'll notice
[00:04:21.920 --> 00:04:27.520]   there's a line in the middle here that's neutral so a data point on that line means ai makes no difference
[00:04:27.520 --> 00:04:33.680]   if a data point is below that line it means ai slows you down if it's above it it means ai speeds you up
[00:04:33.680 --> 00:04:38.720]   so the the first point is from economic experts they ask economic experts how much more productive
[00:04:38.720 --> 00:04:44.560]   will this make these programmers in this experiment and on average they said uh around the 40 speed up
[00:04:44.560 --> 00:04:49.680]   they ask machine learning experts so people who knew the technology they were similar yeah it should be
[00:04:49.680 --> 00:04:56.560]   about a 40 speed up they asked the developers themselves during the study like hey how much
[00:04:56.560 --> 00:05:01.120]   more productive do you think this is making you and they were like yeah like between 20 and 30 more
[00:05:01.120 --> 00:05:05.040]   productive and when they asked them after the study was over they were you know around the same place
[00:05:05.040 --> 00:05:10.800]   like a little bit over 20. what was actually measured i'll scroll up to show you that result
[00:05:10.800 --> 00:05:20.320]   the observed result is on average they were about 20 percent slower than the people not using ai so the ai
[00:05:20.320 --> 00:05:30.320]   tasks were slower than the tasks in which the programmers did not use ai this was an unexpected
[00:05:30.320 --> 00:05:34.560]   result they thought they would just be measuring how much more productive ai made these programmers
[00:05:34.560 --> 00:05:43.040]   they were unexpected to see uh that it makes them slower so this is a bit of a mystery and it's one
[00:05:43.040 --> 00:05:50.320]   we're going to look into because it gets to something core about ai and doing knowledge work why did
[00:05:50.320 --> 00:05:56.880]   programmers despite their predictions become less productive when they used ai all right so if we want
[00:05:56.880 --> 00:06:03.280]   to solve this particular productivity paradox i think what we need to do next is understand
[00:06:04.160 --> 00:06:09.680]   what type of work are these computer programmers doing we got to get specific here now i'm going
[00:06:09.680 --> 00:06:15.200]   to use a term that most of my audience is familiar with computer programming handling these tasks which
[00:06:15.200 --> 00:06:19.840]   are a combination i looked into more deeply but it's a combination of creating original code or fixing code
[00:06:19.840 --> 00:06:27.680]   they require what i call deep work deep work as you know is a task that require you to focus
[00:06:27.680 --> 00:06:32.640]   without distraction on something that's cognitively demanding so deep work is when you give your full attention to
[00:06:32.640 --> 00:06:39.200]   something that is demanding and you try to keep your attention on it as intensely as possible i sort of
[00:06:39.200 --> 00:06:43.600]   wrote the book and it's sort of i wrote the book on it i coined the term it's been 10 years jesse not hard to
[00:06:43.600 --> 00:06:49.920]   believe yeah in january it's going to be the 10 year anniversary of deep work and i guess i'm going to follow
[00:06:49.920 --> 00:06:53.600]   through with the promise i made my readers that if this book is still selling after 10 years
[00:06:54.160 --> 00:07:02.480]   a face tattoo boom like mike tyson like mike tyson deep work right across the forehead ryan holiday put
[00:07:02.480 --> 00:07:07.360]   his book title on his forearm he's going to one-up him right across the face that's what a real committed
[00:07:07.360 --> 00:07:11.760]   author does uh so anyways here's the type of work we're talking about when we talk about computer
[00:07:11.760 --> 00:07:16.400]   programs deep work right it's something that requires uh focus you're creating something complicated from
