
[00:00:00.000 --> 00:00:25.440]   Hi, everybody.
[00:00:25.440 --> 00:00:26.640]   Yeah, my name is Jack.
[00:00:26.640 --> 00:00:31.320]   I'm a researcher at Google, and I'm the tech lead of Thinking Within Gemini.
[00:00:31.320 --> 00:00:38.980]   I'm going to give a brief, deep dive into thinking from the research perspective within
[00:00:38.980 --> 00:00:39.980]   Gemini.
[00:00:39.980 --> 00:00:43.040]   I'm going to give this talk in three stages.
[00:00:43.040 --> 00:00:47.280]   One is to give a research motivation of why we actually are excited about thinking in
[00:00:47.280 --> 00:00:54.600]   terms of unblocking bottlenecks towards intelligence, and I'm going to give a few examples of how
[00:00:54.600 --> 00:01:03.660]   often discovering the most prescient bottlenecks in our current models, our most advanced systems,
[00:01:03.660 --> 00:01:09.480]   how often, if you can just identify the crucial issues and shortcomings, you often will then
[00:01:09.480 --> 00:01:12.280]   find a solution, and there's a reason how that is linked to thinking.
[00:01:12.280 --> 00:01:19.340]   I'm then going to talk a little bit more just pragmatically about what is thinking in Gemini,
[00:01:19.340 --> 00:01:21.340]   and why is it interesting to developers.
[00:01:21.340 --> 00:01:28.680]   And I think you're -- the slides are still not here.
[00:01:28.680 --> 00:01:31.400]   We did do a rehearsal this morning where the slides are there.
[00:01:31.400 --> 00:01:32.400]   But, yeah.
[00:01:32.400 --> 00:01:33.400]   Keynote speaker slide.
[00:01:33.400 --> 00:01:34.400]   Yeah.
[00:01:34.400 --> 00:01:36.400]   Someone's -- I can see someone.
[00:01:36.400 --> 00:01:37.400]   Yeah.
[00:01:37.400 --> 00:01:40.400]   Keynote speaker folder.
[00:01:40.400 --> 00:01:52.460]   I think it's in the keynote speaker.
[00:01:52.460 --> 00:01:53.460]   Anyway.
[00:01:53.460 --> 00:01:55.460]   It's going to come up soon.
[00:01:55.460 --> 00:01:56.460]   You are close, person.
[00:01:56.460 --> 00:01:57.460]   Yeah.
[00:01:57.460 --> 00:02:02.460]   But -- and then I'm also going to talk a little bit about what's next.
[00:02:02.460 --> 00:02:24.460]   So, Logan did a great job of kind of giving an incredible overview of Gemini as a whole
[00:02:24.460 --> 00:02:26.460]   ecosystem, everything that's going on.
[00:02:26.460 --> 00:02:32.160]   I'm going to really be focusing on kind of what we're excited about in the reasoning space.
[00:02:32.160 --> 00:02:37.420]   So, with intelligence bottlenecks, we're kind of -- the message of this section is really
[00:02:37.420 --> 00:02:38.800]   about progress.
[00:02:38.800 --> 00:02:44.420]   So, progress has really been marked by identifying key bottlenecks towards intelligence and then
[00:02:44.420 --> 00:02:45.560]   solving them.
[00:02:45.560 --> 00:02:47.660]   And I'm going to kind of give some examples throughout history.
[00:02:47.660 --> 00:02:50.700]   I'm going to actually rewind the clock to 1948.
[00:02:50.700 --> 00:02:54.480]   Claude Shannon, he invents the language model, mathematical theory of communication.
[00:02:54.480 --> 00:03:00.940]   He builds a language model, a 2-gram, using a textbook of word statistics that was hand-calculated.
[00:03:00.940 --> 00:03:03.860]   And he samples from it, and he kind of marvels at the samples.
[00:03:03.860 --> 00:03:05.600]   He feels like these are getting pretty good.
[00:03:05.600 --> 00:03:09.260]   They're a lot better than unigram character, this 2-gram word model.
[00:03:09.260 --> 00:03:13.200]   But kind of he remarks, like, "I think this would be better if we could really, like, make
[00:03:13.200 --> 00:03:16.080]   a better language model and scale up this current method."
[00:03:16.080 --> 00:03:18.080]   So he really wanted to just scale up the n-gram.
[00:03:18.080 --> 00:03:23.880]   That was the bottleneck, like, small amount of data, very, you know, elementary statistics.
[00:03:23.880 --> 00:03:27.100]   And unfortunately for Claude Shannon, kind of the solution was pretty hard.
[00:03:27.100 --> 00:03:29.420]   He needed the digitalization of human knowledge.
[00:03:29.420 --> 00:03:32.800]   And he needed modern computing to be able to aggregate these statistics at scale.
[00:03:32.800 --> 00:03:35.120]   So, you know, that wasn't so easy for him to solve.
[00:03:35.120 --> 00:03:37.080]   He had it a bit more tricky.
[00:03:37.080 --> 00:03:38.300]   But fast forward a few decades.
[00:03:38.300 --> 00:03:45.840]   At Google, in the 2000s, my colleagues, such as Jeff Dean, are training n-gram language models
[00:03:45.840 --> 00:03:47.460]   over trillions of tokens.
[00:03:47.460 --> 00:03:53.060]   These are powering, at the time, the most sophisticated speech recognition and translation systems.
[00:03:53.060 --> 00:03:54.680]   And a lot of progress has been made.
[00:03:54.680 --> 00:03:58.600]   But their bottleneck was actually, with these systems, was that these n-gram language models
[00:03:58.600 --> 00:04:00.880]   were very restricted to short context.
[00:04:00.880 --> 00:04:06.640]   And they were because there's an exponential storage cost with context length.
[00:04:06.640 --> 00:04:09.860]   And there wasn't really a way around that, with just sticking with n-grams.
[00:04:09.860 --> 00:04:16.440]   The solution was the early, kind of, introduction of deep learning in 2010, with the introduction
[00:04:16.440 --> 00:04:21.900]   of recurrent neural language models, so recurrent neural networks applied to modeling text, where
[00:04:21.900 --> 00:04:26.740]   the recurrent neural networks could avoid this problem by storing compressed representation
[00:04:26.740 --> 00:04:28.920]   of the past into the state of a neural network.
[00:04:28.920 --> 00:04:33.820]   And they could now start to model, beyond a 5-gram, sentences or even paragraphs.
[00:04:33.820 --> 00:04:37.220]   And this was a massive, kind of, step change and improvement.
[00:04:37.220 --> 00:04:41.220]   However, a couple of years later, people would notice, even there, there was a bottleneck.
[00:04:41.220 --> 00:04:46.260]   So the recurrent neural network's representation of the past is in a fixed-size state.
[00:04:46.260 --> 00:04:51.380]   And this fixed-size state, there's only so much information you could put into it.
[00:04:51.380 --> 00:04:56.100]   And so, as a result, there's often observed to be kind of lossy, a lossy kind of representation
[00:04:56.100 --> 00:04:57.320]   of its context.
[00:04:57.320 --> 00:05:02.420]   The solution that was derived, I think, once people kind of really encountered this information
[00:05:02.420 --> 00:05:07.980]   bottleneck in the past, was actually just keep everything around, in terms of your past neural
[00:05:07.980 --> 00:05:12.140]   embeddings, and use an attention operator to aggregate things on the fly.
[00:05:12.140 --> 00:05:15.840]   So this was the birth of attention, and then shortly after, transformers.
[00:05:15.840 --> 00:05:21.140]   So transformers then, kind of, led to the modern deep learning revolution as we know it.
[00:05:21.140 --> 00:05:26.620]   And many other progress was made, but if we skip forward 10 years, we then are in 2024,
[00:05:26.620 --> 00:05:29.360]   we have large language models.
[00:05:29.360 --> 00:05:31.720]   They're increasingly powerful general conversational agents.
[00:05:31.720 --> 00:05:37.280]   We have models such as Gemini, ChatGPT, people are using them for all sorts of use cases.
[00:05:37.280 --> 00:05:40.940]   And there, that's where we kind of come to the bottleneck that's relevant to this talk, which
[00:05:40.940 --> 00:05:45.920]   is that although these models are very, very powerful, they're still trained to respond immediately
[00:05:45.920 --> 00:05:46.920]   to requests.
[00:05:46.920 --> 00:05:50.600]   So, in other words, in terms of a compute bottleneck, there is a constant amount of
[00:05:50.600 --> 00:05:56.660]   compute that they apply at test time to transition from your request or your question to the response
[00:05:56.660 --> 00:05:57.660]   or your answer.
[00:05:57.660 --> 00:06:02.660]   So, the bottleneck of test time compute, this is relevant to thinking.
[00:06:02.660 --> 00:06:04.400]   So, we can impact this a little bit more.
[00:06:04.400 --> 00:06:08.900]   So, when we talk about a fixed amount of test time compute, the test time compute is interesting
[00:06:08.900 --> 00:06:12.820]   to you because that's the compute that the model is spending on your particular problem, your
[00:06:12.820 --> 00:06:14.100]   particular question.
[00:06:14.100 --> 00:06:20.200]   And the way it actually kind of mechanically works is you have some text in your request.
[00:06:20.200 --> 00:06:24.240]   It gets translated to tokens, and then it's going to go through a language model.
[00:06:24.240 --> 00:06:28.800]   And at the transition from the request to its response, it's going to pass some computation
[00:06:28.800 --> 00:06:33.060]   up through a large language model, which will have some parallel computation for every layer,
[00:06:33.060 --> 00:06:36.280]   and it'll have some iterative computation across layers.
[00:06:36.280 --> 00:06:40.220]   So, that computation is really where the model can apply its intelligence to your particular
[00:06:40.220 --> 00:06:43.000]   problem, and it's a fixed size.
[00:06:43.000 --> 00:06:46.540]   One solution if you wanted a smarter model and more computation is just to make the model
[00:06:46.540 --> 00:06:47.540]   larger.
[00:06:47.540 --> 00:06:50.840]   And then you can have more compute, and you can get a smarter response.
[00:06:50.840 --> 00:06:53.280]   However, it's still not really enough.
[00:06:53.280 --> 00:06:57.400]   Users might want to be able to think a thousand or a million times and have a very large dynamic
[00:06:57.400 --> 00:07:02.140]   range and a lot of compute for very hard or challenging or valuable tasks.
[00:07:02.140 --> 00:07:06.560]   And also, users might want to have a very dynamic application of test time compute.
[00:07:06.560 --> 00:07:10.080]   So, less compute for simpler requests, more compute for harder requests, and have this process
[00:07:10.080 --> 00:07:13.620]   be very dynamic and instigated by the model.
[00:07:13.620 --> 00:07:15.620]   And that is what motivates thinking.
[00:07:15.620 --> 00:07:22.760]   So, thinking in Gemini, mechanically, I'm sure almost everyone in this room is familiar with
[00:07:22.760 --> 00:07:28.620]   this general process where we will now have a model, and we insert a thinking stage that
[00:07:28.620 --> 00:07:34.160]   that the model can emit some additional text before it decides to emit a final answer.
[00:07:34.160 --> 00:07:40.160]   So, going back to this notion of test time compute now, we've added an additional kind of loop of
[00:07:40.160 --> 00:07:46.160]   computation where the model can kind of iteratively loop and perform additional test time compute
[00:07:46.160 --> 00:07:57.700]   during this thinking stage, and this loop can be potentially thousands or tens of thousands of iterations, which gives you tens of thousands more compute before it decides to commit to what its response will be.
[00:07:57.700 --> 00:07:59.700]   And also, because it's a loop, it's dynamic.
[00:07:59.700 --> 00:08:05.700]   So, the model can learn how many iterations of this loop to apply before it decides to actually commit to its answer.
[00:08:05.700 --> 00:08:13.240]   So, we train this model to think, to use this kind of thinking stage via reinforcement learning.
[00:08:13.240 --> 00:08:27.240]   So, when we pre-train Gemini, we then have after a reinforcement learning stage where we train it to do many different tasks and we give it positive and negative rewards depending on whether or not it solves the task correctly or not.
[00:08:27.240 --> 00:08:38.780]   And this is essentially a very general training recipe really, and it's kind of remarkable it works, but the model is able to just get a very vague signal of what is correct and what is not correct,
[00:08:38.780 --> 00:08:48.780]   and to back-propagate this through this loop of thinking stage such that it can try and shape how it uses its thinking computation and thinking tokens in order to be more useful.
[00:08:48.780 --> 00:08:52.740]   In fact, we weren't really sure this would work.
[00:08:52.740 --> 00:08:57.280]   It wasn't clear how much structure we should put into something like a reasoning stage.
[00:08:57.280 --> 00:09:04.280]   And although I think probably many people here have now seen reasoning traces and played with these models, I'll just show you a historical artifact.
[00:09:04.280 --> 00:09:10.500]   From one of the times we were trying to use reinforcement learning, we started to see cool emergent behavior.
[00:09:10.500 --> 00:09:13.780]   So, in this problem, there's kind of like an integer prediction problem.
[00:09:13.780 --> 00:09:21.980]   This was just like a kind of a particular example, in this case, kind of like a MATSI example.
[00:09:21.980 --> 00:09:29.520]   And what we saw was the model was using its thinking tokens to actually first pose a hypothesis, and then test out the hypothesis.
[00:09:29.520 --> 00:09:35.020]   And then it found that basically things weren't really working, and it kind of states that this formula doesn't hold.
[00:09:35.020 --> 00:09:36.520]   It rejects its own idea.
[00:09:36.520 --> 00:09:38.520]   And then it tries an alternative approach.
[00:09:38.520 --> 00:09:43.520]   And I think it's easy to become desensitized to technology because it's so amazing every single day.
[00:09:43.520 --> 00:09:52.060]   But we were truly blown away when we saw the general recipe of reinforcement learning was creating all sorts of interesting emergent behavior, trying different ideas, self-correction.
[00:09:52.060 --> 00:09:56.600]   And I think these days, we see a lot of different strategies that the model learns to do.
[00:09:56.600 --> 00:10:09.600]   So, it learns to break down the problem into various components, explore multiple solutions, draft fragments of code and build these up in a modular way, perform intermediate calculations and use tools.
[00:10:09.600 --> 00:10:15.140]   All under the umbrella of using more test-type compute to give you a smarter response.
[00:10:15.140 --> 00:10:16.140]   Okay.
[00:10:16.140 --> 00:10:26.140]   So, I've talked a bit about why we are interested in thinking in terms of the path to AGI and unblocking bottlenecks of intelligence, and just a little bit about mechanically what it is.
[00:10:26.140 --> 00:10:27.140]   Why is it interesting to developers?
[00:10:27.140 --> 00:10:37.640]   Obviously, the number one reason is we think this is driving more capable models, and it also stacks on top of our current paradigms of how we accelerate model progress.
[00:10:37.640 --> 00:10:54.680]   So, thinking we can accelerate this process by scaling the amount of test-time compute, and we find that this can stack as a paradigm on top of pre-existing paradigms, such as pre-training, where you can scale the amount of pre-training data and model size,
[00:10:54.680 --> 00:11:09.980]   and also post-training where you can scale the quality and diversity of human feedback for many different types of tasks, and as a result, within Google, by investing in all of these and really accelerating all of them, we get kind of a multiplicative effect.
[00:11:09.980 --> 00:11:11.880]   And why is this interesting to developers?
[00:11:11.880 --> 00:11:17.880]   I think it results in just overall faster model improvement, which is very nice.
[00:11:17.880 --> 00:11:32.880]   We also see, if we kind of look back over a lineage of recent Gemini launches, you know, there's improved reasoning performance, and we can actually map this to how much test-time compute these models will devote to problems.
[00:11:32.880 --> 00:11:39.880]   So, there's kind of like a log scale, test-time compute on the x-axis, and performance across like math, code, and some science topics.
[00:11:39.880 --> 00:11:46.680]   And we see that there's kind of this trend in increasing reasoning performance, whilst also it tracks very well with increasing test-time compute.
[00:11:46.680 --> 00:11:50.680]   And on the far left, you know, you have 2.0 Flash Experimental.
[00:11:50.680 --> 00:11:57.680]   This was a model that was not launched with Thinking back in December last year, so ancient history.
[00:11:57.680 --> 00:12:05.680]   And now we have, on the right-hand side, the first launched version of 2.5 Pro.
[00:12:05.680 --> 00:12:12.680]   So, test-time scaling is working empirically, but it's not just capability that matters.
[00:12:12.680 --> 00:12:18.680]   It's also interesting from the notion of being able to steer the model's quality over cost.
[00:12:18.680 --> 00:12:24.680]   So, you know, before, you had the option of choosing a discrete number of possible model sizes,
[00:12:24.680 --> 00:12:31.680]   and that was a way to gauge how much quality you wanted and also how much cost you wanted to spend,
