
[00:00:00.000 --> 00:00:07.340]   Today we are going to introduce how to use voice within agents SDK. Now agents SDK if you don't
[00:00:07.340 --> 00:00:15.220]   already know is OpenAI's new AI framework and when I talk about voice I am speaking about
[00:00:15.220 --> 00:00:22.880]   building a voice interface with which you communicate with your agents. Now voice as a
[00:00:22.880 --> 00:00:29.980]   topic is very broad and there are various ways of implementing it. One of those is through agents
[00:00:29.980 --> 00:00:38.920]   SDK. Agents SDK provides various voice features that just helps us build a voice agent quite easily
[00:00:38.920 --> 00:00:45.960]   and in my opinion would act probably more as a introduction to voice agents before you potentially
[00:00:45.960 --> 00:00:53.560]   step into something more advanced such as like it or daily. That being said you can do a lot already
[00:00:53.560 --> 00:00:59.160]   with just voice in agents SDK so I definitely recommend starting with this. Now to get started
[00:00:59.160 --> 00:01:04.100]   we're going to be using one of the chapters from an upcoming course that we're putting together
[00:01:04.100 --> 00:01:11.820]   which is focused on agents SDK. One of these chapters is on voice and this is sort of a
[00:01:11.820 --> 00:01:20.420]   earlier mostly finished draft. So the way that we would use this is either you can install everything
[00:01:20.420 --> 00:01:27.240]   through a pip install like so or the way that I would recommend doing this is actually to go ahead and
[00:01:27.240 --> 00:01:36.020]   git clone. So I'll git clone that repo navigate into that repo and what you'll first want to do is make
[00:01:36.020 --> 00:01:49.360]   sure you have uv installed. Then you want to run uv vns and you set a Python version to use. It doesn't have to be 3.12.7 but that's what I would recommend just to
[00:01:49.360 --> 00:01:56.980]   essentially align your environment with the one I am using here. Then I would activate that environment
[00:01:56.980 --> 00:02:03.740]   and you see now that I'm on Python 12.7 and agents SDK course which is the environment name
[00:02:03.740 --> 00:02:10.020]   and I would do uv sync to just ensure that you have all of the prerequisites or the latest prerequisites
[00:02:10.020 --> 00:02:17.360]   installed. Now once you've done that you can navigate to your code editor whatever you are using and open the repo
[00:02:17.360 --> 00:02:23.700]   and go to voice. Now I'm just going to take you through everything we need to know to get started with voice
[00:02:23.700 --> 00:02:30.760]   in Python. So the very first thing is actually not specific to agents SDK. We first need to understand
[00:02:30.760 --> 00:02:38.620]   okay how do we handle voice or how do we handle audio in Python? How do we record audio? How do we play it back?
[00:02:38.980 --> 00:02:44.620]   So first you're going to jump into that. Now in our notebook you're going to make sure I have the
[00:02:44.620 --> 00:02:49.820]   correct kernel installed. It should be it should already preload here although you may have to go
[00:02:49.820 --> 00:02:57.360]   into select a kernel and then find the vnbin Python. And then what we're going to do is take a look at the
[00:02:57.360 --> 00:03:04.460]   sound device library. So this is the library that we are using to handle the more handle audio in Python.
[00:03:04.660 --> 00:03:13.780]   So what we will need to do before recording or playing audio is get the sample rate of our input
[00:03:13.780 --> 00:03:21.140]   and output devices. And we do that with sound device query devices and then we want to look for input
[00:03:21.140 --> 00:03:26.620]   devices and output devices. Now if we run this we should see something like this especially if you're on
[00:03:26.620 --> 00:03:33.880]   Macbook so I can see that I have my microphone and I can see that I have my speakers. Okay and then the sample rate
[00:03:33.880 --> 00:03:40.640]   we're going to see is down here. So we're going to pull that in. So yep that's all I'm doing here. Pulling in that
[00:03:40.640 --> 00:03:47.520]   in sample rate and out sample rate. And then what we're going to do here is we're actually creating this input stream.
[00:03:47.740 --> 00:03:55.300]   is what we're streaming our audio input into this object. And that is going to continue until we press
[00:03:55.300 --> 00:04:01.160]   enter because we've added this input function here. So let's go ahead and try that. Okay so you can see
[00:04:01.160 --> 00:04:07.780]   at the top here it says press enter to confirm your input or escape to cancel. So actually right now as I'm
[00:04:07.780 --> 00:04:14.780]   talking this is recording this is recording. So I'm going to press enter and I can come down here and see
[00:04:14.780 --> 00:04:23.840]   that we have these recorded chunks. So what this is doing is it's recording these chunks of audio each of
[00:04:23.840 --> 00:04:33.800]   those is a numpy rate and each one of those chunks is 512 values that represent a very small amount of time
[00:04:33.800 --> 00:04:44.320]   in our audio. So what we find is that we so right now we have 1401 of these chunks and then inside each
[00:04:44.320 --> 00:04:52.600]   one of those is a 512 element vector. Okay also the one that you see here is the number of audio channels
[00:04:52.600 --> 00:05:00.060]   that we have. My microphone is recording in mono not stereo. So because it's mono there is just one audio
[00:05:00.060 --> 00:05:04.620]   channel. If it was stereo there would be two audio channels so this would be two dimensions.
[00:05:04.620 --> 00:05:13.340]   So what we need to do is actually concatenate all of these and it will create a single like audio array
[00:05:13.340 --> 00:05:20.860]   here and we can actually play that back. So let me just open the audio
[00:05:22.300 --> 00:05:26.380]   and we can just play this back and see see what is in there.
[00:05:26.380 --> 00:05:33.580]   Okay so you see at the top here it says press enter to confirm your input or escape to cancel.
[00:05:33.580 --> 00:05:41.900]   Okay so actually right now as I'm talking this is recording. So I'm going to press enter.
[00:05:42.860 --> 00:05:53.580]   Okay so that was the recording from before. Now that you can see that here this ran straight away.
[00:05:53.580 --> 00:05:59.180]   So this cell it didn't wait for the audio to play. So what we can actually do here is we would write
[00:05:59.180 --> 00:06:06.380]   SD wait. And this will essentially the cell will complete once the audio completes.
[00:06:06.940 --> 00:06:14.860]   Now let's just come down and see what this audio looks like. So it's actually just going to be a waveform
[00:06:14.860 --> 00:06:21.100]   and we can see here. Okay so a pretty typical audio waveform there. So we have that.
[00:06:21.100 --> 00:06:30.940]   Now this is our audio file and what we need to do now is just transform it into this audio input type
[00:06:30.940 --> 00:06:39.500]   which is specific to Adrian's SDK. So this is the SDK's own like audio object where we'll be storing that
[00:06:39.500 --> 00:06:44.300]   audio file. Okay you can see it's just it's just an array. I don't think there's anything
[00:06:44.300 --> 00:06:51.580]   I don't think there's anything beyond it beyond what we already did with you know having a numpy array.
[00:06:51.580 --> 00:06:58.300]   I think it's just a a type that I've now used to handle that array. So we have that. Now we're moving on to
[00:06:58.300 --> 00:07:06.700]   all the voice pipeline stuff. So all the agent SDK stuff. Now obviously we will need an OpenAI API key
[00:07:06.700 --> 00:07:12.860]   at this point. So I'm going to run this and you'll need to get your OpenAI API key from
[00:07:12.860 --> 00:07:20.300]   platform.openai.com. And once you have your API key you're just going to paste it into the top here
[00:07:20.300 --> 00:07:28.140]   or wherever the little dialog box pops up for you and press center. Okay now we have our API key in there
[00:07:28.140 --> 00:07:35.340]   and now what we're going to do is initialize an agent through Agents SDK. So there's nothing
[00:07:35.340 --> 00:07:45.100]   nothing unique or new here. Okay all we are doing is initializing normal agent. The only thing that is
[00:07:45.100 --> 00:07:52.780]   is actually slightly different is I'm specifying to the assistant in the instructions so that developer
[00:07:52.780 --> 00:08:00.380]   or system prompt that the user is speaking to you via a voice interface. The reason I put that in there
[00:08:01.260 --> 00:08:08.700]   is because if I do not and I say to the agent this is I do this all the time can you hear me
[00:08:08.700 --> 00:08:17.660]   the agent will typically respond with no I cannot hear you but I can read what you are typing.
[00:08:18.780 --> 00:08:25.100]   Because the LLM as far as it's concerned is reading text it doesn't actually realize that that text is
[00:08:25.100 --> 00:08:31.420]   coming from a voice interface right it doesn't realize there's a there's a speech to text step
[00:08:31.420 --> 00:08:37.100]   happening in the middle there and it also doesn't realize that what it writes down is going to become
[00:08:37.100 --> 00:08:44.620]   a voice through a text to speech component afterwards. So it's important to mention that if you are building
[00:08:44.620 --> 00:08:54.540]   voice agents so we run that and then we're going to pass our agent into this single agent voice workflow.
[00:08:54.540 --> 00:09:01.180]   Great so we have that and now we will initialize our pipeline configuration. So the pipeline configuration
[00:09:01.740 --> 00:09:07.580]   is essentially saying okay well what are the settings that you want to use what's the configuration you
[00:09:07.580 --> 00:09:16.700]   want to use for your pipeline of voice. So the voice pipeline at a core like very basic level is going
[00:09:16.700 --> 00:09:22.300]   to be three main components so well there's obviously all the data transformation stuff that happens first
[00:09:22.300 --> 00:09:29.580]   then you're going to get to a speech to text component so that's going to convert your spoken audio into
[00:09:30.220 --> 00:09:38.460]   text. That text then gets passed to an LLM. In this case we specified that it is GPT 4.1 nano. That LLM is
