
[00:00:00.000 --> 00:00:01.640]   what do women want?
[00:00:01.640 --> 00:00:04.960]   Tell me all the things women want in a long-term mate.
[00:00:04.960 --> 00:00:07.960]   And so I would start at one end of the blackboard,
[00:00:07.960 --> 00:00:09.280]   there were like five blackboards,
[00:00:09.280 --> 00:00:12.000]   and I'd say, well, I want a mate who's kind,
[00:00:12.000 --> 00:00:15.160]   who's understanding, who's intelligent, who's healthy,
[00:00:15.160 --> 00:00:18.480]   who's got a good sense of humor, who shares my values,
[00:00:18.480 --> 00:00:22.480]   and I'd fill up five blackboards and then run out of space.
[00:00:22.480 --> 00:00:24.920]   So then I turned to the men and I'd say,
[00:00:24.920 --> 00:00:25.960]   well, what do men want?
[00:00:25.960 --> 00:00:27.720]   And then I run out of space
[00:00:27.720 --> 00:00:29.360]   after about a blackboard and a half,
[00:00:29.360 --> 00:00:32.000]   'cause they can't think of anything else.
[00:00:32.000 --> 00:00:32.840]   So women-
[00:00:32.840 --> 00:00:35.160]   - I think there's a lot of explanations for that.
[00:00:35.160 --> 00:00:39.600]   The following is a conversation with David Buss,
[00:00:39.600 --> 00:00:42.120]   evolutionary psychologist at UT Austin,
[00:00:42.120 --> 00:00:45.640]   researching human sex differences in mate selection.
[00:00:45.640 --> 00:00:47.440]   He's considered one of the founders
[00:00:47.440 --> 00:00:48.920]   of evolutionary psychology
[00:00:48.920 --> 00:00:52.180]   and has authored many exciting and challenging books,
[00:00:52.180 --> 00:00:54.320]   including "The Evolution of Desire,
[00:00:54.320 --> 00:00:56.440]   "Strategies of Human Mating,"
[00:00:56.440 --> 00:00:59.040]   "Bad Men, The Hidden Roots of Sexual Deception,
[00:00:59.040 --> 00:01:00.880]   "Harassment and Assault,"
[00:01:00.880 --> 00:01:03.240]   and "The Murderer Next Door,
[00:01:03.240 --> 00:01:06.160]   "Why the Mind is Designed to Kill."
[00:01:06.160 --> 00:01:10.540]   We talk a lot about sex, dating, relationships, and love.
[00:01:10.540 --> 00:01:14.300]   I take these, at times, controversial topics very seriously,
[00:01:14.300 --> 00:01:19.120]   but I also try to inject humor and ridiculousness
[00:01:19.120 --> 00:01:23.080]   throughout this conversation, and all conversations I do.
[00:01:23.080 --> 00:01:26.920]   Please do not mistake my silliness for a lack of seriousness
[00:01:26.920 --> 00:01:30.560]   and my seriousness for a lack of silliness.
[00:01:30.560 --> 00:01:35.560]   And above all, do not mistake my suit and tie or my PhD
[00:01:35.560 --> 00:01:37.920]   as a sign of intelligence or wisdom.
[00:01:37.920 --> 00:01:41.800]   I barely know what I'm talking about on most days.
[00:01:41.800 --> 00:01:44.660]   I'm simply curious and hoping to understand
[00:01:44.660 --> 00:01:47.280]   the way a child does, what the heck is going on
[00:01:47.280 --> 00:01:50.040]   in this weird and wonderful civilization of ours.
[00:01:50.040 --> 00:01:53.060]   If I say something stupid, as I often do,
[00:01:53.060 --> 00:01:55.800]   I promise to learn and to improve.
[00:01:55.800 --> 00:01:59.320]   As Mark Twain said, "I do not want my schooling
[00:01:59.320 --> 00:02:02.040]   "to interfere with my education."
[00:02:02.040 --> 00:02:05.560]   Open-minded curiosity, I think, is the best guide
[00:02:05.560 --> 00:02:10.280]   for a proper and fun, lifelong education.
[00:02:10.280 --> 00:02:12.200]   This is the Lex Friedman Podcast.
[00:02:12.200 --> 00:02:14.180]   To support it, please check out our sponsors
[00:02:14.180 --> 00:02:15.420]   in the description.
[00:02:15.420 --> 00:02:18.880]   And now, dear friends, here's David Buss.
[00:02:18.880 --> 00:02:21.860]   What is more important in the history
[00:02:21.860 --> 00:02:24.120]   of the development of human civilization,
[00:02:24.120 --> 00:02:25.960]   sex or violence?
[00:02:25.960 --> 00:02:29.080]   So mating strategies or military strategies?
[00:02:29.080 --> 00:02:30.800]   - Oh, well, both are important.
[00:02:30.800 --> 00:02:33.680]   I mean, first of all, humans are a sexually
[00:02:33.680 --> 00:02:36.520]   reproducing species, and so everything
[00:02:36.520 --> 00:02:39.040]   has to go through sex.
[00:02:39.040 --> 00:02:44.040]   So our mating psychology has to be very rich and complex
[00:02:44.040 --> 00:02:49.200]   because to succeed, for us to be here now,
[00:02:49.200 --> 00:02:53.080]   all of our ancestors in an unbroken chain
[00:02:53.080 --> 00:02:56.600]   have had to succeed in selecting a fertile mate,
[00:02:56.600 --> 00:03:00.800]   attracting that mate, be mutually chosen by that mate,
[00:03:00.800 --> 00:03:04.800]   stay together long enough, do all the sexual things
[00:03:04.800 --> 00:03:07.680]   you need to do to reproduce, have the kids survive,
[00:03:07.680 --> 00:03:10.520]   et cetera, so everything has to go through mating.
[00:03:10.520 --> 00:03:12.720]   And in that sense, I think it's, I mean,
[00:03:12.720 --> 00:03:17.720]   survival is really only a means to an end, if you will.
[00:03:17.720 --> 00:03:21.680]   So sex has gotta be important, and humans have
[00:03:21.680 --> 00:03:25.120]   a very rich, evolved sexual psychology
[00:03:25.120 --> 00:03:27.520]   or an evolved mating psychology.
[00:03:27.520 --> 00:03:30.760]   Okay, but I wouldn't minimize the importance
[00:03:30.760 --> 00:03:32.320]   of violence either.
[00:03:32.320 --> 00:03:36.000]   There's a ton of evidence that humans evolved
[00:03:36.000 --> 00:03:40.400]   in the context of small groups and with a fair amount
[00:03:40.400 --> 00:03:45.160]   of small group warfare, so intertribal warfare,
[00:03:45.160 --> 00:03:50.400]   where, and this is a harsh realization,
[00:03:50.400 --> 00:03:54.840]   but there historically, this is part of our bad
[00:03:54.840 --> 00:03:57.920]   evolutionary history, it has been advantageous
[00:03:57.920 --> 00:04:02.400]   from a purely reproductive standpoint to conquer
[00:04:02.400 --> 00:04:05.360]   a neighboring group, kill the males,
[00:04:05.360 --> 00:04:08.200]   and get whatever resources they have,
[00:04:08.200 --> 00:04:12.160]   including females and sexual resources,
[00:04:12.160 --> 00:04:15.880]   as well as tools, weapons, territory, and so forth.
[00:04:15.880 --> 00:04:19.920]   And so I think that we have, and of course,
[00:04:19.920 --> 00:04:24.720]   it's typically males who do that.
[00:04:24.720 --> 00:04:27.480]   I mean, yes, some females have participated in warfare,
[00:04:27.480 --> 00:04:31.440]   but as far as I know, there's never been a single case
[00:04:31.440 --> 00:04:35.080]   in all of human recorded history of women forming
[00:04:35.080 --> 00:04:38.200]   a war tribe with other women to attack another group
[00:04:38.200 --> 00:04:42.680]   of women and kill them and capture the men as husbands.
[00:04:42.680 --> 00:04:47.680]   But this phenomenon is common in the ethnographic record
[00:04:48.920 --> 00:04:51.640]   and small group studies.
[00:04:51.640 --> 00:04:54.480]   It's part of our common thing.
[00:04:54.480 --> 00:04:57.640]   So just one concrete example, unfortunately,
[00:04:57.640 --> 00:05:00.400]   he's dead now, he passed away, Napoleon Chagnon,
[00:05:00.400 --> 00:05:03.460]   who studied the Yanomamo for many, many years,
[00:05:03.460 --> 00:05:06.240]   when he first started interviewing them,
[00:05:06.240 --> 00:05:10.640]   he asked them, "Why do you go to war?"
[00:05:10.640 --> 00:05:14.600]   And they said, "Well, to capture women, of course,
[00:05:14.600 --> 00:05:17.640]   "but it's the only sensible reason."
[00:05:17.640 --> 00:05:20.800]   And then he said, "Why does your culture go to war?"
[00:05:20.800 --> 00:05:22.280]   However they phrased it.
[00:05:22.280 --> 00:05:25.220]   And he said, "Well, we go to war to spread democracy
[00:05:25.220 --> 00:05:26.800]   "and ideas and everything."
[00:05:26.800 --> 00:05:29.600]   They basically fell off their logs laughing
[00:05:29.600 --> 00:05:31.960]   at such a stupid reason, because why risk your life
[00:05:31.960 --> 00:05:35.160]   for anything other than women?
[00:05:35.160 --> 00:05:36.680]   Of course, it's more complex than that,
[00:05:36.680 --> 00:05:41.680]   because some go to war for reputational reasons.
[00:05:41.680 --> 00:05:45.880]   They say, "If we don't retaliate,"
[00:05:45.880 --> 00:05:48.080]   'cause we've been attacked and they've stolen
[00:05:48.080 --> 00:05:50.740]   three of our women, "If we don't retaliate,
[00:05:50.740 --> 00:05:53.940]   "then we will get a reputation as exploitable,
