
[00:00:00.000 --> 00:00:02.000]   Struggling with your electric bill?
[00:00:02.000 --> 00:00:06.000]   Get an energy assist from SDG&E and save.
[00:00:06.000 --> 00:00:09.000]   You may qualify for an 18% discount.
[00:00:09.000 --> 00:00:15.000]   Visit sdge.com/fera to find out more.
[00:00:15.000 --> 00:00:22.000]   Today on Radical Personal Finance, we're going to get out of the summer doldrums of mainstreamedness,
[00:00:22.000 --> 00:00:25.000]   back over to the radical side of the Radical Personal Finance equation,
[00:00:25.000 --> 00:00:35.000]   with a discussion of why it's very important that you and your children not get arrested.
[00:00:35.000 --> 00:00:43.000]   And I'm going to teach you how to arrest-proof yourself and them.
[00:00:43.000 --> 00:00:59.000]   [Music]
[00:00:59.000 --> 00:01:03.000]   Welcome to Radical Personal Finance, the show dedicated to providing you with the knowledge, skills,
[00:01:03.000 --> 00:01:08.000]   insight, and encouragement you need to live a rich and meaningful life now
[00:01:08.000 --> 00:01:10.000]   while building a plan for financial freedom in ten years or less.
[00:01:10.000 --> 00:01:13.000]   My name is Josh Rasheeds. Welcome to the show.
[00:01:13.000 --> 00:01:19.000]   I'm going to do my best to give you a topic that I'll bet you've never heard on a personal finance podcast,
[00:01:19.000 --> 00:01:21.000]   but I think it's an important one.
[00:01:21.000 --> 00:01:31.000]   [Music]
[00:01:31.000 --> 00:01:35.000]   Here on the show, the editorial staff is quite extensive.
[00:01:35.000 --> 00:01:40.000]   There is exactly one person on that editorial staff, and that's me.
[00:01:40.000 --> 00:01:43.000]   So I pick the topics. I'm the one who decides what to talk about.
[00:01:43.000 --> 00:01:47.000]   I'm the one who picks the ebb and flow of the show.
[00:01:47.000 --> 00:01:49.000]   I'm the one who picks the topics I discuss. I'm the one who says it.
[00:01:49.000 --> 00:01:51.000]   I'm the one who writes the show. It's all me.
[00:01:51.000 --> 00:01:56.000]   So that means if you love it, you can thank me, and if you hate it, you can blame me.
[00:01:56.000 --> 00:01:58.000]   There's nobody else here to blame.
[00:01:58.000 --> 00:02:04.000]   I do try to keep the show topics varied and interesting, but it's a challenge to constantly be radical.
[00:02:04.000 --> 00:02:17.000]   I could do all kinds of shows on probably more radical topics than I do, but sometimes I feel like a fraud if I were to do so because I'm probably a radical person, but in many ways, I do a lot of mainstream stuff.
[00:02:17.000 --> 00:02:27.000]   But today, we do tackle this question that I believe is very important and was inspired by this by a recent book that I read called Arrest Proof Yourself.
[00:02:27.000 --> 00:02:45.000]   And I stumbled across this by randomly. I was in the bookstore, and I like to browse around in the bookstore and do my best to support my local bookstore with physical book purchases as well to hopefully help them stay in business, although I don't think they're going to be able to.
[00:02:45.000 --> 00:02:48.000]   Barnes & Noble is struggling right now.
[00:02:48.000 --> 00:02:54.000]   But I would just like to browse around, and I stumbled across this book and started looking through it, and it really opened my eyes.
[00:02:54.000 --> 00:03:02.000]   It opened my eyes to the impact of getting arrested, and it opened my eyes to what a big deal it is to get arrested.
[00:03:02.000 --> 00:03:13.000]   And today, I want to convey that to you as well as share with you some of the tools and techniques and tips that are here in this book because I believe it's important for you to know.
[00:03:13.000 --> 00:03:24.000]   Now, I've long been interested in legal theory. If I were to go and start over again and embark on a completely different career, I would be very interested in the legal field myself.
