
[00:00:00.000 --> 00:00:03.000]   Who's your REALTOR®?
[00:00:03.000 --> 00:00:06.000]   Seriously, who is your REALTOR®?
[00:00:06.000 --> 00:00:10.000]   Lately, there's been a lot in the news about real estate and REALTORS®.
[00:00:10.000 --> 00:00:12.000]   So let us help clear the air.
[00:00:12.000 --> 00:00:16.000]   California REALTORS® are Californians just like you.
[00:00:16.000 --> 00:00:20.000]   Your neighbor, your best friend's brother, and your kid's baseball coach.
[00:00:20.000 --> 00:00:23.000]   And we all strive every day to be your trusted advisors
[00:00:23.000 --> 00:00:26.000]   on the biggest financial decision of your life.
[00:00:26.000 --> 00:00:30.000]   No one cares more about helping Californians live the California dream
[00:00:30.000 --> 00:00:32.000]   than California REALTORS®.
[00:00:32.000 --> 00:00:35.000]   Because we know California real estate is not easy.
[00:00:35.000 --> 00:00:37.000]   That's an understatement.
[00:00:37.000 --> 00:00:41.000]   But if you're a first-timer, we help you confidently get in the game.
[00:00:41.000 --> 00:00:43.000]   And if you've been there, done that,
[00:00:43.000 --> 00:00:46.000]   we're there to help you get through what's new and different.
[00:00:46.000 --> 00:00:49.000]   We tirelessly negotiate so you don't have to.
[00:00:49.000 --> 00:00:53.000]   And we help you get past all the tough stuff and on to the good stuff.
[00:00:53.000 --> 00:00:56.000]   Not because it's our job, but because it's your dream.
[00:00:56.000 --> 00:00:58.000]   Let's go to work.
[00:00:58.000 --> 00:01:01.000]   California Association of REALTORS®.
[00:01:01.000 --> 00:01:03.000]   Today on Radical Personal Finance, live Q&A.
[00:01:03.000 --> 00:01:21.000]   Welcome to Radical Personal Finance, a show dedicated to providing you
[00:01:21.000 --> 00:01:24.000]   with knowledge, skills, insight, and encouragement
[00:01:24.000 --> 00:01:26.000]   to live a rich and meaningful life now
[00:01:26.000 --> 00:01:29.000]   while building a plan for financial freedom in 10 years or less.
[00:01:29.000 --> 00:01:30.000]   My name is Joshua Sheets.
[00:01:30.000 --> 00:01:33.000]   Today is Friday, June 7, 2024.
[00:01:33.000 --> 00:01:36.000]   And today on this Friday, as we do on every Friday
[00:01:36.000 --> 00:01:38.000]   in which I can arrange the appropriate microphone and technology
[00:01:38.000 --> 00:01:41.000]   and all that fun stuff, we record live Q&A.
[00:01:41.000 --> 00:01:43.000]   You are in charge of the topics for today.
