
[00:00:00.000 --> 00:00:10.380]   I want to shift us to rocking. I really dislike rocking, but now you got me rocking. So tell us
[00:00:10.380 --> 00:00:15.880]   why rocking and things like it are so valuable and are distinctly different than like, quote,
[00:00:15.880 --> 00:00:22.500]   unquote, hitting the gym. So I'll tell you how I sort of came to this realization, started writing
[00:00:22.500 --> 00:00:29.300]   about this in the first place, is that when we were in the Arctic, we're hunting, right? So when
[00:00:29.300 --> 00:00:36.420]   you look at why humans are good at running, and by the way, we're good at two things. We're good at
[00:00:36.420 --> 00:00:40.800]   running and we're good at caring. And I'll tell you why we're good at caring. So the reason we're good
[00:00:40.800 --> 00:00:46.160]   at running is because we evolved to run long distances to chase down animals in the heat
[00:00:46.160 --> 00:00:51.980]   and spear them. So humans are really good at cooling ourselves in the heat, right? And we can run these
[00:00:51.980 --> 00:00:57.040]   long distances. Other animals can't manage their heat. So we'd slowly but surely run down animals.
[00:00:57.640 --> 00:01:01.180]   Eventually, they would get too hot, they'd topple over from heat exhaustion, and then bam,
[00:01:01.180 --> 00:01:06.400]   we'd kill them. Okay, so this is a theory called, it's called persistence hunting.
[00:01:06.400 --> 00:01:08.520]   So we won the thermoregulation game.
[00:01:08.520 --> 00:01:13.620]   We run the, won the thermoregulation game. Yeah. So we can, we sweat, we don't have much fur,
[00:01:13.620 --> 00:01:19.600]   and then our bodies are also designed for this type of persistence hunting. There's a guy at
[00:01:19.760 --> 00:01:26.220]   Harvard, Dan Lieberman, who had this, I think it was in 2004, paper about this, how the reason we're built
[00:01:26.220 --> 00:01:30.020]   the way we are, one of the key reasons is so we could run long distances for persistence hunting.
[00:01:30.020 --> 00:01:34.360]   So I'm familiar with that research, right? I'm like, oh, that's really interesting.
[00:01:34.360 --> 00:01:39.460]   Cool. I'm like, yeah, this explains why I have like, you know, these big butt muscles, these arched feet,
[00:01:39.460 --> 00:01:40.280]   whatever.
[00:01:42.020 --> 00:01:47.220]   So we go up to the Arctic, we're hunting, eventually successfully hunt a caribou,
[00:01:47.220 --> 00:01:53.760]   and we, you know, we're taking every usable part of it we can, so we load our packs with all this
[00:01:53.760 --> 00:02:00.060]   weight, it's like a hundred something pounds in this damn pack, and start walking back to camp.
[00:02:00.060 --> 00:02:04.840]   And I'm just thinking about this research about, okay, humans evolved to run long distances so we
[00:02:04.840 --> 00:02:11.240]   could hunt. Great. But what happens after you actually kill an animal? You got to carry that
[00:02:11.240 --> 00:02:17.300]   damn thing back to camp, right? And so it occurs to me, well, wait a minute, we're also pretty unique
[00:02:17.300 --> 00:02:23.020]   among animals in that we can carry weight. Like no other mammal can just pick up weight on its own
[00:02:23.020 --> 00:02:29.040]   and carry it a long distance. It's like, huh, that's interesting. So I just start looking into this,
[00:02:29.040 --> 00:02:34.600]   and yeah, humans are the only mammal that can pick up a weight and carry it a long distance,
[00:02:34.600 --> 00:02:40.280]   and it absolutely shaped us into who we are. It allowed us to really conquer the globe, because we could
[00:02:40.460 --> 00:02:44.820]   take tools into the unknown, right? We can walk, we can cover these long distances in our two legs
[00:02:44.820 --> 00:02:49.520]   and our feet. Our hands are freed up to carry our tools, to carry whatever it might be, and it really
[00:02:49.520 --> 00:02:55.540]   turned us into who we are. Now, the thing is, is when you look at running, plenty of people run,
[00:02:55.540 --> 00:03:01.420]   right? Like running and marathons, that is a popular activity. But how many people are just like
[00:03:01.420 --> 00:03:08.580]   carrying weight as a regular form of exercise? The answer was really not that many. So I'm thinking
[00:03:08.580 --> 00:03:15.040]   like, okay, who actually still maybe does this? And it turns out it's the military. So rucking is sort of
[00:03:15.040 --> 00:03:21.680]   the main activity of physical training in the military, just throwing weight in a backpack and
[00:03:21.680 --> 00:03:28.040]   going for a long walk. And I've actually started to sort of even shift my language from using the term
[00:03:28.040 --> 00:03:34.540]   rucking to simply saying walking with weight or weighted walking. And the reason for that is, is if I tell
[00:03:34.540 --> 00:03:39.500]   my mom, hey, you should ruck, she goes, oh, okay. And she types in ruck and she goes, the hell is this
[00:03:39.500 --> 00:03:46.160]   military stuff, Michael? I'm 75 years old. So I've started to call it more walking with weight. So it's a little
[00:03:46.160 --> 00:03:52.120]   more approachable for the masses. But I think the benefit of it is that you're getting cardio stimulus
[00:03:52.120 --> 00:03:56.900]   because you're covering ground. But you're also getting strength work because you've loaded your
[00:03:56.900 --> 00:04:02.060]   skeletal system, your muscular system. And that comes with a lot of benefits. You kind of got this
[00:04:02.060 --> 00:04:08.740]   two in one. So it generally will burn more calories per mile than walking or running. And that is simply
[00:04:08.740 --> 00:04:13.040]   because you've added extra weight. Of course, if you're running, you might cover more distance in the
[00:04:13.040 --> 00:04:20.340]   same amount of time. But if you just compare it by distance, it's burning more calories. And I think it's
[00:04:20.340 --> 00:04:26.760]   one of these activities that can really fill in gaps in people's training. And to what you sort of
[00:04:26.760 --> 00:04:31.040]   alluded to in your question is there's a variety of reasons it fills in gaps. But one of them is
[00:04:31.040 --> 00:04:37.460]   simply that it gets people outside. Like there's a lot of gym people who are like, yeah, I lift all
[00:04:37.460 --> 00:04:41.380]   the weights, but like I'm not doing that running thing. A lot of people can't run and like, oh, by the
[00:04:41.380 --> 00:04:46.060]   way, walking feels a little too easy. I'm not going to do that. So if you can throw some load on someone
[00:04:46.060 --> 00:04:51.480]   and have them go for a walk, it gets them outside, helps them preferentially burn fat,
[00:04:51.480 --> 00:04:56.020]   it seems compared to something like running. So there's this interesting study. And I'll caveat
[00:04:56.020 --> 00:05:00.680]   this by saying it was a very small study. I think it was only 12 people because they could only find 12
[00:05:00.680 --> 00:05:05.860]   crazy enough people to do it. It was on backcountry hunters in Alaska. And so these guys carry these
[00:05:05.860 --> 00:05:10.600]   heavy packs out into the mountains for a week or whatever. And they test them and they ended up losing
[00:05:10.600 --> 00:05:16.340]   a significant amount of weight, but it was all from fat. They actually gained like a very minute
[00:05:16.340 --> 00:05:21.860]   amount of muscle. And that really shouldn't happen in the context of going out and losing weight,
[00:05:21.860 --> 00:05:25.800]   right? You're probably going to lose fat along with muscle. But with this, they ended up losing
[00:05:25.800 --> 00:05:33.020]   mostly fat. So I just think it's this amazing activity that we really wove out of our lives due to
[00:05:33.020 --> 00:05:40.620]   technology. Humans evolved to carry. People were carrying babies all the time, like every day in
[00:05:40.620 --> 00:05:45.660]   the past. We'd go hunt and we'd have to carry all the meat back to camp. We would carry food that we
