
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:00:02.420 --> 00:00:06.440]   - Welcome friends to this episode
[00:00:06.440 --> 00:00:09.200]   of the Everyday Educator Podcast.
[00:00:09.200 --> 00:00:10.880]   I'm your host, Lisa Bailey,
[00:00:10.880 --> 00:00:14.160]   and I'm excited to spend some time with you today
[00:00:14.160 --> 00:00:17.780]   as we encourage one another, learn together,
[00:00:17.780 --> 00:00:20.600]   and ponder the delights and challenges
[00:00:20.600 --> 00:00:24.240]   that make homeschooling the adventure of a lifetime.
[00:00:24.240 --> 00:00:26.480]   Whether you're just considering
[00:00:26.480 --> 00:00:28.560]   this homeschooling possibility,
[00:00:28.560 --> 00:00:32.680]   or deep into the daily delight of family learning,
[00:00:32.680 --> 00:00:36.560]   I believe you'll enjoy thinking along with us.
[00:00:36.560 --> 00:00:41.520]   But don't forget, although this online community is awesome,
[00:00:41.520 --> 00:00:46.520]   you'll find even closer support in a local CC community.
[00:00:46.520 --> 00:00:51.680]   So go to classicalconversations.com
[00:00:51.680 --> 00:00:55.660]   and find a community near you today.
[00:00:57.200 --> 00:00:59.800]   Well, listeners, I'm excited to welcome you
[00:00:59.800 --> 00:01:02.440]   to this episode of Everyday Educator
[00:01:02.440 --> 00:01:06.920]   because I have a great guest with me today
[00:01:06.920 --> 00:01:09.520]   who is going to share with us
[00:01:09.520 --> 00:01:15.400]   a little bit about how homeschooling your children
[00:01:15.400 --> 00:01:20.400]   helps you as a parent restore your own education,
[00:01:20.400 --> 00:01:24.600]   but it also teaches you a lot about yourself.
[00:01:24.600 --> 00:01:27.620]   And so I am excited to talk
[00:01:27.620 --> 00:01:30.080]   to my friend Cynthia Knotts today.
[00:01:30.080 --> 00:01:33.880]   You are gonna be so glad that you got to know Cynthia.
[00:01:33.880 --> 00:01:38.640]   She's a mom and a tutor and a musician
[00:01:38.640 --> 00:01:43.640]   and a violin teacher and a reader and a lifelong learner.
[00:01:43.640 --> 00:01:46.940]   And so she's got lots of wisdom for us.
[00:01:46.940 --> 00:01:49.480]   And we're just gonna spend the next few minutes
[00:01:49.480 --> 00:01:53.880]   talking about what teaching children
[00:01:54.600 --> 00:01:55.760]   teaches us.
[00:01:55.760 --> 00:01:57.440]   And I'm glad that you're here to listen along.
[00:01:57.440 --> 00:02:00.880]   Cynthia, thanks so much for talking to me today.
[00:02:00.880 --> 00:02:02.480]   - Thanks for having me.
[00:02:02.480 --> 00:02:07.480]   - I'm excited to get to know a little bit of your backstory.
[00:02:07.480 --> 00:02:11.880]   What kind of student were you growing up?
[00:02:11.880 --> 00:02:13.200]   Did you like school?
[00:02:13.200 --> 00:02:16.400]   - So yeah, I did really like school,
[00:02:16.400 --> 00:02:18.840]   especially in the earlier years.
[00:02:18.840 --> 00:02:20.600]   I'm a public school product.
[00:02:21.620 --> 00:02:24.900]   I walked to the elementary school a block from my house
