
[00:00:00.040 --> 00:00:06.980]   Mmmm think but
[00:00:06.980 --> 00:00:11.500]   not, pick,,,, vary.� surprising handsome
[00:00:11.500 --> 00:00:17.740]   trade -
[00:00:27.000 --> 00:00:53.960]   �� �� �� �� �� �� �� �� �� �� �� ��
[00:00:54.000 --> 00:00:55.920]   seem
[00:00:55.920 --> 00:01:04.820]  주 in the partners
[00:01:04.820 --> 00:01:19.100]   grew DAN B Le De T care enthusiastic suspense swings區 gray vis heat, I'm, con, and, and, and, and, and, and, and, and, and, and, and, and, and, didn, but, 부. I. H..häng a .歡迎лож change過來where
[00:01:19.100 --> 00:01:22.320]   estimates:
[00:01:22.320 --> 00:01:23.420]   Marcel.
[00:01:23.700 --> 00:01:52.120]   Перв,,,
[00:01:53.640 --> 00:02:04.460]   de
[00:02:04.460 --> 00:02:09.740]  ук in the Double I I take in in Velned, .,,,,,,,, but in the ent the in the full the sell the fiscal the
[00:02:09.740 --> 00:02:21.600]   Z. I things started Cook. I think I take. I think is. I'm. I'd. I'm. I. S.類.GG. milestone.esso., great.,imas., más.,�,ought. след.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, estos inte littleassoci Java's llev li neces Morth o
[00:02:21.600 --> 00:02:23.280]   SIMC, Le start to be show up but Anton ra OthersIL. Erm believe who en is in careionent lostabilerm be coinc cachW rever 수 convince made per
[00:02:23.320 --> 00:02:53.000]   is around 800,000 850,000 right now. We've got about 400,000 dollars 400,000 in mutual funds about 400,000 in three four different properties and about $50,000 in cash and on a monthly basis. I mean, I could give you an idea of housing and taxes and other expenses and stuff, but just wanted to say thank you.
[00:02:53.040 --> 00:03:04.540]   continue
[00:04:49.600 --> 00:04:59.220]   sl
[00:04:59.220 --> 00:04:59.880]   Muslim local his
[00:05:17.860 --> 00:05:28.140]   first
[00:05:28.140 --> 00:05:28.940]   I go 2018
[00:05:28.940 --> 00:05:31.680]  視 about shall Ihrer一個
[00:06:14.420 --> 00:06:14.420]   The
[00:06:14.420 --> 00:06:14.420]   The
[00:06:14.420 --> 00:06:14.420]   the
[00:06:14.420 --> 00:06:14.420]   the
[00:06:14.420 --> 00:06:14.420]   the
[00:06:14.420 --> 00:06:14.420]   the
[00:06:44.480 --> 00:06:47.960]   least
[00:06:47.960 --> 00:07:12.760]   cr cr cr,,,,
[00:07:13.940 --> 00:07:23.080]  rique
[00:07:23.080 --> 00:07:26.780]   goin Nico З  .
[00:07:26.780 --> 00:07:32.760]  的時候分鐘, and,,,,,,,,視
[00:08:44.060 --> 00:08:53.820]  因為
[00:08:53.820 --> 00:08:54.680]  , do. I I
[00:10:11.600 --> 00:10:40.740]   �. Okay. Well, from everything that you're telling me, you're well on the past of financial independence. You have all of the basic framework in place. I'm not sure how detailed your goals are. Uh, for example, I'm not sure how much you're planning to expand your real estate portfolio, what your target numbers are, uh, how you're planning to pay down your debt or whether you're going to keep it up or, or how you're going to adjust these things. Do you have a specific question that I can, um, that you would like to home me in on that I can provide some useful insights on?
[00:10:40.740 --> 00:10:40.740]   I'm not sure how much you're planning to expand your real estate portfolio, what your target numbers are, how you're planning to pay down your debt or whether you're going to keep it up or how you're going to adjust these things. Do you have a specific question that I can, um, that you would like to home me in on that I can provide some useful insights on?
