
[00:00:00.000 --> 00:00:01.420]   GPT-4 is finally here.
[00:00:01.420 --> 00:00:04.040]   It is currently under a wait list.
[00:00:04.040 --> 00:00:06.680]   So you need to sign up for the wait list,
[00:00:06.680 --> 00:00:08.880]   but right now I have access.
[00:00:08.880 --> 00:00:12.720]   So what we're going to do is take a look at what it can do.
[00:00:12.720 --> 00:00:15.640]   Now, I haven't really played around with this.
[00:00:15.640 --> 00:00:18.420]   I've tested to see that I actually do have access,
[00:00:18.420 --> 00:00:20.200]   but beyond that, I haven't touched it yet.
[00:00:20.200 --> 00:00:22.360]   So I mean, let's just jump straight into it.
[00:00:22.360 --> 00:00:25.400]   I want to compare it to the previous best model,
[00:00:25.400 --> 00:00:30.120]   which is GPT-3.5 Turbo, and just see how they compare.
[00:00:30.120 --> 00:00:33.080]   So we'll start over in the playground.
[00:00:33.080 --> 00:00:34.960]   The first thing I'm going to do is
[00:00:34.960 --> 00:00:37.160]   I'm going to set up a system message
[00:00:37.160 --> 00:00:41.440]   that I know GPT-3.5 was struggling with in the past.
[00:00:41.440 --> 00:00:44.220]   So I'm just going to copy that in, it's this.
[00:00:44.220 --> 00:00:45.240]   You're a helpful assistant.
[00:00:45.240 --> 00:00:50.140]   You keep responses to no more than 50 characters long,
[00:00:50.140 --> 00:00:52.480]   50 characters long, including the white space,
[00:00:52.480 --> 00:00:56.320]   and sign off every message with a random name,
[00:00:56.320 --> 00:00:58.560]   like Robot or Bot Rob.
[00:00:58.560 --> 00:01:01.440]   Then I'm going to ask a question.
[00:01:01.440 --> 00:01:03.520]   So I go here and I go,
[00:01:03.520 --> 00:01:04.840]   Hi AI, how are you?
[00:01:04.840 --> 00:01:05.780]   What is quantum physics?
[00:01:05.780 --> 00:01:08.040]   Now, right now we're using 3.5 Turbo,
[00:01:08.040 --> 00:01:12.000]   so let's just see how it performs.
[00:01:12.000 --> 00:01:13.360]   Press submit over here.
[00:01:13.360 --> 00:01:18.280]   Right, so I mean, we can check this.
[00:01:18.280 --> 00:01:23.280]   This is, I mean, it's definitely longer than 50 characters.
[00:01:23.280 --> 00:01:25.820]   So if I check the length of that,
[00:01:25.820 --> 00:01:29.440]   what is it, 104 characters,
[00:01:29.440 --> 00:01:31.440]   and it didn't sign off with anything.
[00:01:31.440 --> 00:01:33.800]   Okay, so didn't really work.
[00:01:33.800 --> 00:01:37.520]   Let's have a look at what happens if we switch to GPT-4.
[00:01:37.520 --> 00:01:41.000]   So remove this and we submit.
[00:01:41.000 --> 00:01:45.320]   Okay, and great, thanks.
[00:01:45.320 --> 00:01:48.720]   Quantum physics studies tiny particles.
[00:01:48.720 --> 00:01:50.940]   And then it came up with a new name,
[00:01:50.940 --> 00:01:52.640]   which I hadn't seen it do before,
[00:01:52.640 --> 00:01:55.780]   even when I did get a GT 3.5 model working.
[00:01:55.780 --> 00:01:57.480]   So is this 50 characters?
[00:01:57.480 --> 00:01:58.320]   Let's see.
[00:01:58.320 --> 00:02:07.040]   So it's actually still over with GPT-4.
[00:02:07.040 --> 00:02:10.560]   Let's try maybe if we reduce the randomness,
[00:02:10.560 --> 00:02:12.000]   or sorry, the temperature.
[00:02:12.000 --> 00:02:13.000]   Let's try again.
[00:02:14.760 --> 00:02:16.200]   I mean, it's pretty similar.
[00:02:16.200 --> 00:02:20.160]   No, it's the same.
[00:02:20.160 --> 00:02:22.640]   Okay, so it's a little bit too long.
