
[00:00:00.000 --> 00:00:19.000]   [ Music ]
[00:00:19.000 --> 00:00:21.800]   >> We are ready to go.
[00:00:21.800 --> 00:00:25.600]   So we are going to talk tonight about abuse.
[00:00:25.600 --> 00:00:30.200]   We are going to talk about spanking.
[00:00:30.200 --> 00:00:33.400]   We are going to talk about homosexuality
[00:00:33.400 --> 00:00:36.600]   and close the class out with those issues.
[00:00:36.600 --> 00:00:39.500]   So let's bow for prayer, okay?
[00:00:39.500 --> 00:00:41.600]   Gracious Father, we are grateful for the opportunity
[00:00:41.600 --> 00:00:44.900]   to be able to study marriage and the family.
[00:00:44.900 --> 00:00:47.000]   It's been a wonderful time that we've spent together
[00:00:47.000 --> 00:00:51.100]   as a class going over a variety of issues from scripture.
[00:00:51.100 --> 00:00:54.200]   And I pray that this evening will be no different.
[00:00:54.200 --> 00:00:57.000]   We'll have this opportunity to be able to dig
[00:00:57.000 --> 00:01:00.400]   into some substantive topics when we, especially,
[00:01:00.400 --> 00:01:04.900]   we deal with issues of abuse and later on the issue of spanking
[00:01:04.900 --> 00:01:08.700]   and then later on close out with the issue of homosexuality
[00:01:08.700 --> 00:01:11.000]   in the family and how it affects it.
[00:01:11.000 --> 00:01:14.100]   We pray that you'll give us biblical insight
[00:01:14.100 --> 00:01:18.000]   into these things, that the Spirit of God will help us,
[00:01:18.000 --> 00:01:20.200]   even though we'll be dealing with some tough issues,
[00:01:20.200 --> 00:01:23.600]   to believe the Word of God and the Word of God's answers.
[00:01:23.600 --> 00:01:27.000]   I'm grateful for the semester, for each one of our students
[00:01:27.000 --> 00:01:30.200]   that are here present in the class, as well as those
[00:01:30.200 --> 00:01:34.300]   who are even watching via the DVD.
[00:01:34.300 --> 00:01:38.600]   And we ask that you'll continue to use this material
[00:01:38.600 --> 00:01:43.800]   to be an asset in their lives for the sake of your glory
[00:01:43.800 --> 00:01:47.400]   and honor, for the sake of the church where they are,
[00:01:47.400 --> 00:01:49.600]   and for the sake of your kingdom.
[00:01:49.600 --> 00:01:51.800]   This we pray in Christ's name, amen.
[00:01:52.600 --> 00:01:56.000]   All right, we want to deal this evening with the issue
[00:01:56.000 --> 00:01:58.800]   of abuse in blended families.
[00:01:58.800 --> 00:02:02.000]   And this is applicable not just to blended families,
[00:02:02.000 --> 00:02:07.800]   but it's also applicable to families
[00:02:07.800 --> 00:02:12.800]   who are intact biological families
[00:02:12.800 --> 00:02:15.400]   and where there is abuse.
[00:02:15.400 --> 00:02:19.800]   So I think, though, however, it's natural
[00:02:19.800 --> 00:02:26.600]   for us to talk about this issue at the end
[00:02:26.600 --> 00:02:28.800]   of the blended family section.
[00:02:28.800 --> 00:02:31.400]   And that's the reason why we call it part three
[00:02:31.400 --> 00:02:33.600]   of this suffering abuse.
[00:02:33.600 --> 00:02:37.400]   And this is the part where, say, I must protect my children
[00:02:37.400 --> 00:02:39.400]   in the blended family situation.
[00:02:39.400 --> 00:02:42.200]   I must protect my children.
[00:02:42.200 --> 00:02:45.000]   Now, I fully realize that in the short amount of time
[00:02:45.000 --> 00:02:46.800]   that we have, there's no way in the world
[00:02:46.800 --> 00:02:49.000]   that we're going to be able to sufficiently cover
[00:02:49.000 --> 00:02:52.200]   every particular issue in counseling
[00:02:52.200 --> 00:02:56.600]   that is usually defined as abuse.
[00:02:56.600 --> 00:02:59.200]   In fact, I remember several years ago,
[00:02:59.200 --> 00:03:03.400]   I had an opportunity to attend a conference that
[00:03:03.400 --> 00:03:05.000]   had to do with abuse.
[00:03:05.000 --> 00:03:09.800]   And this conference literally went on for days
[00:03:09.800 --> 00:03:12.000]   on just the issue of abuse.
[00:03:12.000 --> 00:03:14.200]   And so there's no way in the short time
[00:03:14.200 --> 00:03:15.600]   we have in front of us, we're going
[00:03:15.600 --> 00:03:18.000]   to be able to cover everything that's there.
[00:03:18.000 --> 00:03:20.000]   But what I hope to do is to give you
[00:03:20.000 --> 00:03:22.600]   a basic biblical framework for you
[00:03:22.600 --> 00:03:24.000]   to think about the problem.
[00:03:24.000 --> 00:03:25.800]   And what I want to be able to give you
[00:03:25.800 --> 00:03:27.800]   is the type of a framework that is applicable
[00:03:27.800 --> 00:03:31.200]   in a variety of different circumstances of abuse
[00:03:31.200 --> 00:03:35.000]   that is usable for you in your own counseling ministry.
[00:03:35.000 --> 00:03:39.200]   So let's see if we can take a look at this.
[00:03:39.200 --> 00:03:46.200]   And I want to share with you one other little caveat
[00:03:46.200 --> 00:03:48.200]   or kind of disclaimer, if you will.
[00:03:48.200 --> 00:03:52.200]   And that is, I don't pretend this to be the final word on it.
[00:03:52.200 --> 00:03:53.200]   All right?
[00:03:53.200 --> 00:03:56.200]   This, usually when we're dealing with the issue of abuse,
[00:03:56.200 --> 00:04:00.200]   we're dealing with a highly charged emotional topic.
