
[00:00:00.000 --> 00:00:05.600]   Good Monday morning, everyone.
[00:00:05.600 --> 00:00:09.880]   We have a big week on the podcast for you, and first up, our inbox is full of emails
[00:00:09.880 --> 00:00:15.400]   asking whether or not it's a good idea to dramatize Christ's life for television.
[00:00:15.400 --> 00:00:18.320]   A listener named Jim asks it this way.
[00:00:18.320 --> 00:00:20.720]   "Dear Pastor John, hello and thank you for this podcast.
[00:00:20.720 --> 00:00:26.120]   I'm wondering of the dangers and benefits of watching biblical historical fiction, particularly
[00:00:26.120 --> 00:00:30.720]   of television shows and movies about the life of Christ, of him acting and saying dramatized
[00:00:30.720 --> 00:00:34.200]   things beyond what we read in scripture."
[00:00:34.200 --> 00:00:37.560]   One anonymous man writes in to say, "Dear Pastor John, thank you for the podcast.
[00:00:37.560 --> 00:00:42.160]   It has been used by God to help me and my family here in Kazakhstan.
[00:00:42.160 --> 00:00:46.040]   I would like to know your thoughts on television shows and movies about the life of Christ.
[00:00:46.040 --> 00:00:48.640]   Are they helpful or unhelpful?
[00:00:48.640 --> 00:00:50.520]   What are your concerns?"
[00:00:50.520 --> 00:00:54.640]   And Sam, a church leader, wants to know, "The place of visuals, particularly screen dramatizations
[00:00:54.640 --> 00:00:56.480]   about the life of Christ.
[00:00:56.480 --> 00:00:59.920]   One recent show is 'beloved by many' in his church."
[00:00:59.920 --> 00:01:04.640]   And he says, "I feel it has enlivened my own walk with God and helped me imagine what
[00:01:04.640 --> 00:01:07.520]   Jesus' world could have been like.
[00:01:07.520 --> 00:01:11.900]   This has the effect of making the world of the Bible more accessible to me, but imagination
[00:01:11.900 --> 00:01:13.580]   can only take you so far.
[00:01:13.580 --> 00:01:17.400]   Can we enjoy shows like this personally, even include them in a teaching context without
[00:01:17.400 --> 00:01:19.840]   violating the second commandment?"
[00:01:19.840 --> 00:01:22.400]   And finally, another listener, Lisa, is less optimistic.
[00:01:22.400 --> 00:01:27.700]   She says television dramatizations of Christ's life, "don't sit well with me."
[00:01:27.700 --> 00:01:32.140]   As she considers Proverbs 30, verse 6, and Revelation 22, verse 18, she wonders if these
[00:01:32.140 --> 00:01:37.200]   dramas are adding to or altering Scripture, amounting to heresy.
[00:01:37.200 --> 00:01:40.080]   Pastor John, for these listeners, do you have any thoughts?
[00:01:40.080 --> 00:01:46.040]   There is no way that I can avoid this question because it touches on my life.
[00:01:46.040 --> 00:01:52.920]   Because for 25 years, and I still do it one way or the other, for 25 years, when I was
[00:01:52.920 --> 00:02:00.560]   a pastor at Bethlehem, every Christmas season, I created and read to the people in worship
[00:02:00.560 --> 00:02:05.920]   what we call Advent poems, one for each Sunday during Advent.
[00:02:05.920 --> 00:02:10.140]   The poems took about 10 minutes to read.
[00:02:10.140 --> 00:02:18.060]   They created a story built around a biblical character or biblical situation in which I
[00:02:18.060 --> 00:02:25.940]   invented persons, and I invented dialogue, and I invented circumstances that were not
[00:02:25.940 --> 00:02:35.840]   in the Bible but were intended to clarify and confirm and intensify realities that are
[00:02:35.840 --> 00:02:39.500]   in the Bible, that the Bible itself teaches.
[00:02:39.500 --> 00:02:42.300]   So the question is not abstract for me.
[00:02:42.300 --> 00:02:45.820]   The question is, was I doing something sinful?
[00:02:45.820 --> 00:02:53.180]   Was it wrong to create those poetic, imaginative expressions?
[00:02:53.180 --> 00:03:00.360]   So let me mention the safeguards that I put in place to avoid the dangers of distorting
[00:03:00.360 --> 00:03:07.860]   Scripture or replacing Scripture or diminishing the authority of Scripture, and then I'll
[00:03:07.860 --> 00:03:16.100]   give some positive reasons for why I think imaginative explanations and illustrations
[00:03:16.100 --> 00:03:25.260]   and representations of biblical truth are not only legitimate but are even encouraged
[00:03:25.260 --> 00:03:27.420]   by the Bible.
[00:03:27.420 --> 00:03:38.620]   So first, was I guilty of disobeying Proverbs 30 or 6, Revelation 22, 18, which says that
[00:03:38.620 --> 00:03:46.020]   we should not add to the words of God or to the prophecy of Scripture?
[00:03:46.020 --> 00:03:56.140]   No, I was not guilty of disobeying those Scriptures because those Scriptures forbid the presumption
[00:03:56.140 --> 00:04:03.440]   that one could add Scripture to Scripture or prophecy to prophecy.
[00:04:03.440 --> 00:04:12.200]   Those texts are not condemning explanation and elucidation and illustration and representation
[00:04:12.200 --> 00:04:19.400]   of Scripture, which make no claim in themselves to have any Scripture-level authority.
[00:04:19.400 --> 00:04:27.640]   Those texts are condemning every attempt to use words or images or representations that
[00:04:27.640 --> 00:04:31.140]   claim to be on a par with Scripture.
[00:04:31.140 --> 00:04:37.540]   In fact, I would say that the Roman Catholic Church is guilty of this error when it elevates
[00:04:37.540 --> 00:04:44.820]   the papal pronouncements ex cathedra to the level of infallible biblical authority.
[00:04:44.820 --> 00:04:46.820]   That's my first safeguard.
