
[00:00:00.040 --> 00:00:09.580]   clique
[00:00:09.580 --> 00:00:10.540]   say the,,,
[00:00:10.540 --> 00:00:11.460]   wind. sigh row
[00:00:11.460 --> 00:00:26.900]   Walk don work white head word head preguntasing "G Hell persuade @G T B T B T B Z " were in the nextел and the th При the covered theわか Mush mean the giantsidez the cic del will er rec the tw ass the buy the would theго the enc the connect the ask theG the may the� manage theμα the descript the né direction the got the in the
[00:00:26.900 --> 00:00:28.260]   cloth the
[00:00:28.260 --> 00:00:28.420]   I do the
[00:00:29.120 --> 00:00:40.600]   that
[00:00:40.600 --> 00:00:54.020]   Facebook..,
[00:01:25.280 --> 00:01:35.660]  �
[00:01:35.660 --> 00:01:54.300]  情況 follow. I am,,,,, very
[00:03:22.000 --> 00:03:32.780]   was
[00:03:32.780 --> 00:03:35.140]   dent,,,,
[00:06:10.360 --> 00:06:15.940]   dent dent dent dent dent dent dent dent dent dent dent dent dent dent dent
[00:06:15.940 --> 00:06:28.640]   I don't even bother to stoop down to pick up the money floating around my floor because I knew it was worthless Venezuela money but you can bet your euro that if I would look down and saw a stack of euros just fluttering around down there I would I would be scooping those things up.
[00:06:28.640 --> 00:06:31.920]   So the money itself doesn't matter.
[00:06:31.920 --> 00:06:40.340]   And so when you set financial goals, if you're actually going to achieve something, the only way to put power behind your financial goals is to know what that goal is.
[00:06:40.340 --> 00:06:40.340]   So when you set financial goals, if you're actually going to achieve something, the only way to put power behind your financial goals is to know what that goal is.
[00:06:40.340 --> 00:06:40.340]   So when you set financial goals, if you're actually going to achieve something, the only way to put power behind your financial goals is to know what that goal is.
[00:06:59.620 --> 00:07:10.360]   I've ever heard of this comes from years ago. I mean, years ago, I taught Dave Ramsey's Financial Peace University and at the time, I don't know if he still does it. He used the example of paying for a loan.
[00:07:10.360 --> 00:07:10.360]   I mean, years ago, I taught Dave Ramsey's Financial Peace University and at the time, I don't know if he still does it. He used the example of paying for a loan.
[00:07:10.380 --> 00:07:40.380]  ,
[00:07:40.380 --> 00:07:40.380]   I've ever heard of this comes from years ago. I mean, years ago, I taught Dave Ramsey's Financial Peace University and at the time, I don't know if he still does it.
[00:07:40.380 --> 00:07:40.380]   I mean, years ago, I taught Dave Ramsey's Financial Peace University and at the time, I don't know if he still does it.
[00:07:40.380 --> 00:07:40.380]   I mean, years ago, I taught Dave Ramsey's Financial Peace University and at the time, I don't know if he still does it.
[00:07:40.380 --> 00:07:40.380]   I mean, years ago, I don't know if he still does it.
[00:07:40.380 --> 00:07:40.380]   I mean, years ago, I don't know if you're going to achieve something, if you're going to achieve something, the goal is what that goal is.
[00:07:40.380 --> 00:07:40.380]  , if you're going to achieve something that goal is the goal.
[00:07:40.400 --> 00:08:10.400]   I mean, years ago, I taught Dave Ramsey's Financial Peace University and at the time, I don't know if he still does it.
[00:08:10.400 --> 00:08:10.400]   I mean, years ago, I taught Dave Ramsey's Financial Peace University and at the time, I don't know if he still does it.
