
[00:00:00.040 --> 00:00:09.540]   quin
[00:00:09.540 --> 00:00:10.680]   this is a
[00:00:28.100 --> 00:00:56.120]   Rohan. The following is a conversation with my dear friend, Andrew Huberman. His fourth time on this podcast. It's my birthday. So this is a special birthday episode of sorts. Andrew flew down to Austin just to wish me a happy birthday. And we decided to do a podcast last second. We literally talked for hours beforehand. And a long time after, late into the night. He's one of my favorite human beings, brilliant scientists, incredible teacher, and a loyal friend.
[00:00:56.120 --> 00:00:56.120]   He's one of my favorite human beings, brilliant scientists, incredible teacher, and a loyal friend.
[00:00:56.120 --> 00:00:56.120]   He's one of my favorite human beings, brilliant scientists, incredible teacher, and a loyal friend.
[00:00:56.120 --> 00:00:56.120]   He's one of my favorite human beings, brilliant scientists, incredible teacher, and a loyal friend.
[00:00:56.120 --> 00:00:56.120]   He's one of my favorite human beings, brilliant scientists, incredible teacher, and a loyal friend.
[00:00:56.120 --> 00:00:56.120]   He's one of my favorite human beings, brilliant scientists, incredible teacher, and a loyal friend.
[00:00:56.120 --> 00:01:24.280]  , brilliant scientists, incredible teacher, and a loyal friend.
[00:01:24.280 --> 00:01:24.340]   He's one of my favorite human beings, brilliant scientists, incredible teacher, and a loyal friend.
[00:01:24.340 --> 00:01:24.360]   He's one of my favorite human beings, brilliant scientists, incredible teacher, and a loyal friend.
[00:01:24.360 --> 00:01:24.380]   He's one of my favorite human beings, brilliant scientists, incredible teacher, and a loyal friend.
[00:01:24.380 --> 00:01:24.420]   He's one of my favorite human beings, brilliant scientists, incredible teacher, incredible teacher, and a loyal friend.
[00:01:24.420 --> 00:01:24.480]   He's one of my favorite human beings, incredible teacher, incredible teacher, incredible teacher, and a loyal friend.
