
[00:00:00.000 --> 00:00:20.480]   Hi, everybody. Thanks for having us here today. We're super excited to be here. I'm Sam and I'm
[00:00:20.480 --> 00:00:25.560]   one of the co-founders of New Computer. And I'm Jason, the other co-founder. And we're really
[00:00:25.560 --> 00:00:31.660]   excited that we are starting today by letting you all see our pores up close, which is amazing.
[00:00:31.660 --> 00:00:40.060]   So, you know, when Sam and I started New Computer, we did so because we believed that for so long,
[00:00:40.060 --> 00:00:46.300]   we've taken certain metaphors and abstractions and tools for granted. And for the first time in what
[00:00:46.300 --> 00:00:51.900]   feels like 40 years, we can finally change all of that. And we can start thinking from first
[00:00:51.900 --> 00:00:56.840]   principles, what our relationship, not only with computing, but with intelligence, period,
[00:00:56.840 --> 00:01:05.660]   should look like in the future. So what do we mean by intelligence? Because, you know, sometimes I'm
[00:01:05.660 --> 00:01:11.340]   on the internet and I wonder if it even exists. Well, one way to think about intelligence is the
[00:01:11.340 --> 00:01:16.480]   ability to sort of take in lots of information, different types, different volumes from different
[00:01:16.480 --> 00:01:24.080]   sources. Visualize those dots here and sort of find ways to make sense of it all, find ways to reason,
[00:01:24.080 --> 00:01:32.320]   find ways to find meaning. And as human beings, as carbon-based life forms, we do this through a process
[00:01:32.320 --> 00:01:39.420]   where at first we use our senses to sort of perceive the world around us. Then we, you know, process that
[00:01:39.420 --> 00:01:49.020]   information in our heads and then given what we think, we then choose a reaction. So if we're lucky, we
[00:01:49.020 --> 00:01:59.340]   are blessed with at least five senses. Six when I've had four margaritas. But as humans, we sort of are
[00:01:59.340 --> 00:02:06.060]   inherently capable of just processing all of this at the same time. And that actually is how our short-term
[00:02:06.060 --> 00:02:11.900]   memory gets to work. And taking all of this context and information, we then get to form what's called
[00:02:11.900 --> 00:02:16.940]   a theory of mind. What is going on? What is, you know, how is the world relating to me right now? What
[00:02:16.940 --> 00:02:26.540]   should I be doing about it? So we sense, we think, and then we react. And how do we react? Well, there's a
[00:02:26.540 --> 00:02:32.460]   lot of things right now. But if we take it all the way back to the Stone Age and we think real simple,
[00:02:34.620 --> 00:02:40.460]   a lot of how people used to react and communicate is just unintelligible grunts. And then one day we,
[00:02:40.460 --> 00:02:48.220]   that sort of evolved into a language as we know it. And to this day, that's still something that we rely
[00:02:48.220 --> 00:02:52.780]   on to communicate and react to the world around us. And that's also how a lot of us think.
[00:02:52.780 --> 00:03:03.180]   So we have language. But the language of communication is so much broader than just language. We're standing
[00:03:03.180 --> 00:03:08.380]   here on stage right now. I'm making eye contact with some of you. Nice shirt. And I'm making
[00:03:08.380 --> 00:03:11.900]   gestures. I'm wearing these ridiculous gloves. I'm looking at Sam. I'm looking at things. I'm
[00:03:11.900 --> 00:03:19.500]   pointing at things. And I can hear sort of laughter or I can hear people, you know, thinking. I'm taking
[00:03:19.500 --> 00:03:24.060]   lots of information at once. And right now I'm sensing, thinking and reacting.
[00:03:24.060 --> 00:03:33.340]   And so this year, well, last year technically, we saw a really amazing thing happen, kind of with the
[00:03:33.340 --> 00:03:39.660]   advent of chat GPT, I would say, where we saw the beginnings of a computer start to approximate that
[00:03:39.660 --> 00:03:45.260]   same loop, where input was coming in in the form of language. There was some reasoning process.
[00:03:45.260 --> 00:03:54.700]   However, that actually works. And then the output felt also like language coming back to us. And
[00:03:54.700 --> 00:03:59.020]   this was very inspiring to me and Jason. And we've been spending a lot of time this past year thinking
[00:03:59.020 --> 00:04:07.740]   about what's next and how this gets to feel even more natural for people to interact with computers
[00:04:07.740 --> 00:04:16.060]   specifically. And so today we wanted to take you on a tour of a few demos. One which you can do with
[00:04:16.060 --> 00:04:21.980]   the computer right now. And then a few which are kind of with futuristic or next generation hardware,
[00:04:21.980 --> 00:04:26.220]   which may be available soon. And knowing that you're all engineers, we know that this will kind
[00:04:26.220 --> 00:04:32.940]   of get the sparks flowing, the ideas flowing, for seeing how, like, you might use some of these
[00:04:32.940 --> 00:04:37.580]   things that are coming out soon or things that exist today to build things that feel more natural.
[00:04:37.580 --> 00:04:49.420]   So I'll start by getting to a demo. And I will say this is a live audio visual demo. So I am foolish enough
[00:04:49.420 --> 00:04:56.620]   to make that choice. So we will see how it goes. Before we show any demos, prudent to point out that
[00:04:56.620 --> 00:05:05.340]   none of these represent the product we are building. They are simply pieces, stories of inspiration.
[00:05:05.340 --> 00:05:11.580]   So the point of this first demo is to imagine we have a lot of things where we're saying, like, okay,
[00:05:12.300 --> 00:05:20.940]   is text the right input? Is audio the right input? And we've been thinking about, it's not if those are the
[00:05:20.940 --> 00:05:25.900]   right things, but when. So in this case, you'll see some measurements happening on the left here. What's
[00:05:25.900 --> 00:05:32.060]   actually happening is that this has access to my camera, and it's taking real-time pose measurements of
[00:05:32.060 --> 00:05:38.300]   where I am relative to the screen. So it knows I'm at the keyboard, basically, because it's making that
[00:05:38.300 --> 00:05:42.460]   assessment. And you can see the reasoning in the side here, where it's saying user is close to screen,
[00:05:42.460 --> 00:05:48.620]   we'll use keyboard input. User is facing screen, we'll use text output. And so we're using an LLM to
[00:05:48.620 --> 00:05:55.100]   actually make that choice as it goes to the response. So let's try something else. And again, demo gods be
[00:05:55.100 --> 00:06:02.700]   nice, because this may not work at all. But if I now walk away, and it doesn't detect me anymore, it should now
[00:06:02.700 --> 00:06:09.180]   actually start listening to me. Hello? Can you hear me? Are you going to respond?
[00:06:09.180 --> 00:06:15.420]   I think that's a no. It might not respond. But basically, what we are attempting to build here is,
[00:06:15.420 --> 00:06:23.020]   like, if I want to actually talk to the computer in a really natural way, if I'm there next to the
[00:06:23.020 --> 00:06:30.860]   keyboard, it should not be paying attention to my voice or any sounds, ambient sounds, and if I walk away
[00:06:30.860 --> 00:06:36.220]   from the keyboard, I might want to have a conversation with it, like walk around the room. It is listening.
[00:06:36.220 --> 00:06:42.460]   It seems to not to decided not to actually talk back. But, oh, it's talking.
[00:06:42.460 --> 00:06:51.260]   Is there something you need help? That sounds like an interesting project,
[00:06:51.260 --> 00:06:56.780]   Samantha. How is your talk going so far? Yay!
[00:06:56.780 --> 00:07:05.580]   Yes, you can see it paid attention, and it decided to ignore me for a while.
[00:07:05.580 --> 00:07:14.780]   But anyway, this is just like a toy demo. You can see here we have, this is how it's working kind of
[00:07:14.780 --> 00:07:21.100]   behind the scenes. It's like trying to decide if I'm close to the keyboard, facing the screen,
[00:07:21.100 --> 00:07:26.940]   not facing the screen, and use that all as inputs to decide whether it should talk to me or just
[00:07:26.940 --> 00:07:32.860]   display the text as on the interface. Cool. So.
[00:07:32.860 --> 00:07:39.020]   The reason why we think this is interesting is because we think, you know, people are naturally
[00:07:39.020 --> 00:07:48.780]   sensitive to other people. And we think computers, instead of asking people to adapt to computers,
[00:07:48.780 --> 00:07:54.300]   to be like, come up to me and type and whatever, should find ways to try to adapt to circumstances
[00:07:54.300 --> 00:08:03.260]   and context of people. Exactly. So, again here, it's like, in this case, it's adapting to where I am
[00:08:03.260 --> 00:08:07.420]   by using the pose detection, whether or not I'm actually in the process of talking to it,
[00:08:07.420 --> 00:08:12.700]   to decide to update its own world state, use an LLM to actually do that, and then use the LLM to
[00:08:12.700 --> 00:08:17.580]   respond using the knowledge of that world state. And so, this is a really simple and, as you can see,
[00:08:17.580 --> 00:08:22.940]   kind of hacky demo that is something you could build today. In theory, you could imagine how this could
[00:08:22.940 --> 00:08:27.980]   be like a really cool native way to interact with an LLM on your computer where you don't have to worry
[00:08:27.980 --> 00:08:34.940]   about the input monality at all. So, again, takeaways are consider like explicit inputs, what I'm typing,
[00:08:34.940 --> 00:08:40.220]   what I'm saying, along with implicit, where I am. There's other things you could do with that, like
[00:08:40.220 --> 00:08:45.500]   tone and emotion detection. You could plug in a whole bunch of different signals that you want to
[00:08:45.500 --> 00:08:51.100]   extract from that. And you can even imagine if I'm in the frame with Sam, and the agent knows Sam and
[00:08:51.100 --> 00:08:55.500]   she had recently been complaining about me, I should probably not bring that up until I leave the frame.
[00:08:55.500 --> 00:09:05.580]   Yeah. And as we mentioned that, using it as a reasoning engine, and then next one, cool. And yeah, and then we're adapting.
[00:09:05.580 --> 00:09:11.420]   So, we want to get to the futuristic stuff. Jason has been spending a lot of time imagining this, so he's
[00:09:11.420 --> 00:09:16.060]   going to walk you through a few things that might exist shortly in the near future when new hardware comes out.
[00:09:16.060 --> 00:09:25.340]   So, when we think future, we still think the sensing-thinking-react loop will take place. To preface
[00:09:25.340 --> 00:09:31.020]   all of this, these are my personal speculative fictions, not representative of anything that
[00:09:31.020 --> 00:09:37.420]   I think might actually happen. And this is a very conservative view of the next one to 12 months,
[00:09:37.420 --> 00:09:44.060]   maybe. So, it's not a true future future AGI god-worshipping type situation. So, let's start with
[00:09:44.060 --> 00:09:50.140]   what I call like a social interface. We're all really excited about, you know, certain headsets
[00:09:50.140 --> 00:09:56.060]   being released at certain points. And one thing that I think is interesting about some headsets is they
[00:09:56.060 --> 00:10:02.620]   have sensors and they have hand tracking and eye tracking. And just like how I'm being expressive right
[00:10:02.620 --> 00:10:07.260]   now, maybe there comes a day where I can be such with a computer that sort of lives with me.
[00:10:07.260 --> 00:10:16.940]   So, here I am in my apartment minding my own business. And my ex decides to FaceTime me.
