
[00:00:00.040 --> 00:00:09.460]  였습니다
[00:00:09.460 --> 00:00:10.340]   as un
[00:00:10.340 --> 00:00:10.640]   Hindi This I do. It's, ,,,,,. end of ♪♪♪
[00:00:10.640 --> 00:00:28.660]   ver
[00:00:30.080 --> 00:01:00.060]   ado.
[00:01:00.060 --> 00:01:00.080]   ...
[00:01:00.080 --> 00:01:00.080]   ...
[00:01:00.080 --> 00:01:00.080]   ...
[00:01:00.080 --> 00:01:00.080]   ...
[00:01:00.080 --> 00:01:00.080]   ...
[00:01:00.080 --> 00:01:00.080]   ...
[00:01:00.080 --> 00:01:00.080]   ... ...
[00:01:00.120 --> 00:01:07.020]   get
[00:01:07.020 --> 00:01:11.960]   curls
[00:01:11.960 --> 00:01:23.300]   end, --,, was less starringρχ recreate spicyothe. I don get the business. It's the. The, and, and, and, and, and, and, and, and, and, and, and, succeed. I'm. didnt第一個 cessvre. Next,
[00:01:23.300 --> 00:01:27.560]   I'm the U.
[00:01:27.560 --> 00:01:29.500]   IM
[00:01:29.780 --> 00:01:32.400]   Señor
[00:01:32.400 --> 00:01:40.780]  :
[00:02:56.240 --> 00:03:04.740]   have
[00:03:04.740 --> 00:03:23.200]   like,,,'
[00:03:23.200 --> 00:03:25.100]  視 wake go personaje 2 shaved few't . . . . . . . . . . . . this is just livestreamülilla erstmal cut the state, and the s gig 정도, and, what's, handle, and, and, and, and, and, itself, good, and, Professor, vie, shape, vie, Poss, hör,?!, nhưng, conservation, conduct,�, AT,,,,,,, el,,,,,,,,,,,,,,,,,,,,,,,.,,,,, Sarah,, hear, er, Gud`. change, i confront aブ burned a поддерж the� prawda in hear a của perd very content on eats� показ in invest dove Ach F deal� None turnover Links I'mל 구� thank choose aGr descendol jail install
[00:03:25.140 --> 00:03:41.200]   as the US government has imposed more and more law laws basically on the world the whole world just steps up and is the saying goes in the step step to fetch it you know that they just say okay yes we'll do it the most onerous of these are the foreign account tax compliance act
[00:03:41.200 --> 00:03:54.040]   packed and passed in about 2010 that requires any bank anywhere in the world that does business with US persons people who have indicia of US personhood US citizenship etc to report
[00:03:54.040 --> 00:04:23.960]  , etc to report on it.
[00:04:24.000 --> 00:04:33.720]   work
[00:04:33.720 --> 00:04:50.800]  writing includes but is work
[00:08:38.340 --> 00:08:48.200]   cleared
[00:08:48.200 --> 00:08:49.000]   100łość policymakers
[00:08:49.000 --> 00:08:52.160]   APIs B Big I go but as but help "P Q Ed Also讓
[00:09:35.060 --> 00:09:35.060]   "P Q Ed Also讓"
[00:10:03.480 --> 00:10:09.420]  �
[00:10:09.420 --> 00:10:14.500]   other.
[00:10:59.360 --> 00:10:59.360]   and and and and and and and and and and and and and and and and and
[00:12:24.880 --> 00:12:34.700]   less
[00:12:34.700 --> 00:12:52.380]  quet, will. I have,
[00:13:51.120 --> 00:13:51.120]   and
[00:15:17.440 --> 00:15:46.160]  aayyyy! I'm not saying that this is absurd. Maybe at the core there are changes happening that are good. And so you kind of don't want to just turn it off. And then, ultimately, there are enough basic things that you can do in the US that for all of my complaints about the high taxes, as long as you are not earning a high income in the United States, you can structure your affairs to pay a modest tax rate. It's not 10%, a flat 10%, which I would love, but it's kind of hard to do.
[00:16:44.640 --> 00:17:12.440]  outh
[00:17:12.440 --> 00:17:12.440]  rage: "How can I make more?" Because the way that exclusion works is it will exclude your first $100,000 of income from taxation. But the next $100,000 faces the taxes exactly the same as if you were in the United States. And the next $100,000 does not start off at the zero tax bracket. It starts off at the $100,000 tax bracket. So you basically automatically go into a much higher bracket. And you can do that by using the "how can I make more?" method.
[00:17:12.440 --> 00:17:12.440]   How can I make more?
[00:17:13.220 --> 00:17:23.500]   aired
[00:17:23.500 --> 00:17:40.860]   incomes Leh Look potrze me. I, I, I, my, my, my, my, their, their, their,icas,這邊, brass, which,Bl el, conduct, marking, узна,UU,んな, 100,S,N,"le,G,T,G,D,D,G,I,G, gravel,la, was,ła, hot, Потом, displayed, about the dois I'm a Sh is a money is the mini c factory节's a financial day to go and hel成marks and the end of the指 Tre de doesn cheese like aялAG de스터 gan est CM maisPM I'm告訴 e rely the MAT as a permits a afterward the continue to derniian brigadecontrol be주 vai❤遊 their cinematic gray at Stu in theTC stuff in theраж. systematically SARAH e Gefühl de hull does a elig the prosperous back of the
[00:17:40.940 --> 00:17:51.640]   I
[00:17:51.640 --> 00:18:08.600]   just� hoof health ch them, And, I, I,けれ, conducted, rare,,,,,,.. is a well other good's been osyoung tomorrow study. So, serve the sound of the sound. And,'t,
[00:18:08.600 --> 00:18:10.560]  ,.,., I'm we're val 1999
[00:18:10.600 --> 00:18:19.100]  이면 see . invest at,,,,
[00:18:19.100 --> 00:18:29.900]  TA C E De
[00:18:39.420 --> 00:18:49.100]   crazy
[00:18:49.100 --> 00:19:06.160]   en a rather
[00:19:06.160 --> 00:19:07.740]   Sal Hot O M Potta accept the tax. Но, but. As, as, as, as, as, as, as, as, way, set, has, corre-- même- didnt- Estados- voila-iek- Spark- buy- wasn- acquire- particular- of- talk- doesn- i- headed- car- dig- Fußball- dig- got- until- young- Ray- 2021- set- decent- glass- er- won- Bet- recognise- de - passion- say- 그렇죠- bus- Slo -則- sound - scold- I -verts- \- I -anc- dancing- purple- Sand - acquire-ס- tell- Alle- check- hunting- instrumental- doesn- И - поряд-because- ask-irmi- sticky-ww- I'melson- 기�- had-�- revisit-еров- de, lot- pushed- question-TAs Android- SF, grat- следующ-το- Z, thu- el-
[00:20:04.560 --> 00:20:14.700]   soil
[00:20:14.700 --> 00:20:15.400]   , in the, 100,
[00:21:01.920 --> 00:21:01.920]   The, 20, 30, 40, or even more.
[00:21:01.920 --> 00:21:01.920]   The, 20, 30, or even more.
[00:21:01.920 --> 00:21:01.920]   The, 20, 30, or even more. Uh, certification as an act 20 business, and there are a variety of types of businesses that are eligible. Many things can fit, but not all businesses, but if you will go to Puerto Rico, start a company in Puerto Rico that is eligible for act 20, Puerto Rico will charge you a maximum corporate tax rate of 4%. If you contrast that with the 21% corporate tax rate in the United States, and that of course was recently lowered by the tax cut and jobs act, you can see the opportunity for substantial savings.
[00:21:59.320 --> 00:21:59.320]   The, 20, 30, or even more. Uh, the opportunity for substantial savings.
[00:21:59.320 --> 00:21:59.320]   The, 20, 30, or even more. Uh, the opportunity for substantial savings.
[00:21:59.320 --> 00:21:59.320]   The, 20, 30, or even more. Uh, the opportunity for substantial savings.
[00:21:59.320 --> 00:21:59.320]   The, 20, 30, or even more. Uh, the opportunity for substantial savings.
[00:21:59.320 --> 00:21:59.320]   The, 20, 30, or even more. Uh, the opportunity for substantial savings.
[00:21:59.320 --> 00:21:59.320]   The, 20, 30, or even more. Uh, the opportunity for substantial savings.
[00:21:59.320 --> 00:21:59.320]   The, 20, 30, or even more. Uh, the opportunity for substantial savings.
[00:21:59.320 --> 00:21:59.320]   The, 20, 30, or even more. Uh, the opportunity for substantial savings.
[00:21:59.320 --> 00:21:59.320]   The, 20, 30, or even more. Uh, the opportunity for substantial savings.
[00:21:59.320 --> 00:21:59.320]   The, 20, 30, or even more. Uh, the opportunity for substantial savings.
[00:21:59.360 --> 00:22:01.760]   look
[00:22:01.760 --> 00:22:10.360]   de. I've G
[00:22:10.360 --> 00:22:28.140]   very exc
[00:22:52.400 --> 00:22:53.240]   nt
[00:22:53.240 --> 00:22:53.640]   ing laws,
[00:22:53.640 --> 00:22:54.140]   but you
[00:22:54.140 --> 00:22:54.640]   can't be a
[00:22:54.640 --> 00:22:55.340]   Florida resident
[00:22:55.340 --> 00:22:55.840]   and have
[00:22:55.840 --> 00:22:56.340]   hundreds of
[00:22:56.340 --> 00:22:57.240]   dollars in
[00:22:57.240 --> 00:22:57.240]   your pocket.
[00:22:57.240 --> 00:22:57.240]   So you have to
[00:22:57.240 --> 00:22:57.240]   be a Florida resident
[00:22:57.240 --> 00:22:57.240]   and have
[00:22:57.240 --> 00:22:57.240]   hundreds of
[00:22:57.240 --> 00:22:57.240]   dollars in your
[00:22:57.240 --> 00:22:57.320]   pocket.
[00:22:57.320 --> 00:22:57.480]   So you have to
[00:22:57.480 --> 00:22:57.480]   be a Florida resident
[00:22:57.480 --> 00:22:57.520]   and have hundreds
[00:22:57.520 --> 00:22:57.640]   of dollars in your
[00:22:57.640 --> 00:22:57.640]   pocket.
[00:22:57.640 --> 00:22:57.720]   So you have to
[00:22:57.720 --> 00:22:57.720]   be a Florida resident
[00:22:57.720 --> 00:22:57.720]   and have hundreds
[00:22:57.720 --> 00:22:57.780]   dollars in your
[00:22:57.780 --> 00:22:57.880]   pocket.
[00:22:57.880 --> 00:22:57.940]   So you have to
[00:22:57.940 --> 00:22:57.940]   be a Florida resident
[00:22:57.940 --> 00:22:57.940]   and have hundreds
[00:22:57.940 --> 00:22:58.040]   dollars in your pocket.
[00:22:58.040 --> 00:22:58.120]   So you have to
[00:22:58.120 --> 00:22:58.140]   be a Florida resident and have
[00:22:58.140 --> 00:22:58.140]   hundreds of dollars in your pocket.
[00:22:58.140 --> 00:22:58.300]   So you have to be a Florida resident and have a
[00:22:58.340 --> 00:23:09.420]   sc
[00:23:09.420 --> 00:23:25.140]   watching burned
[00:23:56.420 --> 00:23:56.420]   and
[00:24:26.440 --> 00:24:26.440]   I
[00:24:26.440 --> 00:24:26.440]   renders.
[00:24:26.440 --> 00:24:26.440]   20,000 dollars per Bitcoin. I can't remember the number right now. If you were going to go from 20,000 dollars to a million dollars and you've got thousands of Bitcoins, you can see how valuable it would be if you were a Puerto Rican resident and all of that capital gain were excluded from taxation as a Puerto Rican resident. So for those people who are very bullish on cryptocurrency and who are U.S. citizens, it's hard to find a better case for you to move forward.
[00:24:26.440 --> 00:24:26.440]   So for those people who are very bullish on cryptocurrency and who are U.S. citizens, it's hard to find a better case for you to move forward.
[00:24:26.440 --> 00:24:26.440]   So for those people who are very bullish on cryptocurrency and who are U.S. citizens, it's hard to find a better case for you to move forward.
[00:24:36.340 --> 00:24:49.980]   So you might still want to choose or consider expatriating, renouncing U.S. citizenship and moving abroad so that you can invest in some ICOs that are restricted for U.S. citizens. But if you expect to have a lot of capital gains income, Puerto Rico is a really, really compelling solution for you.
[00:24:49.980 --> 00:24:56.460]   Likewise, if you're going to start a business, Puerto Rico is a really, really compelling solution for you.
[00:24:56.460 --> 00:24:56.460]   So if you're going to start a business, Puerto Rico is a really, really compelling solution for you.
[00:24:56.460 --> 00:24:56.460]   So if you're going to start a business, Puerto Rico is a really, really compelling solution for you.
[00:24:56.460 --> 00:24:56.460]   So if you're going to start a business, Puerto Rico is a really, really compelling solution for you.
[00:24:56.460 --> 00:24:56.460]   So if you're going to start a business, Puerto Rico is a really, really, really compelling solution for you.
[00:24:56.460 --> 00:25:26.480]  , you can use some of these company charters being in Puerto Rico and qualify for an Act 20 business.
[00:25:26.480 --> 00:25:26.480]   Now when this Act was first established in order to qualify for an Act 20 business, you had to hire a minimum of five employees there in Puerto Rico because the whole goal of these tax incentives is that you can use some of these company charters being in Puerto Rico and qualify for an Act 20 business.
[00:25:26.500 --> 00:25:56.500]   So if you're going to start a business, Puerto Rico is a really, really, really compelling solution for you.
[00:25:56.500 --> 00:25:56.500]   You have to have a minimum of five employees there in Puerto Rico because the whole goal of these tax incentives is that you can use some of these company charters being in Puerto Rico and qualify for an Act 20 business.
[00:25:56.500 --> 00:25:56.500]   That's why you have to have a minimum of five employees there in Puerto Rico because the whole goal of these tax incentives is that you can use some of these company charters being in Puerto Rico and qualify for an Act 20 business.
[00:25:56.500 --> 00:25:56.500]   It's a really, really, really, really, really compelling solution for you.
[00:25:56.500 --> 00:25:56.500]   It's a really, really, really, really, really, really compelling solution for you.
[00:25:56.500 --> 00:25:56.500]   So if you're going to start a business, Puerto Rico is a really, really, really, really, really, really, really compelling solution for you.
[00:25:56.500 --> 00:26:26.520]  , and I can work with clients all around the country if I set things up properly and save a huge amount of money.
[00:26:26.520 --> 00:26:26.520]   I can work with clients all around the country if I set things up properly and save a huge amount of money.
[00:26:26.520 --> 00:26:26.520]   I can work with clients all around the country if I set things up properly and save a huge amount of money.
[00:26:26.520 --> 00:26:26.520]   I can work with clients all around the country if I set things up properly and save a huge amount of money.
[00:26:26.520 --> 00:26:26.520]   I can work with clients all around the country if I set things up properly and save a huge amount of money.
[00:26:26.520 --> 00:26:26.520]   I can work with clients all around the country if I set things up properly and save a huge amount of money.
[00:26:26.540 --> 00:26:56.540]   I can work with clients all around the country if I set things up properly and save a huge amount of money.
[00:26:56.540 --> 00:26:56.540]   I can work with clients all around the country if I set things up properly and save a huge amount of money.
[00:26:56.540 --> 00:26:56.540]   I can work with clients all around the country if I set things up properly and save a huge amount of money.
[00:26:56.540 --> 00:26:56.540]   I can work with clients all around the country if I set things up properly and save a huge amount of money.
[00:26:56.540 --> 00:26:56.540]   I can work with clients all around the country if I set things up properly and save a huge amount of money.
[00:26:56.540 --> 00:26:56.540]   I can work with clients all around the country if I set things up properly and save a huge amount of money.
[00:26:56.540 --> 00:26:56.540]   I can work with clients all around the country if I set things up properly and save a huge amount of money.
[00:26:56.540 --> 00:26:56.540]   I can work with clients all around the country if I set things up properly and save a huge amount of money.
[00:26:56.560 --> 00:27:26.560]   I can work with clients all around the country if I set things up properly and save a huge amount of money.
[00:27:26.560 --> 00:27:26.560]   I can work with clients all around the country if I set things up properly and save a huge amount of money.
[00:27:26.560 --> 00:27:26.560]   I can work with clients all around the country if I set things up properly and save a huge amount of money.
[00:27:26.560 --> 00:27:26.560]   I can work with clients all around the country if I set things up properly and save a huge amount of money.
[00:27:26.560 --> 00:27:26.560]   I can work with clients all around the country if I set things up properly and save a huge amount of money.
[00:27:26.560 --> 00:27:26.560]   I can work with clients all around the country if I set things up properly and save a huge amount of money.
[00:27:26.560 --> 00:27:26.560]   of money. I can work with clients all around the country if I set things up properly and save a huge amount of money.
[00:27:26.600 --> 00:27:56.580]  ,
[00:27:56.580 --> 00:27:56.580]   I can work with clients all around the country if I set things up properly and save a huge amount of money.
[00:27:56.580 --> 00:27:56.580]   I can work with clients all around the country if I set things up properly and save a huge amount of money.
[00:27:56.580 --> 00:27:56.580]   I can work with clients all around the country if I set things up properly and save a huge amount of money.
[00:27:56.580 --> 00:27:56.580]   I can work with clients all around the country if I set things up properly and save a huge amount of money.
[00:27:56.580 --> 00:27:56.580]   I can work with clients all around the country if I set things up properly and save a huge amount of money.
[00:27:56.580 --> 00:27:56.580]   I can work with clients all around the country if I set things up properly and save a huge amount of money.
[00:27:56.580 --> 00:27:56.580]   I can work with clients all around the country if I set things up properly and save a huge amount of money.
[00:27:56.600 --> 00:28:26.600]   I can work with clients all around the country if I set things up properly and save a huge amount of money.
[00:28:26.600 --> 00:28:26.600]   I can work with clients all around the country if I set things up properly and save a huge amount of money.
[00:28:26.600 --> 00:28:26.600]   I can work with clients all around the country if I set things up properly and save a huge amount of money.
[00:28:26.600 --> 00:28:26.600]   I can work with clients all around the country if I set things up properly and save a huge amount of money.
[00:28:26.600 --> 00:28:26.600]   I can work with clients all around the country if I set things up properly and save a huge amount of money.
[00:28:26.600 --> 00:28:26.600]   I can work with clients all around the country if I set things up properly and save a huge amount of money.
