
[00:00:00.000 --> 00:00:01.160]   Hello, everybody.
[00:00:01.160 --> 00:00:03.480]   It's Sam from Financial Samurai.
[00:00:03.480 --> 00:00:07.880]   In this episode, we're going to talk about the average net worth for the above average
[00:00:07.880 --> 00:00:08.880]   married couple.
[00:00:08.880 --> 00:00:11.720]   So if you're single right now, don't worry.
[00:00:11.720 --> 00:00:14.240]   I think there's someone out there for you.
[00:00:14.240 --> 00:00:19.040]   You just have to make it your mission to find someone because from a financial perspective,
[00:00:19.040 --> 00:00:22.800]   I think life is much easier with someone.
[00:00:22.800 --> 00:00:28.680]   Instead of paying the full $2,500 a month in rent, you can split it $1,250 each and
[00:00:28.680 --> 00:00:32.640]   that brings more disposable income into your pocket.
[00:00:32.640 --> 00:00:37.320]   And obviously, besides sharing more of your expenses, life is just more interesting when
[00:00:37.320 --> 00:00:41.360]   you have someone to care about who will go through the journey together.
[00:00:41.360 --> 00:00:43.520]   So what is the definition of above average?
[00:00:43.520 --> 00:00:48.520]   Well, first of all, I don't want any of you guys to get offended if you are considered
[00:00:48.520 --> 00:00:50.920]   average or below average.
[00:00:50.920 --> 00:00:52.040]   It's just math.
[00:00:52.040 --> 00:00:53.960]   Think about the bell curve.
[00:00:53.960 --> 00:00:58.760]   And what we're trying to do is be above average because life is – we only got one shot,
[00:00:58.760 --> 00:00:59.760]   right?
[00:00:59.760 --> 00:01:03.080]   So we might as well try a little bit harder and do a little bit better so we can try to
[00:01:03.080 --> 00:01:06.520]   live a better life and help our finances.
[00:01:06.520 --> 00:01:11.080]   So the above average person is loosely defined as someone who graduated from college.
[00:01:11.080 --> 00:01:15.080]   Only about 35% of the American population has a college degree.
[00:01:15.080 --> 00:01:21.200]   Now if you've got a job right out of high school and you are making above average income
[00:01:21.200 --> 00:01:25.680]   for your city or state, then you're obviously above average.
[00:01:25.680 --> 00:01:30.600]   The above average person works hard, plays well with others, takes full advantage of
[00:01:30.600 --> 00:01:36.560]   their pre-tax retirement accounts, saves additional disposable income so they can generate passive
[00:01:36.560 --> 00:01:40.160]   income and they stay on top of their finances.
[00:01:40.160 --> 00:01:45.600]   The above average person is also quite reasonable.
[00:01:45.600 --> 00:01:49.320]   They don't expect anything from their parents or from the government.
[00:01:49.320 --> 00:01:54.960]   And if they were C students in school, they don't expect to live an A lifestyle.
[00:01:54.960 --> 00:01:58.120]   This is pretty important here, folks, this last line.
[00:01:58.120 --> 00:02:01.920]   If you're a C student and you expect to live an A lifestyle, you're probably going to be
[00:02:01.920 --> 00:02:03.040]   miserable.
[00:02:03.040 --> 00:02:06.120]   And this is what I see happening more and more today.
[00:02:06.120 --> 00:02:10.760]   People want to go straight to the top, straight to the corner office without putting in their
[00:02:10.760 --> 00:02:12.040]   dues.
[00:02:12.040 --> 00:02:18.000]   So now that we've got the definition of what above average is, let's look at the data.
[00:02:18.000 --> 00:02:22.800]   The average net worth, depending on where you look, is somewhere between $150,000 to
[00:02:22.800 --> 00:02:24.800]   $250,000.
[00:02:24.800 --> 00:02:29.000]   But the median net worth in America is closer to about $80,000.
