
[00:00:00.000 --> 00:00:19.180]   Thank you so much for having me. Thank you all for being here today and wanting to learn more
[00:00:19.180 --> 00:00:23.880]   about generative media. I'm going to keep this pretty quick. There's a lot to show, especially
[00:00:23.880 --> 00:00:29.460]   for some of the new features that we've released in VO3. But there's also a lot to discuss in
[00:00:29.460 --> 00:00:34.960]   the frame of how does this revolutionize the way that people build things? How do people
[00:00:34.960 --> 00:00:40.140]   create ads? And how do people replicate some of the experiences that you might see every
[00:00:40.140 --> 00:00:45.900]   day? So, as mentioned, I'm Paige. I am the engine lead for our DevRel team at Google DeepMind.
[00:00:45.900 --> 00:00:52.080]   But I'm here today on behalf of our generative media team, who are all brilliant. They are
[00:00:52.080 --> 00:00:58.920]   wonderful. Many of them could not be here today. But this
[00:00:58.920 --> 00:01:03.800]   this is all their work. So, I just want to send a thank you to the heavens for everything
[00:01:03.800 --> 00:01:07.420]   that they've been building. Today we're going to be talking about three different models.
[00:01:07.420 --> 00:01:12.940]   So, VO3, which is our new video and audio generation model. Imagine 4, which can generate these static
[00:01:12.940 --> 00:01:18.980]   images. And also Lyria 2, which is a music generation model. And stay tuned. There will be more of
[00:01:18.980 --> 00:01:26.540]   all of the above coming shortly. VO is kind of magical in the sense that, you know, you can create videos of
[00:01:26.540 --> 00:01:31.420]   things that you've never seen before. And we've saw -- we've seen some of these examples already.
[00:01:31.420 --> 00:01:37.260]   But it also has the potential to really revolutionize everything that we build and create as humans.
[00:01:37.260 --> 00:01:43.180]   And I loved this quote from Andre Karpathy just recently. The video has the potential to be an
[00:01:43.180 --> 00:01:49.660]   incredible surface for communication, but also for education and for human creativity. So, all of these
[00:01:49.660 --> 00:01:56.540]   things are designed with that in mind. VO2, just want to touch on it briefly before we get into the VO3
[00:01:56.540 --> 00:02:02.940]   capabilities. We released a whole bunch of additional things around creative control just recently. So,
[00:02:02.940 --> 00:02:08.380]   think on the order of about a month ago or not even that. So, things like reference powered videos,
[00:02:08.540 --> 00:02:13.420]   videos, out painting, the ability to add and remove objects, character control and consistency,
[00:02:13.420 --> 00:02:18.620]   which I think you all were talking about just a little while ago. And also the ability to interpolate
[00:02:18.620 --> 00:02:23.340]   across first and last frames. And let's take a look at what that means. Because for people who are not
[00:02:23.340 --> 00:02:29.900]   necessarily filmmakers, it's much, much easier to show and not tell. So, reference powered videos are
[00:02:29.900 --> 00:02:36.380]   things like things like you have a person, you have an environment, and you're able to kind of put one
[00:02:36.380 --> 00:02:43.420]   within the other or compose them together into something that feels very, very stylized, but also
[00:02:43.420 --> 00:02:50.780]   like really, really well crafted. So, here you can see reference powered video with VO2. This is
[00:02:50.780 --> 00:02:58.780]   available via the API and via some of our tools like Flow today. And another example of reference powered
[00:02:58.780 --> 00:03:04.540]   video. So, a really, really cute little monster in a variety of environments that you just control
[00:03:04.540 --> 00:03:13.100]   by describing. It's performing pretty well on benchmarks. So, you can see here, the green is VO. So,
[00:03:13.100 --> 00:03:20.540]   compared to things like Runway Gen 4 and Kling, the more green, the better. And for reference powered
[00:03:20.540 --> 00:03:28.700]   video, most human readers selected for VO for some of these side by side comparisons. You can also match
[00:03:28.700 --> 00:03:34.540]   styles. So, upload a reference image and then have different styles composed together.
[00:03:34.540 --> 00:03:41.820]   Another example of styles being preserved. And then also camera controls the same that you might have
[00:03:41.820 --> 00:03:47.340]   if you were a filmmaker. So, things like being able to move back, move right, rotate up, zoom in,
[00:03:47.340 --> 00:03:53.580]   and to be able to precisely control all of these camera movements. Again, just via natural language and
[00:03:53.580 --> 00:03:58.620]   through some of the tools that are available in the APIs. When I saw all of this, I was blown
[00:03:58.620 --> 00:04:02.780]   away because I don't think that we have nearly enough code samples demonstrating some of these
[00:04:02.780 --> 00:04:08.940]   capabilities. But these are all things that you can do with the VO2 models today with the APIs.
[00:04:08.940 --> 00:04:14.540]   We also have the ability to do outpainting. This was important for a recent project with the Sphere
[00:04:14.540 --> 00:04:21.660]   around Wizard of Oz. So, being able to take us like a scene or an individual frame of a video
[00:04:22.460 --> 00:04:28.140]   and imagine what the rest of the scene might look like. So, even if you only have a view into a small
[00:04:28.140 --> 00:04:36.780]   portion, being able to create something that looks real or that looks consistent across the outpainting.
[00:04:36.780 --> 00:04:44.380]   Adding objects or removing objects from scenes. So, you can see here a few examples as well.
[00:04:45.420 --> 00:04:51.660]   And again, all of these available for you to test and to try today. These are all things that exist
[00:04:51.660 --> 00:05:00.460]   that our research team has kind of gotten into the API designs. Some more examples of removing objects.
[00:05:00.460 --> 00:05:05.820]   Character control is quite nice. You might have seen some of these demonstrated into your favorite products
[00:05:06.460 --> 00:05:14.380]   for kind of controlling mouth movements, controlling reference space movements for particular characters.
[00:05:14.380 --> 00:05:22.300]   We also give the ability to add a script and to add kind of a voice tone and to have the character map
[00:05:22.300 --> 00:05:29.020]   the lips to producing that sound and producing it in a way that feels consistent with the location.
[00:05:30.220 --> 00:05:38.540]   These are some of the motion examples with VO2 and with VO3. So, being able to have an input image
[00:05:38.540 --> 00:05:48.380]   and controlling them or changing the design across the scene. More benchmarks. And then the first and last
[00:05:48.380 --> 00:05:55.100]   frame. So, you can have an input image and an output image and VO is able to interpolate across them
[00:05:55.980 --> 00:06:05.660]   to kind of make those images stitched together into a video. And those are just another couple of examples.
[00:06:05.660 --> 00:06:11.660]   I feel like generative media presentations are very gratifying. These are certainly the most beautiful
[00:06:11.660 --> 00:06:20.620]   things that we get to see at developer conferences. So, VO3. Everything that you just saw, VO2. VO3.
[00:06:21.740 --> 00:06:29.100]   Right? Like blown away. So, VO3 is video but coupled together with audio. And so, all of the tokens
[00:06:29.100 --> 00:06:36.140]   composed together natively, not audio being pulled in as a tool, but the model actually able to compose
[00:06:36.140 --> 00:06:40.460]   together all of these tokens across multiple modalities. This is similar to what you see with
[00:06:40.460 --> 00:06:46.460]   Gemini's native audio output. In addition to being able to output text and code, you can also output images,
[00:06:46.460 --> 00:06:54.700]   edit images, edit audio, compose audio, etc. So, VO3, our latest state-of-the-art video generation model.
[00:06:54.700 --> 00:07:03.500]   It has these things around prompt adherence and native audio generation. But again, so much cooler to show
[00:07:04.380 --> 00:07:27.740]   and not tell. The little llama. So, interestingly, you're able to do not just background noises, but also
[00:07:27.740 --> 00:07:49.580]   things like music. Including very, very subtle sounds. And the like. So, let's go to the next.
[00:07:51.020 --> 00:07:57.900]   VO3. There we go. So, this is hard, right? Like, it looks very cool. It's very hard to capture the
[00:07:57.900 --> 00:08:04.060]   nuances of an input prompt. And it's also been really historically very hard to preserve visual
[00:08:04.060 --> 00:08:11.820]   consistency. So, characters often, like, jump from one frame to another. There might be backgrounds,
[00:08:11.820 --> 00:08:17.260]   and then suddenly walls disappear and you're able to see behind them. This is one of the reasons why VO3
[00:08:17.900 --> 00:08:23.340]   feels like a leap forward is because the stylistic consistency and then also the contextual consistency
[00:08:23.340 --> 00:08:32.140]   is much, much better. Built on years of research. So, things like GQN, WALT, etc. And it has
[00:08:32.140 --> 00:08:38.300]   responsibility at its core. So, you can see little human visible watermarks as well as synth ID watermarks
[00:08:38.300 --> 00:08:45.180]   for synthetically generated images and video. We've also been partnering really closely with many, many,
[00:08:45.180 --> 00:08:54.540]   many artists along the way. So, Darren Aronofsky, also musicians for Lyria models, artists for the Imagine
[00:08:54.540 --> 00:09:02.220]   models. And we'll take a look at a couple of these as well. So, Imagine is image generation. You know,
[00:09:02.220 --> 00:09:12.060]   able to kind of preserve realism. Everything from humans to whales, you know, cute puppies. I've heard that the
[00:09:12.060 --> 00:09:17.900]   more cute puppies that you have in a presentation, the better it always is. And then also being able to
[00:09:17.900 --> 00:09:24.620]   preserve detail across all of these images as well, including diverse styles and even things like
[00:09:24.620 --> 00:09:30.060]   typography. So, I love these stamps of Alamo Square and the mission. I really, really wish that we just had
[00:09:30.060 --> 00:09:41.100]   these as swag ideas that -- stickers for laptops or stickers just in general. And another example of an
[00:09:41.100 --> 00:09:49.500]   artist that the team has been really closely collaborating with, Ross Lovegood, on some of his designs.
[00:09:51.100 --> 00:09:59.500]   So, Lyria 2, also very exciting. It's high-fidelity music and professional-grade audio. It also gives you a
[00:09:59.500 --> 00:10:05.820]   very, very granular creative control. So, the ability to steer the inputs and outputs and to steer the tones
[00:10:05.820 --> 00:10:15.980]   and the styles of the music along the way. Music AI Sandbox is one of the products that's been created as a visual for this. If folks are familiar with Ableton
[00:10:15.980 --> 00:10:23.340]   or things like it, this probably looks very similar. And then there's also Music Effects,
[00:10:23.340 --> 00:10:29.660]   which is a project from our labs team that allows you to kind of compose together beats just to be a
[00:10:29.660 --> 00:10:37.580]   natural language. And we use that for the demo later on today. Lyria Real Time has also been a deep
[00:10:37.580 --> 00:10:46.700]   collaboration with many musicians, both Jacob Collier, who's a legend, and Toro Iuma. And me circa, like,
[00:10:46.700 --> 00:10:55.020]   me circa college was like blown away that Toro Iuma was at Google I/O. Huge fan.
[00:10:55.020 --> 00:11:02.140]   I do think that a big part of teaching music is giving people a chance to play music and play with music.
[00:11:02.940 --> 00:11:07.980]   However, people don't have access to the whole of music from day one. What I think this offers an
[00:11:07.980 --> 00:11:15.660]   interesting perspective into is the whole of music: mathematics, physics, history, geography, the
[00:11:15.660 --> 00:11:22.460]   human body, language, spelling, syntax. One thing I've come to realize is that a lot of the same forces
[00:11:22.460 --> 00:11:24.860]   forces that make music work are the forces that make life work.
[00:11:24.860 --> 00:11:34.060]   Oh, that was not VO3. Some parts, but it's hard to tell, right? Like it's, yeah, yeah.
[00:11:34.060 --> 00:11:40.860]   Yeah, you know, parts of it, parts of it might have included visuals generated by VO3, though.
[00:11:40.860 --> 00:11:48.220]   So Lyria, again, built in collaboration with the creative industry, not outside it, and then also
