
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:07.780]   - What's the advice to someone who's passionate
[00:00:07.780 --> 00:00:11.560]   about a thing that's not necessarily a revenue source
[00:00:11.560 --> 00:00:12.960]   for their life right now?
[00:00:12.960 --> 00:00:15.700]   - It's what's going to bring you the most joy
[00:00:15.700 --> 00:00:17.060]   and it's worth it.
[00:00:17.060 --> 00:00:21.540]   You know, I think it's, if you go to work
[00:00:21.540 --> 00:00:23.260]   and your work makes you happy,
[00:00:23.260 --> 00:00:26.800]   that's living the dream at any level.
[00:00:26.800 --> 00:00:31.800]   And if it's very successful financially,
[00:00:31.800 --> 00:00:33.600]   great, that's just sort of gravy,
[00:00:33.600 --> 00:00:36.900]   but it's more about your peace of mind.
[00:00:36.900 --> 00:00:39.600]   And I think that if there is something
[00:00:39.600 --> 00:00:40.980]   that makes you truly happy
[00:00:40.980 --> 00:00:44.040]   and maybe you have to do something else
[00:00:44.040 --> 00:00:45.240]   to supplement your income,
[00:00:45.240 --> 00:00:47.640]   try to balance those things as best you can.
[00:00:47.640 --> 00:00:48.560]   - Yeah, I've actually,
[00:00:48.560 --> 00:00:51.600]   I've turned my position on this in the past few years.
[00:00:51.600 --> 00:00:53.720]   I used to say, oh, go follow your passion,
[00:00:53.720 --> 00:00:56.320]   you know, find a way to make that your job.
[00:00:56.320 --> 00:00:57.920]   But if you have a job that allows you
[00:00:57.920 --> 00:01:00.640]   to follow your passion, not as a job, that's okay.
[00:01:00.640 --> 00:01:02.440]   - Yeah, that's enough.
[00:01:02.440 --> 00:01:03.260]   - And for a lot of people,
[00:01:03.260 --> 00:01:06.200]   my brother-in-law went pro golfing
[00:01:06.200 --> 00:01:08.280]   and then hated it because it was his job
[00:01:08.280 --> 00:01:11.720]   and then got a job and just golfs on the weekend
[00:01:11.720 --> 00:01:12.800]   and loves it.
[00:01:12.800 --> 00:01:14.380]   And so I think for some people,
[00:01:14.380 --> 00:01:16.880]   even pursuing it to some extent can actually take away,
[00:01:16.880 --> 00:01:18.200]   I don't know if there was ever a moment in your career
[00:01:18.200 --> 00:01:21.180]   where it was like skating to win competitions
[00:01:21.180 --> 00:01:22.700]   and to win trophies was just too much
[00:01:22.700 --> 00:01:23.960]   and it took away the fun.
[00:01:23.960 --> 00:01:28.960]   - Yeah, for sure, especially in the late '80s,
[00:01:28.960 --> 00:01:33.320]   I became a machine and it was very cyclical
