
[00:00:00.000 --> 00:00:10.720]   welcome welcome everyone i'm joe i'm from the startups team here at anthropic and we're so
[00:00:10.720 --> 00:00:18.640]   thrilled to have all of you here today we have a breakout of six amazing founders that have really
[00:00:18.640 --> 00:00:24.080]   found product market fit building on cloud across a bunch of different industries across agentic
[00:00:24.080 --> 00:00:29.840]   coding across design across music generation and a lot of these startups have really seen that
[00:00:29.840 --> 00:00:35.840]   zero to multi-million user journey within the past 12 months and i know in this crowd there's a lot of
[00:00:35.840 --> 00:00:41.280]   you know really great founders too and so we want all of you to stay until the end of the session
[00:00:41.280 --> 00:00:47.760]   we have a little surprise for all of you to be able to spin up quicker uh on claude four um in
[00:00:47.760 --> 00:00:55.360]   our new family of models so without further ado i want to bring up kevin uh who is the ceo and
[00:00:56.160 --> 00:01:05.120]   co-founder of tempo labs awesome thanks joe everyone nice to meet you as she mentioned
[00:01:05.120 --> 00:01:09.600]   my name is kevin one of the co-founders of tempo and it's an honor to be here i'm to kick off i
[00:01:09.600 --> 00:01:27.040]   have a video uh that'll give you a little bit of a taste of what temple is all about
[00:01:31.600 --> 00:01:45.600]   so
[00:01:59.600 --> 00:02:21.600]   awesome so uh what is tempo at tempo we're building cursor for pms and designers uh tempo is a new type of
[00:02:21.600 --> 00:02:27.360]   ide that feels more like a design tool like figma than it does vs code and the whole idea behind it is to
[00:02:27.360 --> 00:02:33.440]   to give designers and pms the ability to collaborate with claude uh and to create you know the first
[00:02:33.440 --> 00:02:39.040]   draft of pull requests and in many cases uh the actual end-to-end pull request uh kind of pulling the
[00:02:39.040 --> 00:02:43.360]   engineer out of the loop in some cases but if anything making the process of working on code
[00:02:43.360 --> 00:02:47.280]   collaborative as it stands today it's really non-engineers don't you know collaborate too much
[00:02:47.280 --> 00:02:54.000]   on code so i'll show you a bit of a live demo of what that looks like uh this is tempo uh tempo as you can tell
[00:02:54.000 --> 00:03:01.360]   uh you know has three tabs product uh a prd tab a design tab and a code tab so imagine you're a pm right
[00:03:01.360 --> 00:03:07.360]   you generate uh airbnb app with uh claude and you're like okay great this looks you know it's a it's a it's
[00:03:07.360 --> 00:03:12.480]   a quick and dirty prototype demo uh and then you pass it off to your designer and your designer looks at
[00:03:12.480 --> 00:03:18.560]   uh the real airbnb and it's kind of like hmm this is kind of off i need to get it pixel perfect so uh you come in
[00:03:18.560 --> 00:03:26.160]   in here and you realize that uh you know you spent some time working on this new animated uh tabs header
[00:03:26.160 --> 00:03:31.440]   so you can see you know just like the it's nice and pretty just like the core uh airbnb uh so what i
[00:03:31.440 --> 00:03:39.120]   can do now is i can uh drag and drop this right into my header over here uh give that a second there you
[00:03:39.120 --> 00:03:45.600]   go we've got it in the header uh and then what i can do is just rearrange this to get it in the middle
[00:03:46.640 --> 00:03:51.120]   um and again every change that i'm making is actually you know you can see editing the original
[00:03:51.120 --> 00:03:55.920]   source code in the correct position um so okay so we're kind of like starting to make some progress
[00:03:55.920 --> 00:04:01.760]   now clearly these little new badges are not great you know whenever whoever designed or created that
[00:04:01.760 --> 00:04:08.720]   didn't do a great job so why don't we fix that up really quick um so i'm going to open up my uh dom
[00:04:08.720 --> 00:04:12.960]   tree over here which shows me everything that's in the dom i'll find the new badge and i'll just click
[00:04:13.680 --> 00:04:19.440]   delete just like i would boom okay we're getting somewhere close looks you know half decent now
[00:04:19.440 --> 00:04:25.040]   let's compare to airbnb okay we've got some work to do clearly claude thought we need this little
[00:04:25.040 --> 00:04:30.800]   text header i'm just going to delete that like i normally would in a design tool traditional design
[00:04:30.800 --> 00:04:36.960]   tool like figma i'm going to delete this over here and then i am going to let's compare again
[00:04:36.960 --> 00:04:47.280]   i'm going to move my uh the ellen to my property grid here to the center i'm going to add a little bit
[00:04:47.280 --> 00:04:53.440]   of gap between them and then maybe here i'm going to remove this uh tailwind padding and then i'm going
[00:04:53.440 --> 00:04:59.520]   to compare to core airbnb and then the site that i built in tempo and now you get an idea of how you know
[00:04:59.520 --> 00:05:03.920]   pms designers can collaborate together with claude and then again i can enter a commit message push
[00:05:03.920 --> 00:05:09.680]   this to uh to github and actually the really cool thing is that this actually this code isn't running
[00:05:09.680 --> 00:05:13.520]   locally on my machine it's actually running on a docker container in the cloud so this whole thing is
[00:05:13.520 --> 00:05:17.280]   collaborative i can send a link to someone just like figma and they can come and collaboratively code
[00:05:17.280 --> 00:05:23.120]   with me and with claude there you go tempo is again it's an ide for designers and developers uh to
[00:05:23.120 --> 00:05:28.400]   collaborate together on code we already have a number of customers and have been growing extremely extremely
[00:05:28.400 --> 00:05:34.080]   quickly uh and what we're seeing for customers that adopt tempo is designers truly are turning into
[00:05:34.080 --> 00:05:38.800]   design engineers and we're seeing that you know approximately 10 to 15 percent of front-end pull
[00:05:38.800 --> 00:05:43.520]   requests are actually being able to be opened by designers directly they're often able to do pixel
[00:05:43.520 --> 00:05:48.480]   pushing themselves without involving an engineer they can just work with tempo and with claude directly
[00:05:48.480 --> 00:05:55.600]   and in in about 60 percent of pull requests we see that a a sizable chunk of the front-end code has
[00:05:55.600 --> 00:06:00.800]   been generated by designers by pms and by claude and it actually accelerates it's useful code that
[00:06:00.800 --> 00:06:05.920]   accelerates a true front-end engineer uh in their process of going to production and so that's tempo
[00:06:05.920 --> 00:06:11.680]   we are in the we're imminently about to release support for claude 4 so i invite you all to uh give it a
[00:06:11.680 --> 00:06:17.280]   shot uh and uh empower your pms and your designers to start to collaborate with your engineers on code thank you
[00:06:20.400 --> 00:06:27.840]   howdy everybody um my name is andrew file i will start uh with a little bit of a past history i build
[00:06:27.840 --> 00:06:32.800]   and sold software business for more than two billion dollars so i ran a team of more than thousand people
[00:06:32.800 --> 00:06:39.360]   and despite doing that i could tell that only about two to five percent of our ideas ever came to life
[00:06:39.360 --> 00:06:45.280]   because the majority of the time we spend on fairly routine work and the larger is the company the more of
[00:06:45.280 --> 00:06:51.600]   that routine is in your uh kind of uh the the bigger that routine makes part of your of your day job so
[00:06:51.600 --> 00:06:57.600]   i fundamentally believe that uh we can automate at least 90 percent of that routine work giving
[00:06:57.600 --> 00:07:05.200]   us opportunity to move 10 times faster and bring more of our ideas to life and um i personally uh believe
[00:07:05.200 --> 00:07:11.680]   that a lot of their of this transformation will happen this year and we're uh actually observing it
[00:07:11.680 --> 00:07:19.120]   as we speak including today i think that uh this week actually demark demarks their transition into the
[00:07:19.120 --> 00:07:24.080]   next generation so how only 12 months ago the whole industry was on the first generation of ai coding
[00:07:24.080 --> 00:07:30.240]   assistance so a code completion it kind of uh was a very nice convenience but not a game changer to to
[00:07:30.240 --> 00:07:38.720]   anybody and then october last year um thanks to entropic we got um cloud 3.5 and that was a game
[00:07:38.720 --> 00:07:45.280]   changer and that allowed um us and zencoder and uh cursor and windsurf and a lot of other players to
[00:07:45.280 --> 00:07:52.160]   build true coding agents inside of your id so that opened up a completely new uh use cases completely new
[00:07:52.160 --> 00:07:59.360]   scenarios we saw usage skyrocket uh 10x 100x and we saw people uh being able to do amazing things that they
[00:07:59.360 --> 00:08:06.240]   haven't been able to do before and part of that revolution was um the model support for tools
[00:08:06.240 --> 00:08:10.640]   and environment because behind a lot of those generational changes there are some technical
[00:08:10.640 --> 00:08:17.200]   capabilities that kind of unlock all of that right uh there was also move in the models from coding
[00:08:17.200 --> 00:08:22.800]   quote unquote like olympiad style stuff to true software engineering and that was uh very very very
[00:08:22.800 --> 00:08:28.880]   important and then uh obviously context matters um software repositories are quite large so it's good to
[00:08:28.880 --> 00:08:34.400]   to have a larger support and i think that uh in this year we'll actually see transition to the next
[00:08:34.400 --> 00:08:40.240]   generation uh for me one of the biggest enablers there is verification uh so i'm super excited about
[00:08:40.240 --> 00:08:45.520]   something that we haven't yet talked uh at this conference today is computer use we saw rapid progress
[00:08:45.520 --> 00:08:51.760]   in those models and they allow us to build uh proper verification and verification is key to scaling
[00:08:51.760 --> 00:08:58.560]   ai uh and kind of delivering more fully autonomous cycle and then the other thing is uh in real life in actual
[00:08:58.560 --> 00:09:05.200]   uh production work uh where you got multiple people engaged and multiple teams engaged uh typically
[00:09:05.200 --> 00:09:11.280]   a lot of the time is wasted doing what i call in between uh kind of passing the ball and so when we
[00:09:11.280 --> 00:09:16.800]   think about the problem we think about software development life cycle as a whole uh not just about the
[00:09:16.800 --> 00:09:23.520]   coding and that's a big part of our dna and so super happy to announce a couple of weeks ago
[00:09:23.520 --> 00:09:30.400]   uh came with zen agents so taking that concept of um coding agent and extending into custom agents that
[00:09:30.400 --> 00:09:35.360]   you can share across your whole organization with full support for mcp with specialized coding tools
[00:09:35.360 --> 00:09:42.400]   and whatnot but you can basically deploy them across your whole sdlc from their uh work on your prd
[00:09:42.400 --> 00:09:50.880]   to to the actual coding to verification to code reviews and whatnot so that's super exciting and i'll just
[00:09:50.880 --> 00:09:58.560]   basically show you a quick video and we'll be good to go
[00:09:58.560 --> 00:10:28.320]   and we're looking forward for entropic to bring us mcp
[00:10:28.320 --> 00:10:34.560]   registry uh but while that's not available we offer you ours so we got a hundred um i believe
[00:10:34.560 --> 00:10:40.320]   about 100 mcp servers out there and obviously you can configure your own and also as we launched that
[00:10:40.320 --> 00:10:45.920]   zen agents we were excited to launch the community aspects of it so there's an uh mit licensed github
[00:10:45.920 --> 00:10:51.200]   repo where you can commit your agents and if we approve your pr uh everybody will will see them so
[00:10:51.200 --> 00:10:57.200]   we're excited and think that that can help kickstart the creativity process in a lot of organizations and
[00:10:57.200 --> 00:11:02.560]   kind of take it beyond the basic coding use uh truly across the whole software development life cycle so
[00:11:02.560 --> 00:11:05.440]   thank you all
[00:11:05.440 --> 00:11:12.880]   hi my name is jordan i'm the head of ai engineering at gamma and at gamma our mission is to help bring your
[00:11:12.880 --> 00:11:20.400]   ideas to life whether that's presentations documents websites or even social media carousels we do all this
[00:11:20.400 --> 00:11:24.640]   so we can help us through ai to help build these things for you
[00:11:24.640 --> 00:11:29.680]   and we love quad uh throughout gamma's kind of history of using ai there's been
[00:11:29.680 --> 00:11:36.480]   two moments where a model upgrade has made significant impact to our key metrics around user
[00:11:36.480 --> 00:11:42.560]   satisfaction for deck generation the first was when sonnet 3.5 came out and the second was when
[00:11:42.560 --> 00:11:48.320]   sonnet 3.7 came out we actually saw an eight percent increase in this metric which is something that we
[00:11:48.320 --> 00:11:53.440]   spent hundreds of hours trying to prompt engineer around and could not get such improvements
[00:11:53.440 --> 00:12:00.080]   and one of the big reasons for this was around web search so the built-in tool in sonnet that we can
[00:12:00.080 --> 00:12:03.120]   natively use web search for and not have to use the third-party service
[00:12:03.840 --> 00:12:09.600]   so i'm going to show you the difference what web search made in gamma by showing two decks generated
[00:12:09.600 --> 00:12:16.480]   with gamma one with web search and one without so this is gamma gamma used ai to generate this it used
[00:12:16.480 --> 00:12:24.320]   sonnet 3.7 but it did not use web search and as you can see got a lot of things wrong this conference
[00:12:24.320 --> 00:12:31.280]   isn't january 22nd 2025 it's not three days i don't think these are the right speakers
[00:12:33.200 --> 00:12:41.440]   so let's see what we can do with web search so in gamma you can create a entire presentation web page
[00:12:41.440 --> 00:12:49.120]   document anything from a single sentence so i'll type in code with claude conference 2025
[00:12:49.120 --> 00:12:56.800]   and it's going to first create an outline for me it's going to search the web to figure out what
[00:12:56.800 --> 00:13:02.800]   should be in this outline and it will inevitably find details about the code with claude conference
[00:13:02.800 --> 00:13:08.240]   and put them there so as you can see we're already off to a better start where we have the correct dates
[00:13:08.240 --> 00:13:16.400]   we have real technical sessions we have the right location so this looks much better for us
[00:13:16.400 --> 00:13:22.160]   and i've even gone ahead and created an an anthropic theme that we can use
[00:13:30.560 --> 00:13:34.560]   so now that we have the outline generated gamma will take that outline and it will take the other
[00:13:34.560 --> 00:13:41.600]   information it has and create an entire presentation for us with hopefully the correct details so let's check
[00:13:49.280 --> 00:13:53.440]   so i think already we're off to a better start it has the right date has the right location
[00:13:53.440 --> 00:13:56.720]   it tells us the schedule
[00:13:56.720 --> 00:14:05.520]   and overall this provides us a much better starting point if we were to say make a presentation or a
[00:14:05.520 --> 00:14:10.400]   website about this conference it's not going to be perfect but it'll get you to a point where you have
[00:14:10.400 --> 00:14:14.640]   the correct information and you're at a good starting point to actually finish your presentation
[00:14:14.640 --> 00:14:25.200]   so this one change from sonnet 3.5 to 3.7 with with web search was a huge lift for us
[00:14:25.200 --> 00:14:30.320]   and we're very excited to continue to use claude and to continue to see these improvements
[00:14:32.640 --> 00:14:38.320]   lastly we are hiring so if you are an engineer or product or designer and are interested in working
[00:14:38.320 --> 00:14:44.880]   at gamma you can go to careers.gamma.app thank you hi my name is amar goyal i'm the ceo and co-founder
[00:14:44.880 --> 00:14:49.520]   of bitto we're building the hopefully the world's best ai code review platform
