
[00:00:00.000 --> 00:00:21.620]   Since all the questions already got asked, who built an MCP server and it didn't work?
[00:00:21.620 --> 00:00:29.680]   So we here commiserate on how to actually build with the full spec. What are the hidden capabilities?
[00:00:29.680 --> 00:00:41.300]   Why they matter and how they light up? I work on VS Code. So this is a bias local MCP for development track, but all of it is applicable to everything.
[00:00:41.300 --> 00:00:59.360]   I really love the intro to the track. It's all about its MCPs on high velocity. It's a lot of ecosystem growth, excitement, people working together, collaborating, but there's so much more work to do if they realize it's so early in that ecosystem.
[00:00:59.360 --> 00:01:06.360]   The criticism of the spec or the ecosystem is just we're so early and I want to point out where we can gain more powers.
[00:01:06.360 --> 00:01:14.980]   And just 10 days ago on a Friday, we had actually this first in real life gathering of the MCP Steering Committee during the MCP Dev Summit.
[00:01:14.980 --> 00:01:25.980]   So that's how early it is. We haven't even met before. We just talked on Discord so we finally met in person the first time to talk about anything, how to evolve the spec, how to evolve the ecosystem.
[00:01:25.980 --> 00:01:40.980]   And all the basics are kind of covered. Hopefully in the previous talks. This is my first MCP talk that I don't spend halfway through just explaining what MCP is. There's routes and the client, there's sampling, there's prompts and tools and resources.
[00:01:40.980 --> 00:01:49.980]   There's a really rich ecosystem to build dynamic discovery and persistent resources and rich interactions. But there's a gap in how this is being implemented.
[00:01:49.980 --> 00:01:56.980]   There's this MCP is just another API wrapper syndrome that's happening because people just want to ship.
[00:01:56.980 --> 00:02:08.980]   They want to build products and they're actually building really excellent products with just tools. And that creates this reinforcing loop because once you see how MCP works, you're just going to use the same stacks and repeat the same tools only ecosystem.
[00:02:08.980 --> 00:02:28.980]   And there's technical barriers. People do this because there's missing support in the clients and SDKs and documentation and the references. And the clients reflect this most. If you look at the adoption that's from the website of model context protocol, you see everybody goes for tools because that's where the most immediate success is.
[00:02:28.980 --> 00:02:49.980]   And if you're honest, most of the resources and prompts, you can do similar flows just with tools. And VS Code did the same thing. When we launched two weeks, two months ago now with our MCP support, we started with tools and we already added discovery and routes because you're working towards actually reading the spec and implementing it.
