
[00:00:00.000 --> 00:00:05.320]   [Intro]
[00:00:05.320 --> 00:00:09.440]   Pastor John, you are an outspoken opponent of the prosperity gospel and you have been
[00:00:09.440 --> 00:00:15.820]   for many years. In episode 231 of this podcast series, it's aptly titled, "Why I Abominate
[00:00:15.820 --> 00:00:19.900]   the Prosperity Gospel," and that sums up your position pretty well and your words there
[00:00:19.900 --> 00:00:25.520]   are very strong. Podcast listener Derek recently wrote in to ask a follow-up question, "Pastor
[00:00:25.520 --> 00:00:30.440]   John, how do you recognize prosperity theology when it's not blatantly obvious? What are
[00:00:30.440 --> 00:00:35.880]   some key indicators to discern a soft prosperity theology?"
[00:00:35.880 --> 00:00:42.080]   I really appreciate this question. I'm eager to give some things to look for and I don't
[00:00:42.080 --> 00:00:46.440]   think it's all that difficult. Anybody could probably sit down and come up with these.
[00:00:46.440 --> 00:00:57.000]   I thought of at least six that I jotted down, six things to look for. If you see them, the
[00:00:57.000 --> 00:01:05.640]   likelihood is that you may be dealing with incipient prosperity theology or soft or beginning
[00:01:05.640 --> 00:01:07.120]   prosperity theology.
[00:01:07.120 --> 00:01:16.560]   Number one, the absence of a serious doctrine of the biblical necessity and normalcy of
[00:01:16.560 --> 00:01:26.000]   suffering. The absence of a doctrine of suffering. Acts 14.21 said that basic discipleship, as
[00:01:26.000 --> 00:01:30.880]   Paul went through the churches, was to teach them, "Through many tribulations you must
[00:01:30.880 --> 00:01:38.560]   enter the kingdom." Is this basic doctrinal teaching in the church? Tribulations are necessary
[00:01:38.560 --> 00:01:46.520]   and there are many and you must walk through them. Is Romans 8.23 essential in dealing
[00:01:46.520 --> 00:01:54.920]   with sickness and calamity? We, we who have the Holy Spirit grown, waiting for our adoption
[00:01:54.920 --> 00:02:00.960]   of sons, the redemption of our body. Is there a strong note that Christians full of the
[00:02:00.960 --> 00:02:10.360]   Holy Spirit get cancer and grown under the calamities and the miseries of the fall? John
[00:02:10.360 --> 00:02:17.940]   15.20, "If they persecuted me, they will persecute you." Is there a strong note that a faithful
[00:02:17.940 --> 00:02:25.160]   Christian will be persecuted? Hebrews 12 and 2 Corinthians 1, "God is sovereign over all
[00:02:25.160 --> 00:02:32.200]   of our pain and ordains it for our holiness." So that's the first one. Is there a serious
[00:02:32.200 --> 00:02:37.600]   doctrine of the necessity and normalcy of suffering?
[00:02:37.600 --> 00:02:45.760]   Number two, the absence of a clear and prominent doctrine of self-denial is a tip off that
