
[00:00:00.000 --> 00:00:02.180]   (beeping)
[00:00:02.180 --> 00:00:12.500]   (upbeat music)
[00:00:12.500 --> 00:00:19.880]   - Welcome back to Portfolio Rescue.
[00:00:19.880 --> 00:00:21.320]   This is our show where we answer questions
[00:00:21.320 --> 00:00:23.200]   straight from you, the viewer.
[00:00:23.200 --> 00:00:24.200]   Our inbox is filling up.
[00:00:24.200 --> 00:00:27.080]   Duncan and I were talking before we got on here.
[00:00:27.080 --> 00:00:28.800]   Instead of people giving us their height and their weight
[00:00:28.800 --> 00:00:30.600]   when they email us and now they give us their salary,
[00:00:30.600 --> 00:00:33.560]   their asset allocation, their stock picks, all this stuff.
[00:00:33.560 --> 00:00:34.720]   It's great, we love the fact that you guys
[00:00:34.720 --> 00:00:36.400]   are sharing so much information with us.
[00:00:36.400 --> 00:00:37.400]   Remember, if you have a question,
[00:00:37.400 --> 00:00:40.040]   askthecompoundshow@gmail.com.
[00:00:40.040 --> 00:00:42.000]   Duncan, I have one question for you.
[00:00:42.000 --> 00:00:45.160]   Is my sweater too hot for the YouTube algorithm?
[00:00:45.160 --> 00:00:46.480]   Is this pink too bright?
[00:00:46.480 --> 00:00:47.320]   - It could be.
[00:00:47.320 --> 00:00:49.560]   It might be an actual out of gamut color.
[00:00:49.560 --> 00:00:52.840]   - I didn't use my color thing today.
[00:00:52.840 --> 00:00:53.680]   All right, what do we got?
[00:00:53.680 --> 00:00:54.840]   Let's do question number one.
[00:00:54.840 --> 00:00:57.240]   - Okay, so up first we've got one
[00:00:57.240 --> 00:01:00.000]   I think a lot of people will be able to relate to.
[00:01:00.000 --> 00:01:04.200]   So you've shown time and again that owning the market
[00:01:04.200 --> 00:01:07.120]   is a better strategy than picking individual names.
[00:01:07.120 --> 00:01:08.960]   However, for people who enjoy the market
[00:01:08.960 --> 00:01:10.600]   and want to have some fun on Robinhood,
[00:01:10.600 --> 00:01:11.960]   what advice do you have for someone
[00:01:11.960 --> 00:01:15.880]   who's found themselves down 26%, now actually 28%,
[00:01:15.880 --> 00:01:18.480]   and 34% in their two biggest holdings,
[00:01:18.480 --> 00:01:20.000]   I may just keep averaging down
[00:01:20.000 --> 00:01:21.880]   but can never seem to find the bottom.
[00:01:21.880 --> 00:01:23.280]   Historically, do most stocks come back
[00:01:23.280 --> 00:01:24.160]   from this kind of decline?
[00:01:24.160 --> 00:01:25.920]   Or does the data say to cut your losses
[00:01:25.920 --> 00:01:28.480]   even when it feels this painful?
[00:01:28.480 --> 00:01:30.840]   - Duncan, this one sounds kind of personal to me.
[00:01:30.840 --> 00:01:32.520]   - Yeah, it's for me.
[00:01:32.520 --> 00:01:33.880]   - This is a question straight from you.
[00:01:33.880 --> 00:01:35.160]   - It's actually for me.
[00:01:35.160 --> 00:01:36.160]   - Which is great.
[00:01:36.160 --> 00:01:37.000]   But you're right.
[00:01:37.000 --> 00:01:39.280]   We're getting all sorts of questions from people saying,
[00:01:39.280 --> 00:01:40.120]   what to do now?
[00:01:40.120 --> 00:01:40.960]   All my stocks are down,
[00:01:40.960 --> 00:01:42.800]   even though the market is doing fine.
[00:01:42.800 --> 00:01:43.640]   I don't know what to do.
[00:01:43.640 --> 00:01:45.080]   I think part of this comes from the fact
[00:01:45.080 --> 00:01:46.880]   that a lot of people opened up their Robinhood account
[00:01:46.880 --> 00:01:49.200]   in 2020, maybe 2019.
[00:01:49.200 --> 00:01:50.360]   Things were just way too easy
[00:01:50.360 --> 00:01:51.440]   coming out of that corona crash.
[00:01:51.440 --> 00:01:53.480]   So Jason Zweig had this mind-blowing stat.
[00:01:53.480 --> 00:01:55.800]   I think we've shared it a few times on some other shows.
[00:01:55.800 --> 00:01:58.240]   From the bottom on March 23rd, 2020,
[00:01:58.240 --> 00:02:00.680]   over the next year, 96% of all stocks
[00:02:00.680 --> 00:02:01.640]   in the US stock market,
[00:02:01.640 --> 00:02:03.680]   the Wilshire 5000 were up,
[00:02:03.680 --> 00:02:05.040]   which is basically unheard of.
[00:02:05.040 --> 00:02:07.440]   That's not normal, even in a good year.
[00:02:07.440 --> 00:02:11.600]   So let's take a look at some of the stats I got here.
[00:02:11.600 --> 00:02:16.100]   So if you look at the S&P in a given year,
[00:02:16.100 --> 00:02:18.560]   so let's say last year, the S&P was up 29%,
[00:02:18.560 --> 00:02:20.680]   but 13% of the stocks in the index finished down.
[00:02:20.680 --> 00:02:22.160]   And that's in a year when the S&P
[00:02:22.160 --> 00:02:24.000]   had a 5% drawdown at the worst.
[00:02:24.000 --> 00:02:26.120]   In 2020, the S&P was up 18%.
[00:02:26.120 --> 00:02:28.440]   1/3 of the stocks were negative that year.
[00:02:28.440 --> 00:02:29.660]   So even in a good year,
[00:02:29.660 --> 00:02:30.760]   you should probably expect anywhere
[00:02:30.760 --> 00:02:33.880]   from 10 to 30% of stocks to be down.
[00:02:33.880 --> 00:02:36.040]   And this is one of the reasons that owning the market
[00:02:36.040 --> 00:02:38.640]   or owning a fund that's more diversified is so much easier
[00:02:38.640 --> 00:02:40.920]   because you can bank on mean reversion, right?
[00:02:40.920 --> 00:02:44.560]   You don't have to worry about an index fund going to zero.
[00:02:44.560 --> 00:02:46.200]   A stock, not all stocks go to zero,
[00:02:46.200 --> 00:02:47.960]   but some of them just might not come back.
[00:02:47.960 --> 00:02:50.360]   So let's do, let's take a look at some examples,
[00:02:50.360 --> 00:02:52.120]   I think, of why it's so hard
[00:02:52.120 --> 00:02:53.280]   to figure out what to do in this situation.
[00:02:53.280 --> 00:02:54.960]   So John, let's do a chart of Amazon.
[00:02:54.960 --> 00:02:56.280]   This is the drawdown profile of Amazon.
[00:02:56.280 --> 00:03:00.320]   So obviously Amazon fell 95% in the dot-com crisis,
[00:03:00.320 --> 00:03:02.160]   which was just an unbelievable buying opportunity.
[00:03:02.160 --> 00:03:03.600]   People look at that and say,
[00:03:03.600 --> 00:03:04.440]   "Well, this is why you always
[00:03:04.440 --> 00:03:05.480]   "buy individual stocks that are down.
[00:03:05.480 --> 00:03:06.320]   "Look what happened.
[00:03:06.320 --> 00:03:07.800]   "It's one of the greatest performing stocks of all time."
[00:03:07.800 --> 00:03:10.000]   Let's do the Netflix one next, John.
[00:03:10.000 --> 00:03:13.120]   Netflix was down over 70% twice.
[00:03:13.120 --> 00:03:15.080]   Duncan, remember that time that Netflix decided
[00:03:15.080 --> 00:03:18.400]   to send DVDs and split their company
[00:03:18.400 --> 00:03:20.400]   into we're gonna do DVDs and then we're gonna do streaming.
[00:03:20.400 --> 00:03:21.520]   This is before streaming became huge.
[00:03:21.520 --> 00:03:23.220]   And Netflix fell 80%.
[00:03:23.220 --> 00:03:25.600]   That was in like 2013, it wasn't that long ago.
[00:03:25.600 --> 00:03:27.600]   And so you look at these examples and you say,
[00:03:27.600 --> 00:03:29.120]   "Well, I have to buy then."
[00:03:29.120 --> 00:03:31.480]   Because the only thing to do is stock is down is buy.
[00:03:31.480 --> 00:03:32.840]   Let's do the next one.
[00:03:32.840 --> 00:03:34.680]   Let's look at Citigroup and AIG.
[00:03:34.680 --> 00:03:36.320]   This is like the other side of that of,
[00:03:36.320 --> 00:03:37.320]   you know, when things don't go back.
[00:03:37.320 --> 00:03:38.160]   This is Citigroup and AIG.
[00:03:38.160 --> 00:03:39.840]   You can see those huge spikes
[00:03:39.840 --> 00:03:41.560]   into the 2000s and financial crisis.
[00:03:41.560 --> 00:03:42.800]   And then it's huge drop off
[00:03:42.800 --> 00:03:43.640]   and they've just never come back.
[00:03:43.640 --> 00:03:46.600]   These stocks are still down 90% from all time highs.
[00:03:46.600 --> 00:03:48.600]   Now, these are obviously extreme examples,
[00:03:48.600 --> 00:03:49.720]   but I just kind of wanted to show what can happen.
[00:03:49.720 --> 00:03:51.960]   Now let's do like a more middle of the road, I guess.
[00:03:51.960 --> 00:03:52.840]   Well, maybe this is extreme,
[00:03:52.840 --> 00:03:55.760]   but let's look at Apple's price return here.
