
[00:00:00.000 --> 00:00:05.320]   [VIDEO PLAYBACK]
[00:00:05.320 --> 00:00:05.820]   - Hello.
[00:00:05.820 --> 00:00:10.680]   Thank you for joining CS25 Transformers Day's last class.
[00:00:10.680 --> 00:00:13.880]   Today, we have Lubna, who is a machine learning
[00:00:13.880 --> 00:00:16.360]   engineer in the science team at Hugging Face,
[00:00:16.360 --> 00:00:20.440]   working on large language models for code and synthetic data
[00:00:20.440 --> 00:00:21.800]   generation.
[00:00:21.800 --> 00:00:25.440]   She's part of the core team at the Big Code Project
[00:00:25.440 --> 00:00:29.760]   and has co-authored the Stack Dataset and the Starcoder
[00:00:29.760 --> 00:00:31.320]   models for code generation.
[00:00:31.320 --> 00:00:34.600]   Thank you so much for coming to our talk today.
[00:00:34.600 --> 00:00:39.320]   And as always, attendance link and the Slido questions
[00:00:39.320 --> 00:00:41.640]   are on our website, and we'll be taking questions
[00:00:41.640 --> 00:00:42.480]   after the talk.
[00:00:42.480 --> 00:00:47.080]   Thank you, and you can take it off now.
[00:00:47.080 --> 00:00:47.640]   - Hi.
[00:00:47.640 --> 00:00:50.200]   Thank you for the introduction.
[00:00:50.200 --> 00:00:51.200]   So I'm Lubna.
[00:00:51.200 --> 00:00:53.840]   I'm a machine learning engineer at Hugging Face in the science
[00:00:53.840 --> 00:00:54.400]   team.
[00:00:54.400 --> 00:00:57.600]   And today, I'll tell you about the behind the scenes
[00:00:57.600 --> 00:00:59.760]   for training large language models.
[00:00:59.760 --> 00:01:02.400]   And I will use the Starcoder model
[00:01:02.400 --> 00:01:04.960]   that our team has trained as a use case.
[00:01:04.960 --> 00:01:09.920]   So today's plan is very simple.
[00:01:09.920 --> 00:01:12.120]   We're going to try to answer this question.
[00:01:12.120 --> 00:01:14.600]   What does it take to train a good LLM?
[00:01:14.600 --> 00:01:16.680]   So it's one question, but it's very loaded,
[00:01:16.680 --> 00:01:18.120]   and it has a lot of follow-ups.
[00:01:18.120 --> 00:01:20.560]   And as you will see, my slides will be a series
[00:01:20.560 --> 00:01:21.880]   of questions and answers.
[00:01:24.920 --> 00:01:27.080]   So a few years ago, a lot of people
[00:01:27.080 --> 00:01:30.200]   thought that there was some molten secret source
[00:01:30.200 --> 00:01:33.160]   to the strong closed models like GPT-4,
[00:01:33.160 --> 00:01:36.320]   and that it will take the open source community a lot of time
[00:01:36.320 --> 00:01:38.920]   to catch up because the open source models that we had back
[00:01:38.920 --> 00:01:42.160]   then were much smaller and less performance.
[00:01:42.160 --> 00:01:45.080]   But now it seems that the community kind of figured out
[00:01:45.080 --> 00:01:47.920]   most of the pieces for getting strong LLMs,
[00:01:47.920 --> 00:01:50.680]   as it was predicted in this Google memo that
[00:01:50.680 --> 00:01:54.600]   was leaked and released on semi-analysis.
[00:01:54.600 --> 00:01:58.680]   For example, today we have LLAMA370BD Instruct,
[00:01:58.680 --> 00:02:01.920]   which has almost the same performance as GPT-4,
[00:02:01.920 --> 00:02:04.160]   but it's unlocked so many use cases
[00:02:04.160 --> 00:02:05.720]   because the model weights are open.
[00:02:05.720 --> 00:02:07.720]   The model can be quantized and can even
[00:02:07.720 --> 00:02:09.720]   run on a consumer desktop.
[00:02:09.720 --> 00:02:13.280]   It also allows the community to build very cool use cases
[00:02:13.280 --> 00:02:15.320]   on top through fine tuning.
[00:02:15.320 --> 00:02:18.440]   So we've made a lot of progress in the open field,
[00:02:18.440 --> 00:02:22.160]   and this is not the only model that's out there.
[00:02:22.160 --> 00:02:25.880]   We're now observing kind of a rise of open LLMs.
[00:02:25.880 --> 00:02:27.840]   And the company-- more and more companies
[00:02:27.840 --> 00:02:29.920]   are embracing releasing models.
[00:02:29.920 --> 00:02:33.280]   That was the case, for example, with DeepMind's GEMMA models
[00:02:33.280 --> 00:02:36.640]   and with Mistral's models and also
[00:02:36.640 --> 00:02:39.800]   other models from GPT-4E.
[00:02:39.800 --> 00:02:43.840]   Here I put a plot from the LLMSES arena,
[00:02:43.840 --> 00:02:47.720]   which is kind of the go-to leaderboard for comparing
[00:02:47.720 --> 00:02:50.200]   Instruct models nowadays.
[00:02:50.200 --> 00:02:52.360]   It uses human evaluation.
[00:02:52.360 --> 00:02:57.520]   And you can see in this plot that as we went from 2023
[00:02:57.520 --> 00:03:00.960]   to May '24, the gap in performance
[00:03:00.960 --> 00:03:03.760]   between the closed models and the open models
[00:03:03.760 --> 00:03:06.120]   is shrunking and becoming smaller,
[00:03:06.120 --> 00:03:10.200]   which is very promising.
[00:03:10.200 --> 00:03:13.480]   So we're on a very great path, but there are still
[00:03:13.480 --> 00:03:16.760]   a lot of limitations for this.
[00:03:16.760 --> 00:03:20.840]   And this is mainly due to releases missing out
[00:03:20.840 --> 00:03:24.440]   important details about how the data was processed
[00:03:24.440 --> 00:03:26.440]   and how the models were trained.
[00:03:26.440 --> 00:03:30.120]   And this is usually the case for two main reasons.
[00:03:30.120 --> 00:03:33.120]   The first one is to avoid legal scrutiny,
[00:03:33.120 --> 00:03:37.080]   because when companies publicly disclose the training data,
[00:03:37.080 --> 00:03:39.240]   if the training was not done properly
[00:03:39.240 --> 00:03:41.440]   and the copyrighted were not respected,
[00:03:41.440 --> 00:03:45.280]   they risk facing a legal investigation.
[00:03:45.280 --> 00:03:49.240]   The other reason for not disclosing the details
[00:03:49.240 --> 00:03:51.920]   can be to maintain a competitive edge.
[00:03:51.920 --> 00:03:54.960]   So some companies want to be the best at training LLMs,
[00:03:54.960 --> 00:03:59.120]   so they don't want to give all the details for their training.
[00:03:59.120 --> 00:04:01.640]   Nevertheless, because we have a lot of releases,
[00:04:01.640 --> 00:04:03.600]   I think we can still answer this question
[00:04:03.600 --> 00:04:07.400]   and put a lot of pieces together.
[00:04:07.400 --> 00:04:10.040]   So what do we need to train a good LLM?
[00:04:10.040 --> 00:04:12.760]   The first thing is probably the model.
[00:04:12.760 --> 00:04:15.040]   You need to have a good architecture.
[00:04:15.040 --> 00:04:18.480]   And I think now transformers are kind of the default,
[00:04:18.480 --> 00:04:21.240]   but there are also other interesting architectures
[00:04:21.240 --> 00:04:23.920]   like Mamba, which is a state-based model,
[00:04:23.920 --> 00:04:26.280]   or you can use a mixture of experts, which can
[00:04:26.280 --> 00:04:29.040]   be multiple transformer models.
[00:04:29.040 --> 00:04:31.240]   But I'm not going to spend a lot of time
[00:04:31.240 --> 00:04:33.720]   in this lecture on models, because I
[00:04:33.720 --> 00:04:37.400]   think it's a topic that's already thoroughly explored,
[00:04:37.400 --> 00:04:40.360]   and there are other aspects that maybe deserve
[00:04:40.360 --> 00:04:43.000]   a little bit more attention.
[00:04:43.000 --> 00:04:44.440]   So that was it for models.
[00:04:44.440 --> 00:04:46.520]   Then for GPUs, I don't think there's
[00:04:46.520 --> 00:04:50.800]   much I can tell you about that, except maybe I ask Jensen.
[00:04:50.800 --> 00:04:54.640]   But the part that they were the most interested of
[00:04:54.640 --> 00:04:59.640]   is data, which I think is the backbone of LLMs.
[00:04:59.640 --> 00:05:02.960]   Because now almost everyone is using the same architecture
[00:05:02.960 --> 00:05:04.840]   and the same training techniques.
[00:05:04.840 --> 00:05:09.080]   And for a given budget, data is what makes some models better
[00:05:09.080 --> 00:05:10.240]   than the others.
[00:05:10.240 --> 00:05:13.440]   So it's really worth spending time exploring this data
[00:05:13.440 --> 00:05:17.440]   and understanding how to get the higher quality samples.
[00:05:17.440 --> 00:05:20.320]   So now we're going to try to answer our previous question
[00:05:20.320 --> 00:05:23.880]   of how to train a good LLM by how do we get good training
[00:05:23.880 --> 00:05:24.360]   data.
[00:05:24.360 --> 00:05:30.640]   And I think the answer to this is threefold.
[00:05:30.640 --> 00:05:33.920]   First, we need to understand how much data do we need.
[00:05:33.920 --> 00:05:36.720]   And then once we've figured out the size of the data
[00:05:36.720 --> 00:05:39.280]   that we need, where can we get this data?
[00:05:39.280 --> 00:05:42.920]   And to clean it, which filtering techniques make more sense
[00:05:42.920 --> 00:05:46.120]   and will give us the best performance?
[00:05:46.120 --> 00:05:50.160]   So to answer the first one, the answer to that
[00:05:50.160 --> 00:05:51.920]   is the scaling laws.
[00:05:51.920 --> 00:05:55.680]   You want to know how much data you want to train a model on,
[00:05:55.680 --> 00:05:58.560]   but also what is the optimal size of the model.
[00:05:58.560 --> 00:06:01.840]   And the scaling laws try to study
[00:06:01.840 --> 00:06:04.920]   the allocation of a computer budget between data size
[00:06:04.920 --> 00:06:06.200]   and model size.
[00:06:06.200 --> 00:06:08.400]   This means, should you take a smaller model
[00:06:08.400 --> 00:06:10.800]   and train it longer or take a larger model
[00:06:10.800 --> 00:06:13.360]   and train it on this data?
[00:06:13.360 --> 00:06:19.280]   And I'm going to present a brief history of the scaling laws
[00:06:19.280 --> 00:06:21.320]   because I think it's really interesting to see
[00:06:21.320 --> 00:06:24.680]   how the sizes of the models progress through time
[00:06:24.680 --> 00:06:26.800]   and also how the size of the data
[00:06:26.800 --> 00:06:29.000]   sets and the number of tokens we train on them
[00:06:29.000 --> 00:06:30.880]   have changed because there were really
[00:06:30.880 --> 00:06:33.720]   some drastic changes in that.
[00:06:33.720 --> 00:06:38.000]   I think the first to establish the scaling laws
[00:06:38.000 --> 00:06:40.760]   were Kaplan from OpenAI.
[00:06:40.760 --> 00:06:48.440]   And they tried to fit the laws as a function of the data size
[00:06:48.440 --> 00:06:49.480]   and model size.
[00:06:49.480 --> 00:06:52.280]   And they found that if you have a 10 times
[00:06:52.280 --> 00:06:56.040]   increase in your compute, you should increase your parameter
[00:06:56.040 --> 00:06:57.760]   count by 5.5.
[00:06:57.760 --> 00:07:00.120]   But your training tokens, you should only increase them
[00:07:00.120 --> 00:07:01.840]   by 1.8.
[00:07:01.840 --> 00:07:05.280]   This means that if you have more resources to train your models,
[00:07:05.280 --> 00:07:06.920]   you should make the model much larger.
[00:07:06.920 --> 00:07:08.160]   But the data, it's fine.
[00:07:08.160 --> 00:07:11.000]   You shouldn't increase it that much.
[00:07:11.000 --> 00:07:14.240]   And this is what led to models like GPT-3, which
[00:07:14.240 --> 00:07:18.160]   is 175 billion parameters, which was only
[00:07:18.160 --> 00:07:21.880]   trained on 300 billion tokens, which if we think about it now,
[00:07:21.880 --> 00:07:24.320]   is really small.
[00:07:24.320 --> 00:07:26.720]   Other models also follow this, for example,
[00:07:26.720 --> 00:07:29.520]   like OPBT, which was the same size as GPT-3
[00:07:29.520 --> 00:07:31.800]   and trained on a similar amount of data.
[00:07:31.800 --> 00:07:34.080]   There was also Bloom.
[00:07:34.080 --> 00:07:37.960]   So all these models are actually very under-trained.
[00:07:37.960 --> 00:07:41.080]   Then the Chinchilla scaling laws came after.
[00:07:41.080 --> 00:07:44.480]   And they kind of revisited the scaling laws.
[00:07:44.480 --> 00:07:49.520]   And they found that the reason Kaplan thought that data should
[00:07:49.520 --> 00:07:52.040]   not be as scaled as model size is
[00:07:52.040 --> 00:07:54.600]   because they used a fixed cosine scheduler
[00:07:54.600 --> 00:07:56.200]   for all their experiments.
[00:07:56.200 --> 00:07:58.400]   So although they were changing the data size,
[00:07:58.400 --> 00:08:00.680]   the cosine scheduler was fixed.
[00:08:00.720 --> 00:08:02.760]   This meant that for some models, they
[00:08:02.760 --> 00:08:05.560]   were underestimated because they were not
[00:08:05.560 --> 00:08:09.960]   using the correct cosine that corresponded to the data size.
[00:08:09.960 --> 00:08:12.520]   This led to kind of false conclusions.
[00:08:12.520 --> 00:08:15.080]   And the Chinchilla can now give us
[00:08:15.080 --> 00:08:17.320]   new scaling laws that say that you
[00:08:17.320 --> 00:08:21.480]   should scale your data and your model size equally.
[00:08:21.480 --> 00:08:26.440]   And in their paper, they train a 65 billion model
[00:08:26.440 --> 00:08:30.480]   on 1.6 trillion tokens, which is the Chinchilla optimal point.
[00:08:30.480 --> 00:08:32.760]   And they also perform much larger models
[00:08:32.760 --> 00:08:37.240]   like GPT-3 and Gopher, which was over 200 billion parameters.
[00:08:37.240 --> 00:08:42.200]   So here, for example, I have a plot
[00:08:42.200 --> 00:08:44.240]   which shows what the scaling laws try to do.
[00:08:44.240 --> 00:08:46.840]   For example, here you have isoflop curves,
[00:08:46.840 --> 00:08:49.400]   which each curve uses a fixed budget.
[00:08:49.400 --> 00:08:51.840]   And then you try to find the sweet spot, which
[00:08:51.840 --> 00:08:54.640]   is the optimal for your budget allocation.
[00:08:54.640 --> 00:08:56.760]   And it tells you what your model size should be
[00:08:56.760 --> 00:08:58.280]   and what your data size should be.
[00:08:58.720 --> 00:09:01.880]   And as you can see here, if we try to fit the laws,
[00:09:01.880 --> 00:09:05.560]   we can see that there's a linear increase for data and also
[00:09:05.560 --> 00:09:06.120]   model size.
[00:09:06.120 --> 00:09:13.240]   In this scheme, I tried to show how
[00:09:13.240 --> 00:09:15.200]   we've moved from the Chinchilla scaling
[00:09:15.200 --> 00:09:18.120]   laws to today's models.
[00:09:18.120 --> 00:09:20.960]   And you can see that, for example, the Chinchilla model,
[00:09:20.960 --> 00:09:23.760]   which is 60 billion parameters, was trained on less than 2
[00:09:23.760 --> 00:09:25.280]   trillion tokens.
[00:09:25.280 --> 00:09:27.320]   But then after that, we have LAMA,
[00:09:27.320 --> 00:09:28.920]   which was released last year.
[00:09:28.920 --> 00:09:30.360]   And it was just a 7BB model.
[00:09:30.360 --> 00:09:34.600]   And it was trained on as much data as the Chinchilla model.
[00:09:34.600 --> 00:09:38.840]   So it was trained way past the Chinchilla optimal point.
[00:09:38.840 --> 00:09:43.000]   And we might be wondering, why is that the case?
[00:09:43.000 --> 00:09:47.840]   Did Meta not use their compute budgets in an optimal way?
[00:09:47.840 --> 00:09:50.600]   And the answer to that is that compute optimal
[00:09:50.600 --> 00:09:53.280]   is not always optimal.
[00:09:53.280 --> 00:09:55.680]   Because when you train a model, you don't only
[00:09:55.680 --> 00:09:58.040]   care about what you're going to spend in training,
[00:09:58.040 --> 00:10:00.800]   but you also care about the inference.
[00:10:00.800 --> 00:10:02.400]   And the model is trained one time,
[00:10:02.400 --> 00:10:03.960]   but the inference is for more.
[00:10:03.960 --> 00:10:05.320]   The model is going to be served.
[00:10:05.320 --> 00:10:07.600]   So you want to save some cost in that.
[00:10:07.600 --> 00:10:11.240]   This makes it that people prefer training smaller models longer
[00:10:11.240 --> 00:10:13.240]   than actually using much larger models that
[00:10:13.240 --> 00:10:14.840]   are trained on less data.
[00:10:14.840 --> 00:10:18.360]   So this was the case for LAMA1, for other models like Mistral,
