
[00:00:00.000 --> 00:00:06.200]   Welcome back everyone.
[00:00:06.200 --> 00:00:09.180]   This is part 3 in our series on information retrieval.
[00:00:09.180 --> 00:00:12.080]   In part 2, we talked about classical IR models.
[00:00:12.080 --> 00:00:13.740]   I hope that gave you a sense for how
[00:00:13.740 --> 00:00:15.840]   IR systems work and we're now in
[00:00:15.840 --> 00:00:18.140]   a good position to think about how to evaluate them.
[00:00:18.140 --> 00:00:20.660]   That is the topic of IR metrics.
[00:00:20.660 --> 00:00:23.200]   Right at the start, I want to emphasize that there are
[00:00:23.200 --> 00:00:27.560]   many ways in which we can assess the quality of IR systems.
[00:00:27.560 --> 00:00:29.760]   Of course, inevitably, we'll end up
[00:00:29.760 --> 00:00:31.880]   focused on accuracy style metrics.
[00:00:31.880 --> 00:00:33.880]   They're prominent in the literature and they
[00:00:33.880 --> 00:00:36.580]   are an important aspect of system quality.
[00:00:36.580 --> 00:00:39.120]   But there are many other things we should think about for
[00:00:39.120 --> 00:00:41.980]   IR systems particularly when they are deployed.
[00:00:41.980 --> 00:00:44.740]   For example, in industrial context,
[00:00:44.740 --> 00:00:47.240]   latency is often incredibly important.
[00:00:47.240 --> 00:00:50.920]   Latency is the time it takes to execute a single query.
[00:00:50.920 --> 00:00:52.600]   In industrial context,
[00:00:52.600 --> 00:00:55.320]   latency constraints are often very tight.
[00:00:55.320 --> 00:00:58.880]   Users expect low latency systems and as a result,
[00:00:58.880 --> 00:01:00.920]   high latency systems are basically
[00:01:00.920 --> 00:01:03.600]   non-starters no matter how accurate they are.
[00:01:03.600 --> 00:01:06.160]   You often see accuracy and latency
[00:01:06.160 --> 00:01:10.160]   paired as crucial aspects of system performance.
[00:01:10.160 --> 00:01:11.720]   Throughput is similar.
[00:01:11.720 --> 00:01:15.140]   Throughput is the total queries served in a fixed time,
[00:01:15.140 --> 00:01:17.400]   maybe via batch processing.
[00:01:17.400 --> 00:01:19.040]   That's related to latency,
[00:01:19.040 --> 00:01:20.900]   but it could trade off against latency.
[00:01:20.900 --> 00:01:24.740]   You might decide to sacrifice some per query speed
[00:01:24.740 --> 00:01:28.280]   in order to process batches of examples efficiently.
[00:01:28.280 --> 00:01:31.000]   Whether you favor latency or throughput might
[00:01:31.000 --> 00:01:34.440]   depend on how users interact with your system.
[00:01:34.440 --> 00:01:37.400]   Flops is a hardware agnostic measure
[00:01:37.400 --> 00:01:39.360]   of total compute resources.
[00:01:39.360 --> 00:01:41.680]   This could be a good holistic measure.
[00:01:41.680 --> 00:01:45.920]   It might be hard to measure and hard to reason about,
[00:01:45.920 --> 00:01:48.240]   but it could be a good summary number.
[00:01:48.240 --> 00:01:50.980]   But we might want to break it down into component pieces.
[00:01:50.980 --> 00:01:53.360]   For example, disk usage for
[00:01:53.360 --> 00:01:55.120]   your model or for your index.
[00:01:55.120 --> 00:01:56.680]   That could be an important cost,
[00:01:56.680 --> 00:01:58.660]   especially for our index.
[00:01:58.660 --> 00:02:00.560]   If we're going to index the entire web,
[00:02:00.560 --> 00:02:03.080]   then the cost of storing our index on disk could be
[00:02:03.080 --> 00:02:04.800]   very large and we need to think about
[00:02:04.800 --> 00:02:07.560]   that as a component of system quality.
[00:02:07.560 --> 00:02:10.120]   For modern systems, maybe more pressing would be
[00:02:10.120 --> 00:02:13.040]   memory usage again for the model or the index.
[00:02:13.040 --> 00:02:15.340]   If we need to hold the entire index in
[00:02:15.340 --> 00:02:18.120]   memory to have a low latency system,
[00:02:18.120 --> 00:02:20.020]   that could get very expensive,
[00:02:20.020 --> 00:02:22.360]   very fast, for example.
[00:02:22.360 --> 00:02:26.640]   We could think about cost as a way to summarize all of
[00:02:26.640 --> 00:02:30.760]   2-6 in a way that gets us thinking holistically
[00:02:30.760 --> 00:02:32.580]   about the system and about trade-offs
[00:02:32.580 --> 00:02:34.320]   that are inherent in these metrics.
[00:02:34.320 --> 00:02:38.080]   For example, if we want a really low latency system,
[00:02:38.080 --> 00:02:40.320]   we might need to hold everything in memory,
[00:02:40.320 --> 00:02:43.440]   and that could get very expensive, very fast.
[00:02:43.440 --> 00:02:45.160]   But we could decide, for example,
[00:02:45.160 --> 00:02:46.440]   that we're going to cut costs by
[00:02:46.440 --> 00:02:48.840]   making our system smaller overall,
[00:02:48.840 --> 00:02:52.040]   but that could lead to a sacrifice in accuracy.
[00:02:52.040 --> 00:02:53.440]   So forth and so on.
[00:02:53.440 --> 00:02:55.180]   Given a cost constraint,
[00:02:55.180 --> 00:02:57.280]   we'll start thinking about trade-offs
[00:02:57.280 --> 00:02:59.440]   in a way that seems very healthy.
[00:02:59.440 --> 00:03:03.280]   I think more IR evaluation should be in that holistic mode,
[00:03:03.280 --> 00:03:06.080]   balancing all of these considerations relative
[00:03:06.080 --> 00:03:07.980]   to the interest that we have
[00:03:07.980 --> 00:03:10.840]   and the constraints that we're operating under.
[00:03:10.840 --> 00:03:12.960]   All that said though,
[00:03:12.960 --> 00:03:15.360]   we are now about to focus maybe too
[00:03:15.360 --> 00:03:18.320]   obsessively on accuracy style metrics.
[00:03:18.320 --> 00:03:19.600]   Let's dive into that.
[00:03:19.600 --> 00:03:21.560]   As a preliminary, we should talk about
[00:03:21.560 --> 00:03:23.120]   the kinds of datasets that
