
[00:00:00.000 --> 00:00:01.680]   Okay
[00:00:01.680 --> 00:00:08.060]   Well buckle your seatbelt because I think this next thing is probably going to shake some of your thinking
[00:00:08.060 --> 00:00:11.360]   if you guys have want to be
[00:00:11.360 --> 00:00:15.620]   Provoked one of the most provocative books you can read
[00:00:15.620 --> 00:00:20.400]   Is by a gentleman by the name of Charles Murray called?
[00:00:20.400 --> 00:00:25.760]   I think it's called breaking apart anyways. It's it's basically a study on sociology and
[00:00:27.280 --> 00:00:34.000]   There's a guy a younger version named Rob Henderson who I randomly met on the internet a few years ago
[00:00:34.000 --> 00:00:42.160]   And Rob story is pretty incredible. This is a guy that had a drug-addicted mother. He bounced around foster care his whole life
[00:00:42.160 --> 00:00:44.120]   he
[00:00:44.120 --> 00:00:45.040]   Dropped out of high school
[00:00:45.040 --> 00:00:51.400]   I think he joined the Air Force left the Air Force and then went to Yale and then got a PhD from Cambridge
[00:00:52.720 --> 00:00:58.120]   But he has had an incredibly hard life, but is an incredibly happy
[00:00:58.120 --> 00:01:03.080]   kind thoughtful human who's pretty introspective about
[00:01:03.080 --> 00:01:06.800]   Just society and sociology and people
[00:01:06.800 --> 00:01:12.560]   If you don't have a chance to follow Rob on Twitter, I highly encourage you to do it. He's got an incredible
[00:01:12.560 --> 00:01:15.400]   newsletter
[00:01:15.400 --> 00:01:18.600]   it's just fascinating stuff about human psychology and
[00:01:19.160 --> 00:01:23.760]   He's gonna give us a little presentation then we're gonna have a conversation. So Rob Henderson everybody
[00:01:45.960 --> 00:01:49.760]   I did graduate high school 2.2 GPA bottom third of my class
[00:01:49.760 --> 00:01:56.500]   So I've I've been developing this framework of luxury beliefs for a couple of years now
[00:01:56.500 --> 00:01:59.480]   So we'll just jump right in we'll start with with a puzzle
[00:01:59.480 --> 00:02:04.960]   what do top hats have in common with defunding the police or
[00:02:04.960 --> 00:02:12.640]   romanticizing unmarried parenting or divorce or promoting careerism over attentive care for children and
[00:02:13.200 --> 00:02:19.480]   Family before we get into it Chamath told you a bit about my unusual background. I was born here in Los Angeles
[00:02:19.480 --> 00:02:23.000]   I grew up in foster homes here in LA and all around, California
[00:02:23.000 --> 00:02:25.000]   I fled as soon as I could
[00:02:25.000 --> 00:02:33.120]   enlisting in the military when I was 17 and then later attended Yale on the GI Bill and tend a PhD from University of Cambridge and
[00:02:33.120 --> 00:02:38.200]   Throughout what will Yale was a very different environment for me. I learned at Yale that there are more
[00:02:39.240 --> 00:02:46.120]   students from families in the top 1% of the income scale than the entire bottom 60% and some of those personal experiences along with my
[00:02:46.120 --> 00:02:48.880]   sort of academic research led me to a
[00:02:48.880 --> 00:02:54.120]   Discovery, which is that luxury beliefs have to a large extent
[00:02:54.120 --> 00:02:56.840]   replaced luxury goods
[00:02:56.840 --> 00:03:04.840]   Luxury beliefs are ideas and opinions that confer status on the upper class while often inflicting costs on the lower classes now to be clear
[00:03:04.840 --> 00:03:07.120]   I'm not saying that luxury goods no longer signify status
[00:03:07.520 --> 00:03:11.440]   Rather are making the point that luxury goods have become a noisier indicator of status
[00:03:11.440 --> 00:03:14.240]   and as a result luxury beliefs have
[00:03:14.240 --> 00:03:22.060]   Arisen and as well as we'll see later a core feature of a luxury belief is that the believer is comfortably insulated from the
[00:03:22.060 --> 00:03:24.520]   consequences of his or her
[00:03:24.520 --> 00:03:25.760]   belief
[00:03:25.760 --> 00:03:30.440]   So there are multiple components to this luxury belief idea, but it starts with Thorsten Waeblin
[00:03:30.440 --> 00:03:35.000]   He was an economist and sociologist in the late 19th century and in 1899
[00:03:35.000 --> 00:03:40.520]   He published a book called the theory of the leisure class and one of the core insights of this book
[00:03:40.520 --> 00:03:48.040]   Is that because we can't be certain about the financial status of other people a good way to size up their means is to see
[00:03:48.040 --> 00:03:50.040]   Whether they could afford
[00:03:50.040 --> 00:03:58.240]   Expensive and costly goods. So in Waeblin's day, these were things like tuxedos and top hats and evening gowns pocket watches and monocles
[00:03:58.240 --> 00:04:02.480]   partaking in expensive leisurely activities like golf or beagling
[00:04:03.240 --> 00:04:07.020]   attending expensive and lavish events kind of like
[00:04:07.020 --> 00:04:12.520]   So there's a
[00:04:12.520 --> 00:04:17.120]   There's a great line in this book
[00:04:17.120 --> 00:04:19.920]   Waeblin somewhat tongue-in-cheek
[00:04:19.920 --> 00:04:22.240]   Suggests that even even butlers are status symbols
[00:04:22.240 --> 00:04:26.640]   He writes that the the chief use of servants is the evidence they afford of the master's ability to pay
[00:04:28.040 --> 00:04:34.880]   So these findings were later echoed a few decades later by the French sociologist Pierre Bordieu in a classic
[00:04:34.880 --> 00:04:39.320]   work in sociology called distinction a social critique of the judgment of taste and
[00:04:39.320 --> 00:04:43.400]   This in this book Pierre Bordieu coined this term cultural capital
[00:04:43.400 --> 00:04:49.800]   and the idea was that the upper segment of society would convert their material resources into
[00:04:49.800 --> 00:04:54.400]   Avenues to express and and perform
[00:04:54.960 --> 00:04:57.880]   social class through what he called the dispositions of mind and body
[00:04:57.880 --> 00:05:01.400]   developing intricate and expensive tastes
[00:05:01.400 --> 00:05:03.360]   knowledge of
[00:05:03.360 --> 00:05:06.200]   wine and art and other rarefied cultural domains
[00:05:06.200 --> 00:05:10.880]   Taste customs opinions habits. He used this term distance from necessity
[00:05:10.880 --> 00:05:17.200]   In other words only people who did not work blue-collar jobs manual labor
[00:05:17.200 --> 00:05:19.640]   Could afford to invest the time and the resources
[00:05:19.640 --> 00:05:22.520]   into performing
[00:05:22.720 --> 00:05:25.320]   the class mannerisms of that top segment
[00:05:25.320 --> 00:05:33.220]   so one of the points that beer people do and Waeblin made was that in order for a symbol a status symbol to
[00:05:33.220 --> 00:05:36.100]   Signify status it has to be rare
