
[00:00:00.040 --> 00:00:09.660]   Gibson
[00:00:09.660 --> 00:00:11.360]   L But I and Pokémon
[00:00:11.360 --> 00:00:11.980]   be, ",,,,, in the North the processглий
[00:00:11.980 --> 00:00:14.720]   K
[00:00:29.620 --> 00:00:41.040]   I
[00:00:41.040 --> 00:00:56.720]   later this is hard side Next Ed, in, and, and, and, and, and,��� convince
[00:00:58.540 --> 00:01:08.680]   provide
[00:01:08.680 --> 00:01:12.520]   de, –, like with
[00:01:12.520 --> 00:01:28.000]   " " ваш
[00:01:28.120 --> 00:01:37.760]   used
[00:01:37.760 --> 00:01:39.000]   stuff. I,
[00:01:39.000 --> 00:01:52.460]   solve, ,,,, cabbage感 galera tastes γ look S El S divided M A conversion Who the P en the inform the up the play the know the but, the big, the quite the, the, the, the, the, the, the, the, the, the, the, the, the, the, the..., the, the, the, the, the, the, the, the, the, the, the, the, the, but, another, the,視, Sal, escuch. The, wrapping, unlock the,elet. I'm, Thank,blue. So,
[00:01:52.460 --> 00:01:56.780]  fic. X. learned, 놓ária...不錯 不
[00:01:56.880 --> 00:02:07.940]   inside
[00:02:07.940 --> 00:02:23.300]  ughtuc mon exponent
[00:02:25.900 --> 00:02:36.220]   and
[00:02:36.220 --> 00:02:37.140]  óg I M Good manera, in their voice. .
[00:02:37.140 --> 00:02:54.800]   Austin
[00:03:52.720 --> 00:04:14.640]   aspicts of life is made difficult here because of the tension between Israel and Palestine? Yes. Actually, since Jeeva was born in the year 2000, we've been living here for 200 years. And it was my grand-grandfather who lived in this, and my grandfather and my father and me in the same house in this area, in Palestine especially. We can see Christians and Muslims together living side by side, and as neighbours. As we go to the universities together, we walk together, we do everything together.
[00:04:43.580 --> 00:04:43.580]   So, there's quite a bit of tension between the various religions here. Yes. What gives you hope for the future? That's right.
